,LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override,round,beta_model_params,scale_values,scenario 
35,Akuku Toru,Ahoada West,0.434173459,0.434173459,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
36,Akuku Toru,Ahoada West,0.451260189,0.451260189,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
37,Akuku Toru,Ahoada West,0.468346919,0.468346919,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
38,Akuku Toru,Ahoada West,0.485433648,0.485433648,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
39,Akuku Toru,Ahoada West,0.502520378,0.502520378,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
40,Akuku Toru,Ahoada West,0.519607108,0.519607108,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
41,Akuku Toru,Ahoada West,0.536693838,0.536693838,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
42,Akuku Toru,Ahoada West,0.553780567,0.553780567,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
43,Akuku Toru,Ahoada West,0.570867297,0.570867297,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
44,Akuku Toru,Ahoada West,0.587954027,0.587954027,0.677954027,3650,-1,2030,-1,11,0.01708673,0.187954027,Scenario 3 (Budget-prioritized plan)
45,Asari-Toru,Ahoada West,0.459983443,0.459983443,0.50708673,0,365,2020,-1,1,0.01708673,0.01708673,Scenario 3 (Budget-prioritized plan)
46,Asari-Toru,Ahoada West,0.477070172,0.477070172,0.524173459,365,365,2021,-1,2,0.01708673,0.034173459,Scenario 3 (Budget-prioritized plan)
47,Asari-Toru,Ahoada West,0.494156902,0.494156902,0.541260189,730,365,2022,-1,3,0.01708673,0.051260189,Scenario 3 (Budget-prioritized plan)
48,Asari-Toru,Ahoada West,0.511243632,0.511243632,0.558346919,1095,365,2023,-1,4,0.01708673,0.068346919,Scenario 3 (Budget-prioritized plan)
49,Asari-Toru,Ahoada West,0.528330361,0.528330361,0.575433648,1460,365,2024,-1,5,0.01708673,0.085433648,Scenario 3 (Budget-prioritized plan)
50,Asari-Toru,Ahoada West,0.545417091,0.545417091,0.592520378,1825,365,2025,-1,6,0.01708673,0.102520378,Scenario 3 (Budget-prioritized plan)
51,Asari-Toru,Ahoada West,0.562503821,0.562503821,0.609607108,2190,365,2026,-1,7,0.01708673,0.119607108,Scenario 3 (Budget-prioritized plan)
52,Asari-Toru,Ahoada West,0.579590551,0.579590551,0.626693838,2555,365,2027,-1,8,0.01708673,0.136693838,Scenario 3 (Budget-prioritized plan)
53,Asari-Toru,Ahoada West,0.59667728,0.59667728,0.643780567,2920,365,2028,-1,9,0.01708673,0.153780567,Scenario 3 (Budget-prioritized plan)
54,Asari-Toru,Ahoada West,0.61376401,0.61376401,0.660867297,3285,365,2029,-1,10,0.01708673,0.170867297,Scenario 3 (Budget-prioritized plan)
