year,State,scenario,death_rate_mean_all_ages,death_rate_mean_U5,PfPR_percent_change,U5_PfPR_percent_change,incidence_percent_change,U5_incidence_percent_change,death_percent_change,U5_death_percent_change
2020,Abia,NGA projection scenario 1,0.682473548,2.688409594,0,0,0,0,0,0
2025,Abia,NGA projection scenario 1,0.710317494,2.680323191,10.80510656,9.675863586,14.76088392,11.11073082,4.079857233,-0.300787621
2030,Abia,NGA projection scenario 1,0.78078931,2.998408568,10.74475332,7.367103471,15.42292279,10.73738493,14.40579831,11.53094286
2020,Adamawa,NGA projection scenario 1,0.892125928,4.099566558,0,0,0,0,0,0
2025,Adamawa,NGA projection scenario 1,1.105273259,4.952512784,10.45444001,12.45890392,17.98530569,15.8793324,23.89206783,20.80576604
2030,Adamawa,NGA projection scenario 1,1.010269908,4.725038129,6.917508691,4.274778149,16.94039114,10.24967031,13.24297126,15.25701712
2020,Akwa_Ibom,NGA projection scenario 1,0.742183827,2.729017471,0,0,0,0,0,0
2025,Akwa_Ibom,NGA projection scenario 1,0.726267865,2.954031162,2.729565007,0.493717746,5.522932704,2.04807782,-2.144477038,8.245227173
2030,Akwa_Ibom,NGA projection scenario 1,0.721289207,3.015162939,7.810516536,5.719940086,9.165663809,5.315513348,-2.815289097,10.4852926
2020,Anambra,NGA projection scenario 1,0.425936186,1.462301022,0,0,0,0,0,0
2025,Anambra,NGA projection scenario 1,0.480257413,1.519029614,9.466131548,8.470660284,16.5832072,7.785274154,12.75337214,3.879405865
2030,Anambra,NGA projection scenario 1,0.519795033,1.547773321,22.18916597,13.48231798,37.00085434,17.31711044,22.03589416,5.845054985
2020,Bauchi,NGA projection scenario 1,1.330202629,6.298217902,0,0,0,0,0,0
2025,Bauchi,NGA projection scenario 1,1.135206802,5.578997585,-7.638485838,-12.2415018,-4.977815951,-7.656070035,-14.65910703,-11.41942575
2030,Bauchi,NGA projection scenario 1,1.125432767,5.284600371,-1.218997818,-4.782862147,-4.264128315,-7.406500968,-15.39388492,-16.09371963
2020,Bayelsa,NGA projection scenario 1,0.428960717,1.564435774,0,0,0,0,0,0
2025,Bayelsa,NGA projection scenario 1,0.469772517,1.744612324,-11.24102343,3.388410443,-10.68038591,-1.873569385,9.514111247,11.51703077
2030,Bayelsa,NGA projection scenario 1,0.460374725,1.5889657,-3.271852747,0.71209984,4.57476085,-0.002145776,7.323282983,1.567972685
2020,Benue,NGA projection scenario 1,0.850724108,3.762868697,0,0,0,0,0,0
2025,Benue,NGA projection scenario 1,0.984815381,4.48051009,6.762598942,6.388429028,8.918400073,6.305868971,15.76201626,19.0716565
2030,Benue,NGA projection scenario 1,0.955610516,4.313449467,4.254426035,1.354005683,7.142447471,2.748540126,12.32907432,14.63194213
2020,Borno,NGA projection scenario 1,0.90928847,4.309021255,0,0,0,0,0,0
2025,Borno,NGA projection scenario 1,1.11221481,5.267611274,9.479726352,11.34219696,15.23128128,14.37762068,22.31704759,22.24611952
2030,Borno,NGA projection scenario 1,0.911373919,3.857333129,3.491879658,0.924559325,11.34821222,7.012172595,0.229349607,-10.48238334
2020,Cross_River,NGA projection scenario 1,0.912342582,4.004920309,0,0,0,0,0,0
2025,Cross_River,NGA projection scenario 1,0.849141215,3.702832078,0.966505247,0.044941991,2.520281216,-0.20597866,-6.927372258,-7.542927407
2030,Cross_River,NGA projection scenario 1,0.851243857,3.531692754,4.710895034,5.16946843,3.50305144,0.891285082,-6.696905943,-11.81615411
2020,Delta,NGA projection scenario 1,0.468605417,1.265093981,0,0,0,0,0,0
2025,Delta,NGA projection scenario 1,0.515429017,1.558967729,17.59772919,18.17099894,15.17551607,14.25081739,9.992116682,23.22940053
2030,Delta,NGA projection scenario 1,0.518374615,1.433427545,19.01005719,21.89921766,19.01154263,21.2750557,10.62070486,13.30601258
2020,Ebonyi,NGA projection scenario 1,0.609310886,2.301663839,0,0,0,0,0,0
2025,Ebonyi,NGA projection scenario 1,0.904999023,3.823318038,12.59486174,17.02630333,19.84014806,17.41113326,48.5282873,66.11105291
2030,Ebonyi,NGA projection scenario 1,0.900310546,3.738594061,11.57332044,11.82246094,18.84731076,13.89317808,47.7588151,62.43006462
2020,Edo,NGA projection scenario 1,0.752295752,2.916591058,0,0,0,0,0,0
2025,Edo,NGA projection scenario 1,0.787412411,3.600390388,13.26588636,12.36983221,16.47406236,11.96832385,4.667932645,23.44515626
2030,Edo,NGA projection scenario 1,0.712489423,2.944336082,9.628972196,5.997628295,11.97957479,6.493489134,-5.291313802,0.951282648
2020,Ekiti,NGA projection scenario 1,1.015120973,4.57791227,0,0,0,0,0,0
2025,Ekiti,NGA projection scenario 1,1.096912466,4.964799458,4.219594153,4.95920866,6.306005337,4.771705653,8.057314813,8.45117086
2030,Ekiti,NGA projection scenario 1,1.200613345,5.962966483,4.65967728,4.595322972,4.924156574,4.565858975,18.27293269,30.25514975
2020,Enugu,NGA projection scenario 1,0.451355128,1.589377822,0,0,0,0,0,0
2025,Enugu,NGA projection scenario 1,0.562039101,1.826857268,15.50950381,18.58863315,20.58610063,18.26076511,24.52259127,14.941661
2030,Enugu,NGA projection scenario 1,0.610189093,2.137204571,19.35138384,19.25848844,26.72332083,20.58711223,35.19046415,34.46800006
2020,Federal_Capital_Territory,NGA projection scenario 1,0.913665237,3.975374643,0,0,0,0,0,0
2025,Federal_Capital_Territory,NGA projection scenario 1,0.969456957,4.622744062,5.343640237,6.98133471,4.604586351,5.055485877,6.106363528,16.28448831
2030,Federal_Capital_Territory,NGA projection scenario 1,0.944876319,4.190801167,1.766202858,-0.574507932,0.173798157,-0.745329977,3.41603047,5.419024444
2020,Gombe,NGA projection scenario 1,1.095221587,5.073548481,0,0,0,0,0,0
2025,Gombe,NGA projection scenario 1,0.877872157,3.916174507,-5.55037983,-9.245739728,-2.730507454,-5.127091852,-19.84524704,-22.81192302
2030,Gombe,NGA projection scenario 1,0.825597326,3.772318815,-1.14568787,-5.192847576,-3.851814027,-7.382606601,-24.61823834,-25.64732891
2020,Imo,NGA projection scenario 1,0.605918442,2.423920142,0,0,0,0,0,0
2025,Imo,NGA projection scenario 1,0.695626049,2.837227721,11.11408651,13.28884383,17.54525575,13.75399224,14.80522802,17.05120447
