"","adm1","LGA","smc_plan1","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday"
"9412","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2027,4,-1,1,0.6,5,2831
"10629","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2028,1,-1,1,0.6,5,3106
"10630","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2028,2,-1,1,0.6,5,3136
"10631","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2028,3,-1,1,0.6,5,3166
"10632","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2028,4,-1,1,0.6,5,3196
"11849","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2029,1,-1,1,0.6,5,3471
"11850","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2029,2,-1,1,0.6,5,3501
"11851","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2029,3,-1,1,0.6,5,3531
"11852","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2029,4,-1,1,0.6,5,3561
"13069","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2030,1,-1,1,0.6,5,3836
"13070","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2030,2,-1,1,0.6,5,3866
"13071","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2030,3,-1,1,0.6,5,3896
"13072","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2030,4,-1,1,0.6,5,3926
"873","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2020,1,-1,1,0.6,5,223
"874","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2020,2,-1,1,0.6,5,253
"875","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2020,3,-1,1,0.6,5,283
"876","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2020,4,-1,1,0.6,5,313
"2093","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2021,1,-1,1,0.6,5,588
"2094","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2021,2,-1,1,0.6,5,618
"2095","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2021,3,-1,1,0.6,5,648
"2096","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2021,4,-1,1,0.6,5,678
"3313","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2022,1,-1,1,0.6,5,953
"3314","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2022,2,-1,1,0.6,5,983
"3315","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2022,3,-1,1,0.6,5,1013
"3316","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2022,4,-1,1,0.6,5,1043
"4533","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2023,1,-1,1,0.6,5,1318
"4534","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2023,2,-1,1,0.6,5,1348
"4535","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2023,3,-1,1,0.6,5,1378
"4536","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2023,4,-1,1,0.6,5,1408
"5753","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2024,1,-1,1,0.6,5,1683
"5754","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2024,2,-1,1,0.6,5,1713
"5755","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2024,3,-1,1,0.6,5,1743
"5756","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2024,4,-1,1,0.6,5,1773
"6973","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2025,1,-1,1,0.6,5,2048
"6974","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2025,2,-1,1,0.6,5,2078
"6975","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2025,3,-1,1,0.6,5,2108
"6976","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2025,4,-1,1,0.6,5,2138
"8193","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2026,1,-1,1,0.6,5,2413
"8194","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2026,2,-1,1,0.6,5,2443
"8195","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2026,3,-1,1,0.6,5,2473
"8196","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2026,4,-1,1,0.6,5,2503
"9413","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2027,1,-1,1,0.6,5,2778
"9414","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2027,2,-1,1,0.6,5,2808
"9415","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2027,3,-1,1,0.6,5,2838
"9416","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2027,4,-1,1,0.6,5,2868
"10633","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2028,1,-1,1,0.6,5,3143
"10634","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2028,2,-1,1,0.6,5,3173
"10635","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2028,3,-1,1,0.6,5,3203
"10636","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2028,4,-1,1,0.6,5,3233
"11853","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2029,1,-1,1,0.6,5,3508
"11854","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2029,2,-1,1,0.6,5,3538
"11855","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2029,3,-1,1,0.6,5,3568
"11856","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2029,4,-1,1,0.6,5,3598
"13073","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2030,1,-1,1,0.6,5,3873
"13074","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2030,2,-1,1,0.6,5,3903
"13075","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2030,3,-1,1,0.6,5,3933
"13076","Niger","Agwara","SMC in PAAR","Birnin Kebbi","august",2030,4,-1,1,0.6,5,3963
"429","Kano","Ajingi","SMC","Taura","july",2020,1,-1,1,0.6,5,186
"430","Kano","Ajingi","SMC","Taura","july",2020,2,-1,1,0.6,5,216
"431","Kano","Ajingi","SMC","Taura","july",2020,3,-1,1,0.6,5,246
"432","Kano","Ajingi","SMC","Taura","july",2020,4,-1,1,0.6,5,276
"1649","Kano","Ajingi","SMC","Taura","july",2021,1,-1,1,0.6,5,551
"1650","Kano","Ajingi","SMC","Taura","july",2021,2,-1,1,0.6,5,581
"1651","Kano","Ajingi","SMC","Taura","july",2021,3,-1,1,0.6,5,611
"1652","Kano","Ajingi","SMC","Taura","july",2021,4,-1,1,0.6,5,641
"2869","Kano","Ajingi","SMC","Taura","july",2022,1,-1,1,0.6,5,916
"2870","Kano","Ajingi","SMC","Taura","july",2022,2,-1,1,0.6,5,946
"2871","Kano","Ajingi","SMC","Taura","july",2022,3,-1,1,0.6,5,976
"2872","Kano","Ajingi","SMC","Taura","july",2022,4,-1,1,0.6,5,1006
"4089","Kano","Ajingi","SMC","Taura","july",2023,1,-1,1,0.6,5,1281
"4090","Kano","Ajingi","SMC","Taura","july",2023,2,-1,1,0.6,5,1311
"4091","Kano","Ajingi","SMC","Taura","july",2023,3,-1,1,0.6,5,1341
"4092","Kano","Ajingi","SMC","Taura","july",2023,4,-1,1,0.6,5,1371
"5309","Kano","Ajingi","SMC","Taura","july",2024,1,-1,1,0.6,5,1646
"5310","Kano","Ajingi","SMC","Taura","july",2024,2,-1,1,0.6,5,1676
"5311","Kano","Ajingi","SMC","Taura","july",2024,3,-1,1,0.6,5,1706
"5312","Kano","Ajingi","SMC","Taura","july",2024,4,-1,1,0.6,5,1736
"6529","Kano","Ajingi","SMC","Taura","july",2025,1,-1,1,0.6,5,2011
"6530","Kano","Ajingi","SMC","Taura","july",2025,2,-1,1,0.6,5,2041
"6531","Kano","Ajingi","SMC","Taura","july",2025,3,-1,1,0.6,5,2071
"6532","Kano","Ajingi","SMC","Taura","july",2025,4,-1,1,0.6,5,2101
"7749","Kano","Ajingi","SMC","Taura","july",2026,1,-1,1,0.6,5,2376
"7750","Kano","Ajingi","SMC","Taura","july",2026,2,-1,1,0.6,5,2406
"7751","Kano","Ajingi","SMC","Taura","july",2026,3,-1,1,0.6,5,2436
"7752","Kano","Ajingi","SMC","Taura","july",2026,4,-1,1,0.6,5,2466
"8969","Kano","Ajingi","SMC","Taura","july",2027,1,-1,1,0.6,5,2741
"8970","Kano","Ajingi","SMC","Taura","july",2027,2,-1,1,0.6,5,2771
"8971","Kano","Ajingi","SMC","Taura","july",2027,3,-1,1,0.6,5,2801
"8972","Kano","Ajingi","SMC","Taura","july",2027,4,-1,1,0.6,5,2831
"10189","Kano","Ajingi","SMC","Taura","july",2028,1,-1,1,0.6,5,3106
"10190","Kano","Ajingi","SMC","Taura","july",2028,2,-1,1,0.6,5,3136
"10191","Kano","Ajingi","SMC","Taura","july",2028,3,-1,1,0.6,5,3166
"10192","Kano","Ajingi","SMC","Taura","july",2028,4,-1,1,0.6,5,3196
"11409","Kano","Ajingi","SMC","Taura","july",2029,1,-1,1,0.6,5,3471
"11410","Kano","Ajingi","SMC","Taura","july",2029,2,-1,1,0.6,5,3501
"11411","Kano","Ajingi","SMC","Taura","july",2029,3,-1,1,0.6,5,3531
"11412","Kano","Ajingi","SMC","Taura","july",2029,4,-1,1,0.6,5,3561
"12629","Kano","Ajingi","SMC","Taura","july",2030,1,-1,1,0.6,5,3836
"12630","Kano","Ajingi","SMC","Taura","july",2030,2,-1,1,0.6,5,3866
"12631","Kano","Ajingi","SMC","Taura","july",2030,3,-1,1,0.6,5,3896
"12632","Kano","Ajingi","SMC","Taura","july",2030,4,-1,1,0.6,5,3926
"185","Gombe","Akko","SMC in PAAR","Alkaleri","july",2020,1,-1,1,0.6,5,186
"186","Gombe","Akko","SMC in PAAR","Alkaleri","july",2020,2,-1,1,0.6,5,216
"187","Gombe","Akko","SMC in PAAR","Alkaleri","july",2020,3,-1,1,0.6,5,246
"188","Gombe","Akko","SMC in PAAR","Alkaleri","july",2020,4,-1,1,0.6,5,276
"1405","Gombe","Akko","SMC in PAAR","Alkaleri","july",2021,1,-1,1,0.6,5,551
"1406","Gombe","Akko","SMC in PAAR","Alkaleri","july",2021,2,-1,1,0.6,5,581
"1407","Gombe","Akko","SMC in PAAR","Alkaleri","july",2021,3,-1,1,0.6,5,611
"1408","Gombe","Akko","SMC in PAAR","Alkaleri","july",2021,4,-1,1,0.6,5,641
"2625","Gombe","Akko","SMC in PAAR","Alkaleri","july",2022,1,-1,1,0.6,5,916
"2626","Gombe","Akko","SMC in PAAR","Alkaleri","july",2022,2,-1,1,0.6,5,946
"2627","Gombe","Akko","SMC in PAAR","Alkaleri","july",2022,3,-1,1,0.6,5,976
"2628","Gombe","Akko","SMC in PAAR","Alkaleri","july",2022,4,-1,1,0.6,5,1006
"3845","Gombe","Akko","SMC in PAAR","Alkaleri","july",2023,1,-1,1,0.6,5,1281
"3846","Gombe","Akko","SMC in PAAR","Alkaleri","july",2023,2,-1,1,0.6,5,1311
"3847","Gombe","Akko","SMC in PAAR","Alkaleri","july",2023,3,-1,1,0.6,5,1341
"3848","Gombe","Akko","SMC in PAAR","Alkaleri","july",2023,4,-1,1,0.6,5,1371
"5065","Gombe","Akko","SMC in PAAR","Alkaleri","july",2024,1,-1,1,0.6,5,1646
"5066","Gombe","Akko","SMC in PAAR","Alkaleri","july",2024,2,-1,1,0.6,5,1676
"5067","Gombe","Akko","SMC in PAAR","Alkaleri","july",2024,3,-1,1,0.6,5,1706
"5068","Gombe","Akko","SMC in PAAR","Alkaleri","july",2024,4,-1,1,0.6,5,1736
"6285","Gombe","Akko","SMC in PAAR","Alkaleri","july",2025,1,-1,1,0.6,5,2011
"6286","Gombe","Akko","SMC in PAAR","Alkaleri","july",2025,2,-1,1,0.6,5,2041
"6287","Gombe","Akko","SMC in PAAR","Alkaleri","july",2025,3,-1,1,0.6,5,2071
"6288","Gombe","Akko","SMC in PAAR","Alkaleri","july",2025,4,-1,1,0.6,5,2101
"7505","Gombe","Akko","SMC in PAAR","Alkaleri","july",2026,1,-1,1,0.6,5,2376
"7506","Gombe","Akko","SMC in PAAR","Alkaleri","july",2026,2,-1,1,0.6,5,2406
"7507","Gombe","Akko","SMC in PAAR","Alkaleri","july",2026,3,-1,1,0.6,5,2436
"7508","Gombe","Akko","SMC in PAAR","Alkaleri","july",2026,4,-1,1,0.6,5,2466
"8725","Gombe","Akko","SMC in PAAR","Alkaleri","july",2027,1,-1,1,0.6,5,2741
"8726","Gombe","Akko","SMC in PAAR","Alkaleri","july",2027,2,-1,1,0.6,5,2771
"8727","Gombe","Akko","SMC in PAAR","Alkaleri","july",2027,3,-1,1,0.6,5,2801
"8728","Gombe","Akko","SMC in PAAR","Alkaleri","july",2027,4,-1,1,0.6,5,2831
"9945","Gombe","Akko","SMC in PAAR","Alkaleri","july",2028,1,-1,1,0.6,5,3106
"9946","Gombe","Akko","SMC in PAAR","Alkaleri","july",2028,2,-1,1,0.6,5,3136
"9947","Gombe","Akko","SMC in PAAR","Alkaleri","july",2028,3,-1,1,0.6,5,3166
"9948","Gombe","Akko","SMC in PAAR","Alkaleri","july",2028,4,-1,1,0.6,5,3196
"11165","Gombe","Akko","SMC in PAAR","Alkaleri","july",2029,1,-1,1,0.6,5,3471
"11166","Gombe","Akko","SMC in PAAR","Alkaleri","july",2029,2,-1,1,0.6,5,3501
"11167","Gombe","Akko","SMC in PAAR","Alkaleri","july",2029,3,-1,1,0.6,5,3531
"11168","Gombe","Akko","SMC in PAAR","Alkaleri","july",2029,4,-1,1,0.6,5,3561
"12385","Gombe","Akko","SMC in PAAR","Alkaleri","july",2030,1,-1,1,0.6,5,3836
"12386","Gombe","Akko","SMC in PAAR","Alkaleri","july",2030,2,-1,1,0.6,5,3866
"12387","Gombe","Akko","SMC in PAAR","Alkaleri","july",2030,3,-1,1,0.6,5,3896
"12388","Gombe","Akko","SMC in PAAR","Alkaleri","july",2030,4,-1,1,0.6,5,3926
"433","Kano","Albasu","SMC","Takali","september",2020,1,-1,1,0.6,5,250
"434","Kano","Albasu","SMC","Takali","september",2020,2,-1,1,0.6,5,280
"435","Kano","Albasu","SMC","Takali","september",2020,3,-1,1,0.6,5,310
"436","Kano","Albasu","SMC","Takali","september",2020,4,-1,1,0.6,5,340
"1653","Kano","Albasu","SMC","Takali","september",2021,1,-1,1,0.6,5,615
"1654","Kano","Albasu","SMC","Takali","september",2021,2,-1,1,0.6,5,645
"1655","Kano","Albasu","SMC","Takali","september",2021,3,-1,1,0.6,5,675
"1656","Kano","Albasu","SMC","Takali","september",2021,4,-1,1,0.6,5,705
"2873","Kano","Albasu","SMC","Takali","september",2022,1,-1,1,0.6,5,980
"2874","Kano","Albasu","SMC","Takali","september",2022,2,-1,1,0.6,5,1010
"2875","Kano","Albasu","SMC","Takali","september",2022,3,-1,1,0.6,5,1040
"2876","Kano","Albasu","SMC","Takali","september",2022,4,-1,1,0.6,5,1070
"4093","Kano","Albasu","SMC","Takali","september",2023,1,-1,1,0.6,5,1345
"4094","Kano","Albasu","SMC","Takali","september",2023,2,-1,1,0.6,5,1375
"4095","Kano","Albasu","SMC","Takali","september",2023,3,-1,1,0.6,5,1405
"4096","Kano","Albasu","SMC","Takali","september",2023,4,-1,1,0.6,5,1435
"5313","Kano","Albasu","SMC","Takali","september",2024,1,-1,1,0.6,5,1710
"5314","Kano","Albasu","SMC","Takali","september",2024,2,-1,1,0.6,5,1740
"5315","Kano","Albasu","SMC","Takali","september",2024,3,-1,1,0.6,5,1770
"5316","Kano","Albasu","SMC","Takali","september",2024,4,-1,1,0.6,5,1800
"6533","Kano","Albasu","SMC","Takali","september",2025,1,-1,1,0.6,5,2075
"6534","Kano","Albasu","SMC","Takali","september",2025,2,-1,1,0.6,5,2105
"6535","Kano","Albasu","SMC","Takali","september",2025,3,-1,1,0.6,5,2135
"6536","Kano","Albasu","SMC","Takali","september",2025,4,-1,1,0.6,5,2165
"7753","Kano","Albasu","SMC","Takali","september",2026,1,-1,1,0.6,5,2440
"7754","Kano","Albasu","SMC","Takali","september",2026,2,-1,1,0.6,5,2470
"7755","Kano","Albasu","SMC","Takali","september",2026,3,-1,1,0.6,5,2500
"7756","Kano","Albasu","SMC","Takali","september",2026,4,-1,1,0.6,5,2530
"8973","Kano","Albasu","SMC","Takali","september",2027,1,-1,1,0.6,5,2805
"8974","Kano","Albasu","SMC","Takali","september",2027,2,-1,1,0.6,5,2835
"8975","Kano","Albasu","SMC","Takali","september",2027,3,-1,1,0.6,5,2865
"8976","Kano","Albasu","SMC","Takali","september",2027,4,-1,1,0.6,5,2895
"10193","Kano","Albasu","SMC","Takali","september",2028,1,-1,1,0.6,5,3170
"10194","Kano","Albasu","SMC","Takali","september",2028,2,-1,1,0.6,5,3200
"10195","Kano","Albasu","SMC","Takali","september",2028,3,-1,1,0.6,5,3230
"10196","Kano","Albasu","SMC","Takali","september",2028,4,-1,1,0.6,5,3260
"11413","Kano","Albasu","SMC","Takali","september",2029,1,-1,1,0.6,5,3535
"11414","Kano","Albasu","SMC","Takali","september",2029,2,-1,1,0.6,5,3565
"11415","Kano","Albasu","SMC","Takali","september",2029,3,-1,1,0.6,5,3595
"11416","Kano","Albasu","SMC","Takali","september",2029,4,-1,1,0.6,5,3625
"12633","Kano","Albasu","SMC","Takali","september",2030,1,-1,1,0.6,5,3900
"12634","Kano","Albasu","SMC","Takali","september",2030,2,-1,1,0.6,5,3930
"12635","Kano","Albasu","SMC","Takali","september",2030,3,-1,1,0.6,5,3960
"12636","Kano","Albasu","SMC","Takali","september",2030,4,-1,1,0.6,5,3990
"741","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2020,1,-1,1,0.6,5,223
"742","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2020,2,-1,1,0.6,5,253
"743","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2020,3,-1,1,0.6,5,283
"744","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2020,4,-1,1,0.6,5,313
"1961","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2021,1,-1,1,0.6,5,588
"1962","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2021,2,-1,1,0.6,5,618
"1963","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2021,3,-1,1,0.6,5,648
"1964","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2021,4,-1,1,0.6,5,678
"3181","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2022,1,-1,1,0.6,5,953
"3182","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2022,2,-1,1,0.6,5,983
"3183","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2022,3,-1,1,0.6,5,1013
"3184","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2022,4,-1,1,0.6,5,1043
"4401","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2023,1,-1,1,0.6,5,1318
"4402","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2023,2,-1,1,0.6,5,1348
"4403","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2023,3,-1,1,0.6,5,1378
"4404","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2023,4,-1,1,0.6,5,1408
"5621","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2024,1,-1,1,0.6,5,1683
"5622","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2024,2,-1,1,0.6,5,1713
"5623","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2024,3,-1,1,0.6,5,1743
"5624","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2024,4,-1,1,0.6,5,1773
"6841","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2025,1,-1,1,0.6,5,2048
"6842","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2025,2,-1,1,0.6,5,2078
"6843","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2025,3,-1,1,0.6,5,2108
"6844","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2025,4,-1,1,0.6,5,2138
"8061","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2026,1,-1,1,0.6,5,2413
"8062","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2026,2,-1,1,0.6,5,2443
"8063","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2026,3,-1,1,0.6,5,2473
"8064","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2026,4,-1,1,0.6,5,2503
"9281","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2027,1,-1,1,0.6,5,2778
"9282","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2027,2,-1,1,0.6,5,2808
"9283","Kebbi","Aleiro","SMC","Birnin Kebbi","august",2027,3,-1,1,0.6,5,2838
