"","adm1","LGA","smc_plan1","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday"
"77","Borno","Abadam","SMC","Babura","may",2020,1,-1,1,0.6,5,131
"78","Borno","Abadam","SMC","Babura","may",2020,2,-1,1,0.6,5,161
"79","Borno","Abadam","SMC","Babura","may",2020,3,-1,1,0.6,5,191
"80","Borno","Abadam","SMC","Babura","may",2020,4,-1,1,0.6,5,221
"1297","Borno","Abadam","SMC","Babura","may",2021,1,-1,1,0.6,5,496
"1298","Borno","Abadam","SMC","Babura","may",2021,2,-1,1,0.6,5,526
"1299","Borno","Abadam","SMC","Babura","may",2021,3,-1,1,0.6,5,556
"1300","Borno","Abadam","SMC","Babura","may",2021,4,-1,1,0.6,5,586
"2517","Borno","Abadam","SMC","Babura","may",2022,1,-1,1,0.6,5,861
"2518","Borno","Abadam","SMC","Babura","may",2022,2,-1,1,0.6,5,891
"2519","Borno","Abadam","SMC","Babura","may",2022,3,-1,1,0.6,5,921
"2520","Borno","Abadam","SMC","Babura","may",2022,4,-1,1,0.6,5,951
"3737","Borno","Abadam","SMC","Babura","may",2023,1,-1,1,0.6,5,1226
"3738","Borno","Abadam","SMC","Babura","may",2023,2,-1,1,0.6,5,1256
"3739","Borno","Abadam","SMC","Babura","may",2023,3,-1,1,0.6,5,1286
"3740","Borno","Abadam","SMC","Babura","may",2023,4,-1,1,0.6,5,1316
"4957","Borno","Abadam","SMC","Babura","may",2024,1,-1,1,0.6,5,1591
"4958","Borno","Abadam","SMC","Babura","may",2024,2,-1,1,0.6,5,1621
"4959","Borno","Abadam","SMC","Babura","may",2024,3,-1,1,0.6,5,1651
"4960","Borno","Abadam","SMC","Babura","may",2024,4,-1,1,0.6,5,1681
"6177","Borno","Abadam","SMC","Babura","may",2025,1,-1,1,0.6,5,1956
"6178","Borno","Abadam","SMC","Babura","may",2025,2,-1,1,0.6,5,1986
"6179","Borno","Abadam","SMC","Babura","may",2025,3,-1,1,0.6,5,2016
"6180","Borno","Abadam","SMC","Babura","may",2025,4,-1,1,0.6,5,2046
"7397","Borno","Abadam","SMC","Babura","may",2026,1,-1,1,0.6,5,2321
"7398","Borno","Abadam","SMC","Babura","may",2026,2,-1,1,0.6,5,2351
"7399","Borno","Abadam","SMC","Babura","may",2026,3,-1,1,0.6,5,2381
"7400","Borno","Abadam","SMC","Babura","may",2026,4,-1,1,0.6,5,2411
"8617","Borno","Abadam","SMC","Babura","may",2027,1,-1,1,0.6,5,2686
"8618","Borno","Abadam","SMC","Babura","may",2027,2,-1,1,0.6,5,2716
"8619","Borno","Abadam","SMC","Babura","may",2027,3,-1,1,0.6,5,2746
"8620","Borno","Abadam","SMC","Babura","may",2027,4,-1,1,0.6,5,2776
"9837","Borno","Abadam","SMC","Babura","may",2028,1,-1,1,0.6,5,3051
"9838","Borno","Abadam","SMC","Babura","may",2028,2,-1,1,0.6,5,3081
"9839","Borno","Abadam","SMC","Babura","may",2028,3,-1,1,0.6,5,3111
"9840","Borno","Abadam","SMC","Babura","may",2028,4,-1,1,0.6,5,3141
"11057","Borno","Abadam","SMC","Babura","may",2029,1,-1,1,0.6,5,3416
"11058","Borno","Abadam","SMC","Babura","may",2029,2,-1,1,0.6,5,3446
"11059","Borno","Abadam","SMC","Babura","may",2029,3,-1,1,0.6,5,3476
"11060","Borno","Abadam","SMC","Babura","may",2029,4,-1,1,0.6,5,3506
"12277","Borno","Abadam","SMC","Babura","may",2030,1,-1,1,0.6,5,3781
"12278","Borno","Abadam","SMC","Babura","may",2030,2,-1,1,0.6,5,3811
"12279","Borno","Abadam","SMC","Babura","may",2030,3,-1,1,0.6,5,3841
"12280","Borno","Abadam","SMC","Babura","may",2030,4,-1,1,0.6,5,3871
"869","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2020,1,-1,1,0.6,5,186
"870","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2020,2,-1,1,0.6,5,216
"871","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2020,3,-1,1,0.6,5,246
"872","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2020,4,-1,1,0.6,5,276
"2089","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2021,1,-1,1,0.6,5,551
"2090","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2021,2,-1,1,0.6,5,581
"2091","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2021,3,-1,1,0.6,5,611
"2092","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2021,4,-1,1,0.6,5,641
"3309","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2022,1,-1,1,0.6,5,916
"3310","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2022,2,-1,1,0.6,5,946
"3311","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2022,3,-1,1,0.6,5,976
"3312","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2022,4,-1,1,0.6,5,1006
"4529","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2023,1,-1,1,0.6,5,1281
"4530","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2023,2,-1,1,0.6,5,1311
"4531","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2023,3,-1,1,0.6,5,1341
"4532","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2023,4,-1,1,0.6,5,1371
"5749","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2024,1,-1,1,0.6,5,1646
"5750","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2024,2,-1,1,0.6,5,1676
"5751","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2024,3,-1,1,0.6,5,1706
"5752","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2024,4,-1,1,0.6,5,1736
"6969","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2025,1,-1,1,0.6,5,2011
"6970","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2025,2,-1,1,0.6,5,2041
"6971","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2025,3,-1,1,0.6,5,2071
"6972","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2025,4,-1,1,0.6,5,2101
"8189","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2026,1,-1,1,0.6,5,2376
"8190","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2026,2,-1,1,0.6,5,2406
"8191","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2026,3,-1,1,0.6,5,2436
"8192","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2026,4,-1,1,0.6,5,2466
"9409","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2027,1,-1,1,0.6,5,2741
"9410","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2027,2,-1,1,0.6,5,2771
"9411","Niger","Agaie","SMC in PAAR","Oke-Ero","july",2027,3,-1,1,0.6,5,2801
