"","adm1","LGA","smc_plan1","repDS","peak","year","round","duration","coverage_high_access","coverage_low_access","max_age","simday"
"1","Borno","Abadam","SMC","Babura","may",2020,1,-1,1,0.6,5,131
"2","Borno","Abadam","SMC","Babura","may",2020,2,-1,1,0.6,5,161
"3","Borno","Abadam","SMC","Babura","may",2020,3,-1,1,0.6,5,191
"4","Borno","Abadam","SMC","Babura","may",2020,4,-1,1,0.6,5,221
"865","Borno","Abadam","SMC","Babura","may",2021,1,-1,1,0.6,5,496
"866","Borno","Abadam","SMC","Babura","may",2021,2,-1,1,0.6,5,526
"867","Borno","Abadam","SMC","Babura","may",2021,3,-1,1,0.6,5,556
"868","Borno","Abadam","SMC","Babura","may",2021,4,-1,1,0.6,5,586
"1729","Borno","Abadam","SMC","Babura","may",2022,1,-1,1,0.6,5,861
"1730","Borno","Abadam","SMC","Babura","may",2022,2,-1,1,0.6,5,891
"1731","Borno","Abadam","SMC","Babura","may",2022,3,-1,1,0.6,5,921
"1732","Borno","Abadam","SMC","Babura","may",2022,4,-1,1,0.6,5,951
"2593","Borno","Abadam","SMC","Babura","may",2023,1,-1,1,0.6,5,1226
"2594","Borno","Abadam","SMC","Babura","may",2023,2,-1,1,0.6,5,1256
"2595","Borno","Abadam","SMC","Babura","may",2023,3,-1,1,0.6,5,1286
"2596","Borno","Abadam","SMC","Babura","may",2023,4,-1,1,0.6,5,1316
"3457","Borno","Abadam","SMC","Babura","may",2024,1,-1,1,0.6,5,1591
"3458","Borno","Abadam","SMC","Babura","may",2024,2,-1,1,0.6,5,1621
"3459","Borno","Abadam","SMC","Babura","may",2024,3,-1,1,0.6,5,1651
"3460","Borno","Abadam","SMC","Babura","may",2024,4,-1,1,0.6,5,1681
"4321","Borno","Abadam","SMC","Babura","may",2025,1,-1,1,0.6,5,1956
"4322","Borno","Abadam","SMC","Babura","may",2025,2,-1,1,0.6,5,1986
"4323","Borno","Abadam","SMC","Babura","may",2025,3,-1,1,0.6,5,2016
"4324","Borno","Abadam","SMC","Babura","may",2025,4,-1,1,0.6,5,2046
"5185","Borno","Abadam","SMC","Babura","may",2026,1,-1,1,0.6,5,2321
"5186","Borno","Abadam","SMC","Babura","may",2026,2,-1,1,0.6,5,2351
"5187","Borno","Abadam","SMC","Babura","may",2026,3,-1,1,0.6,5,2381
"5188","Borno","Abadam","SMC","Babura","may",2026,4,-1,1,0.6,5,2411
"6049","Borno","Abadam","SMC","Babura","may",2027,1,-1,1,0.6,5,2686
"6050","Borno","Abadam","SMC","Babura","may",2027,2,-1,1,0.6,5,2716
"6051","Borno","Abadam","SMC","Babura","may",2027,3,-1,1,0.6,5,2746
"6052","Borno","Abadam","SMC","Babura","may",2027,4,-1,1,0.6,5,2776
"6913","Borno","Abadam","SMC","Babura","may",2028,1,-1,1,0.6,5,3051
"6914","Borno","Abadam","SMC","Babura","may",2028,2,-1,1,0.6,5,3081
"6915","Borno","Abadam","SMC","Babura","may",2028,3,-1,1,0.6,5,3111
"6916","Borno","Abadam","SMC","Babura","may",2028,4,-1,1,0.6,5,3141
"7777","Borno","Abadam","SMC","Babura","may",2029,1,-1,1,0.6,5,3416
"7778","Borno","Abadam","SMC","Babura","may",2029,2,-1,1,0.6,5,3446
"7779","Borno","Abadam","SMC","Babura","may",2029,3,-1,1,0.6,5,3476
"7780","Borno","Abadam","SMC","Babura","may",2029,4,-1,1,0.6,5,3506
"8641","Borno","Abadam","SMC","Babura","may",2030,1,-1,1,0.6,5,3781
"8642","Borno","Abadam","SMC","Babura","may",2030,2,-1,1,0.6,5,3811
"8643","Borno","Abadam","SMC","Babura","may",2030,3,-1,1,0.6,5,3841
"8644","Borno","Abadam","SMC","Babura","may",2030,4,-1,1,0.6,5,3871
"217","Kano","Ajingi","SMC","Taura","july",2020,1,-1,1,0.6,5,186
"218","Kano","Ajingi","SMC","Taura","july",2020,2,-1,1,0.6,5,216
"219","Kano","Ajingi","SMC","Taura","july",2020,3,-1,1,0.6,5,246
"220","Kano","Ajingi","SMC","Taura","july",2020,4,-1,1,0.6,5,276
"1081","Kano","Ajingi","SMC","Taura","july",2021,1,-1,1,0.6,5,551
"1082","Kano","Ajingi","SMC","Taura","july",2021,2,-1,1,0.6,5,581
"1083","Kano","Ajingi","SMC","Taura","july",2021,3,-1,1,0.6,5,611
"1084","Kano","Ajingi","SMC","Taura","july",2021,4,-1,1,0.6,5,641
"1945","Kano","Ajingi","SMC","Taura","july",2022,1,-1,1,0.6,5,916
"1946","Kano","Ajingi","SMC","Taura","july",2022,2,-1,1,0.6,5,946
"1947","Kano","Ajingi","SMC","Taura","july",2022,3,-1,1,0.6,5,976
"1948","Kano","Ajingi","SMC","Taura","july",2022,4,-1,1,0.6,5,1006
"2809","Kano","Ajingi","SMC","Taura","july",2023,1,-1,1,0.6,5,1281
"2810","Kano","Ajingi","SMC","Taura","july",2023,2,-1,1,0.6,5,1311
"2811","Kano","Ajingi","SMC","Taura","july",2023,3,-1,1,0.6,5,1341
"2812","Kano","Ajingi","SMC","Taura","july",2023,4,-1,1,0.6,5,1371
"3673","Kano","Ajingi","SMC","Taura","july",2024,1,-1,1,0.6,5,1646
"3674","Kano","Ajingi","SMC","Taura","july",2024,2,-1,1,0.6,5,1676
"3675","Kano","Ajingi","SMC","Taura","july",2024,3,-1,1,0.6,5,1706
"3676","Kano","Ajingi","SMC","Taura","july",2024,4,-1,1,0.6,5,1736
"4537","Kano","Ajingi","SMC","Taura","july",2025,1,-1,1,0.6,5,2011
"4538","Kano","Ajingi","SMC","Taura","july",2025,2,-1,1,0.6,5,2041
"4539","Kano","Ajingi","SMC","Taura","july",2025,3,-1,1,0.6,5,2071
"4540","Kano","Ajingi","SMC","Taura","july",2025,4,-1,1,0.6,5,2101
"5401","Kano","Ajingi","SMC","Taura","july",2026,1,-1,1,0.6,5,2376
"5402","Kano","Ajingi","SMC","Taura","july",2026,2,-1,1,0.6,5,2406
"5403","Kano","Ajingi","SMC","Taura","july",2026,3,-1,1,0.6,5,2436
"5404","Kano","Ajingi","SMC","Taura","july",2026,4,-1,1,0.6,5,2466
"6265","Kano","Ajingi","SMC","Taura","july",2027,1,-1,1,0.6,5,2741
"6266","Kano","Ajingi","SMC","Taura","july",2027,2,-1,1,0.6,5,2771
"6267","Kano","Ajingi","SMC","Taura","july",2027,3,-1,1,0.6,5,2801
"6268","Kano","Ajingi","SMC","Taura","july",2027,4,-1,1,0.6,5,2831
"7129","Kano","Ajingi","SMC","Taura","july",2028,1,-1,1,0.6,5,3106
"7130","Kano","Ajingi","SMC","Taura","july",2028,2,-1,1,0.6,5,3136
"7131","Kano","Ajingi","SMC","Taura","july",2028,3,-1,1,0.6,5,3166
"7132","Kano","Ajingi","SMC","Taura","july",2028,4,-1,1,0.6,5,3196
"7993","Kano","Ajingi","SMC","Taura","july",2029,1,-1,1,0.6,5,3471
"7994","Kano","Ajingi","SMC","Taura","july",2029,2,-1,1,0.6,5,3501
"7995","Kano","Ajingi","SMC","Taura","july",2029,3,-1,1,0.6,5,3531
"7996","Kano","Ajingi","SMC","Taura","july",2029,4,-1,1,0.6,5,3561
"8857","Kano","Ajingi","SMC","Taura","july",2030,1,-1,1,0.6,5,3836
"8858","Kano","Ajingi","SMC","Taura","july",2030,2,-1,1,0.6,5,3866
"8859","Kano","Ajingi","SMC","Taura","july",2030,3,-1,1,0.6,5,3896
