"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"1","Aba North","Ngor-Okpala",2020,"Aba North",0.8,0.8,0.8,0.8,0.319067389,0.393201897,0.53,1,"june",162
"12","Aba North","Ngor-Okpala",2023,"Aba North",0.8,0.8,0.8,0.8,0.319067389,0.393201897,0.53,2,"june",1257
"14","Aba North","Ngor-Okpala",2026,"Aba North",0.8,0.8,0.8,0.8,0.319067389,0.393201897,0.53,3,"june",2352
"16","Aba North","Ngor-Okpala",2029,"Aba North",0.8,0.8,0.8,0.8,0.319067389,0.393201897,0.53,4,"june",3447
"3","Aba South","Ngor-Okpala",2020,"Aba South",0.8,0.8,0.8,0.8,0.311454386,0.38693958,0.53,1,"june",162
"32","Aba South","Ngor-Okpala",2023,"Aba South",0.8,0.8,0.8,0.8,0.311454386,0.38693958,0.53,2,"june",1257
"34","Aba South","Ngor-Okpala",2026,"Aba South",0.8,0.8,0.8,0.8,0.311454386,0.38693958,0.53,3,"june",2352
"36","Aba South","Ngor-Okpala",2029,"Aba South",0.8,0.8,0.8,0.8,0.311454386,0.38693958,0.53,4,"june",3447
"1491","Abadam","Babura",2020,"Abadam",0.8,0.8,0.8,0.8,0.658846787,0.643492642,0.53,1,"may",131
"14911","Abadam","Babura",2023,"Abadam",0.8,0.8,0.8,0.8,0.658846787,0.643492642,0.53,2,"may",1226
"14912","Abadam","Babura",2026,"Abadam",0.8,0.8,0.8,0.8,0.658846787,0.643492642,0.53,3,"may",2321
"14913","Abadam","Babura",2029,"Abadam",0.8,0.8,0.8,0.8,0.658846787,0.643492642,0.53,4,"may",3416
"487","Abaji","Keana",2020,"Abaji",0.8,0.8,0.8,0.8,0.476373849,0.520406247,0.53,1,"august",223
"4871","Abaji","Keana",2023,"Abaji",0.8,0.8,0.8,0.8,0.476373849,0.520406247,0.53,2,"august",1318
"4872","Abaji","Keana",2026,"Abaji",0.8,0.8,0.8,0.8,0.476373849,0.520406247,0.53,3,"august",2413
"4873","Abaji","Keana",2029,"Abaji",0.8,0.8,0.8,0.8,0.476373849,0.520406247,0.53,4,"august",3508
"53","Abak","Nsit Ubium",2021,"Abak",0.8,0.8,0.8,0.8,0.358412263,0.425644469,0.53,1,"june",527
"532","Abak","Nsit Ubium",2024,"Abak",0.8,0.8,0.8,0.8,0.358412263,0.425644469,0.53,2,"june",1622
"534","Abak","Nsit Ubium",2027,"Abak",0.8,0.8,0.8,0.8,0.358412263,0.425644469,0.53,3,"june",2717
"536","Abak","Nsit Ubium",2030,"Abak",0.8,0.8,0.8,0.8,0.358412263,0.425644469,0.53,4,"june",3812
"365","Abakaliki","Owan East",2020,"Abakaliki",0.8,0.8,0.8,0.8,0.416945424,0.473491294,0.53,1,"march",70
"3651","Abakaliki","Owan East",2023,"Abakaliki",0.8,0.8,0.8,0.8,0.416945424,0.473491294,0.53,2,"march",1165
"3652","Abakaliki","Owan East",2026,"Abakaliki",0.8,0.8,0.8,0.8,0.416945424,0.473491294,0.53,3,"march",2260
"3653","Abakaliki","Owan East",2029,"Abakaliki",0.8,0.8,0.8,0.8,0.416945424,0.473491294,0.53,4,"march",3355
"61","Abeokuta North","Owan East",2021,"Abeokuta North",0.8,0.8,0.8,0.8,0.429058332,0.483229857,0.53,1,"march",435
"612","Abeokuta North","Owan East",2024,"Abeokuta North",0.8,0.8,0.8,0.8,0.429058332,0.483229857,0.53,2,"march",1530
"614","Abeokuta North","Owan East",2027,"Abeokuta North",0.8,0.8,0.8,0.8,0.429058332,0.483229857,0.53,3,"march",2625
"616","Abeokuta North","Owan East",2030,"Abeokuta North",0.8,0.8,0.8,0.8,0.429058332,0.483229857,0.53,4,"march",3720
"65","Abeokuta South","Uzo-Uwani",2021,"Abeokuta South",0.8,0.8,0.8,0.8,0.443245868,0.494533241,0.53,1,"june",527
"652","Abeokuta South","Uzo-Uwani",2024,"Abeokuta South",0.8,0.8,0.8,0.8,0.443245868,0.494533241,0.53,2,"june",1622
"654","Abeokuta South","Uzo-Uwani",2027,"Abeokuta South",0.8,0.8,0.8,0.8,0.443245868,0.494533241,0.53,3,"june",2717
"656","Abeokuta South","Uzo-Uwani",2030,"Abeokuta South",0.8,0.8,0.8,0.8,0.443245868,0.494533241,0.53,4,"june",3812
"67","Abi","Obubra",2021,"Abi",0.8,0.8,0.8,0.8,0.400313882,0.46000802,0.53,1,"june",527
"672","Abi","Obubra",2024,"Abi",0.8,0.8,0.8,0.8,0.400313882,0.46000802,0.53,2,"june",1622
"674","Abi","Obubra",2027,"Abi",0.8,0.8,0.8,0.8,0.400313882,0.46000802,0.53,3,"june",2717
"676","Abi","Obubra",2030,"Abi",0.8,0.8,0.8,0.8,0.400313882,0.46000802,0.53,4,"june",3812
"525","Aboh-Mbaise","Ngor-Okpala",2020,"Aboh-Mbaise",0.8,0.8,0.8,0.8,0.366998982,0.432717137,0.53,1,"june",162
"5251","Aboh-Mbaise","Ngor-Okpala",2023,"Aboh-Mbaise",0.8,0.8,0.8,0.8,0.366998982,0.432717137,0.53,2,"june",1257
"5252","Aboh-Mbaise","Ngor-Okpala",2026,"Aboh-Mbaise",0.8,0.8,0.8,0.8,0.366998982,0.432717137,0.53,3,"june",2352
"5253","Aboh-Mbaise","Ngor-Okpala",2029,"Aboh-Mbaise",0.8,0.8,0.8,0.8,0.366998982,0.432717137,0.53,4,"june",3447
"1225","Abua-Odual","Ahoada West",2020,"Abua/Odual",0.8,0.8,0.8,0.8,0.255950957,0.341818833,0.53,1,"may",131
"12251","Abua-Odual","Ahoada West",2023,"Abua/Odual",0.8,0.8,0.8,0.8,0.255950957,0.341818833,0.53,2,"may",1226
"12252","Abua-Odual","Ahoada West",2026,"Abua/Odual",0.8,0.8,0.8,0.8,0.255950957,0.341818833,0.53,3,"may",2321
"12253","Abua-Odual","Ahoada West",2029,"Abua/Odual",0.8,0.8,0.8,0.8,0.255950957,0.341818833,0.53,4,"may",3416
"499","Abuja Municipal","Keana",2020,"Abuja Municipal",0.8,0.8,0.8,0.8,0.500846708,0.538963989,0.53,1,"august",223
"4991","Abuja Municipal","Keana",2023,"Abuja Municipal",0.8,0.8,0.8,0.8,0.500846708,0.538963989,0.53,2,"august",1318
"4992","Abuja Municipal","Keana",2026,"Abuja Municipal",0.8,0.8,0.8,0.8,0.500846708,0.538963989,0.53,3,"august",2413
"4993","Abuja Municipal","Keana",2029,"Abuja Municipal",0.8,0.8,0.8,0.8,0.500846708,0.538963989,0.53,4,"august",3508
"861","Adavi","Owan East",2020,"Adavi",0.830655145,0.8,0.8,0.8,0.308698703,0.384675567,0.53,1,"march",70
"8611","Adavi","Owan East",2023,"Adavi",0.830655145,0.8,0.8,0.8,0.308698703,0.384675567,0.53,2,"march",1165
"8612","Adavi","Owan East",2026,"Adavi",0.830655145,0.8,0.8,0.8,0.308698703,0.384675567,0.53,3,"march",2260
"8613","Adavi","Owan East",2029,"Adavi",0.830655145,0.8,0.8,0.8,0.308698703,0.384675567,0.53,4,"march",3355
"205","Ado","Akinyele",2020,"Ado",0.8,0.8,0.8,0.8,0.357778894,0.425122422,0.53,1,"may",131
"2051","Ado","Akinyele",2023,"Ado",0.8,0.8,0.8,0.8,0.357778894,0.425122422,0.53,2,"may",1226
"2052","Ado","Akinyele",2026,"Ado",0.8,0.8,0.8,0.8,0.357778894,0.425122422,0.53,3,"may",2321
"2053","Ado","Akinyele",2029,"Ado",0.8,0.8,0.8,0.8,0.357778894,0.425122422,0.53,4,"may",3416
