"","LGA","repDS","year","LGA_old","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","block_initial","round","peak","simday"
"6511","Jaba","Oke-Ero",2025,"Jaba",0.755555556,0.7,0.472727273,0.723809524,0.493173179,0.533201155,0.53,2,"july",2011
"6512","Jaba","Oke-Ero",2028,"Jaba",0.755555556,0.7,0.472727273,0.723809524,0.493173179,0.533201155,0.53,3,"july",3106
"1511","Jada","Alkaleri",2020,"Jada",0.659651437,0.681068068,0.566520339,0.588792505,0.556558753,0.579074542,0.53,1,"july",186
"15111","Jada","Alkaleri",2023,"Jada",0.659651437,0.681068068,0.566520339,0.588792505,0.556558753,0.579074542,0.53,2,"july",1281
"15112","Jada","Alkaleri",2026,"Jada",0.659651437,0.681068068,0.566520339,0.588792505,0.556558753,0.579074542,0.53,3,"july",2376
"15113","Jada","Alkaleri",2029,"Jada",0.659651437,0.681068068,0.566520339,0.588792505,0.556558753,0.579074542,0.53,4,"july",3471
"775","Jahun","Taura",2021,"Jahun",0.906724843,0.88129703,0.8,0.931820208,0.743526887,0.68692249,0.53,1,"july",551
"7751","Jahun","Taura",2024,"Jahun",0.906724843,0.88129703,0.8,0.931820208,0.743526887,0.68692249,0.53,2,"july",1646
"7752","Jahun","Taura",2027,"Jahun",0.906724843,0.88129703,0.8,0.931820208,0.743526887,0.68692249,0.53,3,"july",2741
"7753","Jahun","Taura",2030,"Jahun",0.906724843,0.88129703,0.8,0.931820208,0.743526887,0.68692249,0.53,4,"july",3836
"1363","Jakusko","Taura",2022,"Jakusko",0.712573098,0.616346743,0.656107024,0.8,0.726795273,0.679053969,0.53,1,"july",916
"13631","Jakusko","Taura",2025,"Jakusko",0.712573098,0.616346743,0.656107024,0.8,0.726795273,0.679053969,0.53,2,"july",2011
"13632","Jakusko","Taura",2028,"Jakusko",0.712573098,0.616346743,0.656107024,0.8,0.726795273,0.679053969,0.53,3,"july",3106
"1329","Jalingo","Keana",2022,"Jalingo",0.371428569,0.496629209,0.410350591,0.448966088,0.356978455,0.424462611,0.53,1,"august",953
"13291","Jalingo","Keana",2025,"Jalingo",0.371428569,0.496629209,0.410350591,0.448966088,0.356978455,0.424462611,0.53,2,"august",2048
"13292","Jalingo","Keana",2028,"Jalingo",0.371428569,0.496629209,0.410350591,0.448966088,0.356978455,0.424462611,0.53,3,"august",3143
"777","Jama'are","Taura",2021,"Jama'are",0.73934621,0.644648002,0.716734467,0.8,0.749263424,0.689541118,0.53,1,"july",551
"7771","Jama'are","Taura",2024,"Jama'are",0.73934621,0.644648002,0.716734467,0.8,0.749263424,0.689541118,0.53,2,"july",1646
"7772","Jama'are","Taura",2027,"Jama'are",0.73934621,0.644648002,0.716734467,0.8,0.749263424,0.689541118,0.53,3,"july",2741
"7773","Jama'are","Taura",2030,"Jama'are",0.73934621,0.644648002,0.716734467,0.8,0.749263424,0.689541118,0.53,4,"july",3836
