LGA,CM_rate_under5_uncomplicated_baseline,CM_rate_over5_uncomplicated_baseline,CM_rate_severe_malaria_baseline,CM_rate_under5_uncomplicated_2020,CM_rate_over5_uncomplicated_2020,CM_rate_severe_malaria_2020,CM_rate_under5_uncomplicated_2021,CM_rate_over5_uncomplicated_2021,CM_rate_severe_malaria_2021,CM_rate_under5_uncomplicated_2022,CM_rate_over5_uncomplicated_2022,CM_rate_severe_malaria_2022,CM_rate_under5_uncomplicated_2023,CM_rate_over5_uncomplicated_2023,CM_rate_severe_malaria_2023,CM_rate_under5_uncomplicated_2024,CM_rate_over5_uncomplicated_2024,CM_rate_severe_malaria_2024,CM_rate_under5_uncomplicated_2025,CM_rate_over5_uncomplicated_2025,CM_rate_severe_malaria_2025,CM_rate_under5_uncomplicated_2026,CM_rate_over5_uncomplicated_2026,CM_rate_severe_malaria_2026,CM_rate_under5_uncomplicated_2027,CM_rate_over5_uncomplicated_2027,CM_rate_severe_malaria_2027,CM_rate_under5_uncomplicated_2028,CM_rate_over5_uncomplicated_2028,CM_rate_severe_malaria_2028,CM_rate_under5_uncomplicated_2029,CM_rate_over5_uncomplicated_2029,CM_rate_severe_malaria_2029,CM_rate_under5_uncomplicated_2030,CM_rate_over5_uncomplicated_2030,CM_rate_severe_malaria_2030,ITN_under5_baseline,ITN_6to9_baseline,ITN_10to18_baseline,ITN_over18_baseline,ITN_under5_2020,ITN_6to9_2020,ITN_10to18_2020,ITN_over18_2020,ITN_under5_2021,ITN_6to9_2021,ITN_10to18_2021,ITN_over18_2021,ITN_under5_2022,ITN_6to9_2022,ITN_10to18_2022,ITN_over18_2022,ITN_under5_2023,ITN_6to9_2023,ITN_10to18_2023,ITN_over18_2023,ITN_under5_2024,ITN_6to9_2024,ITN_10to18_2024,ITN_over18_2024,ITN_under5_2025,ITN_6to9_2025,ITN_10to18_2025,ITN_over18_2025,ITN_under5_2026,ITN_6to9_2026,ITN_10to18_2026,ITN_over18_2026,ITN_under5_2027,ITN_6to9_2027,ITN_10to18_2027,ITN_over18_2027,ITN_under5_2028,ITN_6to9_2028,ITN_10to18_2028,ITN_over18_2028,ITN_under5_2029,ITN_6to9_2029,ITN_10to18_2029,ITN_over18_2029,ITN_under5_2030,ITN_6to9_2030,ITN_10to18_2030,ITN_over18_2030,SMC_coverage_baseline,SMC_coverage_2020,SMC_coverage_2021,SMC_coverage_2022,SMC_coverage_2023,SMC_coverage_2024,SMC_coverage_2025,SMC_coverage_2026,SMC_coverage_2027,SMC_coverage_2028,SMC_coverage_2029,SMC_coverage_2030
Abua-Odual,0.10450591699999999,0.10450591699999999,0.49,0.44989797299999995,0.44989797299999995,0.539,0.8,0.8,0.637,0.8,0.8,0.735,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.145590149,0.30001162800000003,0.095100445,0.097399364,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Abuja Municipal,0.048123756,0.048123756,0.49,0.096247512,0.096247512,0.539,0.7723862840000001,0.7723862840000001,0.637,0.8,0.8,0.735,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.418523067,0.320238662,0.15511778199999998,0.264070273,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Adavi,0.278942779,0.278942779,0.49,0.292889918,0.292889918,0.539,0.298468774,0.298468774,0.637,0.304047629,0.304047629,0.735,0.312415912,0.312415912,0.8,0.557885558,0.557885558,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.830655145,0.595557959,0.519685549,0.5928552810000001,0.830655145,0.8,0.8,0.8,,,,,,,,,0.830655145,0.8,0.8,0.8,,,,,,,,,0.830655145,0.8,0.8,0.8,,,,,,,,,0.830655145,0.8,0.8,0.8,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Ado,0.171296311,0.171296311,0.49,0.368715309,0.368715309,0.539,0.562691252,0.562691252,0.637,0.576943105,0.576943105,0.735,0.790429697,0.790429697,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.394663802,0.22521866,0.20128378600000002,0.280297908,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Ado Ekiti,0.278942779,0.278942779,0.49,0.292889918,0.292889918,0.539,0.298468774,0.298468774,0.637,0.304047629,0.304047629,0.735,0.312415912,0.312415912,0.8,0.557885558,0.557885558,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.307654798,0.266792702,0.30162414,0.25132096600000003,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Ado-Odo-Ota,0.420192485,0.420192485,0.49,0.441202109,0.441202109,0.539,0.449605959,0.449605959,0.637,0.458009809,0.458009809,0.735,0.47061558299999995,0.47061558299999995,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.437146656,0.447816926,0.289844266,0.30835722,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,
Afijio,0.154926235,0.154926235,0.49,0.325345094,0.325345094,0.539,0.8,0.8,0.637,0.8,0.8,0.735,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.538461538,0.25,0.111111111,0.347826087,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Afikpo North,0.863945585,0.863945585,0.49,0.863945585,0.863945585,0.539,0.863945585,0.863945585,0.637,0.863945585,0.863945585,0.735,0.863945585,0.863945585,0.8,0.863945585,0.863945585,0.8,0.863945585,0.863945585,0.8,0.863945585,0.863945585,0.8,0.863945585,0.863945585,0.8,0.863945585,0.863945585,0.8,0.863945585,0.863945585,0.8,0.863945585,0.863945585,0.8,0.905685179,0.7833935000000001,0.678846153,0.738112654,0.905685179,0.8,0.8,0.8,,,,,,,,,0.905685179,0.8,0.8,0.8,,,,,,,,,0.905685179,0.8,0.8,0.8,,,,,,,,,0.905685179,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Afikpo South,0.47095179600000003,0.47095179600000003,0.49,0.49449938600000004,0.49449938600000004,0.539,0.503918422,0.503918422,0.637,0.513337458,0.513337458,0.735,0.527466012,0.527466012,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.66709147,0.563956235,0.528864595,0.583653742,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,,,,,,,
Agaie,0.246839589,0.246839589,0.49,0.531322215,0.531322215,0.539,0.8,0.8,0.637,0.8,0.8,0.735,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.391788901,0.299429972,0.260379648,0.355121446,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,0.8,0.8,0.8,0.8,,,,,,,,,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
