"","LGA","kill_rate","round","simday","scenario","year"
"1","Aba North",39.3201897,1,162,"Scenario 1(Business as Usual)",2020
"2","Aba North",39.3201897,2,1257,"Scenario 1(Business as Usual)",2023
"3","Aba North",39.3201897,3,2352,"Scenario 1(Business as Usual)",2026
"4","Aba North",39.3201897,4,3447,"Scenario 1(Business as Usual)",2029
"5","Aba South",38.693958,1,162,"Scenario 1(Business as Usual)",2020
"6","Aba South",38.693958,2,1257,"Scenario 1(Business as Usual)",2023
"7","Aba South",38.693958,3,2352,"Scenario 1(Business as Usual)",2026
"8","Aba South",38.693958,4,3447,"Scenario 1(Business as Usual)",2029
"9","Abadam",64.3492642,1,131,"Scenario 1(Business as Usual)",2020
"10","Abadam",64.3492642,2,1226,"Scenario 1(Business as Usual)",2023
"11","Abadam",64.3492642,3,2321,"Scenario 1(Business as Usual)",2026
"12","Abadam",64.3492642,4,3416,"Scenario 1(Business as Usual)",2029
"13","Abaji",52.0406247,1,223,"Scenario 1(Business as Usual)",2020
"14","Abaji",52.0406247,2,1318,"Scenario 1(Business as Usual)",2023
"15","Abaji",52.0406247,3,2413,"Scenario 1(Business as Usual)",2026
"16","Abaji",52.0406247,4,3508,"Scenario 1(Business as Usual)",2029
"17","Abak",42.5644469,1,527,"Scenario 1(Business as Usual)",2021
"18","Abak",42.5644469,2,1622,"Scenario 1(Business as Usual)",2024
"19","Abak",42.5644469,3,2717,"Scenario 1(Business as Usual)",2027
"20","Abak",42.5644469,4,3812,"Scenario 1(Business as Usual)",2030
"21","Abakaliki",47.3491294,1,70,"Scenario 1(Business as Usual)",2020
"22","Abakaliki",47.3491294,2,1165,"Scenario 1(Business as Usual)",2023
"23","Abakaliki",47.3491294,3,2260,"Scenario 1(Business as Usual)",2026
"24","Abakaliki",47.3491294,4,3355,"Scenario 1(Business as Usual)",2029
"25","Abeokuta North",48.3229857,1,435,"Scenario 1(Business as Usual)",2021
"26","Abeokuta North",48.3229857,2,1530,"Scenario 1(Business as Usual)",2024
"27","Abeokuta North",48.3229857,3,2625,"Scenario 1(Business as Usual)",2027
"28","Abeokuta North",48.3229857,4,3720,"Scenario 1(Business as Usual)",2030
"29","Abeokuta South",49.4533241,1,527,"Scenario 1(Business as Usual)",2021
"30","Abeokuta South",49.4533241,2,1622,"Scenario 1(Business as Usual)",2024
"31","Abeokuta South",49.4533241,3,2717,"Scenario 1(Business as Usual)",2027
"32","Abeokuta South",49.4533241,4,3812,"Scenario 1(Business as Usual)",2030
"33","Abi",46.000802,1,527,"Scenario 1(Business as Usual)",2021
"34","Abi",46.000802,2,1622,"Scenario 1(Business as Usual)",2024
"35","Abi",46.000802,3,2717,"Scenario 1(Business as Usual)",2027
"36","Abi",46.000802,4,3812,"Scenario 1(Business as Usual)",2030
"37","Aboh-Mbaise",43.2717137,1,162,"Scenario 1(Business as Usual)",2020
"38","Aboh-Mbaise",43.2717137,2,1257,"Scenario 1(Business as Usual)",2023
"39","Aboh-Mbaise",43.2717137,3,2352,"Scenario 1(Business as Usual)",2026
"40","Aboh-Mbaise",43.2717137,4,3447,"Scenario 1(Business as Usual)",2029
"41","Abua-Odual",34.1818833,1,131,"Scenario 1(Business as Usual)",2020
"42","Abua-Odual",34.1818833,2,1226,"Scenario 1(Business as Usual)",2023
"43","Abua-Odual",34.1818833,3,2321,"Scenario 1(Business as Usual)",2026
"44","Abua-Odual",34.1818833,4,3416,"Scenario 1(Business as Usual)",2029
"45","Abuja Municipal",53.8963989,1,223,"Scenario 1(Business as Usual)",2020
"46","Abuja Municipal",53.8963989,2,1318,"Scenario 1(Business as Usual)",2023
"47","Abuja Municipal",53.8963989,3,2413,"Scenario 1(Business as Usual)",2026
"48","Abuja Municipal",53.8963989,4,3508,"Scenario 1(Business as Usual)",2029
"49","Adavi",38.4675567,1,70,"Scenario 1(Business as Usual)",2020
"50","Adavi",38.4675567,2,1165,"Scenario 1(Business as Usual)",2023
"51","Adavi",38.4675567,3,2260,"Scenario 1(Business as Usual)",2026
"52","Adavi",38.4675567,4,3355,"Scenario 1(Business as Usual)",2029
"53","Ado",42.5122422,1,131,"Scenario 1(Business as Usual)",2020
"54","Ado",42.5122422,2,1226,"Scenario 1(Business as Usual)",2023
"55","Ado",42.5122422,3,2321,"Scenario 1(Business as Usual)",2026
"56","Ado",42.5122422,4,3416,"Scenario 1(Business as Usual)",2029
"57","Ado-Odo-Ota",46.396913,1,527,"Scenario 1(Business as Usual)",2021
"58","Ado-Odo-Ota",46.396913,2,1622,"Scenario 1(Business as Usual)",2024
"59","Ado-Odo-Ota",46.396913,3,2717,"Scenario 1(Business as Usual)",2027
"60","Ado-Odo-Ota",46.396913,4,3812,"Scenario 1(Business as Usual)",2030
"61","Ado Ekiti",42.4809523,1,70,"Scenario 1(Business as Usual)",2020
"62","Ado Ekiti",42.4809523,2,1165,"Scenario 1(Business as Usual)",2023
"63","Ado Ekiti",42.4809523,3,2260,"Scenario 1(Business as Usual)",2026
"64","Ado Ekiti",42.4809523,4,3355,"Scenario 1(Business as Usual)",2029
"65","Afijio",51.0953009,1,131,"Scenario 1(Business as Usual)",2020
"66","Afijio",51.0953009,2,1226,"Scenario 1(Business as Usual)",2023
"67","Afijio",51.0953009,3,2321,"Scenario 1(Business as Usual)",2026
"68","Afijio",51.0953009,4,3416,"Scenario 1(Business as Usual)",2029
"69","Afikpo North",48.2537052,1,162,"Scenario 1(Business as Usual)",2020
"70","Afikpo North",48.2537052,2,1257,"Scenario 1(Business as Usual)",2023
"71","Afikpo North",48.2537052,3,2352,"Scenario 1(Business as Usual)",2026
"72","Afikpo North",48.2537052,4,3447,"Scenario 1(Business as Usual)",2029
"73","Afikpo South",49.7764649,1,162,"Scenario 1(Business as Usual)",2020
"74","Afikpo South",49.7764649,2,1257,"Scenario 1(Business as Usual)",2023
"75","Afikpo South",49.7764649,3,2352,"Scenario 1(Business as Usual)",2026
"76","Afikpo South",49.7764649,4,3447,"Scenario 1(Business as Usual)",2029
"77","Agaie",51.4957552,1,916,"Scenario 1(Business as Usual)",2022
"78","Agaie",51.4957552,2,2011,"Scenario 1(Business as Usual)",2025
"79","Agaie",51.4957552,3,3106,"Scenario 1(Business as Usual)",2028
"80","Agatu",49.2360644,1,223,"Scenario 1(Business as Usual)",2020
"81","Agatu",49.2360644,2,1318,"Scenario 1(Business as Usual)",2023
"82","Agatu",49.2360644,3,2413,"Scenario 1(Business as Usual)",2026
"83","Agatu",49.2360644,4,3508,"Scenario 1(Business as Usual)",2029
"84","Agege",49.666464,1,162,"Scenario 1(Business as Usual)",2020
"85","Agege",49.666464,2,1257,"Scenario 1(Business as Usual)",2023
"86","Agege",49.666464,3,2352,"Scenario 1(Business as Usual)",2026
"87","Agege",49.666464,4,3447,"Scenario 1(Business as Usual)",2029
"88","Aguata",50.3044714,1,162,"Scenario 1(Business as Usual)",2020
"89","Aguata",50.3044714,2,1257,"Scenario 1(Business as Usual)",2023
"90","Aguata",50.3044714,3,2352,"Scenario 1(Business as Usual)",2026
"91","Aguata",50.3044714,4,3447,"Scenario 1(Business as Usual)",2029
"92","Agwara",54.8162892,1,953,"Scenario 1(Business as Usual)",2022
"93","Agwara",54.8162892,2,2048,"Scenario 1(Business as Usual)",2025
"94","Agwara",54.8162892,3,3143,"Scenario 1(Business as Usual)",2028
"95","Ahiazu-Mbaise",50.0049325,1,162,"Scenario 1(Business as Usual)",2020
"96","Ahiazu-Mbaise",50.0049325,2,1257,"Scenario 1(Business as Usual)",2023
"97","Ahiazu-Mbaise",50.0049325,3,2352,"Scenario 1(Business as Usual)",2026
"98","Ahiazu-Mbaise",50.0049325,4,3447,"Scenario 1(Business as Usual)",2029
"99","Ahoada East",30.7284555,1,131,"Scenario 1(Business as Usual)",2020
"100","Ahoada East",30.7284555,2,1226,"Scenario 1(Business as Usual)",2023
"101","Ahoada East",30.7284555,3,2321,"Scenario 1(Business as Usual)",2026
"102","Ahoada East",30.7284555,4,3416,"Scenario 1(Business as Usual)",2029
"103","Ahoada West",30.780961,1,131,"Scenario 1(Business as Usual)",2020
"104","Ahoada West",30.780961,2,1226,"Scenario 1(Business as Usual)",2023
"105","Ahoada West",30.780961,3,2321,"Scenario 1(Business as Usual)",2026
"106","Ahoada West",30.780961,4,3416,"Scenario 1(Business as Usual)",2029
"107","Aiyedade",46.0915111,1,131,"Scenario 1(Business as Usual)",2020
"108","Aiyedade",46.0915111,2,1226,"Scenario 1(Business as Usual)",2023
"109","Aiyedade",46.0915111,3,2321,"Scenario 1(Business as Usual)",2026
"110","Aiyedade",46.0915111,4,3416,"Scenario 1(Business as Usual)",2029
"111","Aiyedire",49.2615926,1,131,"Scenario 1(Business as Usual)",2020
"112","Aiyedire",49.2615926,2,1226,"Scenario 1(Business as Usual)",2023
"113","Aiyedire",49.2615926,3,2321,"Scenario 1(Business as Usual)",2026
"114","Aiyedire",49.2615926,4,3416,"Scenario 1(Business as Usual)",2029
"115","Ajaokuta",39.4962504,1,70,"Scenario 1(Business as Usual)",2020
"116","Ajaokuta",39.4962504,2,1165,"Scenario 1(Business as Usual)",2023
"117","Ajaokuta",39.4962504,3,2260,"Scenario 1(Business as Usual)",2026
"118","Ajaokuta",39.4962504,4,3355,"Scenario 1(Business as Usual)",2029
"119","Ajeromi-Ifelodun",49.3901179,1,162,"Scenario 1(Business as Usual)",2020
"120","Ajeromi-Ifelodun",49.3901179,2,1257,"Scenario 1(Business as Usual)",2023
"121","Ajeromi-Ifelodun",49.3901179,3,2352,"Scenario 1(Business as Usual)",2026
"122","Ajeromi-Ifelodun",49.3901179,4,3447,"Scenario 1(Business as Usual)",2029
"123","Ajingi",69.9793659,1,916,"Scenario 1(Business as Usual)",2022
"124","Ajingi",69.9793659,2,2011,"Scenario 1(Business as Usual)",2025
"125","Ajingi",69.9793659,3,3106,"Scenario 1(Business as Usual)",2028
"126","Akamkpa",51.8082922,1,527,"Scenario 1(Business as Usual)",2021
"127","Akamkpa",51.8082922,2,1622,"Scenario 1(Business as Usual)",2024
"128","Akamkpa",51.8082922,3,2717,"Scenario 1(Business as Usual)",2027
"129","Akamkpa",51.8082922,4,3812,"Scenario 1(Business as Usual)",2030
"130","Akinyele",42.1435221,1,131,"Scenario 1(Business as Usual)",2020
"131","Akinyele",42.1435221,2,1226,"Scenario 1(Business as Usual)",2023
"132","Akinyele",42.1435221,3,2321,"Scenario 1(Business as Usual)",2026
"133","Akinyele",42.1435221,4,3416,"Scenario 1(Business as Usual)",2029
"134","Akko",48.4262319,1,551,"Scenario 1(Business as Usual)",2021
"135","Akko",48.4262319,2,1646,"Scenario 1(Business as Usual)",2024
"136","Akko",48.4262319,3,2741,"Scenario 1(Business as Usual)",2027
"137","Akko",48.4262319,4,3836,"Scenario 1(Business as Usual)",2030
"138","Akoko-Edo",38.1512482,1,70,"Scenario 1(Business as Usual)",2020
"139","Akoko-Edo",38.1512482,2,1165,"Scenario 1(Business as Usual)",2023
"140","Akoko-Edo",38.1512482,3,2260,"Scenario 1(Business as Usual)",2026
"141","Akoko-Edo",38.1512482,4,3355,"Scenario 1(Business as Usual)",2029
"142","Akoko North East",41.5864752,1,186,"Scenario 1(Business as Usual)",2020
"143","Akoko North East",41.5864752,2,1281,"Scenario 1(Business as Usual)",2023
"144","Akoko North East",41.5864752,3,2376,"Scenario 1(Business as Usual)",2026
"145","Akoko North East",41.5864752,4,3471,"Scenario 1(Business as Usual)",2029
"146","Akoko North West",39.1306023,1,186,"Scenario 1(Business as Usual)",2020
"147","Akoko North West",39.1306023,2,1281,"Scenario 1(Business as Usual)",2023
"148","Akoko North West",39.1306023,3,2376,"Scenario 1(Business as Usual)",2026
"149","Akoko North West",39.1306023,4,3471,"Scenario 1(Business as Usual)",2029
"150","Akoko South East",41.6261699,1,186,"Scenario 1(Business as Usual)",2020
"151","Akoko South East",41.6261699,2,1281,"Scenario 1(Business as Usual)",2023
"152","Akoko South East",41.6261699,3,2376,"Scenario 1(Business as Usual)",2026
"153","Akoko South East",41.6261699,4,3471,"Scenario 1(Business as Usual)",2029
"154","Akoko South West",40.2871779,1,186,"Scenario 1(Business as Usual)",2020
"155","Akoko South West",40.2871779,2,1281,"Scenario 1(Business as Usual)",2023
"156","Akoko South West",40.2871779,3,2376,"Scenario 1(Business as Usual)",2026
"157","Akoko South West",40.2871779,4,3471,"Scenario 1(Business as Usual)",2029
"158","Akpabuyo",47.3654536,1,527,"Scenario 1(Business as Usual)",2021
"159","Akpabuyo",47.3654536,2,1622,"Scenario 1(Business as Usual)",2024
"160","Akpabuyo",47.3654536,3,2717,"Scenario 1(Business as Usual)",2027
"161","Akpabuyo",47.3654536,4,3812,"Scenario 1(Business as Usual)",2030
"162","Akuku Toru",38.3835506,1,131,"Scenario 1(Business as Usual)",2020
"163","Akuku Toru",38.3835506,2,1226,"Scenario 1(Business as Usual)",2023
"164","Akuku Toru",38.3835506,3,2321,"Scenario 1(Business as Usual)",2026
"165","Akuku Toru",38.3835506,4,3416,"Scenario 1(Business as Usual)",2029
"166","Akure North",40.8011613,1,70,"Scenario 1(Business as Usual)",2020
"167","Akure North",40.8011613,2,1165,"Scenario 1(Business as Usual)",2023
"168","Akure North",40.8011613,3,2260,"Scenario 1(Business as Usual)",2026
"169","Akure North",40.8011613,4,3355,"Scenario 1(Business as Usual)",2029
"170","Akure South",37.7201065,1,70,"Scenario 1(Business as Usual)",2020
"171","Akure South",37.7201065,2,1165,"Scenario 1(Business as Usual)",2023
"172","Akure South",37.7201065,3,2260,"Scenario 1(Business as Usual)",2026
"173","Akure South",37.7201065,4,3355,"Scenario 1(Business as Usual)",2029
"174","Akwanga",54.5084849,1,551,"Scenario 1(Business as Usual)",2021
"175","Akwanga",54.5084849,2,1646,"Scenario 1(Business as Usual)",2024
"176","Akwanga",54.5084849,3,2741,"Scenario 1(Business as Usual)",2027
"177","Akwanga",54.5084849,4,3836,"Scenario 1(Business as Usual)",2030
"178","Albasu",70.899614,1,980,"Scenario 1(Business as Usual)",2022
"179","Albasu",70.899614,2,2075,"Scenario 1(Business as Usual)",2025
"180","Albasu",70.899614,3,3170,"Scenario 1(Business as Usual)",2028
"181","Aleiro",66.84684,1,588,"Scenario 1(Business as Usual)",2021
"182","Aleiro",66.84684,2,1683,"Scenario 1(Business as Usual)",2024
"183","Aleiro",66.84684,3,2778,"Scenario 1(Business as Usual)",2027
"184","Aleiro",66.84684,4,3873,"Scenario 1(Business as Usual)",2030
"185","Alimosho",48.5561977,1,162,"Scenario 1(Business as Usual)",2020
"186","Alimosho",48.5561977,2,1257,"Scenario 1(Business as Usual)",2023
"187","Alimosho",48.5561977,3,2352,"Scenario 1(Business as Usual)",2026
"188","Alimosho",48.5561977,4,3447,"Scenario 1(Business as Usual)",2029
"189","Alkaleri",58.8317246,1,551,"Scenario 1(Business as Usual)",2021
"190","Alkaleri",58.8317246,2,1646,"Scenario 1(Business as Usual)",2024
"191","Alkaleri",58.8317246,3,2741,"Scenario 1(Business as Usual)",2027
"192","Alkaleri",58.8317246,4,3836,"Scenario 1(Business as Usual)",2030
"193","Amuwo-Odofin",47.1534679,1,162,"Scenario 1(Business as Usual)",2020
"194","Amuwo-Odofin",47.1534679,2,1257,"Scenario 1(Business as Usual)",2023
"195","Amuwo-Odofin",47.1534679,3,2352,"Scenario 1(Business as Usual)",2026
"196","Amuwo-Odofin",47.1534679,4,3447,"Scenario 1(Business as Usual)",2029
"197","Anambra East",43.9848897,1,162,"Scenario 1(Business as Usual)",2020
"198","Anambra East",43.9848897,2,1257,"Scenario 1(Business as Usual)",2023
"199","Anambra East",43.9848897,3,2352,"Scenario 1(Business as Usual)",2026
"200","Anambra East",43.9848897,4,3447,"Scenario 1(Business as Usual)",2029
"201","Anambra West",45.3035277,1,162,"Scenario 1(Business as Usual)",2020
"202","Anambra West",45.3035277,2,1257,"Scenario 1(Business as Usual)",2023
"203","Anambra West",45.3035277,3,2352,"Scenario 1(Business as Usual)",2026
"204","Anambra West",45.3035277,4,3447,"Scenario 1(Business as Usual)",2029
"205","Anaocha",47.6153753,1,162,"Scenario 1(Business as Usual)",2020
"206","Anaocha",47.6153753,2,1257,"Scenario 1(Business as Usual)",2023
"207","Anaocha",47.6153753,3,2352,"Scenario 1(Business as Usual)",2026
"208","Anaocha",47.6153753,4,3447,"Scenario 1(Business as Usual)",2029
"209","Andoni",28.881499,1,162,"Scenario 1(Business as Usual)",2020
"210","Andoni",28.881499,2,1257,"Scenario 1(Business as Usual)",2023
"211","Andoni",28.881499,3,2352,"Scenario 1(Business as Usual)",2026
"212","Andoni",28.881499,4,3447,"Scenario 1(Business as Usual)",2029
"213","Aninri",48.4335586,1,162,"Scenario 1(Business as Usual)",2020
"214","Aninri",48.4335586,2,1257,"Scenario 1(Business as Usual)",2023
"215","Aninri",48.4335586,3,2352,"Scenario 1(Business as Usual)",2026
"216","Aninri",48.4335586,4,3447,"Scenario 1(Business as Usual)",2029
"217","Aniocha North",43.4693912,1,892,"Scenario 1(Business as Usual)",2022
"218","Aniocha North",43.4693912,2,1987,"Scenario 1(Business as Usual)",2025
"219","Aniocha North",43.4693912,3,3082,"Scenario 1(Business as Usual)",2028
"220","Aniocha South",38.7055583,1,892,"Scenario 1(Business as Usual)",2022
"221","Aniocha South",38.7055583,2,1987,"Scenario 1(Business as Usual)",2025
"222","Aniocha South",38.7055583,3,3082,"Scenario 1(Business as Usual)",2028
"223","Anka",66.3563431,1,186,"Scenario 1(Business as Usual)",2020
"224","Anka",66.3563431,2,1281,"Scenario 1(Business as Usual)",2023
"225","Anka",66.3563431,3,2376,"Scenario 1(Business as Usual)",2026
"226","Anka",66.3563431,4,3471,"Scenario 1(Business as Usual)",2029
"227","Ankpa",44.5447774,1,70,"Scenario 1(Business as Usual)",2020
"228","Ankpa",44.5447774,2,1165,"Scenario 1(Business as Usual)",2023
"229","Ankpa",44.5447774,3,2260,"Scenario 1(Business as Usual)",2026
"230","Ankpa",44.5447774,4,3355,"Scenario 1(Business as Usual)",2029
"231","Apa",49.0137805,1,223,"Scenario 1(Business as Usual)",2020
"232","Apa",49.0137805,2,1318,"Scenario 1(Business as Usual)",2023
"233","Apa",49.0137805,3,2413,"Scenario 1(Business as Usual)",2026
"234","Apa",49.0137805,4,3508,"Scenario 1(Business as Usual)",2029
"235","Apapa",51.1279973,1,162,"Scenario 1(Business as Usual)",2020
"236","Apapa",51.1279973,2,1257,"Scenario 1(Business as Usual)",2023
"237","Apapa",51.1279973,3,2352,"Scenario 1(Business as Usual)",2026
"238","Apapa",51.1279973,4,3447,"Scenario 1(Business as Usual)",2029
"239","Ardo-Kola",46.4913317,1,953,"Scenario 1(Business as Usual)",2022
"240","Ardo-Kola",46.4913317,2,2048,"Scenario 1(Business as Usual)",2025
"241","Ardo-Kola",46.4913317,3,3143,"Scenario 1(Business as Usual)",2028
"242","Arewa-Dandi",68.3834101,1,588,"Scenario 1(Business as Usual)",2021
"243","Arewa-Dandi",68.3834101,2,1683,"Scenario 1(Business as Usual)",2024
"244","Arewa-Dandi",68.3834101,3,2778,"Scenario 1(Business as Usual)",2027
"245","Arewa-Dandi",68.3834101,4,3873,"Scenario 1(Business as Usual)",2030
"246","Argungu",68.9763899,1,588,"Scenario 1(Business as Usual)",2021
"247","Argungu",68.9763899,2,1683,"Scenario 1(Business as Usual)",2024
"248","Argungu",68.9763899,3,2778,"Scenario 1(Business as Usual)",2027
"249","Argungu",68.9763899,4,3873,"Scenario 1(Business as Usual)",2030
"250","Arochukwu",48.5441926,1,162,"Scenario 1(Business as Usual)",2020
"251","Arochukwu",48.5441926,2,1257,"Scenario 1(Business as Usual)",2023
"252","Arochukwu",48.5441926,3,2352,"Scenario 1(Business as Usual)",2026
"253","Arochukwu",48.5441926,4,3447,"Scenario 1(Business as Usual)",2029
"254","Asa",37.2563685,1,186,"Scenario 1(Business as Usual)",2020
"255","Asa",37.2563685,2,1281,"Scenario 1(Business as Usual)",2023
"256","Asa",37.2563685,3,2376,"Scenario 1(Business as Usual)",2026
"257","Asa",37.2563685,4,3471,"Scenario 1(Business as Usual)",2029
"258","Asari-Toru",32.2109151,1,131,"Scenario 1(Business as Usual)",2020
"259","Asari-Toru",32.2109151,2,1226,"Scenario 1(Business as Usual)",2023
"260","Asari-Toru",32.2109151,3,2321,"Scenario 1(Business as Usual)",2026
"261","Asari-Toru",32.2109151,4,3416,"Scenario 1(Business as Usual)",2029
"262","Askira-Uba",64.7762427,1,186,"Scenario 1(Business as Usual)",2020
"263","Askira-Uba",64.7762427,2,1281,"Scenario 1(Business as Usual)",2023
"264","Askira-Uba",64.7762427,3,2376,"Scenario 1(Business as Usual)",2026
"265","Askira-Uba",64.7762427,4,3471,"Scenario 1(Business as Usual)",2029
"266","Atakumosa East",49.0877048,1,186,"Scenario 1(Business as Usual)",2020
"267","Atakumosa East",49.0877048,2,1281,"Scenario 1(Business as Usual)",2023
"268","Atakumosa East",49.0877048,3,2376,"Scenario 1(Business as Usual)",2026
"269","Atakumosa East",49.0877048,4,3471,"Scenario 1(Business as Usual)",2029
"270","Atakumosa West",49.3158675,1,131,"Scenario 1(Business as Usual)",2020
"271","Atakumosa West",49.3158675,2,1226,"Scenario 1(Business as Usual)",2023
"272","Atakumosa West",49.3158675,3,2321,"Scenario 1(Business as Usual)",2026
"273","Atakumosa West",49.3158675,4,3416,"Scenario 1(Business as Usual)",2029
"274","Atiba",44.6329501,1,131,"Scenario 1(Business as Usual)",2020
"275","Atiba",44.6329501,2,1226,"Scenario 1(Business as Usual)",2023
"276","Atiba",44.6329501,3,2321,"Scenario 1(Business as Usual)",2026
"277","Atiba",44.6329501,4,3416,"Scenario 1(Business as Usual)",2029
"278","Atigbo",48.4593946,1,186,"Scenario 1(Business as Usual)",2020
"279","Atigbo",48.4593946,2,1281,"Scenario 1(Business as Usual)",2023
"280","Atigbo",48.4593946,3,2376,"Scenario 1(Business as Usual)",2026
"281","Atigbo",48.4593946,4,3471,"Scenario 1(Business as Usual)",2029
"282","Augie",68.8770794,1,588,"Scenario 1(Business as Usual)",2021
"283","Augie",68.8770794,2,1683,"Scenario 1(Business as Usual)",2024
"284","Augie",68.8770794,3,2778,"Scenario 1(Business as Usual)",2027
"285","Augie",68.8770794,4,3873,"Scenario 1(Business as Usual)",2030
"286","Auyo",65.332251,1,551,"Scenario 1(Business as Usual)",2021
"287","Auyo",65.332251,2,1646,"Scenario 1(Business as Usual)",2024
"288","Auyo",65.332251,3,2741,"Scenario 1(Business as Usual)",2027
"289","Auyo",65.332251,4,3836,"Scenario 1(Business as Usual)",2030
"290","Awe",58.4430432,1,588,"Scenario 1(Business as Usual)",2021
"291","Awe",58.4430432,2,1683,"Scenario 1(Business as Usual)",2024
"292","Awe",58.4430432,3,2778,"Scenario 1(Business as Usual)",2027
"293","Awe",58.4430432,4,3873,"Scenario 1(Business as Usual)",2030
"294","Awgu",48.2762456,1,162,"Scenario 1(Business as Usual)",2020
"295","Awgu",48.2762456,2,1257,"Scenario 1(Business as Usual)",2023
"296","Awgu",48.2762456,3,2352,"Scenario 1(Business as Usual)",2026
"297","Awgu",48.2762456,4,3447,"Scenario 1(Business as Usual)",2029
"298","Awka North",45.0124783,1,162,"Scenario 1(Business as Usual)",2020
"299","Awka North",45.0124783,2,1257,"Scenario 1(Business as Usual)",2023
"300","Awka North",45.0124783,3,2352,"Scenario 1(Business as Usual)",2026
"301","Awka North",45.0124783,4,3447,"Scenario 1(Business as Usual)",2029
"302","Awka South",48.5419293,1,162,"Scenario 1(Business as Usual)",2020
"303","Awka South",48.5419293,2,1257,"Scenario 1(Business as Usual)",2023
"304","Awka South",48.5419293,3,2352,"Scenario 1(Business as Usual)",2026
"305","Awka South",48.5419293,4,3447,"Scenario 1(Business as Usual)",2029
"306","Ayamelum",48.9171465,1,162,"Scenario 1(Business as Usual)",2020
"307","Ayamelum",48.9171465,2,1257,"Scenario 1(Business as Usual)",2023
"308","Ayamelum",48.9171465,3,2352,"Scenario 1(Business as Usual)",2026
"309","Ayamelum",48.9171465,4,3447,"Scenario 1(Business as Usual)",2029
"310","Babura",69.1880002,1,496,"Scenario 1(Business as Usual)",2021
"311","Babura",69.1880002,2,1591,"Scenario 1(Business as Usual)",2024
"312","Babura",69.1880002,3,2686,"Scenario 1(Business as Usual)",2027
"313","Babura",69.1880002,4,3781,"Scenario 1(Business as Usual)",2030
"314","Badagry",48.109727,1,162,"Scenario 1(Business as Usual)",2020
"315","Badagry",48.109727,2,1257,"Scenario 1(Business as Usual)",2023
"316","Badagry",48.109727,3,2352,"Scenario 1(Business as Usual)",2026
"317","Badagry",48.109727,4,3447,"Scenario 1(Business as Usual)",2029
"318","Bade",67.3687029,1,916,"Scenario 1(Business as Usual)",2022
"319","Bade",67.3687029,2,2011,"Scenario 1(Business as Usual)",2025
"320","Bade",67.3687029,3,3106,"Scenario 1(Business as Usual)",2028
"321","Bagudo",57.0435833,1,588,"Scenario 1(Business as Usual)",2021
"322","Bagudo",57.0435833,2,1683,"Scenario 1(Business as Usual)",2024
"323","Bagudo",57.0435833,3,2778,"Scenario 1(Business as Usual)",2027
"324","Bagudo",57.0435833,4,3873,"Scenario 1(Business as Usual)",2030
"325","Bagwai",71.2788613,1,861,"Scenario 1(Business as Usual)",2022
"326","Bagwai",71.2788613,2,1956,"Scenario 1(Business as Usual)",2025
"327","Bagwai",71.2788613,3,3051,"Scenario 1(Business as Usual)",2028
"328","Bakassi",35.2578982,1,527,"Scenario 1(Business as Usual)",2021
"329","Bakassi",35.2578982,2,1622,"Scenario 1(Business as Usual)",2024
"330","Bakassi",35.2578982,3,2717,"Scenario 1(Business as Usual)",2027
"331","Bakassi",35.2578982,4,3812,"Scenario 1(Business as Usual)",2030
"332","Bakori",64.9992258,1,588,"Scenario 1(Business as Usual)",2021
"333","Bakori",64.9992258,2,1683,"Scenario 1(Business as Usual)",2024
"334","Bakori",64.9992258,3,2778,"Scenario 1(Business as Usual)",2027
"335","Bakori",64.9992258,4,3873,"Scenario 1(Business as Usual)",2030
"336","Bakura",68.1339741,1,186,"Scenario 1(Business as Usual)",2020
"337","Bakura",68.1339741,2,1281,"Scenario 1(Business as Usual)",2023
"338","Bakura",68.1339741,3,2376,"Scenario 1(Business as Usual)",2026
"339","Bakura",68.1339741,4,3471,"Scenario 1(Business as Usual)",2029
"340","Balanga",62.3897182,1,551,"Scenario 1(Business as Usual)",2021
"341","Balanga",62.3897182,2,1646,"Scenario 1(Business as Usual)",2024
"342","Balanga",62.3897182,3,2741,"Scenario 1(Business as Usual)",2027
"343","Balanga",62.3897182,4,3836,"Scenario 1(Business as Usual)",2030
"344","Bali",54.1470027,1,953,"Scenario 1(Business as Usual)",2022
"345","Bali",54.1470027,2,2048,"Scenario 1(Business as Usual)",2025
"346","Bali",54.1470027,3,3143,"Scenario 1(Business as Usual)",2028
"347","Bama",66.9778823,1,186,"Scenario 1(Business as Usual)",2020
"348","Bama",66.9778823,2,1281,"Scenario 1(Business as Usual)",2023
"349","Bama",66.9778823,3,2376,"Scenario 1(Business as Usual)",2026
"350","Bama",66.9778823,4,3471,"Scenario 1(Business as Usual)",2029
"351","Barikin Ladi",48.9453402,1,186,"Scenario 1(Business as Usual)",2020
"352","Barikin Ladi",48.9453402,2,1281,"Scenario 1(Business as Usual)",2023
"353","Barikin Ladi",48.9453402,3,2376,"Scenario 1(Business as Usual)",2026
"354","Barikin Ladi",48.9453402,4,3471,"Scenario 1(Business as Usual)",2029
"355","Baruten",41.7009995,1,186,"Scenario 1(Business as Usual)",2020
"356","Baruten",41.7009995,2,1281,"Scenario 1(Business as Usual)",2023
"357","Baruten",41.7009995,3,2376,"Scenario 1(Business as Usual)",2026
"358","Baruten",41.7009995,4,3471,"Scenario 1(Business as Usual)",2029
