"","LGA","kill_rate","round","simday","scenario","year"
"2701","Toro",62.3800515,1,588,"Scenario 1(Business as Usual)",2021
"2702","Toro",62.3800515,2,1683,"Scenario 1(Business as Usual)",2024
"2703","Toro",62.3800515,3,2778,"Scenario 1(Business as Usual)",2027
"2704","Toro",62.3800515,4,3873,"Scenario 1(Business as Usual)",2030
"2705","Toto",45.2417095,1,588,"Scenario 1(Business as Usual)",2021
"2706","Toto",45.2417095,2,1683,"Scenario 1(Business as Usual)",2024
"2707","Toto",45.2417095,3,2778,"Scenario 1(Business as Usual)",2027
"2708","Toto",45.2417095,4,3873,"Scenario 1(Business as Usual)",2030
"2709","Toungo",44.6472042,1,223,"Scenario 1(Business as Usual)",2020
"2710","Toungo",44.6472042,2,1318,"Scenario 1(Business as Usual)",2023
"2711","Toungo",44.6472042,3,2413,"Scenario 1(Business as Usual)",2026
"2712","Toungo",44.6472042,4,3508,"Scenario 1(Business as Usual)",2029
"2713","Tsafe",69.0350267,1,250,"Scenario 1(Business as Usual)",2020
"2714","Tsafe",69.0350267,2,1345,"Scenario 1(Business as Usual)",2023
"2715","Tsafe",69.0350267,3,2440,"Scenario 1(Business as Usual)",2026
"2716","Tsafe",69.0350267,4,3535,"Scenario 1(Business as Usual)",2029
"2717","Tsanyawa",67.3850382,1,953,"Scenario 1(Business as Usual)",2022
"2718","Tsanyawa",67.3850382,2,2048,"Scenario 1(Business as Usual)",2025
"2719","Tsanyawa",67.3850382,3,3143,"Scenario 1(Business as Usual)",2028
"2720","Tudun Wada",69.6527424,1,953,"Scenario 1(Business as Usual)",2022
"2721","Tudun Wada",69.6527424,2,2048,"Scenario 1(Business as Usual)",2025
"2722","Tudun Wada",69.6527424,3,3143,"Scenario 1(Business as Usual)",2028
"2723","Tureta",70.782607,1,223,"Scenario 1(Business as Usual)",2020
"2724","Tureta",70.782607,2,1318,"Scenario 1(Business as Usual)",2023
"2725","Tureta",70.782607,3,2413,"Scenario 1(Business as Usual)",2026
"2726","Tureta",70.782607,4,3508,"Scenario 1(Business as Usual)",2029
"2727","Udenu",44.4547985,1,162,"Scenario 1(Business as Usual)",2020
"2728","Udenu",44.4547985,2,1257,"Scenario 1(Business as Usual)",2023
"2729","Udenu",44.4547985,3,2352,"Scenario 1(Business as Usual)",2026
"2730","Udenu",44.4547985,4,3447,"Scenario 1(Business as Usual)",2029
"2731","Udi",44.3030522,1,162,"Scenario 1(Business as Usual)",2020
"2732","Udi",44.3030522,2,1257,"Scenario 1(Business as Usual)",2023
"2733","Udi",44.3030522,3,2352,"Scenario 1(Business as Usual)",2026
"2734","Udi",44.3030522,4,3447,"Scenario 1(Business as Usual)",2029
"2735","Udu",24.889334,1,892,"Scenario 1(Business as Usual)",2022
"2736","Udu",24.889334,2,1987,"Scenario 1(Business as Usual)",2025
"2737","Udu",24.889334,3,3082,"Scenario 1(Business as Usual)",2028
"2738","Udung Uko",32.2887578,1,527,"Scenario 1(Business as Usual)",2021
"2739","Udung Uko",32.2887578,2,1622,"Scenario 1(Business as Usual)",2024
"2740","Udung Uko",32.2887578,3,2717,"Scenario 1(Business as Usual)",2027
"2741","Udung Uko",32.2887578,4,3812,"Scenario 1(Business as Usual)",2030
"2742","Ughelli North",28.8820013,1,892,"Scenario 1(Business as Usual)",2022
"2743","Ughelli North",28.8820013,2,1987,"Scenario 1(Business as Usual)",2025
"2744","Ughelli North",28.8820013,3,3082,"Scenario 1(Business as Usual)",2028
"2745","Ughelli South",25.8365504,1,892,"Scenario 1(Business as Usual)",2022
"2746","Ughelli South",25.8365504,2,1987,"Scenario 1(Business as Usual)",2025
"2747","Ughelli South",25.8365504,3,3082,"Scenario 1(Business as Usual)",2028
"2748","Ugwunagbo",38.6810187,1,162,"Scenario 1(Business as Usual)",2020
"2749","Ugwunagbo",38.6810187,2,1257,"Scenario 1(Business as Usual)",2023
"2750","Ugwunagbo",38.6810187,3,2352,"Scenario 1(Business as Usual)",2026
"2751","Ugwunagbo",38.6810187,4,3447,"Scenario 1(Business as Usual)",2029
"2752","Uhunmwonde",45.0623986,1,70,"Scenario 1(Business as Usual)",2020
"2753","Uhunmwonde",45.0623986,2,1165,"Scenario 1(Business as Usual)",2023
"2754","Uhunmwonde",45.0623986,3,2260,"Scenario 1(Business as Usual)",2026
"2755","Uhunmwonde",45.0623986,4,3355,"Scenario 1(Business as Usual)",2029
"2756","Ukanafun",41.101835,1,527,"Scenario 1(Business as Usual)",2021
"2757","Ukanafun",41.101835,2,1622,"Scenario 1(Business as Usual)",2024
"2758","Ukanafun",41.101835,3,2717,"Scenario 1(Business as Usual)",2027
"2759","Ukanafun",41.101835,4,3812,"Scenario 1(Business as Usual)",2030
"2760","Ukum",44.6657171,1,223,"Scenario 1(Business as Usual)",2020
"2761","Ukum",44.6657171,2,1318,"Scenario 1(Business as Usual)",2023
"2762","Ukum",44.6657171,3,2413,"Scenario 1(Business as Usual)",2026
"2763","Ukum",44.6657171,4,3508,"Scenario 1(Business as Usual)",2029
"2764","Ukwa East",38.0519132,1,162,"Scenario 1(Business as Usual)",2020
"2765","Ukwa East",38.0519132,2,1257,"Scenario 1(Business as Usual)",2023
"2766","Ukwa East",38.0519132,3,2352,"Scenario 1(Business as Usual)",2026
"2767","Ukwa East",38.0519132,4,3447,"Scenario 1(Business as Usual)",2029
"2768","Ukwa West",37.3187786,1,162,"Scenario 1(Business as Usual)",2020
"2769","Ukwa West",37.3187786,2,1257,"Scenario 1(Business as Usual)",2023
"2770","Ukwa West",37.3187786,3,2352,"Scenario 1(Business as Usual)",2026
"2771","Ukwa West",37.3187786,4,3447,"Scenario 1(Business as Usual)",2029
"2772","Ukwuani",40.6905033,1,892,"Scenario 1(Business as Usual)",2022
"2773","Ukwuani",40.6905033,2,1987,"Scenario 1(Business as Usual)",2025
"2774","Ukwuani",40.6905033,3,3082,"Scenario 1(Business as Usual)",2028
"2775","Umu-Neochi",48.9251418,1,162,"Scenario 1(Business as Usual)",2020
"2776","Umu-Neochi",48.9251418,2,1257,"Scenario 1(Business as Usual)",2023
"2777","Umu-Neochi",48.9251418,3,2352,"Scenario 1(Business as Usual)",2026
"2778","Umu-Neochi",48.9251418,4,3447,"Scenario 1(Business as Usual)",2029
"2779","Umuahia North",50.1112024,1,162,"Scenario 1(Business as Usual)",2020
"2780","Umuahia North",50.1112024,2,1257,"Scenario 1(Business as Usual)",2023
"2781","Umuahia North",50.1112024,3,2352,"Scenario 1(Business as Usual)",2026
"2782","Umuahia North",50.1112024,4,3447,"Scenario 1(Business as Usual)",2029
"2783","Umuahia South",52.8927156,1,162,"Scenario 1(Business as Usual)",2020
"2784","Umuahia South",52.8927156,2,1257,"Scenario 1(Business as Usual)",2023
"2785","Umuahia South",52.8927156,3,2352,"Scenario 1(Business as Usual)",2026
"2786","Umuahia South",52.8927156,4,3447,"Scenario 1(Business as Usual)",2029
"2787","Ungogo",65.0525031,1,916,"Scenario 1(Business as Usual)",2022
"2788","Ungogo",65.0525031,2,2011,"Scenario 1(Business as Usual)",2025
"2789","Ungogo",65.0525031,3,3106,"Scenario 1(Business as Usual)",2028
"2790","Unuimo",51.8917277,1,162,"Scenario 1(Business as Usual)",2020
"2791","Unuimo",51.8917277,2,1257,"Scenario 1(Business as Usual)",2023
"2792","Unuimo",51.8917277,3,2352,"Scenario 1(Business as Usual)",2026
"2793","Unuimo",51.8917277,4,3447,"Scenario 1(Business as Usual)",2029
"2794","Uruan",46.0591042,1,527,"Scenario 1(Business as Usual)",2021
"2795","Uruan",46.0591042,2,1622,"Scenario 1(Business as Usual)",2024
"2796","Uruan",46.0591042,3,2717,"Scenario 1(Business as Usual)",2027
"2797","Uruan",46.0591042,4,3812,"Scenario 1(Business as Usual)",2030
"2798","Urue-Offong-Oruko",30.126919,1,527,"Scenario 1(Business as Usual)",2021
"2799","Urue-Offong-Oruko",30.126919,2,1622,"Scenario 1(Business as Usual)",2024
"2800","Urue-Offong-Oruko",30.126919,3,2717,"Scenario 1(Business as Usual)",2027
"2801","Urue-Offong-Oruko",30.126919,4,3812,"Scenario 1(Business as Usual)",2030
"2802","Ushongo",40.5123965,1,186,"Scenario 1(Business as Usual)",2020
"2803","Ushongo",40.5123965,2,1281,"Scenario 1(Business as Usual)",2023
"2804","Ushongo",40.5123965,3,2376,"Scenario 1(Business as Usual)",2026
"2805","Ushongo",40.5123965,4,3471,"Scenario 1(Business as Usual)",2029
"2806","Ussa",46.526634,1,892,"Scenario 1(Business as Usual)",2022
"2807","Ussa",46.526634,2,1987,"Scenario 1(Business as Usual)",2025
"2808","Ussa",46.526634,3,3082,"Scenario 1(Business as Usual)",2028
"2809","Uvwie",24.5801456,1,892,"Scenario 1(Business as Usual)",2022
"2810","Uvwie",24.5801456,2,1987,"Scenario 1(Business as Usual)",2025
"2811","Uvwie",24.5801456,3,3082,"Scenario 1(Business as Usual)",2028
"2812","Uyo",45.9725229,1,527,"Scenario 1(Business as Usual)",2021
