LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,scenario
Ankpa,Owan East,27.8942779,27.8942779,0,-1,2020,Scenario 1 (Business as Usual)
Apa,Keana,17.7187213,17.7187213,0,-1,2020,Scenario 1 (Business as Usual)
Apapa,Isoko South,12.159624,12.159624,0,-1,2020,Scenario 1 (Business as Usual)
Ardo-Kola,Keana,25,25,0,-1,2020,Scenario 1 (Business as Usual)
Arewa-Dandi,Birnin Kebbi,66.6666667,66.6666667,0,-1,2020,Scenario 1 (Business as Usual)
Argungu,Birnin Kebbi,59.1750026,59.1750026,0,-1,2020,Scenario 1 (Business as Usual)
Arochukwu,Ngor-Okpala,28.3373403,28.3373403,0,-1,2020,Scenario 1 (Business as Usual)
Asa,Oke-Ero,33.3333333,33.3333333,0,-1,2020,Scenario 1 (Business as Usual)
Asari-Toru,Ahoada West,44.2896713,44.2896713,0,-1,2020,Scenario 1 (Business as Usual)
Askira-Uba,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Atakumosa East,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Atakumosa West,Akinyele,15.4926235,15.4926235,0,-1,2020,Scenario 1 (Business as Usual)
Atiba,Akinyele,15.4926235,15.4926235,0,-1,2020,Scenario 1 (Business as Usual)
Atigbo,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Augie,Birnin Kebbi,53.8461538,53.8461538,0,-1,2020,Scenario 1 (Business as Usual)
Auyo,Taura,75,75,0,-1,2020,Scenario 1 (Business as Usual)
Awe,Keana,17.7187213,17.7187213,0,-1,2020,Scenario 1 (Business as Usual)
Awgu,Oru West,41.1077428,41.1077428,0,-1,2020,Scenario 1 (Business as Usual)
Awka North,Uzo-Uwani,66.6666667,66.6666667,0,-1,2020,Scenario 1 (Business as Usual)
Awka South,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Ayamelum,Uzo-Uwani,76.666668,76.666668,0,-1,2020,Scenario 1 (Business as Usual)
Babura,Babura,49.5944351,49.5944351,0,-1,2020,Scenario 1 (Business as Usual)
Badagry,Uzo-Uwani,42.0192485,42.0192485,0,-1,2020,Scenario 1 (Business as Usual)
Bade,Taura,4.7619048,4.7619048,0,-1,2020,Scenario 1 (Business as Usual)
Bagudo,Birnin Kebbi,34.5276873,34.5276873,0,-1,2020,Scenario 1 (Business as Usual)
Bagwai,Babura,20,20,0,-1,2020,Scenario 1 (Business as Usual)
Bakassi,Obubra,41.009749,41.009749,0,-1,2020,Scenario 1 (Business as Usual)
Bakori,Gwarzo,17.2172547,17.2172547,0,-1,2020,Scenario 1 (Business as Usual)
Bakura,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Balanga,Alkaleri,21.4165347,21.4165347,0,-1,2020,Scenario 1 (Business as Usual)
Bali,Keana,32.893977,32.893977,0,-1,2020,Scenario 1 (Business as Usual)
Bama,Darazo,11.4371076,11.4371076,0,-1,2020,Scenario 1 (Business as Usual)
Barikin Ladi,Soba,2.049469,2.049469,0,-1,2020,Scenario 1 (Business as Usual)
Baruten,Oke-Ero,24.6839589,24.6839589,0,-1,2020,Scenario 1 (Business as Usual)
Bassa1,Keana,20,20,0,-1,2020,Scenario 1 (Business as Usual)
