LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,scenario
Onna,Nsit Ubium,38.0734657,38.0734657,350,212,2021,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,38.4326494,38.4326494,562,154,2021,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,38.791833,38.791833,716,202,2022,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,39.1510167,39.1510167,918,159,2022,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,39.5102003,39.5102003,1077,219,2023,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,40.2285676,40.2285676,1296,136,2023,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,53.8775459,53.8775459,1432,218,2024,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,71.8367278,71.8367278,1650,151,2024,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Onna,Nsit Ubium,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,61.0439911,61.0439911,0,196,2020,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,64.0961907,64.0961907,196,154,2020,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,64.7066306,64.7066306,350,212,2021,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,65.3170705,65.3170705,562,154,2021,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,65.9275104,65.9275104,716,202,2022,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,66.5379503,66.5379503,918,159,2022,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,67.1483902,67.1483902,1077,219,2023,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,68.36927,68.36927,1296,136,2023,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,80,80,1432,218,2024,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Opobo-Nkoro,Nsit Ubium,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,31.7164272,31.7164272,0,196,2020,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,33.3022486,33.3022486,196,154,2020,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,33.6194128,33.6194128,350,212,2021,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,33.9365771,33.9365771,562,154,2021,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,34.2537414,34.2537414,716,202,2022,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,34.5709056,34.5709056,918,159,2022,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,34.8880699,34.8880699,1077,219,2023,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,35.5223985,35.5223985,1296,136,2023,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,47.5746408,47.5746408,1432,218,2024,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,63.4328544,63.4328544,1650,151,2024,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,79.291068,79.291068,1801,185,2025,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oredo,Uzo-Uwani,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,24.6839589,24.6839589,0,196,2020,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,53.1322215,53.1322215,196,154,2020,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,53.8998927,53.8998927,350,212,2021,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,562,154,2021,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,716,202,2022,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,918,159,2022,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,1077,219,2023,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,1296,136,2023,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,1432,218,2024,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Orelope,Oke-Ero,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,18.2157933,18.2157933,0,196,2020,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,39.2094951,39.2094951,196,154,2020,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,39.7760062,39.7760062,350,212,2021,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,59.8370594,59.8370594,562,154,2021,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,60.5930148,60.5930148,716,202,2022,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,61.3526134,61.3526134,918,159,2022,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,80,80,1077,219,2023,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,80,80,1296,136,2023,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,80,80,1432,218,2024,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Orhionmwon,Uzo-Uwani,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,24.6839589,24.6839589,0,196,2020,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,53.1322215,53.1322215,196,154,2020,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,53.8998927,53.8998927,350,212,2021,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,562,154,2021,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,716,202,2022,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,918,159,2022,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,1077,219,2023,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,1296,136,2023,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,1432,218,2024,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Ori Ire,Oke-Ero,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,33.9520622,33.9520622,0,196,2020,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,35.6496653,35.6496653,196,154,2020,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,35.9891859,35.9891859,350,212,2021,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,36.3287066,36.3287066,562,154,2021,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,36.6682272,36.6682272,716,202,2022,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,37.0077478,37.0077478,918,159,2022,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,37.3472684,37.3472684,1077,219,2023,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,38.0263097,38.0263097,1296,136,2023,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,50.9280933,50.9280933,1432,218,2024,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,67.9041244,67.9041244,1650,151,2024,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oriade,Oke-Ero,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Orlu,Oru West,25,25,0,196,2020,Scenario 2 (High effective coverage)
Orlu,Oru West,53.8125,53.8125,196,154,2020,Scenario 2 (High effective coverage)
Orlu,Oru West,54.59,54.59,350,212,2021,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,562,154,2021,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,716,202,2022,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,918,159,2022,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,1077,219,2023,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,1296,136,2023,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,1432,218,2024,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Orlu,Oru West,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,30.3030378,30.3030378,0,196,2020,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,31.8181897,31.8181897,196,154,2020,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,32.1212201,32.1212201,350,212,2021,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,32.4242504,32.4242504,562,154,2021,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,32.7272808,32.7272808,716,202,2022,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,33.0303112,33.0303112,918,159,2022,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,33.3333416,33.3333416,1077,219,2023,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,33.9394023,33.9394023,1296,136,2023,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,45.4545567,45.4545567,1432,218,2024,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,60.6060756,60.6060756,1650,151,2024,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,75.7575945,75.7575945,1801,185,2025,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Orolu,Oke-Ero,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,29.7727761,29.7727761,0,196,2020,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,31.2614149,31.2614149,196,154,2020,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,31.5591427,31.5591427,350,212,2021,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,31.8568704,31.8568704,562,154,2021,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,32.1545982,32.1545982,716,202,2022,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,32.4523259,32.4523259,918,159,2022,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,32.7500537,32.7500537,1077,219,2023,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,33.3455092,33.3455092,1296,136,2023,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,44.6591642,44.6591642,1432,218,2024,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,59.5455522,59.5455522,1650,151,2024,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,74.4319403,74.4319403,1801,185,2025,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oron,Nsit Ubium,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Orsu,Oru West,25.7661386,25.7661386,0,196,2020,Scenario 2 (High effective coverage)
Orsu,Oru West,55.4616133,55.4616133,196,154,2020,Scenario 2 (High effective coverage)
Orsu,Oru West,56.2629402,56.2629402,350,212,2021,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,562,154,2021,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,716,202,2022,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,918,159,2022,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,1077,219,2023,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,1296,136,2023,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,1432,218,2024,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Orsu,Oru West,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oru East,Oru West,41.1077428,41.1077428,0,196,2020,Scenario 2 (High effective coverage)
Oru East,Oru West,43.1631299,43.1631299,196,154,2020,Scenario 2 (High effective coverage)
Oru East,Oru West,43.5742074,43.5742074,350,212,2021,Scenario 2 (High effective coverage)
Oru East,Oru West,43.9852848,43.9852848,562,154,2021,Scenario 2 (High effective coverage)
Oru East,Oru West,44.3963622,44.3963622,716,202,2022,Scenario 2 (High effective coverage)
Oru East,Oru West,44.8074397,44.8074397,918,159,2022,Scenario 2 (High effective coverage)
Oru East,Oru West,45.2185171,45.2185171,1077,219,2023,Scenario 2 (High effective coverage)
Oru East,Oru West,46.0406719,46.0406719,1296,136,2023,Scenario 2 (High effective coverage)
Oru East,Oru West,61.6616142,61.6616142,1432,218,2024,Scenario 2 (High effective coverage)
Oru East,Oru West,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Oru East,Oru West,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Oru East,Oru West,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oru East,Oru West,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oru West,Oru West,43.3164524,43.3164524,0,196,2020,Scenario 2 (High effective coverage)
Oru West,Oru West,45.482275,45.482275,196,154,2020,Scenario 2 (High effective coverage)
Oru West,Oru West,45.9154395,45.9154395,350,212,2021,Scenario 2 (High effective coverage)
Oru West,Oru West,46.3486041,46.3486041,562,154,2021,Scenario 2 (High effective coverage)
Oru West,Oru West,46.7817686,46.7817686,716,202,2022,Scenario 2 (High effective coverage)
Oru West,Oru West,47.2149331,47.2149331,918,159,2022,Scenario 2 (High effective coverage)
Oru West,Oru West,47.6480976,47.6480976,1077,219,2023,Scenario 2 (High effective coverage)
Oru West,Oru West,48.5144267,48.5144267,1296,136,2023,Scenario 2 (High effective coverage)
Oru West,Oru West,64.9746786,64.9746786,1432,218,2024,Scenario 2 (High effective coverage)
Oru West,Oru West,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Oru West,Oru West,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Oru West,Oru West,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oru West,Oru West,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,29.2929329,29.2929329,0,196,2020,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,30.7575795,30.7575795,196,154,2020,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,31.0505089,31.0505089,350,212,2021,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,31.3434382,31.3434382,562,154,2021,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,31.6363675,31.6363675,716,202,2022,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,31.9292969,31.9292969,918,159,2022,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,32.2222262,32.2222262,1077,219,2023,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,32.8080848,32.8080848,1296,136,2023,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,43.9393994,43.9393994,1432,218,2024,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,58.5858658,58.5858658,1650,151,2024,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,73.2323323,73.2323323,1801,185,2025,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oruk Anam,Nsit Ubium,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Orumba North,Oru West,48.07692,48.07692,0,196,2020,Scenario 2 (High effective coverage)
Orumba North,Oru West,50.480766,50.480766,196,154,2020,Scenario 2 (High effective coverage)
Orumba North,Oru West,50.9615352,50.9615352,350,212,2021,Scenario 2 (High effective coverage)
Orumba North,Oru West,51.4423044,51.4423044,562,154,2021,Scenario 2 (High effective coverage)
Orumba North,Oru West,51.9230736,51.9230736,716,202,2022,Scenario 2 (High effective coverage)
Orumba North,Oru West,52.4038428,52.4038428,918,159,2022,Scenario 2 (High effective coverage)
Orumba North,Oru West,52.884612,52.884612,1077,219,2023,Scenario 2 (High effective coverage)
Orumba North,Oru West,53.8461504,53.8461504,1296,136,2023,Scenario 2 (High effective coverage)
Orumba North,Oru West,72.11538,72.11538,1432,218,2024,Scenario 2 (High effective coverage)
Orumba North,Oru West,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Orumba North,Oru West,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Orumba North,Oru West,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Orumba North,Oru West,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Orumba South,Oru West,41.1077428,41.1077428,0,196,2020,Scenario 2 (High effective coverage)
Orumba South,Oru West,43.1631299,43.1631299,196,154,2020,Scenario 2 (High effective coverage)
Orumba South,Oru West,43.5742074,43.5742074,350,212,2021,Scenario 2 (High effective coverage)
Orumba South,Oru West,43.9852848,43.9852848,562,154,2021,Scenario 2 (High effective coverage)
Orumba South,Oru West,44.3963622,44.3963622,716,202,2022,Scenario 2 (High effective coverage)
Orumba South,Oru West,44.8074397,44.8074397,918,159,2022,Scenario 2 (High effective coverage)
Orumba South,Oru West,45.2185171,45.2185171,1077,219,2023,Scenario 2 (High effective coverage)
Orumba South,Oru West,46.0406719,46.0406719,1296,136,2023,Scenario 2 (High effective coverage)
Orumba South,Oru West,61.6616142,61.6616142,1432,218,2024,Scenario 2 (High effective coverage)
Orumba South,Oru West,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Orumba South,Oru West,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Orumba South,Oru West,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Orumba South,Oru West,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Ose,Owan East,27.8942779,27.8942779,0,196,2020,Scenario 2 (High effective coverage)
Ose,Owan East,29.2889918,29.2889918,196,154,2020,Scenario 2 (High effective coverage)
Ose,Owan East,29.5679346,29.5679346,350,212,2021,Scenario 2 (High effective coverage)
Ose,Owan East,29.8468774,29.8468774,562,154,2021,Scenario 2 (High effective coverage)
Ose,Owan East,30.1258201,30.1258201,716,202,2022,Scenario 2 (High effective coverage)
Ose,Owan East,30.4047629,30.4047629,918,159,2022,Scenario 2 (High effective coverage)
Ose,Owan East,30.6837057,30.6837057,1077,219,2023,Scenario 2 (High effective coverage)
Ose,Owan East,31.2415912,31.2415912,1296,136,2023,Scenario 2 (High effective coverage)
Ose,Owan East,41.8414169,41.8414169,1432,218,2024,Scenario 2 (High effective coverage)
Ose,Owan East,55.7885558,55.7885558,1650,151,2024,Scenario 2 (High effective coverage)
Ose,Owan East,69.7356948,69.7356948,1801,185,2025,Scenario 2 (High effective coverage)
Ose,Owan East,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Ose,Owan East,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,42.0192485,42.0192485,0,196,2020,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,44.1202109,44.1202109,196,154,2020,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,44.5404034,44.5404034,350,212,2021,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,44.9605959,44.9605959,562,154,2021,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,45.3807884,45.3807884,716,202,2022,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,45.8009809,45.8009809,918,159,2022,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,46.2211734,46.2211734,1077,219,2023,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,47.0615583,47.0615583,1296,136,2023,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,63.0288728,63.0288728,1432,218,2024,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oshimili North,Uzo-Uwani,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,42.0192485,42.0192485,0,196,2020,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,44.1202109,44.1202109,196,154,2020,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,44.5404034,44.5404034,350,212,2021,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,44.9605959,44.9605959,562,154,2021,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,45.3807884,45.3807884,716,202,2022,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,45.8009809,45.8009809,918,159,2022,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,46.2211734,46.2211734,1077,219,2023,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,47.0615583,47.0615583,1296,136,2023,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,63.0288728,63.0288728,1432,218,2024,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oshimili South,Uzo-Uwani,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,25,25,0,196,2020,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,53.8125,53.8125,196,154,2020,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,54.59,54.59,350,212,2021,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,562,154,2021,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,716,202,2022,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,918,159,2022,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,1077,219,2023,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,1296,136,2023,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,1432,218,2024,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oshodi-Isolo,Uzo-Uwani,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,28.3373403,28.3373403,0,196,2020,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,29.7542073,29.7542073,196,154,2020,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,30.0375807,30.0375807,350,212,2021,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,30.3209541,30.3209541,562,154,2021,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,30.6043275,30.6043275,716,202,2022,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,30.8877009,30.8877009,918,159,2022,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,31.1710743,31.1710743,1077,219,2023,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,31.7378211,31.7378211,1296,136,2023,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,42.5060105,42.5060105,1432,218,2024,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,56.6746806,56.6746806,1650,151,2024,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,70.8433508,70.8433508,1801,185,2025,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Osisioma Ngwa,Ngor-Okpala,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Osogbo,Owan East,50,50,0,196,2020,Scenario 2 (High effective coverage)
Osogbo,Owan East,52.5,52.5,196,154,2020,Scenario 2 (High effective coverage)
Osogbo,Owan East,53,53,350,212,2021,Scenario 2 (High effective coverage)
Osogbo,Owan East,53.5,53.5,562,154,2021,Scenario 2 (High effective coverage)
Osogbo,Owan East,54,54,716,202,2022,Scenario 2 (High effective coverage)
Osogbo,Owan East,54.5,54.5,918,159,2022,Scenario 2 (High effective coverage)
Osogbo,Owan East,55,55,1077,219,2023,Scenario 2 (High effective coverage)
Osogbo,Owan East,56,56,1296,136,2023,Scenario 2 (High effective coverage)
Osogbo,Owan East,75,75,1432,218,2024,Scenario 2 (High effective coverage)
Osogbo,Owan East,80,80,1650,151,2024,Scenario 2 (High effective coverage)
Osogbo,Owan East,80,80,1801,185,2025,Scenario 2 (High effective coverage)
Osogbo,Owan East,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Osogbo,Owan East,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Oturkpo,Owan East,27.8942779,27.8942779,0,196,2020,Scenario 2 (High effective coverage)
Oturkpo,Owan East,29.2889918,29.2889918,196,154,2020,Scenario 2 (High effective coverage)
Oturkpo,Owan East,29.5679346,29.5679346,350,212,2021,Scenario 2 (High effective coverage)
Oturkpo,Owan East,29.8468774,29.8468774,562,154,2021,Scenario 2 (High effective coverage)
Oturkpo,Owan East,30.1258201,30.1258201,716,202,2022,Scenario 2 (High effective coverage)
Oturkpo,Owan East,30.4047629,30.4047629,918,159,2022,Scenario 2 (High effective coverage)
Oturkpo,Owan East,30.6837057,30.6837057,1077,219,2023,Scenario 2 (High effective coverage)
Oturkpo,Owan East,31.2415912,31.2415912,1296,136,2023,Scenario 2 (High effective coverage)
Oturkpo,Owan East,41.8414169,41.8414169,1432,218,2024,Scenario 2 (High effective coverage)
Oturkpo,Owan East,55.7885558,55.7885558,1650,151,2024,Scenario 2 (High effective coverage)
Oturkpo,Owan East,69.7356948,69.7356948,1801,185,2025,Scenario 2 (High effective coverage)
Oturkpo,Owan East,80,80,1986,183,2025,Scenario 2 (High effective coverage)
Oturkpo,Owan East,80,80,2169,-1,2025,Scenario 2 (High effective coverage)
Ovia North East,Owan East,27.8942779,27.8942779,0,196,2020,Scenario 2 (High effective coverage)
Ovia North East,Owan East,29.2889918,29.2889918,196,154,2020,Scenario 2 (High effective coverage)
Ovia North East,Owan East,29.5679346,29.5679346,350,212,2021,Scenario 2 (High effective coverage)
Ovia North East,Owan East,29.8468774,29.8468774,562,154,2021,Scenario 2 (High effective coverage)
