"","LGA","kill_rate","round","simday","scenario","year"
"1","Aba North",39.3201897,1,162,"Scenario 4(Improved coverage)",2020
"2","Aba North",39.3201897,2,1257,"Scenario 4(Improved coverage)",2023
"3","Aba North",39.3201897,3,2352,"Scenario 4(Improved coverage)",2026
"4","Aba North",39.3201897,4,3447,"Scenario 4(Improved coverage)",2029
"5","Aba South",38.693958,1,162,"Scenario 4(Improved coverage)",2020
"6","Aba South",38.693958,2,1257,"Scenario 4(Improved coverage)",2023
"7","Aba South",38.693958,3,2352,"Scenario 4(Improved coverage)",2026
"8","Aba South",38.693958,4,3447,"Scenario 4(Improved coverage)",2029
"9","Abadam",75.0452874,1,131,"Scenario 4(Improved coverage)",2020
"10","Abadam",75.0452874,2,1226,"Scenario 4(Improved coverage)",2023
"11","Abadam",75.0452874,3,2321,"Scenario 4(Improved coverage)",2026
"12","Abadam",75.0452874,4,3416,"Scenario 4(Improved coverage)",2029
"13","Abaji",74.548121,1,223,"Scenario 4(Improved coverage)",2020
"14","Abaji",74.548121,2,1318,"Scenario 4(Improved coverage)",2023
"15","Abaji",74.548121,3,2413,"Scenario 4(Improved coverage)",2026
"16","Abaji",74.548121,4,3508,"Scenario 4(Improved coverage)",2029
"17","Abak",73.5378725,1,527,"Scenario 4(Improved coverage)",2021
"18","Abak",73.5378725,2,1622,"Scenario 4(Improved coverage)",2024
"19","Abak",73.5378725,3,2717,"Scenario 4(Improved coverage)",2027
"20","Abak",73.5378725,4,3812,"Scenario 4(Improved coverage)",2030
"21","Abakaliki",74.168288,1,70,"Scenario 4(Improved coverage)",2020
"22","Abakaliki",74.168288,2,1165,"Scenario 4(Improved coverage)",2023
"23","Abakaliki",74.168288,3,2260,"Scenario 4(Improved coverage)",2026
"24","Abakaliki",74.168288,4,3355,"Scenario 4(Improved coverage)",2029
"25","Abeokuta North",74.2619287,1,435,"Scenario 4(Improved coverage)",2021
"26","Abeokuta North",74.2619287,2,1530,"Scenario 4(Improved coverage)",2024
"27","Abeokuta North",74.2619287,3,2625,"Scenario 4(Improved coverage)",2027
"28","Abeokuta North",74.2619287,4,3720,"Scenario 4(Improved coverage)",2030
"29","Abeokuta South",74.359875,1,527,"Scenario 4(Improved coverage)",2021
"30","Abeokuta South",74.359875,2,1622,"Scenario 4(Improved coverage)",2024
"31","Abeokuta South",74.359875,3,2717,"Scenario 4(Improved coverage)",2027
"32","Abeokuta South",74.359875,4,3812,"Scenario 4(Improved coverage)",2030
"33","Abi",74.0222524,1,527,"Scenario 4(Improved coverage)",2021
"34","Abi",74.0222524,2,1622,"Scenario 4(Improved coverage)",2024
"35","Abi",74.0222524,3,2717,"Scenario 4(Improved coverage)",2027
"36","Abi",74.0222524,4,3812,"Scenario 4(Improved coverage)",2030
"37","Aboh-Mbaise",73.6534052,1,162,"Scenario 4(Improved coverage)",2020
"38","Aboh-Mbaise",73.6534052,2,1257,"Scenario 4(Improved coverage)",2023
"39","Aboh-Mbaise",73.6534052,3,2352,"Scenario 4(Improved coverage)",2026
"40","Aboh-Mbaise",73.6534052,4,3447,"Scenario 4(Improved coverage)",2029
"41","Abua-Odual",70.9612874,1,131,"Scenario 4(Improved coverage)",2020
"42","Abua-Odual",70.9612874,2,1226,"Scenario 4(Improved coverage)",2023
"43","Abua-Odual",70.9612874,3,2321,"Scenario 4(Improved coverage)",2026
"44","Abua-Odual",70.9612874,4,3416,"Scenario 4(Improved coverage)",2029
"45","Abuja Municipal",53.8963989,1,223,"Scenario 4(Improved coverage)",2020
"46","Abuja Municipal",53.8963989,2,1318,"Scenario 4(Improved coverage)",2023
"47","Abuja Municipal",53.8963989,3,2413,"Scenario 4(Improved coverage)",2026
"48","Abuja Municipal",53.8963989,4,3508,"Scenario 4(Improved coverage)",2029
"49","Adavi",72.6323559,1,70,"Scenario 4(Improved coverage)",2020
"50","Adavi",72.6323559,2,1165,"Scenario 4(Improved coverage)",2023
"51","Adavi",72.6323559,3,2260,"Scenario 4(Improved coverage)",2026
"52","Adavi",72.6323559,4,3355,"Scenario 4(Improved coverage)",2029
"53","Ado",73.5289623,1,131,"Scenario 4(Improved coverage)",2020
"54","Ado",73.5289623,2,1226,"Scenario 4(Improved coverage)",2023
"55","Ado",73.5289623,3,2321,"Scenario 4(Improved coverage)",2026
"56","Ado",73.5289623,4,3416,"Scenario 4(Improved coverage)",2029
"57","Ado-Odo-Ota",74.0672987,1,527,"Scenario 4(Improved coverage)",2021
"58","Ado-Odo-Ota",74.0672987,2,1622,"Scenario 4(Improved coverage)",2024
"59","Ado-Odo-Ota",74.0672987,3,2717,"Scenario 4(Improved coverage)",2027
"60","Ado-Odo-Ota",74.0672987,4,3812,"Scenario 4(Improved coverage)",2030
"61","Ado Ekiti",73.5235955,1,70,"Scenario 4(Improved coverage)",2020
"62","Ado Ekiti",73.5235955,2,1165,"Scenario 4(Improved coverage)",2023
"63","Ado Ekiti",73.5235955,3,2260,"Scenario 4(Improved coverage)",2026
"64","Ado Ekiti",73.5235955,4,3355,"Scenario 4(Improved coverage)",2029
"65","Afijio",74.4845222,1,131,"Scenario 4(Improved coverage)",2020
"66","Afijio",74.4845222,2,1226,"Scenario 4(Improved coverage)",2023
"67","Afijio",74.4845222,3,2321,"Scenario 4(Improved coverage)",2026
"68","Afijio",74.4845222,4,3416,"Scenario 4(Improved coverage)",2029
"69","Afikpo North",74.2555644,1,162,"Scenario 4(Improved coverage)",2020
"70","Afikpo North",74.2555644,2,1257,"Scenario 4(Improved coverage)",2023
"71","Afikpo North",74.2555644,3,2352,"Scenario 4(Improved coverage)",2026
"72","Afikpo North",74.2555644,4,3447,"Scenario 4(Improved coverage)",2029
"73","Afikpo South",74.3859597,1,162,"Scenario 4(Improved coverage)",2020
