"",".id","year","PfPR_all_ages","PfPR_U5","incidence_all_ages","incidence_U5","death_rate_1_all_ages","death_rate_2_all_ages","death_rate_1_U5","death_rate_2_U5","State","scenario","death_rate_mean_all_ages","death_rate_mean_U5"
"15","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Adamawa.csv",2023,0.23424842659856,0.266855453948193,1164.61495717608,2197.33919489158,1.22870776866603,0.567587524044664,5.5293237672756,2.62307194952108,"Adamawa","NGA projection scenario 1",0.898147646355346,4.07619785839834
"16","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Adamawa.csv",2024,0.232999944705172,0.259922263402895,1215.61157484701,2274.43862786464,1.25700994691341,0.585514945492048,5.65722938097095,2.67876570882685,"Adamawa","NGA projection scenario 1",0.921262446202727,4.1679975448989
"17","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Adamawa.csv",2025,0.253043259935632,0.291547801461437,1315.30885308563,2490.18771372812,1.50733853454621,0.703207984419942,6.70172940642982,3.20329616165533,"Adamawa","NGA projection scenario 1",1.10527325948308,4.95251278404258
"18","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Adamawa.csv",2026,0.240877683710957,0.270876924885676,1214.65000684342,2239.3203900923,1.29176808998722,0.602849363522894,5.89961260758598,2.77711797930994,"Adamawa","NGA projection scenario 1",0.947308726755056,4.33836529344796
"19","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Adamawa.csv",2027,0.236801391834991,0.260759360779859,1251.07127128215,2301.08966736446,1.30588383407916,0.604771272376343,5.78030620982844,2.75707016542897,"Adamawa","NGA projection scenario 1",0.955327553227753,4.2686881876287
"20","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Adamawa.csv",2028,0.258496824846262,0.294615138126506,1361.3460832103,2539.41042056524,1.58057971974379,0.72617497607049,7.50877585107018,3.48934369707815,"Adamawa","NGA projection scenario 1",1.15337734790714,5.49905977407416
"21","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Adamawa.csv",2029,0.245548269480724,0.275668105948994,1251.83550457547,2283.34210749994,1.32121508820765,0.61834376321182,5.98723924716079,2.88358944244707,"Adamawa","NGA projection scenario 1",0.969779425709737,4.43541434480393
"22","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Adamawa.csv",2030,0.244940402037624,0.270330594187881,1303.66006893595,2369.2091484668,1.39309196949891,0.627447846332401,6.50503504930345,2.94504120914235,"Adamawa","NGA projection scenario 1",1.01026990791565,4.7250381292229
"23","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2020,0.216771939882598,0.196306633223903,1244.350569987,1909.06333043934,1.00805212648652,0.476315527563245,3.61867479822226,1.83936014470623,"Akwa_Ibom","NGA projection scenario 1",0.742183827024884,2.72901747146424
"24","C:/Users/ido0493/Box/NU-malaria-team/projects/hbhi_nigeria/simulation_output/2020_to_2030_v5/NGA projection scenario 1/annual_indicators_Akwa_Ibom.csv",2021,0.212419230130015,0.191437709029324,1214.22515157732,1843.69871970121,0.943709526630693,0.461835353517885,3.64468971785855,1.85722421994456,"Akwa_Ibom","NGA projection scenario 1",0.702772440074289,2.75095696890156
