04/02 09:54:06 [DEBUG] [18708] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
04/02 09:56:19 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:56:24 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:56:29 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:56:35 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:56:40 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:56:46 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:56:51 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:56:57 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:02 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
04/02 09:57:08 [DEBUG] [18708] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=81e3e51a-c393-eb11-a2ce-c4346bcb1550', 'count': 100000}
