hf time,inp time 0.5,inp time 1.0,inp time 2.0,inp time 4.0,inp time 7.0,inp time 10.0,inp time 15.0,inp time 20.0,inp time 50.0
0.5,0.02048325538635254,0.038169682025909424,0.050981536507606506,0.30630938708782196,0.039058297872543335,0,0,0,0
1.0,0.0,0.014505133032798767,0.0778253823518753,0.24866145849227905,0.06339767575263977,0,0,0,0
2.0,0.0,0.0,0.020603150129318237,0.023677140474319458,0.09632790088653564,0,0,0,0
4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
7.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
50.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
