"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override"
"81","Badagry","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"82","Bade","Taura",NA,0.247619048,0.247619048,0.69,0,-1,2018,-1
"83","Bagudo","Birnin Kebbi",NA,0.545276873,0.545276873,0.69,0,-1,2018,-1
"84","Bagwai","Babura",NA,0.4,0.4,0.69,0,-1,2018,-1
"85","Bakassi","Obubra",NA,0.61009749,0.61009749,0.69,0,-1,2018,-1
"86","Bakori","Gwarzo",NA,0.372172547,0.372172547,0.69,0,-1,2018,-1
"87","Bakura","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"88","Balanga","Alkaleri",NA,0.414165347,0.414165347,0.69,0,-1,2018,-1
"89","Bali","Keana",NA,0.52893977,0.52893977,0.69,0,-1,2018,-1
"90","Bama","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"91","Barikin Ladi","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"92","Baruten","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"93","Bassa1","Keana",NA,0.4,0.4,0.69,0,-1,2018,-1
"94","Bassa2","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"95","Batagarawa","Rimi",NA,0.573076926,0.573076926,0.69,0,-1,2018,-1
"96","Batsari","Rimi",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"97","Bauchi","Alkaleri",NA,0.227077492,0.227077492,0.69,0,-1,2018,-1
"98","Baure","Babura",NA,0.557142857,0.557142857,0.69,0,-1,2018,-1
"99","Bayo","Alkaleri",NA,0.7,0.7,0.69,0,-1,2018,-1
"100","Bebeji","Gwarzo",NA,0.372172547,0.372172547,0.69,0,-1,2018,-1
"101","Bekwara","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"102","Bende","Ngor-Okpala",NA,0.375925804,0.375925804,0.69,0,-1,2018,-1
"103","Biase","Ngor-Okpala",NA,0.788028311,0.788028311,0.69,0,-1,2018,-1
"104","Bichi","Gwarzo",NA,0.372172547,0.372172547,0.69,0,-1,2018,-1
"105","Bida","Oke-Ero",NA,0.7,0.7,0.69,0,-1,2018,-1
"106","Billiri","Alkaleri",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"107","Bindawa","Rimi",NA,0.3,0.3,0.69,0,-1,2018,-1
"108","Binji","Gawabawa",NA,0.45,0.45,0.69,0,-1,2018,-1
"109","Biriniwa","Taura",NA,0.366666667,0.366666667,0.69,0,-1,2018,-1
"110","Birni Kudu","Takali",NA,0.423983083,0.423983083,0.69,0,-1,2018,-1
"111","Birnin Kebbi","Birnin Kebbi",NA,0.772939706,0.772939706,0.69,0,-1,2018,-1
"112","Birnin Magaji","Rimi",NA,0.409995572,0.409995572,0.69,0,-1,2018,-1
"113","Birnin-Gwari","Giwa",NA,0.330508332,0.330508332,0.69,0,-1,2018,-1
"114","Biu","Darazo",NA,0.7,0.7,0.69,0,-1,2018,-1
"115","Bodinga","Gawabawa",NA,0.306631444,0.306631444,0.69,0,-1,2018,-1
"116","Bogoro","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"117","Boki","Obubra",NA,0.45,0.45,0.69,0,-1,2018,-1
"118","Bokkos","Giwa",NA,0.330508332,0.330508332,0.69,0,-1,2018,-1
"119","Boluwaduro","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"120","Bomadi","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"121","Bonny","Nsit Ubium",NA,0.796547236,0.796547236,0.69,0,-1,2018,-1
"122","Borgu","Oke-Ero",NA,0.485714286,0.485714286,0.69,0,-1,2018,-1
"123","Boripe","Akinyele",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"124","Bosso","Keana",NA,0.416058677,0.416058677,0.69,0,-1,2018,-1
"125","Brass","Ahoada West",NA,0.714466613,0.714466613,0.69,0,-1,2018,-1
"126","Buji","Takali",NA,0.378754999,0.378754999,0.69,0,-1,2018,-1
"127","Bukkuyum","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"128","Bungudu","Takali",NA,0.497222393,0.497222393,0.69,0,-1,2018,-1
"129","Bunkure","Gwarzo",NA,0.372172547,0.372172547,0.69,0,-1,2018,-1
"130","Bunza","Birnin Kebbi",NA,0.62225568,0.62225568,0.69,0,-1,2018,-1
"131","Bursari","Taura",NA,0.325,0.325,0.69,0,-1,2018,-1
"132","Buruku","Keana",NA,0.400000038,0.400000038,0.69,0,-1,2018,-1
"133","Burutu","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"134","Bwari","Giwa",NA,0.354268943,0.354268943,0.69,0,-1,2018,-1
"135","Calabar South","Nsit Ubium",NA,0.497727761,0.497727761,0.69,0,-1,2018,-1
"136","Calabar-Municipal","Nsit Ubium",NA,0.499739676,0.499739676,0.69,0,-1,2018,-1
"137","Chanchaga","Keana",NA,0.588965514,0.588965514,0.69,0,-1,2018,-1
"138","Charanchi","Rimi",NA,0.305263158,0.305263158,0.69,0,-1,2018,-1
"139","Chibok","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"140","Chikun","Soba",NA,0.22049469,0.22049469,0.69,0,-1,2018,-1
"141","Dala","Alkaleri",NA,0.850046207,0.850046207,0.69,0,-1,2018,-1
"142","Damaturu","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"143","Damban","Darazo",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"144","Dambatta","Babura",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"145","Damboa","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"146","Dan Musa","Rimi",NA,0.409995572,0.409995572,0.69,0,-1,2018,-1
"147","Dandi","Birnin Kebbi",NA,0.54910543,0.54910543,0.69,0,-1,2018,-1
"148","Dandume","Giwa",NA,0.330508332,0.330508332,0.69,0,-1,2018,-1
"149","Dange-Shnsi","Gawabawa",NA,0.325,0.325,0.69,0,-1,2018,-1
"150","Danja","Giwa",NA,0.330508332,0.330508332,0.69,0,-1,2018,-1
"151","Darazo","Darazo",NA,0.361152612,0.361152612,0.69,0,-1,2018,-1
"152","Dass","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"153","Daura","Babura",NA,0.402230441,0.402230441,0.69,0,-1,2018,-1
"154","Dawakin Kudu","Gwarzo",NA,0.472727273,0.472727273,0.69,0,-1,2018,-1
"155","Dawakin Tofa","Taura",NA,0.381818182,0.381818182,0.69,0,-1,2018,-1
"156","Degema","Ahoada West",NA,0.45,0.45,0.69,0,-1,2018,-1
"157","Dekina","Owan East",NA,0.390297763,0.390297763,0.69,0,-1,2018,-1
"158","Demsa","Alkaleri",NA,0.8,0.8,0.69,0,-1,2018,-1
"159","Dikwa","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"160","Doguwa","Giwa",NA,0.330434783,0.330434783,0.69,0,-1,2018,-1
"161","Doma","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"162","Donga","Keana",NA,0.484919607,0.484919607,0.69,0,-1,2018,-1
"163","Dukku","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"164","Dunukofia","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"165","Dutse","Takali",NA,0.348488039,0.348488039,0.69,0,-1,2018,-1
"166","Dutsi","Rimi",NA,0.430769231,0.430769231,0.69,0,-1,2018,-1
"167","Dutsin-Ma","Rimi",NA,0.409995572,0.409995572,0.69,0,-1,2018,-1
"168","Eastern Obolo","Nsit Ubium",NA,0.8,0.8,0.69,0,-1,2018,-1
"169","Ebonyi","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"170","Edati","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"171","Ede North","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"172","Ede South","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"173","Edu","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"174","Efon-Alayee","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"175","Egbado North","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"176","Egbado South","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"177","Egbeda","Akinyele",NA,0.307316809,0.307316809,0.69,0,-1,2018,-1
"178","Egbedore","Akinyele",NA,0.74187193,0.74187193,0.69,0,-1,2018,-1
"179","Egor","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"180","Ehime-Mbano","Ngor-Okpala",NA,0.791374486,0.791374486,0.69,0,-1,2018,-1
"181","Ejigbo","Akinyele",NA,0.415907256,0.415907256,0.69,0,-1,2018,-1
"182","Ekeremor","Ahoada West",NA,0.405928424,0.405928424,0.69,0,-1,2018,-1
"183","Eket","Nsit Ubium",NA,0.497727761,0.497727761,0.69,0,-1,2018,-1
"184","Ekiti","Oke-Ero",NA,0.8,0.8,0.69,0,-1,2018,-1
"185","Ekiti East","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"186","Ekiti South West","Oke-Ero",NA,0.662500057,0.662500057,0.69,0,-1,2018,-1
"187","Ekiti West","Oke-Ero",NA,0.362213602,0.362213602,0.69,0,-1,2018,-1
"188","Ekwusigo","Oru West",NA,0.8,0.8,0.69,0,-1,2018,-1
"189","Eleme","Ahoada West",NA,0.351693513,0.351693513,0.69,0,-1,2018,-1
"190","Emohua","Ahoada West",NA,0.366666667,0.366666667,0.69,0,-1,2018,-1
"191","Emure","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"192","Enugu East","Uzo-Uwani",NA,0.8,0.8,0.69,0,-1,2018,-1
"193","Enugu North","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"194","Enugu South","Uzo-Uwani",NA,0.714893508,0.714893508,0.69,0,-1,2018,-1
"195","Epe","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"196","Esan Central","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"197","Esan North East","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"198","Esan South East","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"199","Esan West","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"200","Ese-Odo","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"201","Esit Eket","Nsit Ubium",NA,0.271428571,0.271428571,0.69,0,-1,2018,-1
"202","Essien Udim","Ngor-Okpala",NA,0.419281699,0.419281699,0.69,0,-1,2018,-1
"203","Etche","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"204","Ethiope East","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"205","Ethiope West","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"206","Etim Ekpo","Isoko South",NA,0.32159624,0.32159624,0.69,0,-1,2018,-1
"207","Etinan","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"208","Eti-Osa","Nsit Ubium",NA,0.497727761,0.497727761,0.69,0,-1,2018,-1
"209","Etsako Central","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"210","Etsako East","Owan East",NA,0.277954241,0.277954241,0.69,0,-1,2018,-1
"211","Etsako West","Owan East",NA,0.280351586,0.280351586,0.69,0,-1,2018,-1
"212","Etung","Obubra",NA,0.4,0.4,0.69,0,-1,2018,-1
"213","Ewekoro","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"214","Ezeagu","Uzo-Uwani",NA,0.634581511,0.634581511,0.69,0,-1,2018,-1
"215","Ezinihitte","Ngor-Okpala",NA,0.588958352,0.588958352,0.69,0,-1,2018,-1
"216","Ezza North","Owan East",NA,0.39047619,0.39047619,0.69,0,-1,2018,-1
"217","Ezza South","Obubra",NA,0.678845956,0.678845956,0.69,0,-1,2018,-1
"218","Fagge","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"219","Fakai","Birnin Kebbi",NA,0.8,0.8,0.69,0,-1,2018,-1
"220","Faskari","Giwa",NA,0.330508332,0.330508332,0.69,0,-1,2018,-1
"221","Fika","Darazo",NA,0.295238095,0.295238095,0.69,0,-1,2018,-1
"222","Fufore","Alkaleri",NA,0.339280114,0.339280114,0.69,0,-1,2018,-1
"223","Funakaye","Alkaleri",NA,0.245454545,0.245454545,0.69,0,-1,2018,-1
"224","Fune","Darazo",NA,0.23153893,0.23153893,0.69,0,-1,2018,-1
"225","Funtua","Gwarzo",NA,0.372172547,0.372172547,0.69,0,-1,2018,-1
"226","Gabasawa","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"227","Gada","Gawabawa",NA,0.306631444,0.306631444,0.69,0,-1,2018,-1
"228","Gagarawa","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"229","Gamawa","Gwarzo",NA,0.372172547,0.372172547,0.69,0,-1,2018,-1
"230","Ganaye","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"231","Ganjuwa","Darazo",NA,0.301826237,0.301826237,0.69,0,-1,2018,-1
"232","Garki","Babura",NA,0.8,0.8,0.69,0,-1,2018,-1
"233","Garko","Gwarzo",NA,0.372172547,0.372172547,0.69,0,-1,2018,-1
"234","Garum Mallam","Gwarzo",NA,0.353846154,0.353846154,0.69,0,-1,2018,-1
"235","Gashaka","Oru West",NA,0.611077428,0.611077428,0.69,0,-1,2018,-1
"236","Gassol","Keana",NA,0.286136445,0.286136445,0.69,0,-1,2018,-1
"237","Gawabawa","Gawabawa",NA,0.306631444,0.306631444,0.69,0,-1,2018,-1
"238","Gaya","Gwarzo",NA,0.366666667,0.366666667,0.69,0,-1,2018,-1
"239","Gbako","Oke-Ero",NA,0.661538462,0.661538462,0.69,0,-1,2018,-1
"240","Gboko","Keana",NA,0.340281332,0.340281332,0.69,0,-1,2018,-1
"241","Gboyin","Obubra",NA,0.638502596,0.638502596,0.69,0,-1,2018,-1
"242","Geidam","Babura",NA,0.549277359,0.549277359,0.69,0,-1,2018,-1
"243","Gezawa","Gwarzo",NA,0.45,0.45,0.69,0,-1,2018,-1
"244","Giade","Darazo",NA,0.342857143,0.342857143,0.69,0,-1,2018,-1
"245","Gireri","Darazo",NA,0.280992121,0.280992121,0.69,0,-1,2018,-1
"246","Giwa","Giwa",NA,0.330508332,0.330508332,0.69,0,-1,2018,-1
"247","Gokana","Nsit Ubium",NA,0.382111551,0.382111551,0.69,0,-1,2018,-1
"248","Gombe","Alkaleri",NA,0.316169555,0.316169555,0.69,0,-1,2018,-1
"249","Gombi","Alkaleri",NA,0.408835269,0.408835269,0.69,0,-1,2018,-1
"250","Goronyo","Gawabawa",NA,0.306631444,0.306631444,0.69,0,-1,2018,-1
"251","Gubio","Gawabawa",NA,0.306631444,0.306631444,0.69,0,-1,2018,-1
"252","Gudu","Gawabawa",NA,0.306631444,0.306631444,0.69,0,-1,2018,-1
"253","Gujba","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"254","Gulani","Alkaleri",NA,0.434127553,0.434127553,0.69,0,-1,2018,-1
"255","Guma","Keana",NA,0.515463952,0.515463952,0.69,0,-1,2018,-1
"256","Gumel","Babura",NA,0.45,0.45,0.69,0,-1,2018,-1
"257","Gummi","Birnin Kebbi",NA,0.62225568,0.62225568,0.69,0,-1,2018,-1
"258","Gurara","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"259","Guri","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"260","Gusau","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"261","Guyuk","Alkaleri",NA,0.680706358,0.680706358,0.69,0,-1,2018,-1
"262","Guzamala","Babura",NA,0.549277359,0.549277359,0.69,0,-1,2018,-1
"263","Gwagwalada","Keana",NA,0.267621303,0.267621303,0.69,0,-1,2018,-1
"264","Gwale","Alkaleri",NA,0.65946767,0.65946767,0.69,0,-1,2018,-1
"265","Gwandu","Birnin Kebbi",NA,0.729411765,0.729411765,0.69,0,-1,2018,-1
"266","Gwaram","Takali",NA,0.423498732,0.423498732,0.69,0,-1,2018,-1
"267","Gwarzo","Gwarzo",NA,0.6,0.6,0.69,0,-1,2018,-1
"268","Gwer East","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"269","Gwer West","Keana",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"270","Gwiwa","Babura",NA,0.533333333,0.533333333,0.69,0,-1,2018,-1
"271","Gwoza","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"272","Hadejia","Taura",NA,0.374928041,0.374928041,0.69,0,-1,2018,-1
"273","Hawul","Darazo",NA,0.421538462,0.421538462,0.69,0,-1,2018,-1
"274","Hong","Darazo",NA,0.314371076,0.314371076,0.69,0,-1,2018,-1
"275","Ibadan North","Owan East",NA,0.449042174,0.449042174,0.69,0,-1,2018,-1
"276","Ibadan North East","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"277","Ibadan North West","Owan East",NA,0.317739486,0.317739486,0.69,0,-1,2018,-1
"278","Ibadan South East","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"279","Ibadan South West","Owan East",NA,0.478942779,0.478942779,0.69,0,-1,2018,-1
"280","Ibaji","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"281","Ibarapa Central","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"282","Ibarapa East","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"283","Ibarapa North","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"284","Ibeju-Lekki","Uzo-Uwani",NA,0.7,0.7,0.69,0,-1,2018,-1
"285","Ibeno","Nsit Ubium",NA,0.497727761,0.497727761,0.69,0,-1,2018,-1
"286","Ibesikpo Asutan","Nsit Ubium",NA,0.434042549,0.434042549,0.69,0,-1,2018,-1
"287","Ibi","Keana",NA,0.377187213,0.377187213,0.69,0,-1,2018,-1
"288","Ibiono Ibom","Ngor-Okpala",NA,0.342335763,0.342335763,0.69,0,-1,2018,-1
"289","Idah","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"290","Idanre","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"291","Ideato North","Oru West",NA,0.8,0.8,0.69,0,-1,2018,-1
"292","Ideato South","Ngor-Okpala",NA,0.483373403,0.483373403,0.69,0,-1,2018,-1
"293","Idemili North","Uzo-Uwani",NA,0.8,0.8,0.69,0,-1,2018,-1
"294","Idemili South","Oru West",NA,0.506003708,0.506003708,0.69,0,-1,2018,-1
"295","Ido","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"296","Idosi-Osi","Oke-Ero",NA,0.288017211,0.288017211,0.69,0,-1,2018,-1
"297","Ifako-Ijaye","Uzo-Uwani",NA,0.620192485,0.620192485,0.69,0,-1,2018,-1
"298","Ife Central","Akinyele",NA,0.729411659,0.729411659,0.69,0,-1,2018,-1
"299","Ife East","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"300","Ife North","Akinyele",NA,0.7,0.7,0.69,0,-1,2018,-1
"301","Ife South","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
"302","Ifedayo","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"303","Ifedore","Oke-Ero",NA,0.446839589,0.446839589,0.69,0,-1,2018,-1
"304","Ifelodun1","Oke-Ero",NA,0.339769018,0.339769018,0.69,0,-1,2018,-1
"305","Ifelodun2","Akinyele",NA,0.354926235,0.354926235,0.69,0,-1,2018,-1
