"","X.1","X","LGA_old","repDS","year","LGA","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","round","peak","mortality","llins_plan","kill_rate","block_initial","simday"
"15132",1513,1513,"Ganaye","Alkaleri",2026,"Ganaye",0.8,0.8,0.8,0.8,3,"july",0.427407559,"PBO(2021)",0.7424974,0.65,2376
"15133",1513,1513,"Ganaye","Alkaleri",2029,"Ganaye",0.8,0.8,0.8,0.8,4,"july",0.427407559,"PBO(2021)",0.7424974,0.65,3471
"169",169,169,"Ganjuwa","Darazo",2021,"Ganjuwa",0.8,0.8,0.8,0.8,1,"july",0.647484501,"Standard 2020",0.636975276,0.777846808,551
"1691",169,169,"Ganjuwa","Darazo",2024,"Ganjuwa",0.8,0.8,0.8,0.8,2,"july",0.647484501,"Standard 2020",0.636975276,0.777846808,1646
"1692",169,169,"Ganjuwa","Darazo",2027,"Ganjuwa",0.8,0.8,0.8,0.8,3,"july",0.647484501,"Standard 2020",0.636975276,0.777846808,2741
"1693",169,169,"Ganjuwa","Darazo",2030,"Ganjuwa",0.8,0.8,0.8,0.8,4,"july",0.647484501,"Standard 2020",0.636975276,0.777846808,3836
"603",603,603,"Garki","Babura",2021,"Garki",0.944444444,0.878787879,0.952380952,0.932432432,1,"may",0.74078424,"PBO(2021)",0.751351753,0.896673119,496
"6031",603,603,"Garki","Babura",2024,"Garki",0.944444444,0.878787879,0.952380952,0.932432432,2,"may",0.74078424,"PBO(2021)",0.751351753,0.896673119,1591
"6032",603,603,"Garki","Babura",2027,"Garki",0.944444444,0.878787879,0.952380952,0.932432432,3,"may",0.74078424,"PBO(2021)",0.751351753,0.896673119,2686
"6033",603,603,"Garki","Babura",2030,"Garki",0.944444444,0.878787879,0.952380952,0.932432432,4,"may",0.74078424,"PBO(2021)",0.751351753,0.896673119,3781
"707",707,707,"Garko","Gwarzo",2022,"Garko",0.8,0.8,0.8,0.8,1,"august",0.768838005,"PBO(2021)",0.751575217,0.910188344,953
"7071",707,707,"Garko","Gwarzo",2025,"Garko",0.8,0.8,0.8,0.8,2,"august",0.768838005,"PBO(2021)",0.751575217,0.910188344,2048
"7072",707,707,"Garko","Gwarzo",2028,"Garko",0.8,0.8,0.8,0.8,3,"august",0.768838005,"PBO(2021)",0.751575217,0.910188344,3143
"709",709,709,"Garum Mallam","Gwarzo",2022,"Garum Mallam",0.818181818,0.8,0.8,0.8,1,"august",0.862288859,"PBO(2021)",0.75212162,0.943329856,953
"7091",709,709,"Garum Mallam","Gwarzo",2025,"Garum Mallam",0.818181818,0.8,0.8,0.8,2,"august",0.862288859,"PBO(2021)",0.75212162,0.943329856,2048
"7092",709,709,"Garum Mallam","Gwarzo",2028,"Garum Mallam",0.818181818,0.8,0.8,0.8,3,"august",0.862288859,"PBO(2021)",0.75212162,0.943329856,3143
"1519",1519,1519,"Gashaka","Oru West",2022,"Gashaka",0.8,0.8,0.8,0.8,1,"june",0.402171636,"PBO(2021)",0.740396661,0.65,892
"15191",1519,1519,"Gashaka","Oru West",2025,"Gashaka",0.8,0.8,0.8,0.8,2,"june",0.402171636,"PBO(2021)",0.740396661,0.65,1987
"15192",1519,1519,"Gashaka","Oru West",2028,"Gashaka",0.8,0.8,0.8,0.8,3,"june",0.402171636,"PBO(2021)",0.740396661,0.65,3082
"1321",1321,1321,"Gassol","Keana",2022,"Gassol",0.8,0.8,0.8,0.8,1,"august",0.374978294,"PBO(2021)",0.737525302,0.65,953
"13211",1321,1321,"Gassol","Keana",2025,"Gassol",0.8,0.8,0.8,0.8,2,"august",0.374978294,"PBO(2021)",0.737525302,0.65,2048
"13212",1321,1321,"Gassol","Keana",2028,"Gassol",0.8,0.8,0.8,0.8,3,"august",0.374978294,"PBO(2021)",0.737525302,0.65,3143
"1287",1287,1287,"Gawabawa","Gawabawa",2020,"Gawabawa",0.8,0.8,0.8,0.8,1,"august",0.808406515,"PBO(2021)",0.751838594,0.926183778,223
"12871",1287,1287,"Gawabawa","Gawabawa",2023,"Gawabawa",0.8,0.8,0.8,0.8,2,"august",0.808406515,"PBO(2021)",0.751838594,0.926183778,1318
"12872",1287,1287,"Gawabawa","Gawabawa",2026,"Gawabawa",0.8,0.8,0.8,0.8,3,"august",0.808406515,"PBO(2021)",0.751838594,0.926183778,2413
"12873",1287,1287,"Gawabawa","Gawabawa",2029,"Gawabawa",0.8,0.8,0.8,0.8,4,"august",0.808406515,"PBO(2021)",0.751838594,0.926183778,3508
"711",711,711,"Gaya","Gwarzo",2022,"Gaya",0.878787879,0.8,0.806451613,0.941176471,1,"august",0.763092032,"PBO(2021)",0.751532177,0.907579363,953
"7111",711,711,"Gaya","Gwarzo",2025,"Gaya",0.878787879,0.8,0.806451613,0.941176471,2,"august",0.763092032,"PBO(2021)",0.751532177,0.907579363,2048
"7112",711,711,"Gaya","Gwarzo",2028,"Gaya",0.878787879,0.8,0.806451613,0.941176471,3,"august",0.763092032,"PBO(2021)",0.751532177,0.907579363,3143
"989",989,989,"Gbako","Oke-Ero",2022,"Gbako",0.8,0.8,0.8,0.8,1,"july",0.413494411,"PBO(2021)",0.74139739,0.65,916
"9891",989,989,"Gbako","Oke-Ero",2025,"Gbako",0.8,0.8,0.8,0.8,2,"july",0.413494411,"PBO(2021)",0.74139739,0.65,2011
"9892",989,989,"Gbako","Oke-Ero",2028,"Gbako",0.8,0.8,0.8,0.8,3,"july",0.413494411,"PBO(2021)",0.74139739,0.65,3106
"213",213,213,"Gboko","Keana",2020,"Gboko",0.8,0.8,0.8,0.8,1,"august",0.325574075,"Standard 2020",0.398561371,0.53,223
"2131",213,213,"Gboko","Keana",2023,"Gboko",0.8,0.8,0.8,0.8,2,"august",0.325574075,"Standard 2020",0.398561371,0.53,1318
"2132",213,213,"Gboko","Keana",2026,"Gboko",0.8,0.8,0.8,0.8,3,"august",0.325574075,"Standard 2020",0.398561371,0.53,2413
"2133",213,213,"Gboko","Keana",2029,"Gboko",0.8,0.8,0.8,0.8,4,"august",0.325574075,"Standard 2020",0.398561371,0.53,3508
"441",441,441,"Gboyin","Obubra",2020,"Gboyin",0.8,0.8,0.8,0.8,1,"june",0.286540024,"PBO(2021)",0.7204787,0.65,162
"4411",441,441,"Gboyin","Obubra",2023,"Gboyin",0.8,0.8,0.8,0.8,2,"june",0.286540024,"PBO(2021)",0.7204787,0.65,1257
"4412",441,441,"Gboyin","Obubra",2026,"Gboyin",0.8,0.8,0.8,0.8,3,"june",0.286540024,"PBO(2021)",0.7204787,0.65,2352
"4413",441,441,"Gboyin","Obubra",2029,"Gboyin",0.8,0.8,0.8,0.8,4,"june",0.286540024,"PBO(2021)",0.7204787,0.65,3447
"1359",1359,1359,"Geidam","Babura",2022,"Geidam",0.8,0.8,0.8,0.8,1,"may",0.758492868,"PBO(2021)",0.751496753,0.905433898,861
"13591",1359,1359,"Geidam","Babura",2025,"Geidam",0.8,0.8,0.8,0.8,2,"may",0.758492868,"PBO(2021)",0.751496753,0.905433898,1956
"13592",1359,1359,"Geidam","Babura",2028,"Geidam",0.8,0.8,0.8,0.8,3,"may",0.758492868,"PBO(2021)",0.751496753,0.905433898,3051
"713",713,713,"Gezawa","Gwarzo",2022,"Gezawa",0.8,0.8,0.8,0.8,1,"august",0.80805322,"PBO(2021)",0.751836474,0.926054985,953
"7131",713,713,"Gezawa","Gwarzo",2025,"Gezawa",0.8,0.8,0.8,0.8,2,"august",0.80805322,"PBO(2021)",0.751836474,0.926054985,2048
"7132",713,713,"Gezawa","Gwarzo",2028,"Gezawa",0.8,0.8,0.8,0.8,3,"august",0.80805322,"PBO(2021)",0.751836474,0.926054985,3143
"171",171,171,"Giade","Darazo",2021,"Giade",0.8,0.8,0.8,0.8,1,"july",0.730326034,"Standard 2020",0.680743195,0.852004738,551
"1711",171,171,"Giade","Darazo",2024,"Giade",0.8,0.8,0.8,0.8,2,"july",0.730326034,"Standard 2020",0.680743195,0.852004738,1646
"1712",171,171,"Giade","Darazo",2027,"Giade",0.8,0.8,0.8,0.8,3,"july",0.730326034,"Standard 2020",0.680743195,0.852004738,2741
"1713",171,171,"Giade","Darazo",2030,"Giade",0.8,0.8,0.8,0.8,4,"july",0.730326034,"Standard 2020",0.680743195,0.852004738,3836
"37",37,37,"Gireri","Darazo",2020,"Gireri",0.8,0.8,0.8,0.8,1,"july",0.658506137,"PBO(2021)",0.75044815,0.843319415,186
"372",37,37,"Gireri","Darazo",2023,"Gireri",0.8,0.8,0.8,0.8,2,"july",0.658506137,"PBO(2021)",0.75044815,0.843319415,1281
"374",37,37,"Gireri","Darazo",2026,"Gireri",0.8,0.8,0.8,0.8,3,"july",0.658506137,"PBO(2021)",0.75044815,0.843319415,2376
"376",37,37,"Gireri","Darazo",2029,"Gireri",0.8,0.8,0.8,0.8,4,"july",0.658506137,"PBO(2021)",0.75044815,0.843319415,3471
"643",643,643,"Giwa","Giwa",2022,"Giwa",0.8,0.8,0.8,0.8,1,"august",0.58231661,"PBO(2021)",0.749087435,0.768467517,953
"6431",643,643,"Giwa","Giwa",2025,"Giwa",0.8,0.8,0.8,0.8,2,"august",0.58231661,"PBO(2021)",0.749087435,0.768467517,2048
"6432",643,643,"Giwa","Giwa",2028,"Giwa",0.8,0.8,0.8,0.8,3,"august",0.58231661,"PBO(2021)",0.749087435,0.768467517,3143
"1253",1253,1253,"Gokana","Nsit Ubium",2020,"Gokana",0.8,0.8,0.8,0.8,1,"june",0.297628692,"PBO(2021)",0.72358026,0.65,162
"12531",1253,1253,"Gokana","Nsit Ubium",2023,"Gokana",0.8,0.8,0.8,0.8,2,"june",0.297628692,"PBO(2021)",0.72358026,0.65,1257
"12532",1253,1253,"Gokana","Nsit Ubium",2026,"Gokana",0.8,0.8,0.8,0.8,3,"june",0.297628692,"PBO(2021)",0.72358026,0.65,2352
"12533",1253,1253,"Gokana","Nsit Ubium",2029,"Gokana",0.8,0.8,0.8,0.8,4,"june",0.297628692,"PBO(2021)",0.72358026,0.65,3447
"511",511,511,"Gombe","Alkaleri",2021,"Gombe",0.8,0.8,0.8,0.8,1,"july",0.497689178,"PBO(2021)",0.746452831,0.65,551
"5111",511,511,"Gombe","Alkaleri",2024,"Gombe",0.8,0.8,0.8,0.8,2,"july",0.497689178,"PBO(2021)",0.746452831,0.65,1646
