"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override"
"1","Aba North","Ngor-Okpala",NA,0.383373403,0.383373403,0.59,0,-1,2018,-1
"2","Aba South","Ngor-Okpala",NA,0.383373403,0.383373403,0.59,0,-1,2018,-1
"3","Abadam","Babura",NA,0.449277359,0.449277359,0.59,0,-1,2018,-1
"4","Abaji","Keana",NA,0.346130843,0.346130843,0.59,0,-1,2018,-1
"5","Abak","Nsit Ubium",NA,0.397727761,0.397727761,0.59,0,-1,2018,-1
"6","Abakaliki","Owan East",NA,0.452748878,0.452748878,0.59,0,-1,2018,-1
"7","Abeokuta North","Owan East",NA,0.616473785,0.616473785,0.59,0,-1,2018,-1
"8","Abeokuta South","Uzo-Uwani",NA,0.8,0.8,0.59,0,-1,2018,-1
"9","Abi","Obubra",NA,0.245161293,0.245161293,0.59,0,-1,2018,-1
"10","Aboh-Mbaise","Ngor-Okpala",NA,0.475,0.475,0.59,0,-1,2018,-1
"11","Abua-Odual","Ahoada West",NA,0.204505917,0.204505917,0.59,0,-1,2018,-1
"12","Abuja Municipal","Keana",NA,0.148123756,0.148123756,0.59,0,-1,2018,-1
"13","Adavi","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"14","Ado","Akinyele",NA,0.271296311,0.271296311,0.59,0,-1,2018,-1
"15","Ado Ekiti","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"16","Ado-Odo-Ota","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"17","Afijio","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"18","Afikpo North","Oru West",NA,0.863945585,0.863945585,0.59,0,-1,2018,-1
"19","Afikpo South","Ngor-Okpala",NA,0.570951796,0.570951796,0.59,0,-1,2018,-1
"20","Agaie","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"21","Agatu","Keana",NA,0.277187213,0.277187213,0.59,0,-1,2018,-1
"22","Agege","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"23","Aguata","Oru West",NA,0.535107986,0.535107986,0.59,0,-1,2018,-1
"24","Agwara","Birnin Kebbi",NA,0.52225568,0.52225568,0.59,0,-1,2018,-1
"25","Ahiazu-Mbaise","Ngor-Okpala",NA,0.383373403,0.383373403,0.59,0,-1,2018,-1
"26","Ahoada East","Ahoada West",NA,0.400663225,0.400663225,0.59,0,-1,2018,-1
"27","Ahoada West","Ahoada West",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
"28","Aiyedade","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"29","Aiyedire","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"30","Ajaokuta","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"31","Ajeromi-Ifelodun","Uzo-Uwani",NA,0.797452222,0.797452222,0.59,0,-1,2018,-1
"32","Ajingi","Taura",NA,0.274928041,0.274928041,0.59,0,-1,2018,-1
"33","Akamkpa","Ngor-Okpala",NA,0.291387598,0.291387598,0.59,0,-1,2018,-1
"34","Akinyele","Akinyele",NA,0.254926235,0.254926235,0.59,0,-1,2018,-1
"35","Akko","Alkaleri",NA,0.245904448,0.245904448,0.59,0,-1,2018,-1
"36","Akoko North East","Oke-Ero",NA,0.396533971,0.396533971,0.59,0,-1,2018,-1
"37","Akoko North West","Oke-Ero",NA,0.616847318,0.616847318,0.59,0,-1,2018,-1
"38","Akoko South East","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"39","Akoko South West","Oke-Ero",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
"40","Akoko-Edo","Owan East",NA,0.533768496,0.533768496,0.59,0,-1,2018,-1
"41","Akpabuyo","Nsit Ubium",NA,0.397727761,0.397727761,0.59,0,-1,2018,-1
"42","Akuku Toru","Ahoada West",NA,0.5,0.5,0.59,0,-1,2018,-1
"43","Akure North","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"44","Akure South","Owan East",NA,0.6,0.6,0.59,0,-1,2018,-1
"45","Akwanga","Oke-Ero",NA,0.346839589,0.346839589,0.59,0,-1,2018,-1
"46","Albasu","Takali",NA,0.766666667,0.766666667,0.59,0,-1,2018,-1
"47","Aleiro","Birnin Kebbi",NA,0.52225568,0.52225568,0.59,0,-1,2018,-1
"48","Alimosho","Uzo-Uwani",NA,0.374949084,0.374949084,0.59,0,-1,2018,-1
"49","Alkaleri","Alkaleri",NA,0.322117546,0.322117546,0.59,0,-1,2018,-1
"50","Amuwo-Odofin","Isoko South",NA,0.22159624,0.22159624,0.59,0,-1,2018,-1
"51","Anambra East","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"52","Anambra West","Uzo-Uwani",NA,0.766970256,0.766970256,0.59,0,-1,2018,-1
"53","Anaocha","Oru West",NA,0.650802168,0.650802168,0.59,0,-1,2018,-1
"54","Andoni","Nsit Ubium",NA,0.266593506,0.266593506,0.59,0,-1,2018,-1
"55","Aninri","Oru West",NA,0.617961682,0.617961682,0.59,0,-1,2018,-1
"56","Aniocha North","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"57","Aniocha South","Uzo-Uwani",NA,0.520192485,0.520192485,0.59,0,-1,2018,-1
"58","Anka","Darazo",NA,0.181656815,0.181656815,0.59,0,-1,2018,-1
"59","Ankpa","Owan East",NA,0.378942779,0.378942779,0.59,0,-1,2018,-1
"60","Apa","Keana",NA,0.277187213,0.277187213,0.59,0,-1,2018,-1
"61","Apapa","Isoko South",NA,0.22159624,0.22159624,0.59,0,-1,2018,-1
"62","Ardo-Kola","Keana",NA,0.35,0.35,0.59,0,-1,2018,-1
"63","Arewa-Dandi","Birnin Kebbi",NA,0.766666667,0.766666667,0.59,0,-1,2018,-1
"64","Argungu","Birnin Kebbi",NA,0.691750026,0.691750026,0.59,0,-1,2018,-1
"65","Arochukwu","Ngor-Okpala",NA,0.383373403,0.383373403,0.59,0,-1,2018,-1
"66","Asa","Oke-Ero",NA,0.433333333,0.433333333,0.59,0,-1,2018,-1
