DS,arabiensis_scale_factor,gambiae_scale_factor,funestus_scale_factor,DS_Name
Ohaozara,0.082619942,0.590654153,0.326725903,Ohaozara
Abakaliki,0.088972892,0.562313297,0.348713805,Abakaliki
Afikpo North,0.155972139,0.493065094,0.350962765,Afikpo North
Afikpo South,0.09552112,0.63931564,0.265163239,Afikpo South
Ebonyi,0.055257756,0.655322543,0.289419702,Ebonyi
Ezza North,0.094577317,0.554915321,0.35050736,Ezza North
Ezza South,0.108605359,0.536691372,0.354703272,Ezza South
Ikwo,0.134463804,0.480079731,0.385456463,Ikwo
Ishielu,0.0624619,0.646746472,0.290791627,Ishielu
Ivo,0.173281862,0.541257005,0.285461132,Ivo
Izzi,0.065531933,0.623268648,0.311199419,Izzi
Ohaukwu,0.053787033,0.643736746,0.302476229,Ohaukwu
Onicha,0.103023365,0.547721804,0.349254831,Onicha
Akoko-Edo,0.149422376,0.511563653,0.339013968,Akoko-Edo
Egor,0.082309914,0.683682671,0.234007427,Egor
Esan North East,0.128335311,0.524194633,0.347470058,Esan North East
Esan Central,0.075821615,0.694545337,0.229633052,Esan Central
Esan South East,0.084451169,0.693812697,0.221736131,Esan South East
Esan West,0.036188126,0.793017844,0.170794025,Esan West
Etsako Central,0.085200707,0.612101273,0.302698022,Etsako Central
Etsako East,0.099245609,0.583169319,0.317585074,Etsako East
Etsako West,0.10391529,0.579679459,0.316405254,Etsako West
Igueben,0.025989816,0.851194913,0.122815279,Igueben
Ikpoba-Okha,0.104501209,0.675644571,0.21985422,Ikpoba-Okha
Aninri,0.075122855,0.58651897,0.33835817,Aninri
Oredo,0.077433904,0.750012866,0.172553227,Oredo
Orhionmwon,0.14000362,0.597360824,0.262635559,Orhionmwon
Ovia North East,0.039942436,0.833692859,0.126364701,Ovia North East
Ovia South West,0.06467494,0.781018152,0.154306913,Ovia South West
Owan East,0.121072278,0.553102676,0.32582505,Owan East
Owan West,0.091957459,0.635820754,0.272221793,Owan West
Uhunmwonde,0.024502775,0.868608371,0.106888853,Uhunmwonde
Ado Ekiti,0.150483998,0.565104529,0.284411477,Ado Ekiti
Efon-Alayee,0.123632689,0.611561098,0.26480622,Efon-Alayee
Ekiti East,0.117158471,0.592201403,0.29064013,Ekiti East
Ekiti South West,0.087080703,0.637242775,0.275676526,Ekiti South West
Awgu,0.060789293,0.666883651,0.272327063,Awgu
Ekiti West,0.100667486,0.617292095,0.282040421,Ekiti West
Emure,0.100482561,0.604013586,0.295503855,Emure
Gboyin,0.127671486,0.560374579,0.311953926,Gboyin
Idosi-Osi,0.118441151,0.622749341,0.258809511,Idosi-Osi
Ijero,0.091860605,0.644960124,0.263179264,Ijero
Ikere,0.219556256,0.444168505,0.336275234,Ikere
Ikole,0.11497979,0.598989479,0.286030731,Ikole
Ilemeji,0.169301565,0.584639385,0.246059054,Ilemeji
Irepodun-Ifelodun,0.149613721,0.571250401,0.279135879,Irepodun-Ifelodun
