DS,arabiensis_scale_factor,gambiae_scale_factor,funestus_scale_factor,DS_Name
Wushishi,0.327742654,0.341561545,0.330695805,Wushishi
Abeokuta North,0.172849876,0.477624869,0.349525252,Abeokuta North
Egbado South,0.071286089,0.651727575,0.276986337,Egbado South
Ewekoro,0.130404203,0.540497873,0.329097927,Ewekoro
Ifo,0.168430614,0.54783212,0.283737265,Ifo
Ijebu East,0.073239853,0.826118821,0.100641329,Ijebu East
Ijebu ode,0.179167131,0.615570692,0.205262185,Ijebu ode
Ikenne,0.183123723,0.55283393,0.264042342,Ikenne
Obafemi-Owode,0.292477781,0.470806707,0.236715509,Obafemi-Owode
Odeda,0.179533883,0.467230984,0.353235129,Odeda
Odogbolu,0.188144413,0.631268471,0.180587118,Odogbolu
Ogun waterside,0.21593546,0.665666983,0.118397558,Ogun waterside
Remo North,0.290344864,0.525935794,0.183719344,Remo North
Shagamu,0.277967564,0.514635573,0.207396869,Shagamu
Akoko North East,0.105708467,0.582594445,0.311697094,Akoko North East
Akoko North West,0.153307916,0.517295771,0.329396315,Akoko North West
Akoko South East,0.169118699,0.519851523,0.31102978,Akoko South East
Akoko South West,0.132082804,0.539436386,0.328480809,Akoko South West
Akure North,0.132734779,0.631970561,0.235294659,Akure North
Ifedayo,0.106012735,0.591433379,0.302553888,Ifedayo
Akure South,0.155924054,0.546937399,0.297138537,Akure South
Ese-Odo,0.234280242,0.645089951,0.120629806,Ese-Odo
Idanre,0.090389949,0.72328268,0.18632737,Idanre
Ifedore,0.084175438,0.640120852,0.27570371,Ifedore
Ile-Oluji-Okeigbo,0.053309562,0.710029415,0.236661026,Ile-Oluji-Okeigbo
Irele,0.071866366,0.733349192,0.194784443,Irele
Odigbo,0.044385673,0.816878757,0.138735571,Odigbo
Ifelodun2,0.132892895,0.565823218,0.301283887,Ifelodun2
Okitipupa,0.118186035,0.699804688,0.182009275,Okitipupa
Ondo East,0.070565817,0.683286244,0.246147941,Ondo East
Ondo West,0.027597041,0.838367238,0.134035724,Ondo West
Ose,0.09103128,0.699698596,0.209270124,Ose
Owo,0.116530729,0.588725457,0.294743816,Owo
Aiyedade,0.108964689,0.680149341,0.21088597,Aiyedade
Aiyedire,0.084585493,0.635564794,0.279849712,Aiyedire
Atakumosa East,0.049872478,0.735084975,0.215042546,Atakumosa East
Orolu,0.156251893,0.422695575,0.421052538,Orolu
Atakumosa West,0.075439359,0.724830478,0.199730169,Atakumosa West
Boluwaduro,0.102695871,0.603633639,0.2936705,Boluwaduro
Boripe,0.091997,0.640967482,0.267035513,Boripe
Ede North,0.097677901,0.562204529,0.340117572,Ede North
Ede South,0.08218651,0.629564902,0.288248577,Ede South
Egbedore,0.114265042,0.553348895,0.332386064,Egbedore
Ejigbo,0.11323111,0.539649363,0.347119524,Ejigbo
Ife Central,0.304264328,0.470003156,0.225732512,Ife Central
Ife East,0.051415029,0.724837687,0.223747289,Ife East
Ife North,0.053947035,0.768028888,0.178024069,Ife North
Ife South,0.042697959,0.773284374,0.184017665,Ife South
Ila,0.106225586,0.595278198,0.29849622,Ila
Ilesha East,0.273259855,0.349143305,0.377596848,Ilesha East
Ilesha West,0.114717652,0.610420762,0.27486159,Ilesha West
Irepodun2,0.115795851,0.54687473,0.33732944,Irepodun2
Irewole,0.103074046,0.668321883,0.228604071,Irewole
Isokan,0.129699036,0.592315141,0.277985816,Isokan
Iwo,0.073962112,0.605879238,0.320158649,Iwo
Osogbo,0.087145193,0.560455125,0.352399692,Osogbo
Obokun,0.093882589,0.685413868,0.220703542,Obokun
Odo-Otin,0.122866049,0.520877861,0.356256094,Odo-Otin
Ola-oluwa,0.118632404,0.536641447,0.344726151,Ola-oluwa
Olorunda,0.089475054,0.646634055,0.263890887,Olorunda
Oriade,0.074554377,0.658652133,0.266793483,Oriade
Ibadan South East,0.164030731,0.537149854,0.298819382,Ibadan South East
Afijio,0.088665638,0.593171127,0.318163233,Afijio
Akinyele,0.095620146,0.652005847,0.252374007,Akinyele
Atiba,0.094707873,0.627556394,0.277735734,Atiba
Egbeda,0.206751197,0.56104972,0.23219908,Egbeda
Ibadan North,0.107671162,0.504639375,0.387689445,Ibadan North
Ibadan North East,0.199296298,0.494538857,0.306164851,Ibadan North East
Ibadan North West,0.092037035,0.562373148,0.345589786,Ibadan North West
Ibarapa Central,0.155231559,0.517078608,0.327689836,Ibarapa Central
Ibarapa East,0.132678951,0.519056209,0.348264839,Ibarapa East
Ibarapa North,0.124909853,0.562703292,0.312386853,Ibarapa North
Ido,0.108155498,0.6109713,0.280873207,Ido
Irepo,0.122194887,0.688933906,0.188871202,Irepo
Ogo Oluwa,0.146270063,0.472860845,0.380869097,Ogo Oluwa
Olorunsogo,0.119109454,0.663945121,0.216945427,Olorunsogo
Oluyole,0.166261855,0.607614883,0.226123261,Oluyole
Ona-Ara,0.117290467,0.681208651,0.201500889,Ona-Ara
Orelope,0.131551438,0.615742721,0.252705837,Orelope
Ori Ire,0.100108738,0.557620027,0.342271237,Ori Ire
Oyo West,0.086821027,0.635834345,0.277344633,Oyo West
Saki East,0.179811244,0.541520899,0.278667856,Saki East
Saki West,0.107522284,0.653614912,0.238862808,Saki West
Surulere2,0.135247114,0.543819177,0.320933707,Surulere2
Barikin Ladi,0.547661327,0.073298284,0.379040387,Barikin Ladi
Bassa2,0.547080232,0.059980679,0.392939091,Bassa2
Bokkos,0.417247638,0.243525468,0.339226892,Bokkos
Jos East,0.46191106,0.047903503,0.490185437,Jos East
Jos North,0.46502019,0.076887677,0.458092125,Jos North
Jos South,0.580773965,0.040840422,0.378385615,Jos South
Kanam,0.328204313,0.166036559,0.505759128,Kanam
Kanke,0.338652832,0.114130488,0.547216681,Kanke
Langtang North,0.320341602,0.319691168,0.359967228,Langtang North
Langtang South,0.28181718,0.497136521,0.221046301,Langtang South
Mangu,0.430294395,0.133897067,0.435808541,Mangu
Mikang,0.225102565,0.46503421,0.309863227,Mikang
Abua-Odual,0.289709928,0.534056225,0.176233843,Abua-Odual
Pankshin,0.372177888,0.180204792,0.447617315,Pankshin
Qua'an Pan,0.182717687,0.538693862,0.278588454,Qua'an Pan
Riyom,0.419957067,0.156378092,0.423664834,Riyom
Shendam,0.177477556,0.588032237,0.23449021,Shendam
Wase,0.253620195,0.345597149,0.400782654,Wase
Ahoada East,0.35282728,0.446569213,0.200603508,Ahoada East
Ahoada West,0.282034765,0.539239827,0.178725411,Ahoada West
Andoni,0.999999995,0,0,Andoni
Asari-Toru,0.3646512,0.61178559,0.023563208,Asari-Toru
Bonny,0.622926128,0.119009354,7.8e-12,Bonny
Eleme,0.375133486,0.446454528,0.178411992,Eleme
Emohua,0.206915508,0.571287759,0.221796733,Emohua
Etche,0.084696835,0.658927827,0.256375339,Etche
Gokana,0.96042149,0.021701584,0.017876932,Gokana
Ikwerre,0.075170193,0.724572123,0.200257683,Ikwerre
Khana,0.9390758,0.012196069,0.048728129,Khana
Obia-Akpor,0.261348341,0.586933686,0.151717974,Obia-Akpor
Ogba-Egbema-Ndoni,0.336782478,0.468774139,0.194443381,Ogba-Egbema-Ndoni
Ogu-Bolo,0.953681484,0.030625837,0.015692674,Ogu-Bolo
Okrika,0.824346774,0.039586447,0.011066777,Okrika
Omumma,0.090043076,0.659730581,0.250226337,Omumma
Opobo-Nkoro,0.999999995,0,0,Opobo-Nkoro
Oyigbo,0.281239789,0.388909099,0.329851112,Oyigbo
Port-Harcourt,0.590961555,0.409038441,3.36e-10,Port-Harcourt
Tai,0.637057331,0.196880795,0.166061876,Tai
Binji,0.670687057,0.082052636,0.247260311,Binji
Bodinga,0.530915334,0.175709505,0.29337516,Bodinga
Dange-Shnsi,0.555762842,0.166073959,0.278163198,Dange-Shnsi
Akuku Toru,0.870612919,0.117667015,0.011720066,Akuku Toru
Goronyo,0.823314775,0.010146232,0.166538993,Goronyo
Gawabawa,0.756993104,0.049070219,0.19393667,Gawabawa
Illela,0.83119964,0.013846951,0.154953407,Illela
Isa,0.774125808,0.002177351,0.223696842,Isa
Kebbe,0.212321746,0.278087202,0.509591052,Kebbe
Kware,0.688495736,0.067597658,0.243906601,Kware
Rabah,0.614026826,0.09175148,0.294221693,Rabah
Shagari,0.384092804,0.174176005,0.441731191,Shagari
Mubi South,0.410707835,0.153509201,0.43578297,Mubi South
Silame,0.584446963,0.094506088,0.321046946,Silame
Sokoto North,0.399286826,0.081788857,0.518924335,Sokoto North
Sokoto South,0.302220295,0.081671586,0.616108097,Sokoto South
Tambuwal,0.325659727,0.18056788,0.493772393,Tambuwal
Tureta,0.307720837,0.193619099,0.498660067,Tureta
Wamako,0.662008775,0.103065708,0.234925519,Wamako
Wurno,0.754231816,0.04831042,0.197457772,Wurno
Yabo,0.537781693,0.134292575,0.327925738,Yabo
Ardo-Kola,0.19642778,0.472486475,0.331085742,Ardo-Kola
Gassol,0.248348693,0.527993372,0.223657936,Gassol
Bali,0.121456556,0.6121231,0.266420343,Bali
Donga,0.090090168,0.711063303,0.19884653,Donga
Ibi,0.269279349,0.547871583,0.182849067,Ibi
Jalingo,0.100586244,0.58222046,0.317193311,Jalingo
Yorro,0.26413149,0.367461235,0.368407277,Yorro
Potiskum,0.711880585,0.011027522,0.277091892,Potiskum
Karin-Lamido,0.23403464,0.346975549,0.418989812,Karin-Lamido
Lau,0.210147562,0.416724178,0.37312826,Lau
Wukari,0.18660248,0.621523952,0.191873568,Wukari
Zing,0.384002497,0.248234419,0.367763083,Zing
Bade,0.812012237,0.001128922,0.186858851,Bade
Nguru,0.807348531,0.007242724,0.185408744,Nguru
Bursari,0.873677308,0,0.126322692,Bursari
Damaturu,0.744726264,0.009671874,0.245601862,Damaturu
Fika,0.529224728,0.026101581,0.444673689,Fika
Gujba,0.569930161,0.019924659,0.410145179,Gujba
Fune,0.713652345,0.01600078,0.270346874,Fune
Gulani,0.43809194,0.059172955,0.502735112,Gulani
Geidam,0.890310621,0,0.109689382,Geidam
Nangere,0.719005897,0.016341999,0.264652103,Nangere
Jakusko,0.812430024,0.005937173,0.181632803,Jakusko
Karasuwa,0.841939999,2.88e-12,0.158059996,Karasuwa
Tarmua,0.818341181,0.002087615,0.179571204,Tarmua
Anka,0.398226562,0.120448064,0.481325374,Anka
Bakura,0.38935516,0.163444282,0.44720056,Bakura
Birnin Magaji,0.707376521,0.01964162,0.27298186,Birnin Magaji
Bukkuyum,0.311889361,0.164866403,0.523244237,Bukkuyum
Bungudu,0.626634575,0.04615573,0.327209696,Bungudu
Gummi,0.260710832,0.268842656,0.47044651,Gummi
Ipokia,0.190664497,0.53831861,0.271016892,Ipokia
Gusau,0.510636813,0.080493339,0.408869848,Gusau
Kaura-Namoda,0.751659346,0.029138538,0.219202108,Kaura-Namoda
Maradun,0.62371841,0.058667318,0.317614274,Maradun
Tsafe,0.542700731,0.084402655,0.372896616,Tsafe
Maru,0.399387935,0.120734424,0.479877643,Maru
Shinkafi,0.824164949,0.002036404,0.173798648,Shinkafi
Talata Mafara,0.541203725,0.091508303,0.367287979,Talata Mafara
Zurmi,0.871538523,0.002646688,0.125814793,Zurmi
Mbo,0.471658997,0.382676929,0.145664073,Mbo
Oron,0.291927104,0.552616693,0.155456181,Oron
Udung Uko,0.55979703,0.29678732,0.143415661,Udung Uko
Calabar South,0.325555488,0.579061054,0.095383456,Calabar South
Ibeno,0.399473591,0.477310484,0.123215925,Ibeno
Eastern Obolo,0.945470032,0.036415455,0.018114508,Eastern Obolo
Degema,0.724855622,0.198766336,0.008196223,Degema
Brass,0.787794938,0.16921558,0.027364479,Brass
Southern Ijaw,0.870474548,0.096229448,0.025421987,Southern Ijaw
Ekeremor,0.808580143,0.153181052,0.038238805,Ekeremor
Burutu,0.751634162,0.191938684,0.045674467,Burutu
Warri South West,0.648323319,0.332872368,0.018804309,Warri South West
Warri North,0.254801012,0.7091981,0.024506629,Warri North
Ilaje,0.334500032,0.606380353,0.059119614,Ilaje
Ibeju-Lekki,0.155937684,0.799698556,0.044363766,Ibeju-Lekki
Amuwo-Odofin,0.153977436,0.674530908,0.171491654,Amuwo-Odofin
Badagry,0.252494275,0.620457268,0.127048457,Badagry
Egbado North,0.174455357,0.451993639,0.373551004,Egbado North
Imeko-Afon,0.125980823,0.583517598,0.290501581,Imeko-Afon
Iwajowa,0.121530352,0.625311492,0.253158157,Iwajowa
Atigbo,0.094090944,0.659107887,0.246801171,Atigbo
Baruten,0.14158593,0.62677668,0.231637391,Baruten
Borgu,0.122961052,0.558264125,0.318774824,Borgu
Bagudo,0.215332636,0.356120592,0.428546771,Bagudo
Dandi,0.296624851,0.266296755,0.437078397,Dandi
Arewa-Dandi,0.580768753,0.088069311,0.331161935,Arewa-Dandi
Gudu,0.743902078,0.016879284,0.239218641,Gudu
Tangaza,0.816529612,0.031646774,0.151823617,Tangaza
Gada,0.823443066,2.69e-11,0.176556932,Gada
Sabon Birni,0.84367506,0.005083919,0.151241021,Sabon Birni
Kaita,0.925325839,0,0.074674166,Kaita
Jibia,0.905349227,0,0.094650763,Jibia
Mashi,0.930386177,0,0.069613826,Mashi
Mai'Adua,0.934417437,0,0.065582564,Mai'Adua
Zango,0.921484189,0,0.078515817,Zango
Baure,0.911659562,0,0.088340436,Baure
Sule-Tankarkar,0.900749423,0,0.099250575,Sule-Tankarkar
Maigatari,0.904813338,0,0.095186658,Maigatari
Ussa,0.059763313,0.721089218,0.219147466,Ussa
Machina,0.897087264,0,0.102912742,Machina
Yusufari,0.933117508,2.27e-12,0.066882493,Yusufari
Shomolu,0.243564333,0.555853587,0.200582073,Shomolu
Yunusari,0.954893091,0,0.045106912,Yunusari
Monguno,0.771890785,0.024470003,0.203639214,Monguno
Mobbar,0.907503734,0.001231627,0.091264636,Mobbar
Ngala,0.669178014,0.035594725,0.295227262,Ngala
Abadam,0.942252285,0.003707749,0.027861956,Abadam
Kukawa,0.857221848,0.005759891,0.076932425,Kukawa
Kala-Balge,0.636159479,0.041938611,0.32190191,Kala-Balge
Bama,0.491565446,0.086363855,0.4220707,Bama
Gwoza,0.49496873,0.06947989,0.435551385,Gwoza
Madagali,0.50393069,0.091580899,0.404488404,Madagali
Michika,0.439021778,0.141712066,0.419266161,Michika
Mubi North,0.389682668,0.182922435,0.427394901,Mubi North
Maiha,0.448283131,0.161257457,0.390459405,Maiha
Fufore,0.254459189,0.322685717,0.422855095,Fufore
Jada,0.440825762,0.205085525,0.354088715,Jada
Ganaye,0.447438631,0.194212174,0.358349197,Ganaye
Toungo,0.223374779,0.415639879,0.360985344,Toungo
Kurmi,0.1184411,0.64443416,0.237124741,Kurmi
Gashaka,0.143104,0.583637562,0.273258439,Gashaka
Sardauna,0.326324469,0.396388831,0.277286698,Sardauna
Takum,0.084220068,0.702571452,0.213208482,Takum
Kwande,0.052053188,0.713016172,0.234930641,Kwande
Obanliku,0.122783749,0.608508579,0.268707674,Obanliku
Boki,0.049257275,0.753011857,0.197730871,Boki
Etung,0.042679697,0.750617654,0.206702655,Etung
Akamkpa,0.059599822,0.733831007,0.206569172,Akamkpa
Bakassi,0.21997494,0.660633269,0.119391787,Bakassi
Akpabuyo,0.354838014,0.472691064,0.172470915,Akpabuyo
Eti-Osa,0.061063147,0.866991773,0.071945075,Eti-Osa
Ikorodu,0.25941513,0.570965226,0.169619646,Ikorodu
Kosofe,0.11536584,0.751782374,0.132851774,Kosofe
Lagos Island,0.236072108,0.709422103,0.05450578,Lagos Island
Lagos Mainland,0.234251971,0.706714663,0.059033361,Lagos Mainland
