,LGA,archetype
1,Aba North,Ngor-Okpala
2,Aba South,Ngor-Okpala
3,Arochukwu,Ngor-Okpala
4,Bende,Ngor-Okpala
5,Ikwuano,Ngor-Okpala
6,Isiala-Ngwa North,Ngor-Okpala
7,Isiala-Ngwa South,Ngor-Okpala
8,Isuikwato,Ngor-Okpala
9,Obi Nwa,Ngor-Okpala
10,Ohafia,Ngor-Okpala
11,Osisioma Ngwa,Ngor-Okpala
12,Ugwunagbo,Ngor-Okpala
13,Ukwa East,Nsit Ubium
14,Ukwa West,Nsit Ubium
15,Umu-Neochi,Oru West
16,Umuahia North,Ngor-Okpala
17,Umuahia South,Ngor-Okpala
18,Demsa,Alkaleri
19,Gireri,Darazo
20,Gombi,Alkaleri
21,Guyuk,Alkaleri
22,Hong,Darazo
23,Lamurde,Alkaleri
24,Mayo-Belwa,Alkaleri
25,Numan,Alkaleri
26,Shelleng,Darazo
27,Itu,Ngor-Okpala
28,Song,Darazo
29,Yola North,Alkaleri
30,Yola South,Alkaleri
31,Abak,Nsit Ubium
32,Awka North,Uzo-Uwani
33,Eket,Nsit Ubium
34,Esit Eket,Nsit Ubium
35,Essien Udim,Ngor-Okpala
36,Etim Ekpo,Ngor-Okpala
37,Etinan,Nsit Ubium
38,Ibesikpo Asutan,Nsit Ubium
39,Ibiono Ibom,Ngor-Okpala
40,Ika,Ngor-Okpala
41,Ikono,Ngor-Okpala
42,Ikot Abasi,Nsit Ubium
43,Ikot Ekpene,Ngor-Okpala
44,Ini,Ngor-Okpala
45,Mkpat Enin,Nsit Ubium
46,Nsit Atai,Nsit Ubium
47,Nsit Ibom,Nsit Ubium
48,Nsit Ubium,Nsit Ubium
49,Awka South,Uzo-Uwani
50,Obot Akara,Ngor-Okpala
51,Okobo,Nsit Ubium
52,Onna,Nsit Ubium
53,Oruk Anam,Nsit Ubium
54,Ukanafun,Nsit Ubium
55,Uruan,Nsit Ubium
56,Urue-Offong/Oruko,Nsit Ubium
57,Ayamelum,Uzo-Uwani
58,Uyo,Nsit Ubium
59,Aguata,Oru West
60,Anambra East,Uzo-Uwani
61,Anambra West,Uzo-Uwani
62,Anaocha,Oru West
63,Dunukofia,Uzo-Uwani
64,Ekwusigo,Oru West
65,Idemili North,Uzo-Uwani
66,Idemili South,Oru West
67,Ihiala,Oru West
68,Njikoka,Uzo-Uwani
69,Nnewi North,Oru West
70,Nnewi South,Oru West
71,Ogbaru,Ahoada West
72,Onitsha North,Uzo-Uwani
73,Onitsha South,Uzo-Uwani
74,Orumba North,Oru West
75,Orumba South,Oru West
76,Oyi,Uzo-Uwani
77,Alkaleri,Alkaleri
78,Bauchi,Alkaleri
79,Bogoro,Alkaleri
80,Damban,Darazo
81,Darazo,Darazo
82,Dass,Alkaleri
83,Gamawa,Gwarzo
84,Jama'are,Taura
85,Ganjuwa,Darazo
86,Giade,Darazo
87,Itas/Gadau,Taura
88,Katagum,Gwarzo
89,Kirfi,Alkaleri
90,Misau,Darazo
91,Ningi,Takali
92,Ukum,Keana
93,Shira,Takali
94,Tafawa-Balewa,Alkaleri
95,Toro,Giwa
96,Warji,Takali
97,Zaki,Taura
98,Kolokuma/Opokuma,Ahoada West
99,Nembe,Ahoada West
100,Ogbia,Ahoada West
101,Sagbama,Ahoada West
102,Yenegoa,Isoko South
103,Ado,Akinyele
104,Agatu,Keana
105,Apa,Keana
106,Buruku,Keana
107,Gboko,Keana
108,Guma,Keana
109,Gwer East,Oke-Ero
110,Gwer West,Keana
111,Katsina-Ala,Keana
112,Konshisha,Oke-Ero
113,Logo,Keana
114,Makurdi,Keana
115,Obi1,Keana
116,Ogbadibo,Owan East
117,Ohimini,Akinyele
118,Oju,Oke-Ero
119,Okpokwu,Akinyele
120,Oturkpo,Owan East
121,Tarka,Keana
122,Ushongo,Oke-Ero
123,Vandeikya,Oke-Ero
124,Askira/Uba,Darazo
125,Enugu East,Uzo-Uwani
126,Bayo,Alkaleri
127,Biu,Darazo
128,Chibok,Darazo
129,Damboa,Darazo
130,Biase,Ngor-Okpala
131,Dikwa,Darazo
132,Gubio,Gawabawa
133,Jere,Gawabawa
134,Guzamala,Babura
135,Hawul,Darazo
136,Kwaya Kusar,Alkaleri
137,Enugu North,Uzo-Uwani
138,Kaga,Darazo
139,Mafa,Darazo
140,Obudu,Obubra
141,Konduga,Darazo
142,Bomadi,Isoko South
143,Magumeri,Gawabawa
144,Maiduguri,Darazo
145,Shani,Alkaleri
146,Abi,Obubra
147,Marte,Babura
148,Nganzai,Gawabawa
149,Bekwara,Oke-Ero
150,Calabar-Municipal,Nsit Ubium
151,Ikom,Obubra
152,Obubra,Obubra
153,Enugu South,Uzo-Uwani
154,Odukpani,Ngor-Okpala
155,Ogoja,Obubra
156,Yakurr,Obubra
157,Ogbomosho North,Akinyele
158,Yala,Oke-Ero
159,Aniocha North,Uzo-Uwani
160,Aniocha South,Uzo-Uwani
161,Ibadan South West,Owan East
162,Ethiope East,Isoko South
163,Ethiope West,Isoko South
164,Ika North East,Uzo-Uwani
165,Ika South,Uzo-Uwani
166,Isoko North,Isoko South
167,Ogbomosho South,Akinyele
168,Isoko South,Isoko South
169,Ndokwa East,Ahoada West
170,Ndokwa West,Isoko South
171,Okpe,Isoko South
172,Oshimili North,Uzo-Uwani
173,Oshimili South,Uzo-Uwani
174,Patani,Isoko South
175,Sapele,Isoko South
176,Udu,Isoko South
177,Ughelli North,Isoko South
178,Ughelli South,Isoko South
179,Ukwuani,Uzo-Uwani
180,Uvwie,Isoko South
181,Warri South,Isoko South
182,Ohaozara,Obubra
183,Abakaliki,Owan East
184,Afikpo North,Oru West
185,Afikpo South,Ngor-Okpala
186,Ebonyi,Owan East
187,Ezza North,Owan East
188,Ezza South,Obubra
189,Ikwo,Obubra
