,LGA,time2,month,year ,PfPr_RDT,ci_l,ci_u,Number of Kids,PfPr_microscopy,ci_l,ci_u,Number of Kids
63,Alimosho,18-Aug,8,2018,0.035228785,-0.015619112,0.086076682,101,0,0,0,79
64,Alkaleri,18-Nov,11,2018,0.60042726,0.446012557,0.754841962,16,0.574631912,0.263221142,0.886042683,10
65,Alkaleri,18-Aug,8,2018,0.604680583,0.597055683,0.612305484,33,0.062711874,0.007933904,0.117489845,12
66,Amuwo-Odofin,18-Dec,12,2018,0,0,0,36,0,0,0,25
67,Anambra East,18-Nov,11,2018,0,0,0,9,0,0,0,7
68,Anambra West,18-Dec,12,2018,0.183992353,-0.065773843,0.433758549,38,0.143076009,-0.056587984,0.342740003,35
69,Anaocha,18-Oct,10,2018,0.266009886,0.070083473,0.4619363,14,0,0,0,10
70,Anaocha,18-Sep,9,2018,0.090909091,0.090909091,0.090909091,8,0,0,0,7
71,Andoni,18-Sep,9,2018,0.166396183,0.050905415,0.281886952,14,0.187626738,0.133534342,0.241719133,9
72,Aninri,18-Nov,11,2018,0.600922564,0.518807716,0.683037411,18,0.469528066,0.215623672,0.723432459,13
73,Aniocha North,18-Sep,9,2018,0,0,0,1,,,,
74,Aniocha South,18-Sep,9,2018,0.389495379,0.364966503,0.414024255,8,0.067424554,-0.094261675,0.229110783,6
75,Anka,18-Nov,11,2018,0.68547832,0.638879398,0.732077243,26,0.521035597,0.253904517,0.788166678,16
76,Ankpa,18-Nov,11,2018,0.763572678,0.73554814,0.791597216,9,0.194835676,0.068832761,0.32083859,7
77,Apa,18-Nov,11,2018,0.75,0.75,0.75,8,0,0,0,4
78,Apapa,18-Nov,11,2018,0,0,0,55,0,0,0,41
79,Ardo-Kola,18-Sep,9,2018,0.2,0.2,0.2,4,0,0,0,2
80,Arewa-Dandi,18-Oct,10,2018,0.6,0.6,0.6,6,0.571428571,0.571428571,0.571428571,4
81,Argungu,18-Oct,10,2018,0.748890741,0.69028797,0.807493512,30,0.303294724,0.27255557,0.334033877,7
82,Argungu,18-Sep,9,2018,0.375,0.375,0.375,8,0.333333333,0.333333333,0.333333333,6
83,Arochukwu,18-Dec,12,2018,1,1,1,1,1,1,1,1
84,Arochukwu,18-Sep,9,2018,0.391077633,0.274948656,0.50720661,17,0.03630363,-0.030972495,0.103579755,12
85,Asa,18-Dec,12,2018,0.8,0.8,0.8,24,0.333333333,0.333333333,0.333333333,22
86,Asari-Toru,18-Oct,10,2018,0.356821793,0.300891667,0.412751919,19,0,0,0,13
87,Asari-Toru,18-Nov,11,2018,0,0,0,6,0,0,0,4
88,Askira-Uba,18-Dec,12,2018,0.159192938,0.064910355,0.253475521,12,0.038392311,-0.025268877,0.1020535,8
