,LGA,time2,month,year ,PfPr_RDT,ci_l,ci_u,Number of Kids,PfPr_microscopy,ci_l,ci_u,Number of Kids
270,Gboyin,18-Nov,11,2018,0.638095298,0.301711595,0.974479001,9,0.121904786,-0.012756468,0.256566039,7
271,Gezawa,18-Aug,8,2018,0,0,0,13,0,0,0,6
272,Giade,18-Nov,11,2018,0.625,0.625,0.625,8,0.6,0.6,0.6,5
273,Gireri,18-Sep,9,2018,0.16918425,0.017591296,0.320777205,7,0.234505832,0.118005693,0.351005971,5
274,Giwa,18-Dec,12,2018,0.423361281,0.308614655,0.538107907,42,0.408827141,0.318053364,0.499600918,34
275,Gokana,18-Oct,10,2018,0,0,0,1,0,0,0,1
276,Gokana,18-Sep,9,2018,0.450197791,0.339654862,0.56074072,16,0.308043469,0.111753693,0.504333246,11
277,Gombe,18-Aug,8,2018,0.26166328,0.230455315,0.292871245,10,0.087221093,0.076818438,0.097623748,10
278,Gombe,18-Sep,9,2018,0,0,0,12,0,0,0,8
279,Gombi,18-Oct,10,2018,0.888888889,0.888888889,0.888888889,10,0.714285714,0.714285714,0.714285714,8
280,Gombi,18-Aug,8,2018,0,0,0,0,0,0,0,0
281,Gombi,18-Sep,9,2018,0.125,0.125,0.125,10,0,0,0,5
282,Goronyo,18-Dec,12,2018,0.285714286,0.285714286,0.285714286,2,0,0,0,1
283,Gubio,18-Nov,11,2018,0,0,0,5,0,0,0,4
284,Guma,18-Aug,8,2018,0.6,0.6,0.6,5,0,0,0,3
285,Guma,18-Sep,9,2018,0.363636364,0.363636364,0.363636364,7,0.25,0.25,0.25,5
286,Gumel,18-Nov,11,2018,0.555555556,0.555555556,0.555555556,8,0.333333333,0.333333333,0.333333333,5
287,Gummi,18-Sep,9,2018,0.902719045,0.82586364,0.979574449,37,0.862244929,0.651486504,1.073003354,27
288,Gusau,18-Aug,8,2018,0.039024379,-0.057293155,0.135341912,35,0,0,0,34
289,Guyuk,18-Nov,11,2018,0.666666667,0.666666667,0.666666667,14,0,0,0,9
290,Guyuk,18-Dec,12,2018,0.75,0.75,0.75,16,0.5,0.5,0.5,16
291,Gwagwalada,18-Sep,9,2018,0.396439187,0.252167844,0.540710529,13,0.143350009,0.059343389,0.227356629,9
292,Gwale,18-Nov,11,2018,0.097990585,-0.002941436,0.198922606,22,0,0,0,16
293,Gwandu,18-Oct,10,2018,1,1,1,11,0.857142857,0.857142857,0.857142857,7
294,Gwaram,18-Sep,9,2018,0.48707751,0.350607105,0.623547916,25,0.382572534,-0.033528629,0.798673696,20
295,Gwarzo,18-Dec,12,2018,0.75,0.75,0.75,15,0.6,0.6,0.6,10
296,Gwer East,18-Dec,12,2018,0.25,0.25,0.25,4,0,0,0,2
297,Gwer West,18-Dec,12,2018,0.181818182,0.181818182,0.181818182,18,0.222222222,0.222222222,0.222222222,15
298,Gwiwa,18-Oct,10,2018,0.733333333,0.733333333,0.733333333,16,0.357142857,0.357142857,0.357142857,15
299,Hawul,18-Nov,11,2018,0.555555556,0.555555556,0.555555556,4,0.166666667,0.166666667,0.166666667,3
300,Hawul,18-Dec,12,2018,0.2,0.2,0.2,5,0.2,0.2,0.2,2
301,Hong,18-Sep,9,2018,0.666666667,0.666666667,0.666666667,5,0.6,0.6,0.6,4
302,Ibadan North,18-Aug,8,2018,0.316129003,0.129258449,0.502999557,13,0.375478886,0.111855927,0.639101845,11
303,Ibadan North,18-Sep,9,2018,0,0,0,10,0,0,0,6
304,Ibadan North East,18-Sep,9,2018,0.5,0.5,0.5,11,0.8,0.8,0.8,7
305,Ibadan North West,18-Oct,10,2018,0.269569774,0.261904876,0.277234672,58,0.13680538,0.075027995,0.198582765,48
306,Ibadan North West,18-Sep,9,2018,0.333333333,0.333333333,0.333333333,24,0.333333333,0.333333333,0.333333333,18
307,Ibadan South West,18-Oct,10,2018,0.086614177,-0.009520474,0.182748828,10,0.114583337,0.013635697,0.215530978,8
308,Ibadan South West,18-Sep,9,2018,0,0,0,9,0,0,0,8
309,Ibaji,18-Nov,11,2018,0.25,0.25,0.25,4,0,0,0,3
310,Ibaji,18-Dec,12,2018,1,1,1,1,,,,
311,Ibarapa Central,18-Dec,12,2018,0.260831514,-0.024008425,0.545671453,32,0.136251541,0.124715003,0.147788079,23
312,Ibeju-Lekki,18-Nov,11,2018,0.111111111,0.111111111,0.111111111,16,0.142857143,0.142857143,0.142857143,12
313,Ibesikpo Asutan,18-Aug,8,2018,0.666666667,0.666666667,0.666666667,8,,,,
314,Ibiono Ibom,18-Nov,11,2018,0.333333333,0.333333333,0.333333333,5,0.2,0.2,0.2,4
315,Ibiono Ibom,18-Sep,9,2018,0.5,0.5,0.5,3,0.5,0.5,0.5,1
316,Ideato North,18-Oct,10,2018,0.09292683,0.088449216,0.097404443,20,0,0,0,14
317,Ideato North,18-Dec,12,2018,0.166666667,0.166666667,0.166666667,5,0,0,0,4
318,Ideato South,18-Oct,10,2018,0.285714286,0.285714286,0.285714286,2,0,0,0,1
319,Idemili North,18-Oct,10,2018,0.101848347,-0.098246522,0.301943217,53,0.100783862,-0.103593582,0.305161307,35
320,Idemili North,18-Nov,11,2018,0,0,0,16,0,0,0,11
321,Idemili South,18-Oct,10,2018,0.15,0.05847482,0.24152518,18,0,0,0,12
322,Idemili South,18-Nov,11,2018,0,0,0,25,0,0,0,20
323,Ido,18-Oct,10,2018,0.25,0.25,0.25,8,0.2,0.2,0.2,6
324,Ido,18-Sep,9,2018,0,0,0,10,0,0,0,8
325,Idosi-Osi,18-Oct,10,2018,0.325616157,0.246248504,0.404983809,15,0.159025008,0.015416802,0.302633213,11
326,Ifako-Ijaye,18-Dec,12,2018,0.091525425,-0.042871691,0.225922541,40,0,0,0,30
327,Ife Central,18-Nov,11,2018,0.571428571,0.194115346,0.948741797,8,0.627906977,-0.032034057,1.28784801,4
328,Ife East,18-Nov,11,2018,0.5,0.5,0.5,11,0,0,0,5
329,Ife North,18-Nov,11,2018,0.258030511,-0.031994024,0.548055047,10,0.128602159,-0.001074448,0.258278767,7
330,Ifedayo,18-Oct,10,2018,0.714285714,0.714285714,0.714285714,7,0.5,0.5,0.5,6
331,Ifedore,18-Oct,10,2018,0.485344433,0.25301656,0.717672306,5,0.471859967,0.288942324,0.654777609,4
332,Ifelodun1,18-Sep,9,2018,0.386384865,0.128999604,0.643770126,31,0.257048916,0.03718935,0.476908483,27
333,Ifelodun2,18-Sep,9,2018,0.666666667,0.666666667,0.666666667,4,0.5,0.5,0.5,2
334,Ifo,18-Oct,10,2018,0,0,0,25,0,0,0,19
335,Ifo,18-Sep,9,2018,0.2,0.2,0.2,5,0.25,0.25,0.25,4
336,Igabi,18-Dec,12,2018,0.420257917,0.269329785,0.571186049,149,0.496021617,0.375313494,0.61672974,108
337,Igalamela-Odolu,18-Dec,12,2018,0.130331413,-0.068361555,0.329024382,9,0,0,0,7
338,Igbo-Etiti,18-Oct,10,2018,0.166666667,0.166666667,0.166666667,17,0.090909091,0.090909091,0.090909091,16
339,Igbo-Etiti,18-Sep,9,2018,0.413985606,-0.100111251,0.928082463,6,0,0,0,4
340,Igbo-Eze North,18-Aug,8,2018,0.821198812,0.710583558,0.931814067,9,0.372722178,0.28934632,0.456098036,7
341,Igbo-Eze South,18-Sep,9,2018,0.273011027,-0.070529544,0.616551598,7,0.125143074,-0.048094677,0.298380826,5
342,Igueben,18-Oct,10,2018,0.312264274,-0.282996101,0.907524649,2,0.656132137,0.358501949,0.953762324,2
343,Ihiala,18-Aug,8,2018,0.665689154,0.587027245,0.744351063,16,0.269230785,-0.01266287,0.55112444,15
344,Ijebu East,18-Nov,11,2018,0.142857143,0.142857143,0.142857143,10,0.25,0.25,0.25,6
345,Ijebu North,18-Nov,11,2018,0.600419433,0.301828766,0.899010099,10,0.226366568,0.1918225,0.260910636,8
346,Ijebu North East,18-Nov,11,2018,0.5,0.5,0.5,3,0.4,0.4,0.4,3
347,Ijebu ode,18-Nov,11,2018,0,0,0,15,0,0,0,14
348,Ijero,18-Oct,10,2018,0.5,0.5,0.5,12,0.333333333,0.333333333,0.333333333,8
349,Ijumu,18-Sep,9,2018,0.75,0.75,0.75,3,0.333333333,0.333333333,0.333333333,2
350,Ika North East,18-Aug,8,2018,0.2,0.2,0.2,5,0.25,0.25,0.25,4
351,Ika South,18-Aug,8,2018,0.25,0.25,0.25,6,0,0,0,4
352,Ikara,18-Oct,10,2018,0.525103661,0.300341001,0.749866321,36,0.511111136,0.253406202,0.768816071,26
353,Ikeduru,18-Sep,9,2018,0.313506583,-0.018615616,0.645628782,5,0.228339104,-0.124027836,0.580706044,3
354,Ikeja,18-Sep,9,2018,0,0,0,6,0,0,0,6
355,Ikenne,18-Nov,11,2018,0.3,0.3,0.3,7,0.111111111,0.111111111,0.111111111,6
356,Ikere,18-Nov,11,2018,1,1,1,4,0.4,0.4,0.4,3
357,Ikole,18-Sep,9,2018,0.325707562,0.048760866,0.602654258,17,0.259453085,0.149923793,0.368982376,12
358,Ikom,18-Sep,9,2018,0.122615849,-0.096035172,0.34126687,5,0,0,0,4
359,Ikono,18-Sep,9,2018,0.4,0.4,0.4,6,0,0,0,6
360,Ikorodu,18-Oct,10,2018,0.032707827,-0.037695297,0.103110951,44,0,0,0,36
361,Ikot Abasi,18-Dec,12,2018,0.363636364,0.363636364,0.363636364,9,0.25,0.25,0.25,7
362,Ikot Ekpene,18-Sep,9,2018,0.251680133,0.080794131,0.422566135,11,0.336326943,0.031163899,0.641489987,8
363,Ikpoba-Okha,18-Aug,8,2018,0,0,0,6,0,0,0,6
364,Ikpoba-Okha,18-Sep,9,2018,0.148148178,-0.149712842,0.446009199,5,0,0,0,3
365,Ikwerre,18-Oct,10,2018,0.443143087,0.102307983,0.783978192,45,0.375325071,0.034380144,0.716269997,33
366,Ikwo,18-Oct,10,2018,0.461538462,0.461538462,0.461538462,8,0.5,0.5,0.5,6
367,Ikwo,18-Aug,8,2018,0.18310029,0.055109717,0.311090863,35,0.047786157,-0.004999788,0.100572103,28
368,Ikwuano,18-Oct,10,2018,0,0,0,1,0,0,0,1
369,Ila,18-Oct,10,2018,0.550021701,0.466855452,0.63318795,14,0.400028934,0.289140602,0.510917266,11
370,Ilaje,18-Dec,12,2018,0.142857143,0.142857143,0.142857143,7,0.2,0.2,0.2,5
371,Ile-Oluji-Okeigbo,18-Nov,11,2018,0.25,0.25,0.25,5,0.5,0.5,0.5,5
372,Ile-Oluji-Okeigbo,18-Dec,12,2018,0,0,0,3,0,0,0,3
373,Ilemeji,18-Oct,10,2018,0.625,0.625,0.625,1,0.6,0.6,0.6,1
374,Ilesha East,18-Oct,10,2018,0.4,0.4,0.4,6,0.333333333,0.333333333,0.333333333,3
375,Ilesha West,18-Oct,10,2018,0.232030268,0.067498847,0.39656169,19,0,0,0,13
376,Illela,18-Oct,10,2018,0.670643138,0.525036119,0.816250156,26,0.360433629,0.131103281,0.589763977,20
377,Illela,18-Nov,11,2018,0.666666667,0.666666667,0.666666667,9,0.428571429,0.428571429,0.428571429,7
378,Ilorin East,18-Sep,9,2018,0,0,0,14,0,0,0,9
379,Ilorin West,18-Aug,8,2018,0.320879083,0.00293637,0.638821795,20,0.152173882,-0.104091895,0.408439659,18
380,Imeko-Afon,18-Oct,10,2018,0.833333333,0.833333333,0.833333333,2,0.75,0.75,0.75,1
381,Ingawa,18-Oct,10,2018,0.733333333,0.733333333,0.733333333,20,0.111111111,0.111111111,0.111111111,12
382,Ini,18-Sep,9,2018,0.5,0.5,0.5,6,0.333333333,0.333333333,0.333333333,5
383,Ipokia,18-Oct,10,2018,0.833333333,0.833333333,0.833333333,15,0.75,0.75,0.75,10
384,Irele,18-Nov,11,2018,0.25,0.25,0.25,3,0.333333333,0.333333333,0.333333333,2
385,Irepodun-Ifelodun,18-Nov,11,2018,0.666666667,0.666666667,0.666666667,2,0,0,0,1
386,Irepodun1,18-Dec,12,2018,0.664573075,0.558746322,0.770399829,5,0,0,0,1
387,Irepodun2,18-Sep,9,2018,0.333333333,0.333333333,0.333333333,16,0.166666667,0.166666667,0.166666667,11
388,Irewole,18-Dec,12,2018,0.763239782,0.331986665,1.194492899,17,0.274261599,0.252285877,0.29623732,12
389,Isa,18-Dec,12,2018,0.090909091,0.090909091,0.090909091,9,0,0,0,7
390,Ise-Orun,18-Dec,12,2018,0.605392161,0.49586568,0.714918642,11,0.75,0.75,0.75,10
391,Iseyin,18-Dec,12,2018,0.428364179,0.287323389,0.569404969,36,0.154255344,-0.061283095,0.369793783,34
392,Ishielu,18-Aug,8,2018,0.6,0.6,0.6,11,0.222222222,0.222222222,0.222222222,10
393,Ishielu,18-Sep,9,2018,0.533333333,0.533333333,0.533333333,18,0.363636364,0.363636364,0.363636364,13
394,Isiala Mbano,18-Dec,12,2018,0.133333333,0.133333333,0.133333333,6,0.153846154,0.153846154,0.153846154,5
395,Isiala Mbano,18-Sep,9,2018,0.25,0.25,0.25,5,0,0,0,4
396,Isiala-Ngwa North,18-Oct,10,2018,0,0,0,6,0,0,0,4
397,Isiala-Ngwa North,18-Nov,11,2018,0.142857143,0.142857143,0.142857143,4,0,0,0,4
398,Isiala-Ngwa South,18-Oct,10,2018,0.26697874,0.146427964,0.387529516,18,0.338195726,0.23539356,0.440997891,10
399,Isin,18-Oct,10,2018,0.470160112,0.430006286,0.510313938,8,0.160469694,-0.082672183,0.403611571,6
400,Isoko North,18-Oct,10,2018,0,0,0,8,0,0,0,8
401,Isoko South,18-Dec,12,2018,0,0,0,4,0,0,0,4
402,Isu,18-Oct,10,2018,0,0,0,2,0,0,0,2
403,Isuikwato,18-Sep,9,2018,0,0,0,3,,,,
404,Itas-Gadau,18-Oct,10,2018,0.714285714,0.714285714,0.714285714,4,0.5,0.5,0.5,2
405,Itas-Gadau,18-Dec,12,2018,0.8,0.8,0.8,3,0,0,0,2
406,Itu,18-Sep,9,2018,0.5,0.5,0.5,3,,,,
407,Iwajowa,18-Dec,12,2018,0.428571429,0.428571429,0.428571429,12,0,0,0,12
408,Iwo,18-Dec,12,2018,0.497698738,0.327187391,0.668210084,24,0.19228616,0.079727839,0.30484448,15
409,Izzi,18-Dec,12,2018,0.538461538,0.538461538,0.538461538,17,0,0,0,9
410,Izzi,18-Sep,9,2018,0.685072246,0.617349064,0.752795428,54,0.354320429,0.265731644,0.442909213,44
411,Jaba,18-Sep,9,2018,0,0,0,2,0,0,0,1
412,Jada,18-Oct,10,2018,0.596982512,0.408470032,0.785494992,15,0.349267908,0.27457369,0.423962127,13
413,Jahun,18-Sep,9,2018,0.694753238,0.486802593,0.902703882,35,0.510299564,0.281043378,0.739555749,32
414,Jakusko,18-Nov,11,2018,0.454545455,0.454545455,0.454545455,7,0.428571429,0.428571429,0.428571429,5
415,Jakusko,18-Dec,12,2018,0.401311243,0.237226917,0.565395569,10,0.245138818,0.055934533,0.434343103,9
416,Jalingo,18-Aug,8,2018,0.230215825,0.212928941,0.247502709,13,0.052083319,-0.056640606,0.160807244,9
417,Jalingo,18-Sep,9,2018,0.4,0.4,0.4,2,0,0,0,2
418,Jama'are,18-Oct,10,2018,0.215572295,0.118442641,0.312701949,24,0.201862811,0.166111176,0.237614445,19
419,Jega,18-Sep,9,2018,0.722280599,0.713762323,0.730798876,16,0.430114516,0.205085106,0.655143925,12
420,Jema'a,18-Sep,9,2018,0.357421871,0.249890196,0.464953546,34,0.24620061,0.178263363,0.314137858,22
421,Jere,18-Oct,10,2018,0.125,0.125,0.125,12,0.4,0.4,0.4,8
422,Jere,18-Sep,9,2018,0,0,0,34,0,0,0,34
423,Jibia,18-Sep,9,2018,0.4,0.4,0.4,33,0.153846154,0.153846154,0.153846154,29
424,Jos East,18-Nov,11,2018,0.384615385,0.384615385,0.384615385,6,0.416666667,0.416666667,0.416666667,6
425,Jos North,18-Nov,11,2018,0,0,0,18,0,0,0,9
426,Jos North,18-Dec,12,2018,0.09225377,-0.015225534,0.199733075,14,0,0,0,10
427,Jos South,18-Dec,12,2018,0,0,0,6,0,0,0,6
428,Kabba-Bunu,18-Aug,8,2018,0.25,0.25,0.25,8,0,0,0,5
429,Kabo,18-Oct,10,2018,0.769230769,0.769230769,0.769230769,14,0.5,0.5,0.5,9
430,Kabo,18-Sep,9,2018,0.625,0.625,0.625,7,0,0,0,4
431,Kachia,18-Oct,10,2018,0.580448789,0.42835788,0.732539699,34,0.534138525,0.286895877,0.781381173,27
432,Kaduna North,18-Aug,8,2018,0.1,0.1,0.1,10,0.111111111,0.111111111,0.111111111,9
433,Kaduna North,18-Sep,9,2018,0.2,0.2,0.2,3,0.333333333,0.333333333,0.333333333,2
434,Kaduna South,18-Dec,12,2018,0.162244894,0.021828223,0.302661565,15,0.166666667,-0.070646804,0.403980137,8
435,Kafin Hausa,18-Dec,12,2018,0.391160562,0.264513378,0.517807745,22,0.264946356,0.194426114,0.335466599,19
436,Kafur,18-Nov,11,2018,0.285714286,0.285714286,0.285714286,25,0.230769231,0.230769231,0.230769231,23
437,Kafur,18-Dec,12,2018,0.1875,0.1875,0.1875,18,0,0,0,12
438,Kaga,18-Oct,10,2018,0.307692308,0.307692308,0.307692308,14,0.272727273,0.272727273,0.272727273,11
439,Kagarko,18-Sep,9,2018,0.428571429,0.428571429,0.428571429,14,0.5,0.5,0.5,12
440,Kaiama,18-Sep,9,2018,0.454545455,0.454545455,0.454545455,6,0.5,0.5,0.5,4
441,kaita,18-Sep,9,2018,0.285714286,0.285714286,0.285714286,24,0.25,0.25,0.25,14
442,Kajola,18-Dec,12,2018,0.351188795,0.24456576,0.45781183,15,0.177091482,0.157232833,0.196950132,11
443,Kajuru,18-Nov,11,2018,0.625,0.625,0.625,9,0,0,0,4
444,Kalgo,18-Oct,10,2018,1,1,1,10,0.6,0.6,0.6,9
445,Kalgo,18-Sep,9,2018,0.72134776,0.373370601,1.069324918,10,0.652911226,0.527861589,0.777960863,8
446,Kanam,18-Sep,9,2018,0.734928227,0.720566124,0.74929033,13,0.288021506,0.145970949,0.430072062,9
447,Kankara,18-Nov,11,2018,0.4375,0.4375,0.4375,24,0.25,0.25,0.25,12
448,Kanke,18-Sep,9,2018,0.789402252,0.538240393,1.040564111,21,0.540952533,0.051347989,1.030557077,15
449,Kankia,18-Sep,9,2018,0.928571429,0.928571429,0.928571429,27,0.666666667,0.666666667,0.666666667,23
450,Karasuwa,18-Oct,10,2018,0.125,0.125,0.125,8,0.166666667,0.166666667,0.166666667,6
451,Karasuwa,18-Dec,12,2018,0.340513573,0.018808737,0.66221841,15,0,0,0,11
452,Karaye,18-Oct,10,2018,0.666666667,0.666666667,0.666666667,23,0.454545455,0.454545455,0.454545455,22
453,Karin-Lamido,18-Dec,12,2018,0.425159298,0.185433207,0.66488539,21,0.080297429,-0.046589921,0.20718478,15
454,Karu,18-Aug,8,2018,0.118849195,-0.113459397,0.351157787,28,0.08603631,-0.086669639,0.258742258,23
455,Katagum,18-Oct,10,2018,0.447863256,0.377622171,0.518104342,27,0.363568217,0.351984267,0.375152168,21
456,Katagum,18-Nov,11,2018,0.396725518,0.165667487,0.627783549,7,0,0,0,3
457,Katcha,18-Nov,11,2018,0.285714286,0.285714286,0.285714286,13,0.265420554,0.141162891,0.389678217,10
458,Katsina,18-Aug,8,2018,0.192872092,0.070721617,0.315022567,26,0,0,0,20
459,Katsina-Ala,18-Oct,10,2018,0.4,0.4,0.4,15,0.333333333,0.333333333,0.333333333,9
460,Katsina-Ala,18-Sep,9,2018,0.157894737,0.04873414,0.267055334,12,0.133333333,0.09580288,0.170863786,9
461,Kaugama,18-Dec,12,2018,0.357142857,0.357142857,0.357142857,14,0.272727273,0.272727273,0.272727273,11
462,Kaura,18-Sep,9,2018,0,0,0,11,0,0,0,8
463,Kaura-Namoda,18-Nov,11,2018,0.416666667,0.416666667,0.416666667,5,0.111111111,0.111111111,0.111111111,4
464,Kaura-Namoda,18-Dec,12,2018,0.666666667,0.666666667,0.666666667,9,0.375,0.375,0.375,8
465,Kaura-Namoda,18-Sep,9,2018,0.403508772,0.319919798,0.487097746,13,0.071428571,-0.044039361,0.186896503,10
466,Kauru,18-Dec,12,2018,0,0,0,12,0,0,0,10
467,Kazaure,18-Oct,10,2018,0.4,0.4,0.4,15,0.214285714,0.214285714,0.214285714,14
468,Keana,18-Oct,10,2018,0.22969184,0.102383917,0.356999763,3,0.350427266,0.053870531,0.646984,2
469,Keffi,18-Sep,9,2018,0.220394412,-0.046742468,0.487531291,4,0.258354309,-0.108728554,0.625437172,3
470,Khana,18-Sep,9,2018,0.4,0.4,0.4,16,0.142857143,0.142857143,0.142857143,11
471,Kirfi,18-Aug,8,2018,0.5,0.5,0.5,4,0,0,0,2
472,Kiri Kasamma,18-Dec,12,2018,0.311111123,0.265261651,0.356960595,18,0,0,0,11
473,Kiru,18-Sep,9,2018,0.672983938,0.458461083,0.887506793,24,0.472364629,0.326214887,0.618514371,18
474,kiyawa,18-Sep,9,2018,0.523809524,0.523809524,0.523809524,23,0.357142857,0.357142857,0.357142857,15
475,Kogi,18-Nov,11,2018,0.6,0.6,0.6,3,0.5,0.5,0.5,2
476,Koko-Besse,18-Nov,11,2018,0.963517309,0.901904327,1.025130291,12,0.948207176,0.85501572,1.041398632,9
477,Kokona,18-Oct,10,2018,0.7,0.7,0.7,5,0.2,0.2,0.2,3
478,Kokona,18-Sep,9,2018,0.555555556,0.555555556,0.555555556,4,0.166666667,0.166666667,0.166666667,3
479,Kolokuma-Opokuma,18-Aug,8,2018,0.357857145,0.267907504,0.447806787,10,0.260471203,0.2101307,0.310811706,5
480,Kolokuma-Opokuma,18-Sep,9,2018,0,0,0,3,0,0,0,2
481,Konduga,18-Oct,10,2018,0.333333333,0.333333333,0.333333333,25,0.090909091,0.090909091,0.090909091,23
482,Konshisha,18-Oct,10,2018,0.285714286,0.285714286,0.285714286,7,0,0,0,5
483,Kontagora,18-Oct,10,2018,0.648089933,0.318996229,0.977183636,16,0.470932232,0.274855327,0.667009137,11
484,Kosofe,18-Oct,10,2018,0,0,0,41,0.055223187,-0.025165526,0.135611901,32
485,Kubau,18-Oct,10,2018,0.333333333,0.333333333,0.333333333,13,0.666666667,0.666666667,0.666666667,7
486,Kubau,18-Nov,11,2018,0.295723397,-0.089312412,0.680759206,19,0.173518428,-0.091974712,0.439011568,16
487,Kudan,18-Nov,11,2018,0.405858954,0.161552172,0.650165736,22,0.495534414,0.311224399,0.67984443,19
488,Kukawa,18-Oct,10,2018,0.25,0.25,0.25,4,0.285714286,0.285714286,0.285714286,3
489,Kunchi,18-Dec,12,2018,0.309734443,0.011179586,0.6082893,10,0.333333333,0.333333333,0.333333333,5
490,Kura,18-Nov,11,2018,0.466666667,0.466666667,0.466666667,14,0.111111111,0.111111111,0.111111111,9
491,Kurmi,18-Nov,11,2018,0,0,0,8,0,0,0,5
492,Kusada,18-Sep,9,2018,0.857142857,0.857142857,0.857142857,24,0.5,0.5,0.5,18
493,Kwali,18-Dec,12,2018,0.793879411,0.750566544,0.837192277,8,0.644938588,0.472121012,0.817756164,5
494,Kwali,18-Sep,9,2018,0.765564611,0.534685446,0.996443776,3,0.462257699,0.397127182,0.527388216,3
495,Kwami,18-Oct,10,2018,0.823529412,0.823529412,0.823529412,7,0.818181818,0.818181818,0.818181818,5
496,Kwami,18-Nov,11,2018,0.733926781,0.418076244,1.049777319,14,0.289875167,0.207071012,0.372679322,10
497,Kwande,18-Oct,10,2018,0.060308541,0.003167809,0.117449274,18,0,0,0,12
498,Kware,18-Nov,11,2018,0.416666667,0.416666667,0.416666667,10,0.444444444,0.444444444,0.444444444,7
499,Lafia,18-Nov,11,2018,0.304042883,0.158468234,0.449617533,58,0.123570683,0.009895838,0.237245527,49
500,Lafia,18-Dec,12,2018,0.258513965,0.10893435,0.408093581,14,0,0,0,9
501,Lagos Island,18-Oct,10,2018,0,0,0,37,0,0,0,34
502,Lagos Mainland,18-Oct,10,2018,0.25,0.25,0.25,9,0,0,0,8
503,Lagos Mainland,18-Sep,9,2018,0,0,0,7,0,0,0,7
504,Lamurde,18-Dec,12,2018,0.25,0.25,0.25,5,0.125,0.125,0.125,5
505,Langtang North,18-Sep,9,2018,0.428571429,0.428571429,0.428571429,10,0.375,0.375,0.375,6
506,Lau,18-Dec,12,2018,0,0,0,3,0,0,0,2
507,Lau,18-Sep,9,2018,0.714285714,0.714285714,0.714285714,3,0.8,0.8,0.8,2
508,Lavun,18-Oct,10,2018,0.714285714,0.714285714,0.714285714,19,0.375,0.375,0.375,11
509,Lavun,18-Nov,11,2018,0.127941037,0.082127641,0.173754434,19,0,0,0,13
510,Lere,18-Nov,11,2018,0.43575419,0.347918626,0.523589754,33,0.30625,0.18257298,0.42992702,20
511,Lokoja,18-Nov,11,2018,0.306422514,-0.152534445,0.765379473,12,0.192544588,-0.169884666,0.554973842,10
512,Machina,18-Sep,9,2018,0.395006937,0.320545783,0.46946809,149,0.125,0.0174464,0.2325536,102
513,Magama,18-Sep,9,2018,0.945112382,0.911199577,0.979025188,35,0.771033645,0.625320673,0.916746618,31
514,Mai'Adua,18-Nov,11,2018,0.181818182,0.181818182,0.181818182,11,0,0,0,10
515,Maiduguri,18-Dec,12,2018,0,0,0,11,0,0,0,4
516,Maiduguri,18-Aug,8,2018,0.059118242,0.029723926,0.088512558,22,0,0,0,16
517,Maiduguri,18-Sep,9,2018,0.072998433,0.016044212,0.129952653,56,0,0,0,44
518,Maigatari,18-Nov,11,2018,0.530450556,0.149476725,0.911424387,7,0.146936736,-0.140654737,0.434528209,5
519,Maiha,18-Sep,9,2018,0.6,0.6,0.6,6,0.555555556,0.555555556,0.555555556,6
520,Maiyama,18-Sep,9,2018,0.909090909,0.909090909,0.909090909,13,0.75,0.75,0.75,9
521,Makoda,18-Dec,12,2018,0.583333333,0.583333333,0.583333333,5,0.5,0.5,0.5,3
522,Makurdi,18-Aug,8,2018,0.285714286,0.285714286,0.285714286,8,0.2,0.2,0.2,6
523,Makurdi,18-Sep,9,2018,0,0,0,45,0,0,0,28
524,Malam Madori,18-Dec,12,2018,0.3,0.3,0.3,6,0,0,0,4
525,Malumfashi,18-Dec,12,2018,0.142857143,0.142857143,0.142857143,9,0,0,0,5
526,Mangu,18-Oct,10,2018,0.212489488,0.074988541,0.349990435,30,0.164455266,0.08158947,0.247321062,19
527,Mangu,18-Sep,9,2018,0,0,0,4,0,0,0,4
528,Mani,18-Oct,10,2018,0.582113074,0.438576922,0.725649226,62,0.221716341,-0.003643139,0.447075821,37
529,Maradun,18-Oct,10,2018,0.804511272,0.737995817,0.871026726,24,0.621477519,0.486344465,0.756610573,21
530,Mariga,18-Oct,10,2018,0.666666667,0.666666667,0.666666667,13,0.727272727,0.727272727,0.727272727,10
531,Mashi,18-Oct,10,2018,0.833333333,0.833333333,0.833333333,6,0.333333333,0.333333333,0.333333333,3
532,Matazuu,18-Nov,11,2018,0.857142857,0.857142857,0.857142857,7,0.25,0.25,0.25,4
533,Mayo-Belwa,18-Nov,11,2018,0.5,0.5,0.5,4,0,0,0,1
534,Mbaitoli,18-Sep,9,2018,0.045236074,-0.034468757,0.124940905,16,0,0,0,12
535,Mbo,18-Oct,10,2018,0.6,0.6,0.6,3,0.333333333,0.333333333,0.333333333,2
536,Mbo,18-Nov,11,2018,1,1,1,1,1,1,1,1
537,Michika,18-Sep,9,2018,0,0,0,5,0,0,0,4
538,Miga,18-Dec,12,2018,0.6,0.6,0.6,13,0.571428571,0.571428571,0.571428571,9
539,Minjibir,18-Nov,11,2018,0.25,0.25,0.25,4,0,0,0,2
540,Minjibir,18-Dec,12,2018,0.642066509,0.321174626,0.962958391,11,0.642066509,0.321174626,0.962958391,11
541,Minjibir,18-Aug,8,2018,0.333333333,0.333333333,0.333333333,6,,,,
