,LGA,time2,month,year ,PfPr_microscopy,ci_l,ci_u,Number of Kids,PfPr_RDT,ci_l,ci_u,Number of Kids
1,Aba South,15-Nov,11,2015,0.088170973,-0.020728734,0.19707068,17,0.088170973,-0.020728734,0.19707068,17
2,Abaji,15-Oct,10,2015,0,0,0,2,0.222222222,0.222222222,0.222222222,2
3,Abakaliki,15-Oct,10,2015,0.125,0.125,0.125,23,0.333333333,0.333333333,0.333333333,23
4,Abi,15-Oct,10,2015,0.260869565,0.260869565,0.260869565,23,0.428571429,0.428571429,0.428571429,28
5,Abuja Municipal,15-Oct,10,2015,0,0,0,2,0,0,0,2
6,Abuja Municipal,15-Nov,11,2015,0.098921322,0.046826254,0.15101639,9,0.221038352,0.091759175,0.350317529,9
7,Adavi,15-Oct,10,2015,0.090909091,0.090909091,0.090909091,7,0.384615385,0.384615385,0.384615385,8
8,Ado Ekiti,15-Nov,11,2015,0.230769231,0.230769231,0.230769231,9,0.307692308,0.307692308,0.307692308,9
9,Ado-Odo-Ota,15-Oct,10,2015,0.090909091,0.090909091,0.090909091,11,0.363636364,0.363636364,0.363636364,11
10,Afijio,15-Oct,10,2015,0.5,0.5,0.5,7,0.727272727,0.727272727,0.727272727,10
11,Aguata,15-Oct,10,2015,0.208333333,0.145960533,0.270706134,29,0.25,0.25,0.25,29
12,Ahoada East,15-Oct,10,2015,0.214285714,0.214285714,0.214285714,19,0.285714286,0.285714286,0.285714286,19
13,Ahoada West,15-Nov,11,2015,0,0,0,40,0.130434783,0.130434783,0.130434783,40
14,Ajingi,15-Oct,10,2015,0.285714286,0.285714286,0.285714286,32,0.384615385,0.384615385,0.384615385,29
15,Akamkpa,15-Oct,10,2015,0,0,0,10,0.076923077,0.076923077,0.076923077,11
16,Akoko North East,15-Nov,11,2015,0.111111111,0.111111111,0.111111111,7,0.111111111,0.111111111,0.111111111,7
17,Akoko South West,15-Nov,11,2015,0.1875,0.1875,0.1875,10,0.375,0.375,0.375,10
18,Akure South,15-Oct,10,2015,0.142857143,0.142857143,0.142857143,19,0.214285714,0.214285714,0.214285714,19
19,Albasu,15-Oct,10,2015,0.19047619,0.19047619,0.19047619,38,0.857142857,0.857142857,0.857142857,51
20,Aleiro,15-Oct,10,2015,0.125,0.125,0.125,12,0.176470588,0.176470588,0.176470588,13
21,Alimosho,15-Nov,11,2015,0,0,0,48,0.03030303,0.03030303,0.03030303,48
22,Amuwo-Odofin,15-Oct,10,2015,0,0,0,31,0,0,0,31
23,Anaocha,15-Oct,10,2015,0,0,0,6,0,0,0,6
24,Aniocha North,15-Oct,10,2015,0.333333333,0.333333333,0.333333333,9,0.714285714,0.714285714,0.714285714,10
25,Aniocha South,15-Oct,10,2015,0,0,0,6,0.272727273,0.272727273,0.272727273,6
26,Anka,15-Oct,10,2015,0.756756757,0.756756757,0.756756757,32,0.702702703,0.702702703,0.702702703,32
27,Apapa,15-Oct,10,2015,0,0,0,36,0.045454545,0.045454545,0.045454545,36
28,Ardo-Kola,15-Oct,10,2015,0.75,0.75,0.75,24,0.735294118,0.735294118,0.735294118,25
29,Ardo-Kola,15-Nov,11,2015,0.666666667,0.666666667,0.666666667,2,1,1,1,2
30,Arewa-Dandi,15-Nov,11,2015,0.826086957,0.826086957,0.826086957,24,0.583333333,0.583333333,0.583333333,25
31,Arochukwu,15-Oct,10,2015,0.25,0.25,0.25,4,0.615384615,0.615384615,0.615384615,7
32,Auyo,15-Oct,10,2015,0.277777778,0.277777778,0.277777778,51,0.540540541,0.540540541,0.540540541,53
33,Awe,15-Oct,10,2015,0.12,0.12,0.12,13,0.4,0.4,0.4,13
34,Awka North,15-Oct,10,2015,0,0,0,7,0.8,0.8,0.8,7
35,Awka South,15-Oct,10,2015,0.142823881,-0.06929766,0.354945422,36,0.187475746,0.032803789,0.342147703,36
36,Babura,15-Oct,10,2015,0.5,0.5,0.5,44,0.829268293,0.829268293,0.829268293,46
37,Bade,15-Nov,11,2015,0,0,0,22,0.066666667,0.066666667,0.066666667,22
38,Bagudo,15-Oct,10,2015,0.673809011,0.403789451,0.94382857,54,0.558401446,0.254318305,0.862484587,60
39,Balanga,15-Nov,11,2015,0.4,0.4,0.4,9,0.8,0.8,0.8,9
40,Bali,15-Oct,10,2015,0.260869565,0.260869565,0.260869565,11,0.541666667,0.541666667,0.541666667,11
41,Baruten,15-Oct,10,2015,0.310344828,0.248967689,0.371721966,28,0.764705882,0.65438819,0.875023575,33
42,Bassa2,15-Oct,10,2015,0.064516129,0.064516129,0.064516129,20,0.096774194,0.096774194,0.096774194,20
43,Bauchi,15-Oct,10,2015,0,0,0,21,0,0,0,21
44,Bauchi,15-Nov,11,2015,0.529411765,0.529411765,0.529411765,21,0.85,0.85,0.85,25
45,Bende,15-Oct,10,2015,0,0,0,4,0,0,0,4
46,Billiri,15-Nov,11,2015,0.055555556,0.055555556,0.055555556,9,0.333333333,0.333333333,0.333333333,9
47,Birnin Kebbi,15-Oct,10,2015,0.333333333,0.333333333,0.333333333,14,0.380952381,0.380952381,0.380952381,14
48,Bonny,15-Nov,11,2015,0,0,0,27,0.058823529,0.058823529,0.058823529,27
49,Bungudu,15-Nov,11,2015,0.833333333,0.833333333,0.833333333,27,0.84,0.84,0.84,28
50,Bursari,15-Nov,11,2015,0.176470588,0.176470588,0.176470588,25,0.147058824,0.147058824,0.147058824,25
51,Burutu,15-Nov,11,2015,0.048351486,-0.020868379,0.117571351,18,0,0,0,18
52,Calabar South,15-Oct,10,2015,0,0,0,4,0.333333333,0.333333333,0.333333333,4
53,Calabar-Municipal,15-Oct,10,2015,0,0,0,4,0,0,0,4
54,Chanchaga,15-Oct,10,2015,0,0,0,21,0,0,0,22
55,Damaturu,15-Nov,11,2015,0.138888889,0.138888889,0.138888889,44,0.194444444,0.194444444,0.194444444,44
56,Dan Musa,15-Oct,10,2015,0.463768116,0.27574576,0.651790472,145,0.768115942,0.580093586,0.956138298,145
57,Dawakin Tofa,15-Nov,11,2015,0.15,0.15,0.15,35,0.761904762,0.761904762,0.761904762,37
58,Degema,15-Nov,11,2015,0,0,0,22,0.266666667,0.266666667,0.266666667,22
59,Dekina,15-Oct,10,2015,0.093023256,0.076601605,0.109444906,47,0.372093023,0.367166528,0.377019518,47
60,Demsa,15-Nov,11,2015,0.428571429,0.428571429,0.428571429,9,0.739130435,0.739130435,0.739130435,10
61,Dukku,15-Oct,10,2015,0.095238095,0.095238095,0.095238095,11,0.318181818,0.318181818,0.318181818,11
62,Dutse,15-Oct,10,2015,0.44,0.44,0.44,11,0.72,0.72,0.72,11
63,Dutsin-Ma,15-Oct,10,2015,0.037037037,0.037037037,0.037037037,51,0.107142857,0.107142857,0.107142857,52
64,Ebonyi,15-Oct,10,2015,0,0,0,12,0.176470588,0.176470588,0.176470588,12
65,Efon-Alayee,15-Oct,10,2015,0.364573077,0.161885082,0.567261072,22,0.454365226,0.17929375,0.729436702,22
66,Egbado North,15-Oct,10,2015,0.375,0.375,0.375,4,0.80952381,0.80952381,0.80952381,10
67,Egor,15-Nov,11,2015,0.2,0.2,0.2,5,0.2,0.2,0.2,5
68,Ehime-Mbano,15-Oct,10,2015,0,0,0,12,0.222222222,0.222222222,0.222222222,12
69,Ejigbo,15-Oct,10,2015,0.354335961,-0.089979268,0.79865119,48,0.581858947,0.145226493,1.018491402,52
70,Ekeremor,15-Nov,11,2015,0.565217391,0.565217391,0.565217391,12,0.52173913,0.52173913,0.52173913,12
71,Eket,15-Oct,10,2015,0,0,0,10,0,0,0,10
72,Eket,15-Nov,11,2015,0,0,0,2,0.5,0.5,0.5,2
73,Emohua,15-Oct,10,2015,0.125,0.125,0.125,23,0.3125,0.3125,0.3125,23
74,Enugu North,15-Oct,10,2015,0,0,0,8,0.266666667,0.266666667,0.266666667,8
75,Enugu South,15-Oct,10,2015,0,0,0,6,0,0,0,6
76,Esan Central,15-Oct,10,2015,0.2,0.2,0.2,7,0.538461538,0.538461538,0.538461538,9
77,Esit Eket,15-Oct,10,2015,0.25,0.25,0.25,16,0.578947368,0.578947368,0.578947368,18
78,Essien Udim,15-Nov,11,2015,0.166666667,0.166666667,0.166666667,8,0,0,0,8
79,Ethiope West,15-Oct,10,2015,0.684210526,0.684210526,0.684210526,21,0.473684211,0.473684211,0.473684211,21
80,Etsako West,15-Oct,10,2015,0.105263158,0.105263158,0.105263158,10,0.4,0.4,0.4,10
81,Etung,15-Nov,11,2015,0.333333333,0.333333333,0.333333333,6,0.666666667,0.666666667,0.666666667,6
82,Ezinihitte,15-Oct,10,2015,0,0,0,7,0.4,0.4,0.4,7
83,Faskari,15-Oct,10,2015,0.2,0.2,0.2,39,0.571428571,0.571428571,0.571428571,41
84,Faskari,15-Nov,11,2015,0.666666667,0.666666667,0.666666667,6,0,0,0,6
85,Fika,15-Oct,10,2015,0.666666667,0.666666667,0.666666667,5,0.875,0.875,0.875,6
86,Fika,15-Nov,11,2015,0.666666667,0.666666667,0.666666667,7,0.777777778,0.777777778,0.777777778,7
87,Funakaye,15-Oct,10,2015,0.183206458,0.024777415,0.341635501,34,0.467979598,0.08770662,0.848252577,35
88,Gada,15-Oct,10,2015,0.384615385,0.384615385,0.384615385,22,0.615384615,0.615384615,0.615384615,22
89,Gamawa,15-Oct,10,2015,0.274509804,0.062715657,0.486303951,49,0.433962264,0.398790133,0.469134395,51
90,Ganjuwa,15-Oct,10,2015,0.026315789,0.026315789,0.026315789,45,0.051282051,0.051282051,0.051282051,47
91,Garki,15-Oct,10,2015,0.117647059,0.117647059,0.117647059,26,0.555555556,0.555555556,0.555555556,27
92,Garko,15-Oct,10,2015,0.1875,0.1875,0.1875,34,0.739130435,0.739130435,0.739130435,48
93,Gboko,15-Nov,11,2015,0,0,0,9,0,0,0,9
94,Gboyin,15-Nov,11,2015,0.4,0.4,0.4,9,0.533333333,0.533333333,0.533333333,9
95,Gezawa,15-Oct,10,2015,0.714285714,0.714285714,0.714285714,28,0.928571429,0.928571429,0.928571429,28
96,Gezawa,15-Nov,11,2015,0.625,0.625,0.625,16,0.875,0.875,0.875,16
97,Gombe,15-Oct,10,2015,0.090909091,0.090909091,0.090909091,4,0.052631579,0.052631579,0.052631579,7
98,Gummi,15-Oct,10,2015,0.173913043,0.173913043,0.173913043,19,0.565217391,0.565217391,0.565217391,19
99,Guri,15-Oct,10,2015,0.083333333,0.083333333,0.083333333,63,0.194444444,0.194444444,0.194444444,63
100,Gusau,15-Oct,10,2015,0.388009819,0.273003317,0.503016321,40,0.5210113,0.443330023,0.598692577,41
101,Guyuk,15-Oct,10,2015,0.533333333,0.533333333,0.533333333,34,0.674418605,0.674418605,0.674418605,32
102,Gwer East,15-Oct,10,2015,0.468295526,0.376188747,0.560402305,80,0.397905753,0.279482751,0.516328754,80
103,Hong,15-Oct,10,2015,0.25,0.25,0.25,13,0.4375,0.4375,0.4375,13
104,Ibadan North East,15-Nov,11,2015,0.033333333,0.033333333,0.033333333,67,0.290322581,0.290322581,0.290322581,69
105,Ibadan North West,15-Oct,10,2015,0,0,0,24,0.055555556,0.055555556,0.055555556,24
106,Ibadan North West,15-Nov,11,2015,0.082329321,0.058736681,0.105921962,42,0.123493982,0.088105021,0.158882943,42
107,Ibaji,15-Nov,11,2015,0,0,0,19,0,0,0,19
108,Idah,15-Nov,11,2015,0,0,0,13,0.117647059,0.117647059,0.117647059,13
109,Ideato North,15-Oct,10,2015,0,0,0,2,0.333333333,0.333333333,0.333333333,3
110,Ideato North,15-Nov,11,2015,0,0,0,2,0.333333333,0.333333333,0.333333333,3
111,Idemili South,15-Oct,10,2015,0,0,0,19,0,0,0,19
112,Ifako-Ijaye,15-Nov,11,2015,0,0,0,42,0,0,0,42
113,Ife Central,15-Nov,11,2015,0.25,0.25,0.25,11,0.375,0.375,0.375,11
114,Ifelodun1,15-Nov,11,2015,0.125,0.125,0.125,15,0.3125,0.3125,0.3125,15
115,Ifelodun2,15-Oct,10,2015,0.444444444,0.444444444,0.444444444,12,0.583333333,0.583333333,0.583333333,15
116,Igabi,15-Nov,11,2015,0.393939394,0.393939394,0.393939394,34,0.575757576,0.575757576,0.575757576,34
117,Igbo-Eze North,15-Nov,11,2015,0.102444975,-0.065152606,0.270042555,27,0.475126315,0.352221422,0.598031207,27
118,Igbo-Eze South,15-Oct,10,2015,0.231366872,0.0846511,0.378082644,20,0.5,0.5,0.5,20
119,Ihiala,15-Nov,11,2015,0.166666667,0.166666667,0.166666667,9,0.5,0.5,0.5,9
120,Ijebu ode,15-Nov,11,2015,0.181449489,0.041338668,0.32156031,22,0.250707951,0.011695374,0.489720528,22
121,Ijumu,15-Oct,10,2015,0,0,0,6,0.642857143,0.642857143,0.642857143,16
122,Ikere,15-Nov,11,2015,0.307692308,0.307692308,0.307692308,9,0.214285714,0.214285714,0.214285714,10
123,Ikole,15-Oct,10,2015,0.15542883,-0.029863884,0.340721545,11,0.433741743,0.257272491,0.610210995,11
124,Ikom,15-Oct,10,2015,0.333333333,0.167005864,0.499660802,19,0.458333333,0.338785465,0.577881202,19
125,Ikorodu,15-Nov,11,2015,0,0,0,39,0,0,0,39
126,Ikpoba-Okha,15-Oct,10,2015,0.285714286,0.285714286,0.285714286,5,0.285714286,0.285714286,0.285714286,5
127,Ikpoba-Okha,15-Nov,11,2015,0,0,0,9,0,0,0,9
128,Ikwerre,15-Oct,10,2015,0,0,0,17,0,0,0,17
129,Ikwo,15-Oct,10,2015,0.266666667,0.266666667,0.266666667,14,0.375,0.375,0.375,15
