,LGA,time2,month,year ,PfPr_microscopy,ci_l,ci_u,Number of Kids,PfPr_RDT,ci_l,ci_u,Number of Kids
59,Dekina,10-Nov,11,2010,0.588235294,0.588235294,0.588235294,16,0.470588235,0.470588235,0.470588235,16
60,Doma,10-Nov,11,2010,0.285714286,0.285714286,0.285714286,55,0.685714286,0.685714286,0.685714286,55
61,Dukku,10-Nov,11,2010,0.224114131,0.161205388,0.287022875,52,0.213212852,0.10593706,0.320488643,53
62,Egbado North,10-Oct,10,2010,0.777777778,0.777777778,0.777777778,96,0.888888889,0.888888889,0.888888889,96
63,Egbeda,10-Nov,11,2010,0.578947368,0.578947368,0.578947368,26,0.444444444,0.444444444,0.444444444,25
64,Egbedore,10-Nov,11,2010,0.555555556,0.555555556,0.555555556,16,0.888888889,0.888888889,0.888888889,16
65,Ekiti West,10-Oct,10,2010,0.111111111,0.111111111,0.111111111,27,0.277777778,0.277777778,0.277777778,27
66,Emohua,10-Nov,11,2010,0.4375,0.4375,0.4375,20,0.8125,0.8125,0.8125,20
67,Enugu North,10-Nov,11,2010,0,0,0,2,0,0,0,2
68,Enugu South,10-Nov,11,2010,0.121212121,0.121212121,0.121212121,11,0.181818182,0.181818182,0.181818182,11
69,Esan North East,10-Oct,10,2010,0.263157895,0.263157895,0.263157895,17,0.315789474,0.315789474,0.315789474,17
70,Ese-Odo,10-Oct,10,2010,0.681818182,0.681818182,0.681818182,36,0.772727273,0.772727273,0.772727273,36
71,Essien Udim,10-Nov,11,2010,0.625,0.625,0.625,17,0.8125,0.8125,0.8125,17
72,Etsako East,10-Oct,10,2010,0.666666667,0.666666667,0.666666667,11,0.523809524,0.523809524,0.523809524,11
73,Ezeagu,10-Nov,11,2010,0,0,0,9,0.333333333,0.333333333,0.333333333,9
74,Ezinihitte,10-Nov,11,2010,0.444444444,0.444444444,0.444444444,8,0.444444444,0.444444444,0.444444444,8
75,Faskari,10-Oct,10,2010,0.787878788,0.787878788,0.787878788,155,0.757575758,0.757575758,0.757575758,155
76,Fika,10-Oct,10,2010,0.761904762,0.761904762,0.761904762,22,0.666666667,0.666666667,0.666666667,22
