"","LGA","measles","ci_l","ci_u","Number of Participants"
"98","Binji",0.0909090909090909,0.0909090909090909,0.0909090909090909,10
"99","Biriniwa",0.333333333333333,0.333333333333333,0.333333333333333,19
"100","Birni Kudu",0.566582908094965,0.476907891275001,0.65625792491493,53
"101","Birnin Kebbi",0.224780946279421,0.0965795660260249,0.352982326532817,66
"102","Biu",0.315789473684211,0.315789473684211,0.315789473684211,12
"103","Bodinga",0.0816056632871833,0.0215397467973578,0.141671579777009,40
"104","Boki",0.4,0.4,0.4,12
"105","Bokkos",0.465443189101081,0.297219766128834,0.633666612073328,27
"106","Boluwaduro",0.374936936619097,0.330758061381037,0.419115811857157,7
"107","Bomadi",0.727272727272727,0.727272727272727,0.727272727272727,13
"108","Bonny",0.607026838130031,0.373869724095399,0.840183952164663,10
"109","Borgu",0,0,0,12
"110","Boripe",0.727272727272727,0.727272727272727,0.727272727272727,13
"111","Bosso",0.585726730388293,0.529321835175401,0.642131625601185,49
"112","Brass",0.49201204166579,0.39594721750553,0.588076865826051,14
"113","Buji",0.254841709262047,0.246359684128281,0.263323734395812,45
"114","Bukkuyum",0.0691789390061634,-0.0280672785074327,0.166425156519759,38
"115","Bungudu",0.135211269189729,0.0392873396319529,0.231135198747505,69
"116","Bunkure",0.208333333333333,0.208333333333333,0.208333333333333,45
"117","Bursari",0.470588235294118,0.470588235294118,0.470588235294118,13
"118","Buruku",0.595238078432375,0.496305773165132,0.694170383699618,44
"119","Burutu",0.381818198354451,0.26900568669483,0.494630710014073,13
"120","Bwari",0.663194433500239,0.61085804991881,0.715530817081667,25
"121","Calabar South",0.947945206838333,0.855709053187159,1.04018136048951,6
"122","Calabar-Municipal",0.502760537675372,0.381523747120674,0.62399732823007,31
"123","Chanchaga",0.457416595482029,0.393044353545006,0.521788837419051,33
"124","Charanchi",0.0952380952380952,0.0952380952380952,0.0952380952380953,47
"125","Chikun",0.75,0.75,0.75,26
"126","Dala",0.779233532201907,0.74661085598692,0.811856208416894,73
"127","Damaturu",0,0,0,3
"128","Damban",0.181818181818182,0.181818181818182,0.181818181818182,27
"129","Dambatta",0.392857142857143,0.392857142857143,0.392857142857143,47
"130","Dan Musa",0.5,0.5,0.5,13
"131","Dandi",0.169214974981833,-0.0881707064818679,0.426600656445534,19
"132","Dange-Shnsi",0.2,0.2,0.2,14
"133","Danja",0.375,0.375,0.375,42
"134","Darazo",0.313195509846339,0.113230860378081,0.513160159314597,34
