"","LGA","measles","ci_l","ci_u","Number of Participants"
"421","Mani",0.169166604431794,0.137506102735555,0.200827106128033,107
"422","Maradun",0.0294579710628353,0.00749482669846616,0.0514211154272045,41
"423","Mariga",0.037037037037037,0.037037037037037,0.037037037037037,23
"424","Mashi",0,0,0,17
"425","Matazuu",0.166666666666667,0.166666666666667,0.166666666666667,12
"426","Mayo-Belwa",0.6,0.6,0.6,11
"427","Mbaitoli",0.679865209028875,0.492006911076828,0.867723506980923,24
"428","Mbo",0.142857142857143,0.142857142857143,0.142857142857143,5
"429","Michika",0.6,0.6,0.6,9
"430","Miga",0.291666666666667,0.291666666666667,0.291666666666667,30
"431","Minjibir",0.357793949273575,0.252143247661652,0.463444650885498,67
"432","Misau",0.284903662955697,-0.0403642970743366,0.610171622985731,26
"433","Mkpat Enin",0.256770314283193,0.226059951280208,0.287480677286178,16
"434","Moba",0.393118620083109,0.245859542596593,0.540377697569625,9
"435","Mobbar",0.191500316103817,0.143234629699761,0.239766002507873,26
"436","Mokwa",0.302621715929108,0.199234358988766,0.406009072869451,64
"437","Moro",0.5,0.5,0.5,7
"438","Mubi North",0.503944378984809,0.43749429432897,0.570394463640648,48
"439","Mubi South",0.442503015591726,0.332882112838317,0.552123918345135,27
"440","Musawa",0.151840487894919,-0.037795673786171,0.341476649576008,63
"441","Mushin",0.610786171860952,0.45084691208141,0.770725431640495,57
"442","Muya",0.32,0.32,0.32,32
"443","Nafada",0.190170870242703,0.072763156396624,0.307578584088783,25
"444","Nangere",0.451612903225806,0.451612903225806,0.451612903225806,9
"445","Nasarawa-Eggon",0.466666666666667,0.466666666666667,0.466666666666667,13
"446","Nasarawa1",0.516273851599928,0.492645021412918,0.539902681786938,47
"447","Nasarawa2",0.34547846340392,0.285354510108504,0.405602416699336,23
"448","Ndokwa East",0.461538461538462,0.461538461538462,0.461538461538462,29
"449","Ndokwa West",0.636363636363636,0.636363636363636,0.636363636363636,34
"450","Nembe",0.933333333333333,0.933333333333333,0.933333333333333,4
"451","Ngaski",0.321645320226951,0.307172141789076,0.336118498664826,24
"452","Ngor-Okpala",0.384615384615385,0.384615384615385,0.384615384615385,14
"453","Nguru",0.176470588235294,0.176470588235294,0.176470588235294,29
"454","Ningi",0.0898249053315095,0.00485865973513738,0.174791150927882,91
"455","Njaba",0.574737169696137,0.553368098003619,0.596106241388655,16
"456","Njikoka",0.646648515158052,0.407074772871632,0.886222257444472,16
"457","Nkanu East",0.433545197516524,0.390528010852493,0.476562384180555,31
"458","Nkanu West",0.714285714285714,0.714285714285714,0.714285714285714,8
"459","Nkwerre",0.552292967069964,0.411931262844357,0.692654671295571,9
"460","Nnewi South",0.824362611361629,0.72706975101777,0.921655471705489,14
"461","Nsit Ibom",0.571428571428571,0.571428571428571,0.571428571428571,13
"462","Nsit Ubium",0.7,0.7,0.7,5
"463","Nsukka",0.58597091125913,0.516414417258334,0.655527405259925,19
"464","Numan",0.611111111111111,0.611111111111111,0.611111111111111,17
"465","Obafemi-Owode",0.499408554118055,0.0568561461712609,0.941960962064849,19
"466","Obanliku",0.833333333333333,0.833333333333333,0.833333333333333,6
"467","Obi Nwa",0.375,0.375,0.375,6
"468","Obi2",0.375,0.375,0.375,6
"469","Obia/Akpor",0.683595117215302,0.463678067080617,0.903512167349986,83
"470","Obot Akara",0.5,0.5,0.5,1
"471","Obowo",0.404890312118178,0.36681909754311,0.442961526693247,12
"472","Obubra",0.517857061036884,0.217719831977052,0.817994290096716,11
"473","Odeda",0.8,0.8,0.8,9
"474","Odigbo",0.400019648998824,0.290154491614207,0.509884806383441,17
"475","Odo-Otin",0.593489205921901,0.579554972155103,0.607423439688699,29
"476","Odogbolu",0.6,0.6,0.6,10
"477","Odukpani",0.295238049586845,0.0123629261011589,0.578113173072531,12
"478","Offa",0.605678263026533,0.476984725730844,0.734371800322223,31
"479","Ofu",0.0666666526759369,-0.0802868265883833,0.213620131940257,24
"480","Ogba/Egbema/Ndoni",0.569126344843125,0.437330547396522,0.700922142289728,21
"481","Ogbaru",0.769230769230769,0.769230769230769,0.769230769230769,11
"482","Ogbia",0.510364202711353,0.253502903955081,0.767225501467625,14
"483","Ogbomosho North",0.568837284145365,0.369733315706453,0.767941252584278,12
"484","Ogoja",0.843187646022927,0.731953027450846,0.954422264595007,16
"485","Oguta",0.266666666666667,0.266666666666667,0.266666666666667,20
"486","Ohafia",0.626896644849434,0.488778115435982,0.765015174262886,17
"487","Ohaji/Egbema",0.367514340219704,0.191925840686748,0.54310283975266,20
"488","Ohaozara",0.485089475371062,0.409497534450767,0.560681416291358,33
"489","Ohaukwu",0.466666666666667,0.466666666666667,0.466666666666667,21
"490","Oji-River",0.692307692307692,0.692307692307692,0.692307692307692,19
"491","Ojo",0.533231086432644,0.51640569902073,0.550056473844559,44
"492","Oju",0.486223271127697,0.422639293253878,0.549807249001516,45
"493","Oke-Ero",0.4,0.4,0.4,3
"494","Okehi",0.285714285714286,0.285714285714286,0.285714285714286,4
"495","Okene",0.49662853720638,0.350001513755942,0.643255560656819,30
"496","Okigwe",0.285714285714286,0.247071324477643,0.324357246950929,11
"497","Okitipupa",0.325692396516359,-0.0625275551563885,0.713912348189107,10
"498","Okobo",0.545454545454545,0.545454545454545,0.545454545454545,14
"499","Okpe",0.3,0.3,0.3,5
"500","Okpokwu",0.4375,0.4375,0.4375,17
"501","Okrika",0.575860229690115,0.428547133915086,0.723173325465143,33
"502","Olamabolo",0.525723841908568,0.337919363001865,0.713528320815272,18
"503","Omala",0.178899667765567,0.111113781215919,0.246685554315215,6
"504","Omumma",0.515731796942653,0.49545004755623,0.536013546329076,53
"505","Ondo East",0.833333333333333,0.833333333333333,0.833333333333334,6
"506","Ondo West",0.591869495034663,0.352668686464301,0.831070303605026,14
"507","Onicha",0.422597227538476,0.240584659773051,0.604609795303901,32
"508","Onitsha North",0.466666666666667,0.466666666666667,0.466666666666667,16
"509","Onitsha South",0.833333333333333,0.833333333333333,0.833333333333333,6
"510","Onna",0.282334358770798,0.137584676068998,0.427084041472598,9
"511","Opobo/Nkoro",0.475495054272311,0.267104873004237,0.683885235540385,11
"512","Oredo",0.706204353843508,0.616590935379082,0.795817772307935,16
"513","Orhionmwon",0.555863483759419,0.355048671250658,0.75667829626818,9
"514","Ori Ire",0.111111111111111,0.111111111111111,0.111111111111111,8
"515","Oriade",0.751379338473924,0.649374549968281,0.853384126979568,20
"516","Orlu",0.666666666666667,0.666666666666667,0.666666666666667,4
"517","Orolu",0.62452098349534,0.395429249250273,0.853612717740407,20
"518","Oron",0.444444444444444,0.444444444444444,0.444444444444444,7
"519","Orsu",0.318556438445543,0.306649370881543,0.330463506009543,13
"520","Oru East",0.533333333333333,0.533333333333333,0.533333333333333,14
"521","Oru West",0.441794180641045,0.432890114314588,0.450698246967501,39
"522","Oruk Anam",0.261261319241099,0.0386207761244095,0.483901862357788,11
"523","Orumba North",0.55306609216035,0.487329704056686,0.618802480264013,34
"524","Ose",0.633297021864586,0.476335806051875,0.790258237677297,15
"525","Oshimili South",0.714285714285714,0.714285714285714,0.714285714285714,8
"526","Oshodi-Isolo",0.837429123656236,0.723854353346021,0.951003893966451,56
"527","Osisioma Ngwa",0.55,0.55,0.55,25
"528","Osogbo",0.444569791569792,0.340072938588173,0.549066644551411,14
"529","Oturkpo",0.554312816910658,0.424701131197258,0.683924502624059,25
"530","Ovia North East",0.666666666666667,0.666666666666667,0.666666666666667,20
"531","Ovia South West",0.490196078431373,0.251932258924075,0.72845989793867,12
"532","Owan East",0.454545454545455,0.454545454545454,0.454545454545455,13
"533","Owan West",0.595202613197429,0.584137932372401,0.606267294022458,22
"534","Owerri North",0.777777777777778,0.777777777777778,0.777777777777778,46
"535","Owerri-Municipal",0.428571428571429,0.428571428571429,0.428571428571429,10
"536","Owo",0.556455966679218,0.427543358982301,0.685368574376136,26
"537","Oye",0.894817762789506,0.887153063862078,0.902482461716934,9
"538","Oyi",0.662258401073893,0.605952045729086,0.718564756418701,44
"539","Oyigbo",1,1,1,6
"540","Oyo East",0.428571428571429,0.428571428571429,0.428571428571429,26
"541","Oyo West",0.5,0.5,0.5,4
"542","Oyun",0.424522868288085,0.247550066809095,0.601495669767076,8
"543","Pailoro",0.120929856870768,-0.0588802825546523,0.300739996296188,84
"544","Pankshin",0.550351006065849,0.523714491729364,0.576987520402334,19
"545","Patani",0.600840472528301,0.405887959811825,0.795792985244778,19
"546","Pategi",0.2,0.2,0.2,5
"547","Port-Harcourt",0.693416925999448,0.63290930064574,0.753924551353156,47
"548","Potiskum",0.371239787807028,0.323478607617255,0.419000967996801,59
"549","Qua'an Pan",0.121807473565841,0.00807280936557077,0.235542137766111,10
"550","Rabah",0.153846153846154,0.153846153846154,0.153846153846154,10
"551","Rafi",0.433761292176869,0.135296359642112,0.732226224711625,50
"552","Rano",0.4375,0.4375,0.4375,15
"553","Remo North",0.625,0.625,0.625,6
"554","Rijau",0.454545454545455,0.454545454545454,0.454545454545455,27
"555","Ringim",0.105263157894737,0.105263157894737,0.105263157894737,19
"556","Riyom",0.7,0.7,0.7,10
"557","Rogo",0.272727272727273,0.272727272727273,0.272727272727273,24
"558","Sabon Birni",0.166573478508221,-0.0386715947384575,0.3718185517549,39
"559","Sabon-Gari",0.513870709464975,0.311984319979555,0.715757098950395,58
"560","Sabuwa",0.266666666666667,0.266666666666667,0.266666666666667,23
"561","Safana",0.380952380952381,0.380952380952381,0.380952380952381,24
"562","Sagbama",0.553695640603546,0.351127914871976,0.756263366335116,23
"563","Saki East",0.0333658887714143,-0.0148850430279481,0.0816168205707768,28
"564","Saki West",0.296511600916226,0.0963931795669145,0.496630022265537,26
"565","Sanga",0.444444444444444,0.444444444444444,0.444444444444444,10
"566","Sapele",0.610521138574627,0.581235246099551,0.639807031049702,13
"567","Sardauna",0.336576339719115,0.213038622914049,0.460114056524181,73
"568","Shagamu",0.592508522831281,0.54569270267766,0.639324342984903,15
"569","Shagari",0.173913043478261,0.173913043478261,0.173913043478261,10
"570","Shanga",0.538461538461539,0.538461538461538,0.538461538461539,8
"571","Shelleng",0.321332414680141,0.242676127007515,0.399988702352767,30
"572","Shendam",0.443898809204955,0.393058634799875,0.494738983610035,42
"573","Shinkafi",0,0,0,30
"574","Shira",0.249999985300221,0.0651909235762917,0.434809047024151,34
"575","Shiroro",0.25130693864183,0.0589638831954274,0.443649994088232,51
"576","Shomgom",0.511691141129594,0.449583352920105,0.573798929339083,15
"577","Shomolu",0.8,0.8,0.8,16
"578","Silame",0.153846153846154,0.153846153846154,0.153846153846154,5
"579","Soba",0.0702507351181522,0.00966906964236643,0.130832400593938,74
"580","Sokoto North",0.199313650207309,-0.0270312914388524,0.42565859185347,16
"581","Sokoto South",0.14222041629766,0.064903576523717,0.219537256071604,36
"582","Song",0.498233207214971,0.349701001168843,0.646765413261099,49
"583","Southern Ijaw",0.649737291684654,0.497149214748793,0.802325368620514,12
"584","Sule-Tankarkar",0.363636363636364,0.363636363636364,0.363636363636364,33
"585","Suleja",0.452356014251275,0.252866101120696,0.651845927381854,32
"586","Sumaila",0.588235294117647,0.588235294117647,0.588235294117647,39
"587","Suru",0.2,0.2,0.2,31
"588","Surulere1",0.796393689035173,0.710780994558626,0.882006383511721,19
"589","Surulere2",0.375,0.375,0.375,9
"590","Tafa",0.125,0.125,0.125,19
"591","Tafawa-Balewa",0.371797856339637,0.232999863880626,0.510595848798648,50
"592","Tai",0.269707486960808,0.262457798817329,0.276957175104287,32
"593","Takali",0.404184711843297,0.334137012942118,0.474232410744477,54
"594","Takum",0.297699627359775,0.164931162901365,0.430468091818185,24
"595","Talata Mafara",0.154139705403161,0.0459585039107515,0.26232090689557,108
"596","Tambuwal",0.16367925671707,0.105347801299349,0.22201071213479,88
"597","Tarauni",0.490518350033639,0.251868188530792,0.729168511536485,34
"598","Tarka",0.555555555555556,0.555555555555556,0.555555555555556,6
"599","Taura",0.608695652173913,0.608695652173913,0.608695652173913,18
"600","Tofa",0.2,0.2,0.2,29
"601","Toro",0.25076834216608,0.00364729237390643,0.497889391958254,64
"602","Toto",0.605537889456335,0.323502124756728,0.887573654155943,10
"603","Toungo",0.733333333333333,0.733333333333333,0.733333333333333,14
"604","Tsafe",0.191540768946606,0.0403537263441294,0.342727811549083,70
"605","Tsanyawa",0.578947368421053,0.578947368421053,0.578947368421053,21
"606","Tudun Wada",0.178695167563176,0.0918337225162824,0.26555661261007,73
"607","Tureta",0.308380627634456,0.0736044480365668,0.543156807232344,33
"608","Udenu",0.570761844298041,0.445379476788693,0.69614421180739,26
"609","Udi",0.403856830148856,0.239156680036359,0.568556980261353,21
"610","Udu",0.5,0.5,0.5,17
"611","Ughelli North",0.597106879677326,0.40401277051586,0.790200988838792,29
"612","Ughelli South",0.579428910903365,0.405544244119003,0.753313577687728,23
"613","Ugwunagbo",0.705882352941176,0.705882352941176,0.705882352941177,12
"614","Uhunmwonde",0.602409571771444,0.368767436419107,0.836051707123781,5
"615","Ukanafun",0.775331772438582,0.618388072689187,0.932275472187978,24
"616","Ukum",0.512469839811785,0.465795103352389,0.559144576271182,31
"617","Ukwa East",0.818181818181818,0.818181818181818,0.818181818181818,3
"618","Ukwuani",0.333333333333333,0.333333333333333,0.333333333333333,5
"619","Umu-Neochi",0.538622422567844,0.32869410084477,0.748550744290918,20
"620","Umuahia North",0.625,0.625,0.625,4
"621","Umuahia South",0.683441701050346,0.491814411503379,0.875068990597312,25
"622","Ungogo",0.50401303562779,0.426494346567854,0.581531724687726,105
"623","Uruan",0.517766481920896,0.370962381051062,0.664570582790731,18
"624","Urue-Offong/Oruko",0.444444444444444,0.444444444444444,0.444444444444445,5
"625","Ussa",0.571428571428571,0.571428571428571,0.571428571428571,8
"626","Uvwie",1,1,1,17
"627","Uyo",0.573208355765299,0.354542359294373,0.791874352236226,25
"628","Uzo-Uwani",0.601332358622816,0.365732239134146,0.836932478111486,15
"629","Vandeikya",0.506770936457331,0.439408712725169,0.574133160189493,67
"630","Wamako",0,0,0,13
"631","Wamba",0.333333333333333,0.333333333333333,0.333333333333333,2
"632","Warawa",0.409090909090909,0.409090909090909,0.409090909090909,31
"633","Warji",0.611111111111111,0.611111111111111,0.611111111111111,12
"634","Warri North",0.151447481758966,-0.0458228799070736,0.348717843425006,12
"635","Warri South",0.660486176437712,0.575336357899265,0.745635994976159,20
"636","Warri South West",0,0,0,5
"637","Wasagu/Danko",0.176470588235294,0.176470588235294,0.176470588235294,17
"638","Wase",0.266393436679391,0.229140221287061,0.30364665207172,39
"639","Wudil",0.328358934060711,0.190986492517969,0.465731375603453,42
"640","Wukari",0.369547994454792,0.237151051660283,0.5019449372493,62
"641","Wurno",0,0,0,35
"642","Yabo",0.05,0.05,0.05,19
"643","Yagba East",0.7,0.7,0.7,9
"644","Yagba West",0.666666666666667,0.666666666666667,0.666666666666667,2
"645","Yakurr",0.721544674561367,0.540800335104602,0.902289014018132,10
"646","Yala",0.856403618973431,0.625835242263868,1.08697199568299,18
"647","Yamaltu/Deba",0.0890633293145072,0.0138559887738029,0.164270669855211,70
"648","Yankwashi",0.402107967031348,0.288457176332349,0.515758757730348,28
"649","Yauri",0.254378112389554,0.134990769539762,0.373765455239347,28
"650","Yenegoa",0.61444459436017,0.574707903614585,0.654181285105756,25
"651","Yola North",0.374809055822168,0.0433741833780716,0.706243928266264,20
"652","Yola South",0.636363636363636,0.636363636363636,0.636363636363636,4
"653","Yorro",0.738636280641664,0.544714712212449,0.932557849070878,11
"654","Yusufari",0.521739130434783,0.521739130434783,0.521739130434783,15
"655","Zaki",0.169324225651886,0.155562615737274,0.183085835566498,30
"656","Zango",0.583333333333333,0.583333333333333,0.583333333333333,29
"657","Zango-Kataf",0.564575631948453,0.221424164873202,0.907727099023703,22
"658","Zaria",0.357096785184439,0.1581324659329,0.556061104435978,110
"659","Zing",0.363636363636364,0.363636363636364,0.363636363636364,10
"660","Zurmi",0.138707501219087,0.0328746627487237,0.244540339689451,57
"661","Zuru",0.1,0.1,0.1,9
