"","LGA","pen3","ci_l","ci_u","Number of Participants"
"1","Aba North",0.936595229294907,0.891665042875731,0.981525415714083,9
"2","Aba South",0.85722400422152,0.787832496584596,0.926615511858444,24
"3","Abaji",0.647793873944747,0.580412785438345,0.71517496245115,32
"4","Abak",0.25,0.25,0.25,4
"5","Abakaliki",0.806392619304743,0.721965072677917,0.890820165931569,20
"6","Abeokuta North",0.421233994111429,0.216856941579179,0.625611046643679,54
"7","Abeokuta South",0.817006544194558,0.551064461642,1.08294862674712,24
"8","Abi",0.427536219067636,0.192908101522724,0.662164336612549,12
"9","Aboh-Mbaise",0.764705882352941,0.764705882352941,0.764705882352941,27
"10","Abua/Odual",0.662683303892619,0.42925894774545,0.896107660039789,23
"11","Abuja Municipal",0.771459579689498,0.705055476479834,0.837863682899161,37
"12","Adavi",0.689532806401251,0.518086359907814,0.860979252894687,25
"13","Ado",0.454831900724545,0.30521389625003,0.60444990519906,17
"14","Ado Ekiti",0.685813066534202,0.491049460550711,0.880576672517692,31
"15","Ado-Odo/Ota",0.530215112766718,0.361769588888202,0.698660636645233,73
"16","Afijio",0.571428571428571,0.571428571428571,0.571428571428572,5
"17","Afikpo North",0.804843306696255,0.772578459637835,0.837108153754675,25
"18","Afikpo South",0.812378164542361,0.750007883117407,0.874748445967315,21
"19","Agatu",1,1,1,9
"20","Agege",0.81760437853394,0.690414014942288,0.944794742125593,14
"21","Aguata",0.81874148342575,0.66778313341666,0.96969983343484,57
"22","Ahiazu-Mbaise",0.571428571428571,0.571428571428571,0.571428571428571,5
"23","Ahoada East",0.517584622780502,0.429599699298514,0.60556954626249,31
"24","Ahoada West",0.8,0.8,0.8,5
"25","Aiyedade",0.571428571428571,0.571428571428571,0.571428571428571,10
"26","Ajaokuta",0.333333333333333,0.333333333333333,0.333333333333333,4
"27","Ajeromi-Ifelodun",0.805792162836301,0.734113715528798,0.877470610143804,63
"28","Ajingi",0.2,0.2,0.2,30
"29","Akamkpa",0.294710258060062,0.0975260524313456,0.491894463688779,12
"30","Akinyele",0.384343987720691,0.32463222164117,0.444055753800211,60
"31","Akko",0.339292560810956,0.201063409012801,0.477521712609111,82
"32","Akoko North East",0.586820165984944,0.235025305885741,0.938615026084148,25
"33","Akoko North West",0.777564929287585,0.706005913151972,0.849123945423197,13
"34","Akoko South East",1,1,1,3
"35","Akoko South West",0.613485930224041,0.315058616701575,0.911913243746508,12
"36","Akoko-Edo",0.724842935696956,0.567123689759341,0.882562181634571,6
"37","Akpabuyo",0.500263303123183,0.35424772758517,0.646278878661196,13
"38","Akuku Toru",0.833333333333333,0.833333333333333,0.833333333333333,3
"39","Akure North",0.9,0.9,0.9,25
"40","Akure South",0.5,0.5,0.5,6
"41","Akwanga",0.41291346082228,0.284618781848325,0.541208139796235,9
"42","Albasu",0.3,0.3,0.3,43
"43","Alimosho",0.767435830956702,0.625338946871326,0.909532715042078,147
"44","Alkaleri",0.34525811216027,0.19194971977161,0.498566504548931,74
"45","Amuwo-Odofin",1,1,1,39
"46","Anambra East",0.823529411764706,0.823529411764706,0.823529411764706,19
"47","Anambra West",0.491947037198924,0.378565802370499,0.605328272027349,61
"48","Anaocha",0.741423466347273,0.579473338005448,0.903373594689099,34
"49","Andoni",0.785553265106508,0.729050384204903,0.842056146008114,16
"50","Aninri",0.890121149276399,0.815416980175234,0.964825318377564,18
"51","Aniocha North",0.333333333333333,0.333333333333333,0.333333333333333,2
"52","Aniocha South",0.913363449963286,0.746040706991986,1.08068619293459,9
"53","Anka",0.0220559211582526,-0.0169442914111079,0.061056133727613,44
"54","Ankpa",0.163793124366904,-0.00596666489447095,0.333552913628278,11
"55","Apa",0.769230769230769,0.769230769230769,0.769230769230769,12
"56","Apapa",0.857142857142857,0.857142857142857,0.857142857142857,94
"57","Ardo-Kola",0.444444444444444,0.444444444444444,0.444444444444445,7
"58","Arewa-Dandi",0.277777777777778,0.277777777777778,0.277777777777778,11
"59","Argungu",0.141053617132804,-0.00030338073042821,0.282410614996035,77
"60","Arochukwu",0.490118628627931,0.340103900229966,0.640133357025896,15
"61","Asa",0.272727272727273,0.272727272727273,0.272727272727273,26
"62","Asari-Toru",0.769179587593491,0.525030203469852,1.01332897171713,23
"63","Askira/Uba",0.507943287805506,0.309071489774995,0.706815085836017,17
"64","Atakumosa East",0.666666666666667,0.666666666666667,0.666666666666667,5
"65","Atakumosa West",0.25,0.25,0.25,6
"66","Atiba",0.333333333333333,0.333333333333333,0.333333333333333,3
"67","Atigbo",0,0,0,8
"68","Augie",0,0,0,28
"69","Auyo",0.2,0.2,0.2,7
"70","Awe",0.490100874859089,0.286237534842608,0.69396421487557,28
"71","Awgu",0.8,0.567432289009473,1.03256771099053,4
"72","Awka North",0.846153846153846,0.846153846153846,0.846153846153846,11
"73","Awka South",0.823529411764706,0.823529411764706,0.823529411764706,46
"74","Ayamelum",0.530364384965263,0.350064438042393,0.710664331888132,40
"75","Babura",0.444183855275807,0.344745956608719,0.543621753942895,36
"76","Badagry",0.4,0.4,0.4,6
"77","Bade",0.5,0.5,0.5,13
"78","Bagudo",0.0659722222222222,-0.0630387547437731,0.194983199188218,60
"79","Bagwai",0.379310344827586,0.379310344827586,0.379310344827586,27
"80","Bakori",0.04,0.04,0.04,99
"81","Bakura",0,0,0,34
"82","Balanga",0.414561965844877,0.194560531422402,0.634563400267353,27
"83","Bali",0.217352636541175,0.0640409067861729,0.370664366296177,28
"84","Baruten",0.0682593946479086,-0.00531833872000391,0.141837128015821,31
"85","Bassa1",0.357142857142857,0.198086042696986,0.516199671588729,7
"86","Bassa2",0.663461605989101,0.497321331707597,0.829601880270604,24
"87","Batagarawa",0.129590765406918,0.100651597919213,0.158529932894622,56
"88","Batsari",0.24,0.24,0.24,37
"89","Bauchi",0.399310299881464,0.300766582302847,0.49785401746008,102
"90","Baure",0.15,0.15,0.15,32
"91","Bayo",0.222222222222222,0.222222222222222,0.222222222222222,10
"92","Bebeji",0.105263157894737,0.105263157894737,0.105263157894737,25
"93","Bende",0.333333333333333,0.333333333333333,0.333333333333333,7
"94","Biase",0.539503277188401,0.096432281804525,0.982574272572276,12
"95","Bida",0.357142857142857,0.357142857142857,0.357142857142857,14
"96","Billiri",0.555198877438033,0.452870998369269,0.657526756506798,8
"97","Bindawa",0.105263157894737,0.105263157894737,0.105263157894737,26
"98","Binji",0,0,0,10
"99","Biriniwa",0.0666666666666667,0.0666666666666666,0.0666666666666667,19
"100","Birni Kudu",0.340766323406682,0.220277060772361,0.461255586041003,53
