State,LGA,pen3_DS,ci_lDS,ci_uDS,Num_DS,pen3_state,ci_l_state,ci_u_state,Num_state
Abia,Aba North,0.936595229294907,0.891665042875731,0.981525415714083,9,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Aba South,0.85722400422152,0.787832496584596,0.926615511858444,24,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Arochukwu,0.490118628627931,0.340103900229966,0.640133357025896,15,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Bende,0.333333333333333,0.333333333333333,0.333333333333333,7,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Ikwuano,0.458786941784038,0.409576974552218,0.507996909015857,7,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Isiala-Ngwa North,0.644218557495921,0.500047329283062,0.78838978570878,13,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Isiala-Ngwa South,0.598524820255045,0.567928166098506,0.629121474411584,18,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Isuikwato,0.802105289984422,0.685682978911437,0.918527601057408,7,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Obi Nwa,0.625,0.625,0.625,6,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Ohafia,0.529935928360638,0.431701437741402,0.628170418979874,17,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Osisioma Ngwa,0.65,0.65,0.65,25,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Ugwunagbo,0.705882352941176,0.705882352941176,0.705882352941177,12,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Ukwa East,0.909090909090909,0.909090909090909,0.909090909090909,3,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Ukwa West,0.677902660462381,0.627004908671675,0.728800412253086,,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Umu-Neochi,0.690005260733646,0.406596817730969,0.973413703736323,20,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Umuahia North,0.875,0.875,0.875,4,0.677902660462381,0.627004908671675,0.728800412253086,212
Abia,Umuahia South,0.778872703816265,0.719383378713894,0.838362028918635,25,0.677902660462381,0.627004908671675,0.728800412253086,212
Adamawa,Demsa,0.850790515919508,0.843208078251115,0.858372953587901,16,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Gireri,0.489345174069902,0.411101354657253,0.567588993482552,15,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Gombi,0.490669695428194,0.438305670404233,0.543033720452156,38,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Guyuk,0.736146088019052,0.488782894071132,0.983509281966971,48,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Hong,0.857142857142857,0.857142857142857,0.857142857142857,11,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Lamurde,0.363636363636364,0.363636363636364,0.363636363636364,7,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Mayo-Belwa,0.7,0.7,0.7,11,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Numan,0.777777777777778,0.777777777777777,0.777777777777778,17,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Shelleng,0.429004003671699,0.303927611798835,0.554080395544564,30,0.537825327498466,0.45121800479638,0.624432650200552,448
Akwa lbom,Itu,1,1,1,3,0.596736606691142,0.518789960092307,0.674683253289977,288
Adamawa,Song,0.411660767328413,0.232397760031363,0.590923774625464,49,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Yola North,0.271755676499651,0.117300590312111,0.426210762687191,20,0.537825327498466,0.45121800479638,0.624432650200552,448
Adamawa,Yola South,0.909090909090909,0.909090909090909,0.909090909090909,4,0.537825327498466,0.45121800479638,0.624432650200552,448
Akwa lbom,Abak,0.25,0.25,0.25,4,0.596736606691142,0.518789960092307,0.674683253289977,288
Anambra,Awka North,0.846153846153846,0.846153846153846,0.846153846153846,11,0.773098578781406,0.720203091614735,0.825994065948078,623
Akwa lbom,Eket,0.285714285714286,0.285714285714286,0.285714285714286,6,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Esit Eket,0.529411764705882,0.529411764705882,0.529411764705882,20,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Essien Udim,0.842870108676849,0.780426529638067,0.905313687715631,22,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Etim Ekpo,0.596736606691142,0.518789960092307,0.674683253289977,,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Etinan,0.166666666666667,0.166666666666667,0.166666666666667,3,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Ibesikpo Asutan,0.64864866653957,0.611656108583367,0.685641224495772,9,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Ibiono Ibom,0.271464645588533,0.194321310737861,0.348607980439204,13,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Ika,0.596736606691142,0.518789960092307,0.674683253289977,,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Ikono,1,1,1,9,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Ikot Abasi,0.875,0.875,0.875,13,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Ikot Ekpene,0.877362676893184,0.662498844513592,1.09222650927278,11,0.596736606691142,0.518789960092307,0.674683253289977,288
Akwa lbom,Ini,0.454545454545455,0.454545454545455,0.454545454545455,9,0.596736606691142,0.518789960092307,0.674683253289977,288
