"","LGA","pen2","ci_l","ci_u","Number of Participants"
"1","Aba North",1,1,1,9
"2","Aba South",0.894047003875254,0.828562329407953,0.959531678342555,24
"3","Abaji",0.768775657941029,0.719045870384792,0.818505445497267,32
"4","Abak",0.5,0.5,0.5,4
"5","Abakaliki",0.9180188465692,0.781635886633558,1.05440180650484,20
"6","Abeokuta North",0.421233994111429,0.216856941579179,0.625611046643679,54
"7","Abeokuta South",0.90900055106789,0.74422503855365,1.07377606358213,24
"8","Abi",0.746376806933686,0.661057491462809,0.831696122404563,12
"9","Aboh-Mbaise",0.823529411764706,0.823529411764706,0.823529411764706,27
"10","Abua/Odual",0.756339075055447,0.589972031363735,0.92270611874716,23
"11","Abuja Municipal",0.81882194453175,0.764862135325193,0.872781753738307,37
"12","Adavi",0.867761671634756,0.707672572950097,1.02785077031942,25
"13","Ado",0.695378087163377,0.396142078214347,0.994614096112407,17
"14","Ado-Odo/Ota",0.602184789169305,0.435676159795485,0.768693418543126,73
"15","Ado Ekiti",0.756067756978861,0.534094883991932,0.978040629965791,31
"16","Afijio",1,1,1,5
"17","Afikpo North",0.881054133370318,0.840723074547293,0.921385192193344,25
"18","Afikpo South",0.893762182350449,0.857915809836885,0.929608554864013,21
"19","Agatu",1,1,1,9
"20","Agege",0.859346648691075,0.824658367711533,0.894034929670616,14
"21","Aguata",0.878705519840548,0.786096663772786,0.971314375908311,57
"22","Ahiazu-Mbaise",0.714285714285714,0.714285714285714,0.714285714285714,5
"23","Ahoada East",0.735235583856721,0.652749718092357,0.817721449621084,31
"24","Ahoada West",0.8,0.8,0.8,5
"25","Aiyedade",0.571428571428571,0.571428571428571,0.571428571428571,10
"26","Ajaokuta",0.666666666666667,0.666666666666667,0.666666666666667,4
"27","Ajeromi-Ifelodun",0.832765472666535,0.800643355225925,0.864887590107144,63
"28","Ajingi",0.266666666666667,0.266666666666667,0.266666666666667,30
"29","Akamkpa",0.439546550071847,0.157602606536926,0.721490493606767,12
"30","Akinyele",0.578805313396338,0.537827905445478,0.619782721347197,60
"31","Akko",0.419616371238792,0.255325515301884,0.583907227175699,82
"32","Akoko-Edo",0.724842935696956,0.567123689759341,0.882562181634571,6
"33","Akoko North East",0.686226697698143,0.449511951073339,0.922941444322948,25
"34","Akoko North West",0.816155830290204,0.77552563197458,0.856786028605827,13
"35","Akoko South East",1,1,1,3
"36","Akoko South West",0.771065682955503,0.609465510218898,0.932665855692109,12
"37","Akpabuyo",0.618746689844014,0.424589803883274,0.812903575804755,13
"38","Akuku Toru",1,1,1,3
"39","Akure North",0.9,0.9,0.9,25
"40","Akure South",0.5,0.5,0.5,6
"41","Akwanga",0.667418650873943,0.543227139113786,0.7916101626341,9
"42","Albasu",0.35,0.35,0.35,43
"43","Alimosho",0.782732693803474,0.646093580317922,0.919371807289026,147
