"","LGA","pen1","ci_l","ci_u","Number of Participants"
"99","Biriniwa",0.533333333333333,0.533333333333333,0.533333333333333,19
"100","Birni Kudu",0.524497479262694,0.425326849359079,0.623668109166309,53
"101","Birnin Kebbi",0.195041516064512,0.0594178427210636,0.33066518940796,66
"102","Biu",0.263157894736842,0.263157894736842,0.263157894736842,12
"103","Bodinga",0.316860883906947,0.170229381887668,0.463492385926227,40
"104","Boki",0.6,0.6,0.6,12
"105","Bokkos",0.940648185896605,0.913553781555006,0.967742590238205,27
"106","Boluwaduro",0.749873873238194,0.661516122762074,0.838231623714315,7
"107","Bomadi",0.727272727272727,0.727272727272727,0.727272727272727,13
"108","Bonny",0.803513419065015,0.686934862047699,0.920091976082331,10
"109","Borgu",0,0,0,12
"110","Boripe",0.916666666666667,0.916666666666667,0.916666666666667,14
"111","Bosso",0.601211217313822,0.507203058625668,0.695219376001975,49
"112","Brass",0.741974966549391,0.572202183049393,0.911747750049389,14
"113","Buji",0.353980515229697,0.207665581672239,0.500295448787155,45
"114","Bukkuyum",0.170690505023202,0.00905005238834017,0.332330957658063,38
"115","Bungudu",0.223211234352631,0.0624274747563141,0.383994993948948,69
"116","Bunkure",0.166666666666667,0.166666666666667,0.166666666666667,45
"117","Bursari",0.470588235294118,0.470588235294118,0.470588235294118,13
"118","Buruku",0.70454543577511,0.594047732215081,0.815043139335138,46
"119","Burutu",0.327272763101311,0.0828456545054642,0.571699871697157,13
"120","Bwari",0.832879166301568,0.767470547271091,0.898287785332045,25
"121","Calabar-Municipal",0.694819207254852,0.613253998860637,0.776384415649067,31
"122","Calabar South",0.947945206838333,0.855709053187159,1.04018136048951,6
"123","Chanchaga",0.888888888888889,0.888888888888889,0.888888888888889,34
"124","Charanchi",0.238095238095238,0.238095238095238,0.238095238095238,47
"125","Chikun",0.875,0.875,0.875,26
"126","Dala",0.90909934080078,0.902351453216673,0.915847228384887,73
"127","Damaturu",0,0,0,3
"128","Damban",0.590909090909091,0.590909090909091,0.590909090909091,27
"129","Dambatta",0.678571428571428,0.678571428571428,0.678571428571428,47
"130","Dan Musa",0.8,0.8,0.8,13
"131","Dandi",0.475704981849565,0.288974193336684,0.662435770362446,19
"132","Dange-Shnsi",0,0,0,14
"133","Danja",0.666666666666667,0.666666666666667,0.666666666666667,42
"134","Darazo",0.414414369330533,0.181122278284232,0.647706460376834,34
"135","Dass",1,1,1,14
"136","Daura",0.366660303932118,0.106067862894398,0.627252744969838,84
"137","Dawakin Kudu",0.5,0.5,0.5,47
"138","Dawakin Tofa",0.705882352941176,0.705882352941176,0.705882352941177,23
"139","Degema",0.8,0.8,0.8,7
"140","Dekina",0.794728887954329,0.553946302799676,1.03551147310898,30
"141","Demsa",0.939723293046397,0.841151603357285,1.03829498273551,16
"142","Doguwa",0.5,0.5,0.5,53
"143","Doma",0.764758237820679,0.622182055538988,0.90733442010237,10
"144","Donga",0.491077980251866,0.185513837063442,0.79664212344029,12
"145","Dukku",0.0631416204991481,-0.0292921445986568,0.155575385596953,38
"146","Dutse",0.388744047385196,0.344830141404344,0.432657953366047,81
"147","Dutsi",0.476190476190476,0.476190476190476,0.476190476190476,18
"148","Eastern Obolo",0.777777777777778,0.777777777777778,0.777777777777778,12
"149","Edati",0.5,0.5,0.5,4
"150","Edu",0.761299854067256,0.603566042058114,0.919033666076398,23
"151","Efon-Alayee",0.722222222222222,0.573907702526578,0.870536741917866,7
"152","Egbado North",0.333333333333333,0.333333333333333,0.333333333333333,3
"153","Egbado South",0.682445820867833,0.221513073518978,1.14337856821669,12
"154","Egbeda",0.910762953866598,0.889776700171262,0.931749207561934,106
"155","Egbedore",0.826948486580227,0.633944464470492,1.01995250868996,17
"156","Egor",1,1,1,8
"157","Ehime-Mbano",1,1,1,4
"158","Ejigbo",0.72542144333623,0.543264617126214,0.907578269546247,27
"159","Ekeremor",0.653637538301201,0.587564104997555,0.719710971604847,17
"160","Eket",0.857142857142857,0.857142857142857,0.857142857142857,6
"161","Ekiti",0.724634757189652,0.677979339711703,0.771290174667601,10
"162","Ekiti East",0.75,0.75,0.75,2
"163","Ekiti South West",1,1,1,7
"164","Ekiti West",0.772173007143876,0.564720398407949,0.979625615879804,10
"165","Ekwusigo",0.857142857142857,0.857142857142857,0.857142857142857,22
"166","Eleme",0.906452153856159,0.768438727193846,1.04446558051847,37
"167","Emohua",0.555555555555556,0.555555555555556,0.555555555555556,9
"168","Emure",0.818181818181818,0.818181818181818,0.818181818181818,9
"169","Enugu East",0.956852783972496,0.895991901963685,1.01771366598131,40
"170","Enugu North",1,1,1,14
"171","Enugu South",1,1,1,13
"172","Epe",1,1,1,7
"173","Esan Central",1,1,1,5
"174","Esan North East",0.888888888888889,0.888888888888889,0.888888888888889,6
"175","Esan South East",0.719133908804827,0.684058060121896,0.754209757487758,12
"176","Esan West",1,1,1,2
"177","Ese-Odo",0.5,0.5,0.5,11
"178","Esit Eket",0.764705882352941,0.764705882352941,0.764705882352941,20
"179","Essien Udim",0.896457744522911,0.755959691685652,1.03695579736017,22
"180","Etche",0.758929631844034,0.551917650875997,0.965941612812071,13
"181","Ethiope East",0.740705256467843,0.690046869051732,0.791363643883953,19
"182","Ethiope West",0.5,0.5,0.5,1
"183","Eti-Osa",1,1,1,4
"184","Etinan",0.5,0.5,0.5,3
"185","Etsako Central",1,1,1,2
"186","Etsako East",0.581536832876599,0.556492432406474,0.606581233346724,14
"187","Etsako West",0.98503313482471,0.951230732713954,1.01883553693547,33
"188","Etung",1,1,1,4
