State,LGA,measles_DS,ci_lDS,ci_uDS,Num_DS,measles_state,ci_l_state,ci_u_state,Num_state
Abia,Aba North,0.746380917179629,0.566660171502923,0.926101662856334,9,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Aba South,0.760116614174064,0.618025102575415,0.902208125772713,24,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Arochukwu,0.632411113888126,0.534983175689475,0.729839052086778,15,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Bende,0.569254008061981,0.0996033846340982,1.03890463148986,7,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Ikwuano,0.729393470892019,0.704788487276109,0.753998454507929,7,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Isiala-Ngwa North,0.563744177314059,0.537045801719086,0.590442552909033,13,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Isiala-Ngwa South,0.494354624220449,0.315145649875007,0.673563598565891,18,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Isuikwato,0.494736775038945,0.203680997356481,0.785792552721408,7,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Obi Nwa,0.375,0.375,0.375,6,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Ohafia,0.626896644849434,0.488778115435982,0.765015174262886,17,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Osisioma Ngwa,0.55,0.55,0.55,25,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Ugwunagbo,0.705882352941176,0.705882352941176,0.705882352941177,12,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Ukwa East,0.818181818181818,0.818181818181818,0.818181818181818,3,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Ukwa West,0.619092145970963,0.569959819330186,0.66822447261174,,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Umu-Neochi,0.538622422567844,0.32869410084477,0.748550744290918,20,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Umuahia North,0.625,0.625,0.625,4,0.619092145970963,0.569959819330186,0.66822447261174,212
Abia,Umuahia South,0.683441701050346,0.491814411503379,0.875068990597312,25,0.619092145970963,0.569959819330186,0.66822447261174,212
Adamawa,Demsa,0.612648254712126,0.491329252017834,0.733967257406419,16,0.48005008846194,0.41083532460703,0.54926485231685,448
