LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins1,mortality,kill_rate,block_initial
Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.12523953,0.092253568,0.263166845,0.141460211,1,june,162,PBO,0.381316588,0.738260872,0.65
Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.12523953,0.092253568,0.263166845,0.141460211,2,june,1257,PBO,0.381316588,0.738260872,0.65
Isuikwato,Ngor-Okpala,2020,Isuikwato,0.54291498,0.183908046,0.12605459,0.276299231,1,june,162,PBO,0.414408176,0.741473832,0.65
Isuikwato,Ngor-Okpala,2023,Isuikwato,0.54291498,0.183908046,0.12605459,0.276299231,2,june,1257,PBO,0.414408176,0.741473832,0.65
Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.36,0.56,0.381818182,0.4125,1,june,162,Urban areas,0.339144556,0.409752288,0.53
Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.36,0.56,0.381818182,0.4125,2,june,1257,Urban areas,0.339144556,0.409752288,0.53
Ohafia,Ngor-Okpala,2020,Ohafia,0.219596953,0.131708827,0.172664394,0.221167021,1,june,162,PBO,0.433165676,0.742915145,0.65
Ohafia,Ngor-Okpala,2023,Ohafia,0.219596953,0.131708827,0.172664394,0.221167021,2,june,1257,PBO,0.433165676,0.742915145,0.65
Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.317647058,0.24,0.15652174,0.4,1,june,162,Urban areas,0.3223721,0.395923243,0.53
Osisioma Ngwa,Ngor-Okpala,2023,Osisioma Ngwa,0.317647058,0.24,0.15652174,0.4,2,june,1257,Urban areas,0.3223721,0.395923243,0.53
Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.171428572,0.171428572,0.333333334,0.092307692,1,june,162,Urban areas,0.311296946,0.386810187,0.53
Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.171428572,0.171428572,0.333333334,0.092307692,2,june,1257,Urban areas,0.311296946,0.386810187,0.53
Ukwa East,Nsit Ubium,2020,Ukwa East,0.260869565,0.066666667,0.048,0.085714285,1,june,162,PBO,0.30363416,0.725109174,0.65
Ukwa East,Nsit Ubium,2023,Ukwa East,0.260869565,0.066666667,0.048,0.085714285,2,june,1257,PBO,0.30363416,0.725109174,0.65
Ukwa West,Nsit Ubium,2020,Ukwa West,0.401357616,0.353031661,0.243082888,0.273386149,1,june,162,PBO,0.294680951,0.722792365,0.65
Ukwa West,Nsit Ubium,2023,Ukwa West,0.401357616,0.353031661,0.243082888,0.273386149,2,june,1257,PBO,0.294680951,0.722792365,0.65
Umu-Neochi,Oru West,2020,Umu-Neochi,0.497801629,0.606901561,0.403219414,0.443178282,1,june,162,PBO,0.436597759,0.743154502,0.65
Umu-Neochi,Oru West,2023,Umu-Neochi,0.497801629,0.606901561,0.403219414,0.443178282,2,june,1257,PBO,0.436597759,0.743154502,0.65
Umuahia North,Ngor-Okpala,2020,Umuahia North,0.16,0.31976846,0.24,0.210526315,1,june,162,PBO,0.451576154,0.744121457,0.65
Umuahia North,Ngor-Okpala,2023,Umuahia North,0.16,0.31976846,0.24,0.210526315,2,june,1257,PBO,0.451576154,0.744121457,0.65
Umuahia South,Ngor-Okpala,2020,Umuahia South,0.228295674,0.263655314,0.198353248,0.333891334,1,june,162,PBO,0.48752647,0.746009794,0.65
Umuahia South,Ngor-Okpala,2023,Umuahia South,0.228295674,0.263655314,0.198353248,0.333891334,2,june,1257,PBO,0.48752647,0.746009794,0.65
Demsa,Alkaleri,2020,Demsa,0.544406772,0.341721852,0.32043094,0.461976287,1,july,186,PBO,0.495212973,0.74634808,0.65
Demsa,Alkaleri,2023,Demsa,0.544406772,0.341721852,0.32043094,0.461976287,2,july,1281,PBO,0.495212973,0.74634808,0.65
Gireri,Darazo,2020,Gireri,0.52045146,0.301261878,0.503232118,0.496948156,1,july,186,PBO,0.658506137,0.75044815,0.843319415
Gireri,Darazo,2023,Gireri,0.52045146,0.301261878,0.503232118,0.496948156,2,july,1281,PBO,0.658506137,0.75044815,0.843319415
Gombi,Alkaleri,2020,Gombi,0.557139816,0.496728953,0.474716999,0.406603886,1,july,186,PBO,0.515567645,0.747153033,0.673908406
Gombi,Alkaleri,2023,Gombi,0.557139816,0.496728953,0.474716999,0.406603886,2,july,1281,PBO,0.515567645,0.747153033,0.673908406
Guyuk,Alkaleri,2020,Guyuk,0.778894348,0.645820158,0.730933024,0.62419521,1,july,186,PBO,0.571995521,0.748844595,0.755853881
Guyuk,Alkaleri,2023,Guyuk,0.778894348,0.645820158,0.730933024,0.62419521,2,july,1281,PBO,0.571995521,0.748844595,0.755853881
Hong,Darazo,2020,Hong,0.730434782,0.533333333,0.289655172,0.461538462,1,july,186,PBO,0.634881453,0.750094944,0.823212171
Hong,Darazo,2023,Hong,0.730434782,0.533333333,0.289655172,0.461538462,2,july,1281,PBO,0.634881453,0.750094944,0.823212171
Lamurde,Alkaleri,2020,Lamurde,0.381818182,0.171428572,0.436363637,0.483870967,1,july,186,PBO,0.429924862,0.742682577,0.65
Lamurde,Alkaleri,2023,Lamurde,0.381818182,0.171428572,0.436363637,0.483870967,2,july,1281,PBO,0.429924862,0.742682577,0.65
Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.768,0.225,0.528,0.526315789,1,july,186,PBO,0.615915722,0.74977065,0.805165057
Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.768,0.225,0.528,0.526315789,2,july,1281,PBO,0.615915722,0.74977065,0.805165057
Numan,Alkaleri,2020,Numan,0.833333333,0.525,0.442105264,0.733333333,1,july,186,PBO,0.518273564,0.747251003,0.678387
Numan,Alkaleri,2023,Numan,0.833333333,0.525,0.442105264,0.733333333,2,july,1281,PBO,0.518273564,0.747251003,0.678387
Shelleng,Darazo,2020,Shelleng,0.437232842,0.353426546,0.379327608,0.439493987,1,july,186,PBO,0.58914423,0.749238946,0.776450833
Shelleng,Darazo,2023,Shelleng,0.437232842,0.353426546,0.379327608,0.439493987,2,july,1281,PBO,0.58914423,0.749238946,0.776450833
Itu,Ngor-Okpala,2021,Itu,0.365309446,0.31976846,0.263166845,0.024489796,1,june,527,PBO,0.415010863,0.741523913,0.65
Itu,Ngor-Okpala,2024,Itu,0.365309446,0.31976846,0.263166845,0.024489796,2,june,1622,PBO,0.415010863,0.741523913,0.65
Song,Darazo,2020,Song,0.577559058,0.680454547,0.587080114,0.593199268,1,july,186,PBO,0.551949619,0.748320258,0.729369132
Song,Darazo,2023,Song,0.577559058,0.680454547,0.587080114,0.593199268,2,july,1281,PBO,0.551949619,0.748320258,0.729369132
Yola North,Alkaleri,2020,Yola North,0.586928078,0.545746801,0.497135074,0.491269061,1,july,186,PBO,0.581884889,0.749077617,0.767953208
Yola North,Alkaleri,2023,Yola North,0.586928078,0.545746801,0.497135074,0.491269061,2,july,1281,PBO,0.581884889,0.749077617,0.767953208
Yola South,Alkaleri,2020,Yola South,0.628571429,0.45,0.533333333,0.311111111,1,july,186,PBO,0.57254926,0.748858066,0.756547718
Yola South,Alkaleri,2023,Yola South,0.628571429,0.45,0.533333333,0.311111111,2,july,1281,PBO,0.57254926,0.748858066,0.756547718
Abak,Nsit Ubium,2021,Abak,0.141176471,0.08,0.208695652,0.196721311,1,june,527,PBO,0.358412263,0.735378725,0.65
Abak,Nsit Ubium,2024,Abak,0.141176471,0.08,0.208695652,0.196721311,2,june,1622,PBO,0.358412263,0.735378725,0.65
Awka North,Uzo-Uwani,2020,Awka North,0.285714286,0.171428572,0.104347826,0.252631579,1,june,162,PBO,0.388205397,0.739012279,0.65
Awka North,Uzo-Uwani,2023,Awka North,0.285714286,0.171428572,0.104347826,0.252631579,2,june,1257,PBO,0.388205397,0.739012279,0.65
Eket,Nsit Ubium,2021,Eket,0.436363637,0.4,0.42,0.381818182,1,june,527,PBO,0.238612216,0.701507165,0.65
Eket,Nsit Ubium,2024,Eket,0.436363637,0.4,0.42,0.381818182,2,june,1622,PBO,0.238612216,0.701507165,0.65
Esit Eket,Nsit Ubium,2021,Esit Eket,0.771428572,0.48,0.194594594,0.588679246,1,june,527,PBO,0.262279676,0.712184003,0.65
Esit Eket,Nsit Ubium,2024,Esit Eket,0.771428572,0.48,0.194594594,0.588679246,2,june,1622,PBO,0.262279676,0.712184003,0.65
Essien Udim,Ngor-Okpala,2021,Essien Udim,0.484995672,0.503190516,0.122177953,0.298496518,1,june,527,PBO,0.369824263,0.73689371,0.65
Essien Udim,Ngor-Okpala,2024,Essien Udim,0.484995672,0.503190516,0.122177953,0.298496518,2,june,1622,PBO,0.369824263,0.73689371,0.65
Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.365309446,0.31976846,0.263166845,0.320293091,1,june,527,PBO,0.326319464,0.730073677,0.65
Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.365309446,0.31976846,0.263166845,0.320293091,2,june,1622,PBO,0.326319464,0.730073677,0.65
Etinan,Nsit Ubium,2021,Etinan,0.276923077,0.2,0.243082888,0.171428572,1,june,527,PBO,0.271254927,0.715522394,0.65
Etinan,Nsit Ubium,2024,Etinan,0.276923077,0.2,0.243082888,0.171428572,2,june,1622,PBO,0.271254927,0.715522394,0.65
Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.37959187,0.438461501,0.316981142,0.354448409,1,june,527,PBO,0.364757188,0.736241633,0.65
Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.37959187,0.438461501,0.316981142,0.354448409,2,june,1622,PBO,0.364757188,0.736241633,0.65
Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.8,0.676951712,0.41733333,0.621642197,1,june,527,PBO,0.383194312,0.738470498,0.65
