LGA,Rep_DS,U5_coverage,adult_coverage,severe_cases,simday,duration,year,start_day_override
Awka North,Uzo-Uwani,0.733333334,0.733333334,0.539,0,-1,2018,-1
Awka South,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Ayamelum,Uzo-Uwani,0.843333348,0.843333348,0.539,0,-1,2018,-1
Babura,Babura,0.545538786,0.545538786,0.539,0,-1,2018,-1
Badagry,Uzo-Uwani,0.462211734,0.462211734,0.539,0,-1,2018,-1
Bade,Taura,0.052380953,0.052380953,0.539,0,-1,2018,-1
Bagudo,Birnin Kebbi,0.37980456,0.37980456,0.539,0,-1,2018,-1
Bagwai,Babura,0.22,0.22,0.539,0,-1,2018,-1
Bakassi,Obubra,0.451107239,0.451107239,0.539,0,-1,2018,-1
Bakori,Gwarzo,0.189389802,0.189389802,0.539,0,-1,2018,-1
Bakura,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Balanga,Alkaleri,0.235581882,0.235581882,0.539,0,-1,2018,-1
Bali,Keana,0.361833747,0.361833747,0.539,0,-1,2018,-1
Bama,Darazo,0.125808184,0.125808184,0.539,0,-1,2018,-1
Barikin Ladi,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Baruten,Oke-Ero,0.271523548,0.271523548,0.539,0,-1,2018,-1
Bassa1,Keana,0.22,0.22,0.539,0,-1,2018,-1
Bassa2,Soba,0.022544159,0.022544159,0.539,0,-1,2018,-1
Batagarawa,Rimi,0.410384619,0.410384619,0.539,0,-1,2018,-1
