,adm1,adm2,year,smc_yn,smc1_num,smc2_num,smc3_num,smc4_num,smc1_month,smc2_month,smc3_month,smc4_month,,notes 
128,Jigawa,Roni,2018,1,21782,23089,26400,29997,7/27/18,8/27/18,9/24/18,10/22/18,,
129,Jigawa,Taura,2018,1,34864,35893,37396,41294,7/27/18,8/27/18,9/24/18,10/22/18,,
130,Katsina,Baure,2018,1,56892,59737,65069,72007,7/27/18,8/27/18,9/24/18,10/22/18,,
131,Katsina,Dutsi,2018,1,33628,35559,37655,39871,7/27/18,8/27/18,9/24/18,10/22/18,,
132,Katsina,Mai'Adua,2018,1,56338,58075,58365,63767,7/27/18,8/27/18,9/24/18,10/22/18,,
133,Katsina,Mashi,2018,1,49055,55580,60853,67006,7/27/18,8/27/18,9/24/18,10/22/18,,
134,Sokoto,Binji,2018,NA,17665.00525,17420.06771,17870.09496,19624.77313,7/27/18,8/27/18,9/24/18,10/27/18,,
135,Sokoto,Bodinga,2018,NA,67068.68912,66138.73527,67847.35279,74509.33578,7/27/18,8/27/18,9/24/18,10/27/18,,
136,Sokoto,Dange-Shnsi,2018,NA,84749.99803,83574.88057,85733.94068,94152.2213,7/27/18,8/27/18,9/24/18,10/27/18,,
137,Sokoto,Gada,2018,NA,66493.53257,65571.55366,67265.51869,73870.37096,7/27/18,8/27/18,9/24/18,10/27/18,,
138,Sokoto,Gawabawa,2018,NA,38507.41083,37973.47889,38954.47967,42779.44956,7/27/18,8/27/18,9/24/18,10/27/18,,
139,Sokoto,Goronyo,2018,NA,25782.41166,25424.92065,26081.74399,28642.7302,7/27/18,8/27/18,9/24/18,10/27/18,,
140,Sokoto,Gudu,2018,NA,47222.61775,46567.84342,47770.86965,52461.52755,7/27/18,8/27/18,9/24/18,10/27/18,,
141,Sokoto,Illela,2018,NA,47408.29821,46750.9493,47958.70585,52667.80753,7/27/18,8/27/18,9/24/18,10/27/18,,
142,Sokoto,Isa,2018,NA,34535.66043,34056.79956,34936.61748,38367.07043,7/27/18,8/27/18,9/24/18,10/27/18,,
143,Sokoto,Kebbe,2018,NA,14931.42653,14724.39195,15104.77954,16587.92929,7/27/18,8/27/18,9/24/18,10/27/18,,
144,Sokoto,Kware,2018,NA,44848.62509,44226.76782,45369.31507,49824.16251,7/27/18,8/27/18,9/24/18,10/27/18,,
145,Sokoto,Rabah,2018,NA,29749.63326,29337.13398,30095.02481,33050.07811,7/27/18,8/27/18,9/24/18,10/27/18,,
146,Sokoto,Sabon Birni,2018,NA,72453.42256,71448.80565,73294.60267,80491.45526,7/27/18,8/27/18,9/24/18,10/27/18,,
147,Sokoto,Shagari,2018,NA,34998.50295,34513.22445,35404.83357,38881.26102,7/27/18,8/27/18,9/24/18,10/27/18,,
148,Sokoto,Silame,2018,NA,18413.16166,18157.85041,18626.93742,20455.93052,7/27/18,8/27/18,9/24/18,10/27/18,,
149,Sokoto,Sokoto North,2018,NA,43498.13938,42895.00753,44003.1503,48323.85298,7/27/18,8/27/18,9/24/18,10/27/18,,
150,Sokoto,Sokoto South,2018,NA,61760.03939,60903.69364,62477.06993,68611.74078,7/27/18,8/27/18,9/24/18,10/27/18,,
151,Sokoto,Tambuwal,2018,NA,46397.47188,45754.13878,46936.14389,51544.83943,7/27/18,8/27/18,9/24/18,10/27/18,,
152,Sokoto,Tangaza,2018,NA,29493.30365,29084.35855,29835.71922,32765.31111,7/27/18,8/27/18,9/24/18,10/27/18,,
153,Sokoto,Tureta,2018,NA,16856.16304,16622.44066,17051.86213,18726.1974,7/27/18,8/27/18,9/24/18,10/27/18,,
154,Sokoto,Wamako,2018,NA,92463.4362,91181.36658,93536.93143,102721.3936,7/27/18,8/27/18,9/24/18,10/27/18,,
155,Sokoto,Wurno,2018,NA,33094.59888,32635.71933,33478.82529,36766.13652,7/27/18,8/27/18,9/24/18,10/27/18,,
156,Sokoto,Yabo,2018,NA,21966.45169,21661.87162,22221.48095,24403.42501,7/27/18,8/27/18,9/24/18,10/27/18,,
157,Zamfara,Anka,2018,1,47366,46528,46943,52889,7/27/18,8/27/18,9/24/18,10/26/18,,
158,Zamfara,Bakura,2018,1,43036,48650,49106,55081,7/27/18,8/27/18,9/24/18,10/26/18,,
159,Zamfara,Birnin Magaji,2018,1,43863,48083,47816,54467,7/27/18,8/27/18,9/24/18,10/26/18,,
160,Zamfara,Bukkuyum,2018,1,61639,59652,59775,67448,7/27/18,8/27/18,9/24/18,10/26/18,,
161,Zamfara,Bungudu,2018,1,99374,104324,101101,113501,7/27/18,8/27/18,9/24/18,10/26/18,,
162,Zamfara,Gummi,2018,1,42116,51350,51878,58101,7/27/18,8/27/18,9/24/18,10/26/18,,
163,Zamfara,Gusau,2018,1,76050,76129,81119,89846,7/27/18,8/27/18,9/24/18,10/26/18,,
164,Zamfara,Kaura Namoda,2018,1,111743,127499,123931,137150,7/27/18,8/27/18,9/24/18,10/26/18,,
165,Zamfara,Maradun,2018,1,48640,53488,52953,59891,7/27/18,8/27/18,9/24/18,10/26/18,,
166,Zamfara,Maru,2018,1,64233,67971,70109,79009,7/27/18,8/27/18,9/24/18,10/26/18,,
167,Zamfara,Shinkafi,2018,1,36233,52800,51592,58350,7/27/18,8/27/18,9/24/18,10/26/18,,
168,Zamfara,Talata Mafara,2018,1,54132,60111,60160,69011,7/27/18,8/27/18,9/24/18,10/26/18,,
169,Zamfara,Tsafe,2018,1,44497,48231,50965,60265,7/27/18,8/27/18,9/24/18,10/26/18,,
170,Zamfara,Zurmi,2018,1,55141,60947,61912,64274,7/27/18,8/27/18,9/24/18,10/26/18,,
