LGA,adm1,year,round,simday,max_age,coverage_high_access,coverage_low_access
Gwoza,Borno ,2019,1,3474,5,0.8,0.4
Gwoza,Borno ,2019,2,3540,5,0.8,0.4
Gwoza,Borno ,2019,3,3509,5,0.8,0.4
Gwoza,Borno ,2019,4,3624,5,0.8,0.4
Ngala,Borno ,2019,1,3474,5,0.8,0.4
Ngala,Borno ,2019,2,3540,5,0.8,0.4
Ngala,Borno ,2019,3,3509,5,0.8,0.4
Ngala,Borno ,2019,4,3624,5,0.8,0.4
Kala-Balge,Borno,2019,1,3474,5,0.8,0.4
Kala-Balge,Borno,2019,2,3540,5,0.8,0.4
Kala-Balge,Borno,2019,3,3509,5,0.8,0.4
Kala-Balge,Borno,2019,4,3624,5,0.8,0.4
Bama,Borno ,2019,1,3474,5,0.8,0.4
Bama,Borno ,2019,2,3540,5,0.8,0.4
Bama,Borno ,2019,3,3509,5,0.8,0.4
Bama,Borno ,2019,4,3624,5,0.8,0.4
Bama,Borno ,2019,4,3624,5,0.8,0.4
Yusufari,Yobe ,2019,1,3502,5,1,0.4
Yusufari,Yobe ,2019,2,3530,5,1,0.4
Yusufari,Yobe ,2019,3,3558,5,1,0.4
Yusufari,Yobe ,2019,4,3586,5,1,0.4
Tarmuwa,Yobe ,2019,1,3502,5,1,0.4
Tarmuwa,Yobe ,2019,2,3530,5,1,0.4
Tarmuwa,Yobe ,2019,3,3558,5,1,0.4
Tarmuwa,Yobe ,2019,4,3586,5,1,0.4
Bade,Yobe ,2019,1,3502,5,1,0.4
Bade,Yobe ,2019,2,3530,5,1,0.4
Bade,Yobe ,2019,3,3558,5,1,0.4
Bade,Yobe ,2019,4,3586,5,1,0.4
Machina,Yobe ,2019,1,3502,5,1,0.4
Machina,Yobe ,2019,2,3530,5,1,0.4
Machina,Yobe ,2019,3,3558,5,1,0.4
Machina,Yobe ,2019,4,3586,5,1,0.4
Nguru,Yobe ,2019,1,3502,5,1,0.4
Nguru,Yobe ,2019,2,3530,5,1,0.4
Nguru,Yobe ,2019,3,3558,5,1,0.4
Nguru,Yobe ,2019,4,3586,5,1,0.4
Karasuwa,Yobe ,2019,1,3502,5,1,0.4
Karasuwa,Yobe ,2019,2,3530,5,1,0.4
Karasuwa,Yobe ,2019,3,3558,5,1,0.4
Karasuwa,Yobe ,2019,4,3586,5,1,0.4
Baure,Katsina,2013,1,1308,5,1,0.8
Baure,Katsina,2013,2,1339,5,1,0.8
Baure,Katsina,2013,3,1369,5,1,0.8
