06/17 18:01:03 [DEBUG] [4504399296] [COMPS.Client] Parsed login host: ('https', 'comps.idmod.org', None)
06/17 18:03:07 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:13 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:18 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:24 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:29 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:35 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:41 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:46 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:52 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:03:58 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:03 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:09 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:14 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:20 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:25 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:31 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:36 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:42 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:47 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:53 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:04:58 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:04 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:09 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:15 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:20 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:26 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:31 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:37 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:43 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:48 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:53 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:05:59 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:05 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:11 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:17 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:22 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:28 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:33 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:39 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:44 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:49 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:06:55 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:00 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:06 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:11 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:17 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:22 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:28 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:33 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:39 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:45 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:50 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:07:56 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
06/17 18:08:01 [DEBUG] [4504399296] [COMPS.Client] REQUEST -> GET https://comps.idmod.org/api/Simulations {'fields': 'Id,SimulationState', 'filters': 'ExperimentId=17bb1720-bfcf-eb11-a9ec-b88303911bc1', 'count': 100000}
