LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday
Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.104366275,0.076877973,0.219305704,0.117883509,0.381316588,0.444481729,0.53,2,june,1257
Isuikwato,Ngor-Okpala,2020,Isuikwato,0.45242915,0.153256705,0.105045492,0.230249359,0.414408176,0.471442169,0.53,1,june,162
Isuikwato,Ngor-Okpala,2023,Isuikwato,0.45242915,0.153256705,0.105045492,0.230249359,0.414408176,0.471442169,0.53,2,june,1257
Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.3,0.466666667,0.318181818,0.34375,0.339144556,0.409752288,0.53,1,june,162
Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.3,0.466666667,0.318181818,0.34375,0.339144556,0.409752288,0.53,2,june,1257
Ohafia,Ngor-Okpala,2020,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.433165676,0.486514324,0.53,1,june,162
Ohafia,Ngor-Okpala,2023,Ohafia,0.182997461,0.109757356,0.143886995,0.184305851,0.433165676,0.486514324,0.53,2,june,1257
Osisioma Ngwa,Ngor-Okpala,2020,Osisioma Ngwa,0.264705882,0.2,0.130434783,0.333333333,0.3223721,0.395923243,0.53,1,june,162
Osisioma Ngwa,Ngor-Okpala,2023,Osisioma Ngwa,0.264705882,0.2,0.130434783,0.333333333,0.3223721,0.395923243,0.53,2,june,1257
Ugwunagbo,Ngor-Okpala,2020,Ugwunagbo,0.142857143,0.142857143,0.277777778,0.076923077,0.311296946,0.386810187,0.53,1,june,162
Ugwunagbo,Ngor-Okpala,2023,Ugwunagbo,0.142857143,0.142857143,0.277777778,0.076923077,0.311296946,0.386810187,0.53,2,june,1257
Ukwa East,Nsit Ubium,2020,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.30363416,0.380519132,0.53,1,june,162
Ukwa East,Nsit Ubium,2023,Ukwa East,0.217391304,0.055555556,0.04,0.071428571,0.30363416,0.380519132,0.53,2,june,1257
Ukwa West,Nsit Ubium,2020,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.294680951,0.373187786,0.53,1,june,162
Ukwa West,Nsit Ubium,2023,Ukwa West,0.33446468,0.294193051,0.202569073,0.227821791,0.294680951,0.373187786,0.53,2,june,1257
Umu-Neochi,Oru West,2020,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.436597759,0.489251418,0.53,1,june,162
Umu-Neochi,Oru West,2023,Umu-Neochi,0.414834691,0.505751301,0.336016178,0.369315235,0.436597759,0.489251418,0.53,2,june,1257
Umuahia North,Ngor-Okpala,2020,Umuahia North,0.133333333,0.266473717,0.2,0.175438596,0.451576154,0.501112024,0.53,1,june,162
Umuahia North,Ngor-Okpala,2023,Umuahia North,0.133333333,0.266473717,0.2,0.175438596,0.451576154,0.501112024,0.53,2,june,1257
Umuahia South,Ngor-Okpala,2020,Umuahia South,0.190246395,0.219712762,0.165294373,0.278242778,0.48752647,0.528927156,0.53,1,june,162
Umuahia South,Ngor-Okpala,2023,Umuahia South,0.190246395,0.219712762,0.165294373,0.278242778,0.48752647,0.528927156,0.53,2,june,1257
Demsa,Alkaleri,2020,Demsa,0.45367231,0.28476821,0.267025783,0.384980239,0.495212973,0.534738199,0.53,1,july,186
Demsa,Alkaleri,2023,Demsa,0.45367231,0.28476821,0.267025783,0.384980239,0.495212973,0.534738199,0.53,2,july,1281
Gireri,Darazo,2020,Gireri,0.43370955,0.251051565,0.419360098,0.414123463,0.658506137,0.643299625,0.53,1,july,186
Gireri,Darazo,2023,Gireri,0.43370955,0.251051565,0.419360098,0.414123463,0.658506137,0.643299625,0.53,2,july,1281
Gombi,Alkaleri,2020,Gombi,0.46428318,0.413940794,0.395597499,0.338836572,0.515567645,0.54986676,0.53,1,july,186
Gombi,Alkaleri,2023,Gombi,0.46428318,0.413940794,0.395597499,0.338836572,0.515567645,0.54986676,0.53,2,july,1281
Guyuk,Alkaleri,2020,Guyuk,0.649078623,0.538183465,0.609110853,0.520162675,0.571995521,0.58959986,0.53,1,july,186
Guyuk,Alkaleri,2023,Guyuk,0.649078623,0.538183465,0.609110853,0.520162675,0.571995521,0.58959986,0.53,2,july,1281
Hong,Darazo,2020,Hong,0.608695652,0.444444444,0.24137931,0.384615385,0.634881453,0.629555395,0.53,1,july,186
Hong,Darazo,2023,Hong,0.608695652,0.444444444,0.24137931,0.384615385,0.634881453,0.629555395,0.53,2,july,1281
Lamurde,Alkaleri,2020,Lamurde,0.318181818,0.142857143,0.363636364,0.403225806,0.429924862,0.483923569,0.53,1,july,186
Lamurde,Alkaleri,2023,Lamurde,0.318181818,0.142857143,0.363636364,0.403225806,0.429924862,0.483923569,0.53,2,july,1281
Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.64,0.1875,0.44,0.438596491,0.615915722,0.618014343,0.53,1,july,186
Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.64,0.1875,0.44,0.438596491,0.615915722,0.618014343,0.53,2,july,1281
Numan,Alkaleri,2020,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.518273564,0.55184819,0.53,1,july,186
Numan,Alkaleri,2023,Numan,0.833333333,0.4375,0.368421053,0.611111111,0.518273564,0.55184819,0.53,2,july,1281
Shelleng,Darazo,2020,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.58914423,0.600969346,0.53,1,july,186
Shelleng,Darazo,2023,Shelleng,0.364360702,0.294522122,0.31610634,0.366244989,0.58914423,0.600969346,0.53,2,july,1281
Itu,Ngor-Okpala,2021,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.415010863,0.471929182,0.53,1,june,527
Itu,Ngor-Okpala,2024,Itu,0.304424538,0.266473717,0.219305704,0.020408163,0.415010863,0.471929182,0.53,2,june,1622
Song,Darazo,2020,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.551949619,0.575879905,0.53,1,july,186
Song,Darazo,2023,Song,0.481299215,0.567045456,0.489233428,0.494332723,0.551949619,0.575879905,0.53,2,july,1281
Yola North,Alkaleri,2020,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.581884889,0.596198663,0.53,1,july,186
Yola North,Alkaleri,2023,Yola North,0.489106732,0.454789001,0.414279228,0.409390884,0.581884889,0.596198663,0.53,2,july,1281
Yola South,Alkaleri,2020,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.57254926,0.589972357,0.53,1,july,186
Yola South,Alkaleri,2023,Yola South,0.523809524,0.375,0.444444444,0.259259259,0.57254926,0.589972357,0.53,2,july,1281
Abak,Nsit Ubium,2021,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,0.53,1,june,527
Abak,Nsit Ubium,2024,Abak,0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,0.53,2,june,1622
Awka North,Uzo-Uwani,2020,Awka North,0.238095238,0.142857143,0.086956522,0.210526316,0.388205397,0.450124783,0.53,1,june,162
Awka North,Uzo-Uwani,2023,Awka North,0.238095238,0.142857143,0.086956522,0.210526316,0.388205397,0.450124783,0.53,2,june,1257
Eket,Nsit Ubium,2021,Eket,0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,0.53,1,june,527
Eket,Nsit Ubium,2024,Eket,0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,0.53,2,june,1622
Esit Eket,Nsit Ubium,2021,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.262279676,0.346897657,0.53,1,june,527
Esit Eket,Nsit Ubium,2024,Esit Eket,0.642857143,0.4,0.162162162,0.490566038,0.262279676,0.346897657,0.53,2,june,1622
Essien Udim,Ngor-Okpala,2021,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.369824263,0.435041855,0.53,1,june,527
Essien Udim,Ngor-Okpala,2024,Essien Udim,0.40416306,0.41932543,0.101814961,0.248747098,0.369824263,0.435041855,0.53,2,june,1622
Etim Ekpo,Ngor-Okpala,2021,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.326319464,0.399175674,0.53,1,june,527
Etim Ekpo,Ngor-Okpala,2024,Etim Ekpo,0.304424538,0.266473717,0.219305704,0.266910909,0.326319464,0.399175674,0.53,2,june,1622
Etinan,Nsit Ubium,2021,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.271254927,0.35413511,0.53,1,june,527
Etinan,Nsit Ubium,2024,Etinan,0.230769231,0.166666667,0.202569073,0.142857143,0.271254927,0.35413511,0.53,2,june,1622
Ibesikpo Asutan,Nsit Ubium,2021,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.364757188,0.430871605,0.53,1,june,527
Ibesikpo Asutan,Nsit Ubium,2024,Ibesikpo Asutan,0.316326558,0.365384584,0.264150952,0.295373674,0.364757188,0.430871605,0.53,2,june,1622
Ibiono Ibom,Ngor-Okpala,2021,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.383194312,0.446021174,0.53,1,june,527
Ibiono Ibom,Ngor-Okpala,2024,Ibiono Ibom,0.680806712,0.564126427,0.347777775,0.518035164,0.383194312,0.446021174,0.53,2,june,1622
Ika,Ngor-Okpala,2021,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.281330517,0.36230356,0.53,1,june,527
Ika,Ngor-Okpala,2024,Ika,0.304424538,0.266473717,0.219305704,0.266910909,0.281330517,0.36230356,0.53,2,june,1622
Ikono,Ngor-Okpala,2021,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.3504186,0.419053252,0.53,1,june,527
Ikono,Ngor-Okpala,2024,Ikono,0.166666667,0.117647059,0.291666667,0.186440678,0.3504186,0.419053252,0.53,2,june,1622
Ikot Abasi,Nsit Ubium,2021,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.194063012,0.293529351,0.53,1,june,527
Ikot Abasi,Nsit Ubium,2024,Ikot Abasi,0.347826087,0.461538462,0.3,0.123076923,0.194063012,0.293529351,0.53,2,june,1622
Ikot Ekpene,Ngor-Okpala,2021,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.356519334,0.424084125,0.53,1,june,527
Ikot Ekpene,Ngor-Okpala,2024,Ikot Ekpene,0.05605449,0.266473717,0.200480127,0.116877293,0.356519334,0.424084125,0.53,2,june,1622
Ini,Ngor-Okpala,2021,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.395911217,0.45642023,0.53,1,june,527
Ini,Ngor-Okpala,2024,Ini,0.692307692,0.357142857,0.533333333,0.510204082,0.395911217,0.45642023,0.53,2,june,1622
Mkpat Enin,Nsit Ubium,2021,Mkpat Enin,0.602843612,0.379341874,0.33631654,0.380262242,0.225930858,0.318051677,0.53,1,june,527
Mkpat Enin,Nsit Ubium,2024,Mkpat Enin,0.602843612,0.379341874,0.33631654,0.380262242,0.225930858,0.318051677,0.53,2,june,1622
Nsit Atai,Nsit Ubium,2021,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.243345201,0.331769618,0.53,1,june,527
Nsit Atai,Nsit Ubium,2024,Nsit Atai,0.33446468,0.294193051,0.202569073,0.227821791,0.243345201,0.331769618,0.53,2,june,1622
Nsit Ibom,Nsit Ubium,2021,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.357951303,0.425264532,0.53,1,june,527
Nsit Ibom,Nsit Ubium,2024,Nsit Ibom,0.2,0.076923077,0.202569073,0.169230769,0.357951303,0.425264532,0.53,2,june,1622
Nsit Ubium,Nsit Ubium,2021,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.247213687,0.334843575,0.53,1,june,527
Nsit Ubium,Nsit Ubium,2024,Nsit Ubium,0.294117647,0.545454545,0.136363636,0.293103448,0.247213687,0.334843575,0.53,2,june,1622
Awka South,Uzo-Uwani,2020,Awka South,0.115384615,0.224106265,0.160050482,0.055555556,0.431794981,0.485419293,0.53,1,june,162
Awka South,Uzo-Uwani,2023,Awka South,0.115384615,0.224106265,0.160050482,0.055555556,0.431794981,0.485419293,0.53,2,june,1257
Obot Akara,Ngor-Okpala,2021,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.376065149,0.440171735,0.53,1,june,527
Obot Akara,Ngor-Okpala,2024,Obot Akara,0.352941176,0.444444444,0.230769231,0.298245614,0.376065149,0.440171735,0.53,2,june,1622
Okobo,Nsit Ubium,2021,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.269257198,0.352520839,0.53,1,june,527
Okobo,Nsit Ubium,2024,Okobo,0.3,0.222222222,0.454545455,0.290909091,0.269257198,0.352520839,0.53,2,june,1622
Onna,Nsit Ubium,2021,Onna,0.415362737,0.411823643,0.219786096,0.410602704,0.191877243,0.291878138,0.53,1,june,527
Onna,Nsit Ubium,2024,Onna,0.415362737,0.411823643,0.219786096,0.410602704,0.191877243,0.291878138,0.53,2,june,1622
Oruk Anam,Nsit Ubium,2021,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.312496984,0.387796568,0.53,1,june,527
Oruk Anam,Nsit Ubium,2024,Oruk Anam,0.345323717,0.431578963,0.239130379,0.284408547,0.312496984,0.387796568,0.53,2,june,1622
Ukanafun,Nsit Ubium,2021,Ukanafun,0.265452627,0.285096449,0.102586479,0.139673943,0.340679142,0.41101835,0.53,1,june,527
Ukanafun,Nsit Ubium,2024,Ukanafun,0.265452627,0.285096449,0.102586479,0.139673943,0.340679142,0.41101835,0.53,2,june,1622
Uruan,Nsit Ubium,2021,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.401030149,0.460591042,0.53,1,june,527
Uruan,Nsit Ubium,2024,Uruan,0.33564019,0.30263162,0.215921543,0.260106819,0.401030149,0.460591042,0.53,2,june,1622
Urue-Offong-Oruko,Nsit Ubium,2021,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.204236897,0.30126919,0.53,1,june,527
Urue-Offong-Oruko,Nsit Ubium,2024,Urue-Offong/Oruko,0.421052632,0.307692308,0.208333333,0.321428571,0.204236897,0.30126919,0.53,2,june,1622
Ayamelum,Uzo-Uwani,2020,Ayamelum,0.226000001,0.090196079,0.056149735,0.148743718,0.436497382,0.489171465,0.53,1,june,162
Ayamelum,Uzo-Uwani,2023,Ayamelum,0.226000001,0.090196079,0.056149735,0.148743718,0.436497382,0.489171465,0.53,2,june,1257
Uyo,Nsit Ubium,2021,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.399966547,0.459725229,0.53,1,june,527
Uyo,Nsit Ubium,2024,Uyo,0.189887959,0.077486364,0.109020534,0.123168765,0.399966547,0.459725229,0.53,2,june,1622
Aguata,Oru West,2020,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.454034567,0.503044714,0.53,1,june,162
Aguata,Oru West,2023,Aguata,0.255850471,0.387034474,0.239642794,0.237666189,0.454034567,0.503044714,0.53,2,june,1257
Anambra East,Uzo-Uwani,2020,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.375672105,0.439848897,0.53,1,june,162
Anambra East,Uzo-Uwani,2023,Anambra East,0.107142857,0.224106265,0.1,0.035087719,0.375672105,0.439848897,0.53,2,june,1257
Anambra West,Uzo-Uwani,2020,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.39176502,0.453035277,0.53,1,june,162
Anambra West,Uzo-Uwani,2023,Anambra West,0.32464731,0.370188311,0.265600186,0.278397658,0.39176502,0.453035277,0.53,2,june,1257
Anaocha,Oru West,2020,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.420247823,0.476153753,0.53,1,june,162
Anaocha,Oru West,2023,Anaocha,0.181100292,0.123857833,0.152765099,0.105016002,0.420247823,0.476153753,0.53,2,june,1257
Dunukofia,Uzo-Uwani,2020,Dunukofia,0.276486564,0.224106265,0.160050482,0.188842186,0.421451191,0.477122595,0.53,1,june,162
Dunukofia,Uzo-Uwani,2023,Dunukofia,0.276486564,0.224106265,0.160050482,0.188842186,0.421451191,0.477122595,0.53,2,june,1257
Ekwusigo,Oru West,2020,Ekwusigo,0.366666667,0.083333333,0.041666667,0.203389831,0.255572543,0.341515837,0.53,1,june,162
Ekwusigo,Oru West,2023,Ekwusigo,0.366666667,0.083333333,0.041666667,0.203389831,0.255572543,0.341515837,0.53,2,june,1257
Idemili North,Uzo-Uwani,2020,Idemili North,0.293142139,0.219004233,0.1091815,0.194200106,0.422797782,0.478205882,0.53,1,june,162
Idemili North,Uzo-Uwani,2023,Idemili North,0.293142139,0.219004233,0.1091815,0.194200106,0.422797782,0.478205882,0.53,2,june,1257
Idemili South,Oru West,2020,Idemili South,0.184337998,0.117186102,0.091506586,0.163297291,0.377378695,0.441250403,0.53,1,june,162
Idemili South,Oru West,2023,Idemili South,0.184337998,0.117186102,0.091506586,0.163297291,0.377378695,0.441250403,0.53,2,june,1257
Ihiala,Oru West,2020,Ihiala,0.200934575,0.230563004,0.187705817,0.306561085,0.199598953,0.297729955,0.53,1,june,162
Ihiala,Oru West,2023,Ihiala,0.200934575,0.230563004,0.187705817,0.306561085,0.199598953,0.297729955,0.53,2,june,1257
Njikoka,Uzo-Uwani,2020,Njikoka,0.285714286,0.16700485,0.195035427,0.150182471,0.436915256,0.489504274,0.53,1,june,162
Njikoka,Uzo-Uwani,2023,Njikoka,0.285714286,0.16700485,0.195035427,0.150182471,0.436915256,0.489504274,0.53,2,june,1257
Nnewi North,Oru West,2020,Nnewi North,0.252890955,0.225946586,0.152765099,0.217649894,0.308642745,0.38462961,0.53,1,june,162
Nnewi North,Oru West,2023,Nnewi North,0.252890955,0.225946586,0.152765099,0.217649894,0.308642745,0.38462961,0.53,2,june,1257
Nnewi South,Oru West,2020,Nnewi South,0.384363006,0.428571429,0.244666354,0.251257319,0.303374646,0.380306319,0.53,1,june,162
Nnewi South,Oru West,2023,Nnewi South,0.384363006,0.428571429,0.244666354,0.251257319,0.303374646,0.380306319,0.53,2,june,1257
Ogbaru,Ahoada West,2020,Ogbaru,0.346153846,0.266666667,0.363636364,0.220588235,0.230996863,0.322021221,0.53,1,may,131
Ogbaru,Ahoada West,2023,Ogbaru,0.346153846,0.266666667,0.363636364,0.220588235,0.230996863,0.322021221,0.53,2,may,1226
Onitsha North,Uzo-Uwani,2020,Onitsha North,0.03030303,0.224106265,0.160050482,0.029850746,0.382531956,0.445478249,0.53,1,june,162
Onitsha North,Uzo-Uwani,2023,Onitsha North,0.03030303,0.224106265,0.160050482,0.029850746,0.382531956,0.445478249,0.53,2,june,1257
Onitsha South,Uzo-Uwani,2020,Onitsha South,0.276486564,0.224106265,0.047619048,0.015151515,0.368656397,0.434081069,0.53,1,june,162
Onitsha South,Uzo-Uwani,2023,Onitsha South,0.276486564,0.224106265,0.047619048,0.015151515,0.368656397,0.434081069,0.53,2,june,1257
Orumba North,Oru West,2020,Orumba North,0.254172856,0.159451365,0.102097342,0.110652484,0.403508225,0.462606614,0.53,1,june,162
Orumba North,Oru West,2023,Orumba North,0.254172856,0.159451365,0.102097342,0.110652484,0.403508225,0.462606614,0.53,2,june,1257
Orumba South,Oru West,2020,Orumba South,0.252890955,0.225946586,0.152765099,0.217649894,0.438379079,0.490669288,0.53,1,june,162
Orumba South,Oru West,2023,Orumba South,0.252890955,0.225946586,0.152765099,0.217649894,0.438379079,0.490669288,0.53,2,june,1257
Oyi,Uzo-Uwani,2020,Oyi,0.22643074,0.060150372,0.033836856,0.101360915,0.387377598,0.449447388,0.53,1,june,162
Oyi,Uzo-Uwani,2023,Oyi,0.22643074,0.060150372,0.033836856,0.101360915,0.387377598,0.449447388,0.53,2,june,1257
Alkaleri,Alkaleri,2021,Alkaleri,0.455387964,0.397922582,0.306625021,0.457443319,0.570092852,0.588317246,0.53,1,july,551
Alkaleri,Alkaleri,2024,Alkaleri,0.455387964,0.397922582,0.306625021,0.457443319,0.570092852,0.588317246,0.53,2,july,1646
Bauchi,Alkaleri,2021,Bauchi,0.449957029,0.254519356,0.275214477,0.412964953,0.627087591,0.624866967,0.53,1,july,551
Bauchi,Alkaleri,2024,Bauchi,0.449957029,0.254519356,0.275214477,0.412964953,0.627087591,0.624866967,0.53,2,july,1646
Bogoro,Alkaleri,2021,Bogoro,0.484534717,0.381738609,0.338571783,0.497522113,0.578959907,0.594258836,0.53,1,july,551
Bogoro,Alkaleri,2024,Bogoro,0.484534717,0.381738609,0.338571783,0.497522113,0.578959907,0.594258836,0.53,2,july,1646
Damban,Darazo,2021,Damban,0.320754717,0.325,0.282608696,0.519480519,0.81015375,0.714922519,0.53,1,july,551
Damban,Darazo,2024,Damban,0.320754717,0.325,0.282608696,0.519480519,0.81015375,0.714922519,0.53,2,july,1646
Darazo,Darazo,2021,Darazo,0.381143004,0.333840547,0.354634865,0.522147671,0.786253294,0.705476275,0.53,1,july,551
Darazo,Darazo,2024,Darazo,0.381143004,0.333840547,0.354634865,0.522147671,0.786253294,0.705476275,0.53,2,july,1646
Dass,Alkaleri,2021,Dass,0.861111111,0.461538462,0.363636364,0.773584906,0.466190501,0.512538393,0.53,1,july,551
Dass,Alkaleri,2024,Dass,0.861111111,0.461538462,0.363636364,0.773584906,0.466190501,0.512538393,0.53,2,july,1646
Gamawa,Gwarzo,2021,Gamawa,0.484848485,0.25,0.333333333,0.634920635,0.770682387,0.698966685,0.53,1,august,588
Gamawa,Gwarzo,2024,Gamawa,0.484848485,0.25,0.333333333,0.634920635,0.770682387,0.698966685,0.53,2,august,1683
Jama'are,Taura,2021,Jama'are,0.53934621,0.444648002,0.516734467,0.797350525,0.749263424,0.689541118,0.53,1,july,551
Jama'are,Taura,2024,Jama'are,0.53934621,0.444648002,0.516734467,0.797350525,0.749263424,0.689541118,0.53,2,july,1646
Ganjuwa,Darazo,2021,Ganjuwa,0.576367392,0.244194758,0.307748719,0.624384825,0.647484501,0.636975276,0.53,1,july,551
Ganjuwa,Darazo,2024,Ganjuwa,0.576367392,0.244194758,0.307748719,0.624384825,0.647484501,0.636975276,0.53,2,july,1646
Giade,Darazo,2021,Giade,0.314285714,0.085714286,0.142857143,0.308823529,0.730326034,0.680743195,0.53,1,july,551
Giade,Darazo,2024,Giade,0.314285714,0.085714286,0.142857143,0.308823529,0.730326034,0.680743195,0.53,2,july,1646
Itas-Gadau,Taura,2021,Itas/Gadau,0.704426374,0.610191562,0.629827895,0.915155207,0.742973977,0.686667971,0.53,1,july,551
Itas-Gadau,Taura,2024,Itas/Gadau,0.704426374,0.610191562,0.629827895,0.915155207,0.742973977,0.686667971,0.53,2,july,1646
Katagum,Gwarzo,2021,Katagum,0.515383228,0.391156259,0.432060917,0.764630621,0.74547039,0.687814164,0.53,1,august,588
Katagum,Gwarzo,2024,Katagum,0.515383228,0.391156259,0.432060917,0.764630621,0.74547039,0.687814164,0.53,2,august,1683
Kirfi,Alkaleri,2021,Kirfi,0.611111111,0.157894737,0.193548387,0.483870968,0.704749265,0.668154735,0.53,1,july,551
Kirfi,Alkaleri,2024,Kirfi,0.611111111,0.157894737,0.193548387,0.483870968,0.704749265,0.668154735,0.53,2,july,1646
Misau,Darazo,2021,Misau,0.388163903,0.340650807,0.23447449,0.609141639,0.803277912,0.712271562,0.53,1,july,551
Misau,Darazo,2024,Misau,0.388163903,0.340650807,0.23447449,0.609141639,0.803277912,0.712271562,0.53,2,july,1646
Ningi,Takali,2021,Ningi,0.599580132,0.317186346,0.365245735,0.69904886,0.6738636,0.651854983,0.53,1,september,615
Ningi,Takali,2024,Ningi,0.599580132,0.317186346,0.365245735,0.69904886,0.6738636,0.651854983,0.53,2,september,1710
Ukum,Keana,2020,Ukum,0.402895063,0.341754412,0.408776947,0.277550274,0.383970395,0.446657171,0.53,1,august,223
Ukum,Keana,2023,Ukum,0.402895063,0.341754412,0.408776947,0.277550274,0.383970395,0.446657171,0.53,2,august,1318
Shira,Takali,2021,Shira,0.781774613,0.55818179,0.45037035,0.758869912,0.742991291,0.686675947,0.53,1,september,615
Shira,Takali,2024,Shira,0.781774613,0.55818179,0.45037035,0.758869912,0.742991291,0.686675947,0.53,2,september,1710
Tafawa-Balewa,Alkaleri,2021,Tafawa-Balewa,0.461421544,0.263822992,0.171341493,0.42448662,0.531148459,0.561175608,0.53,1,july,551
Tafawa-Balewa,Alkaleri,2024,Tafawa-Balewa,0.461421544,0.263822992,0.171341493,0.42448662,0.531148459,0.561175608,0.53,2,july,1646
Toro,Giwa,2021,Toro,0.481885111,0.255012033,0.242007543,0.632073731,0.625332185,0.623800515,0.53,1,august,588
Toro,Giwa,2024,Toro,0.481885111,0.255012033,0.242007543,0.632073731,0.625332185,0.623800515,0.53,2,august,1683
Warji,Takali,2021,Warji,0.861111111,0.296296296,0.390243902,0.836363636,0.680001753,0.655190649,0.53,1,september,615
Warji,Takali,2024,Warji,0.861111111,0.296296296,0.390243902,0.836363636,0.680001753,0.655190649,0.53,2,september,1710
Zaki,Taura,2021,Zaki,0.498359592,0.41261459,0.456992977,0.706893587,0.753604356,0.69149605,0.53,1,july,551
Zaki,Taura,2024,Zaki,0.498359592,0.41261459,0.456992977,0.706893587,0.753604356,0.69149605,0.53,2,july,1646
Kolokuma-Opokuma,Ahoada West,2020,Kolokuma/Opokuma,0.236773625,0.146298451,0.199398894,0.25380437,0.224180225,0.31668418,0.53,1,may,131
Kolokuma-Opokuma,Ahoada West,2023,Kolokuma/Opokuma,0.236773625,0.146298451,0.199398894,0.25380437,0.224180225,0.31668418,0.53,2,may,1226
Nembe,Ahoada West,2020,Nembe,0.615384615,0.555555556,0.35,0.528301887,0.273335383,0.35581817,0.53,1,may,131
