"","row.names.itn_dis_2.","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19","year","LGA_nu","U5_ITN_use","six_nine_ITN_use","ten_eighteen_ITN_use","over_eighteen_ITN_use","mortality_rate","kill_rate","round","peak","simday"
"31","16","Umuahia North","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Umuahia North",0.133333333,0.266473717,0.2,0.175438596,0.451576154,0.501112024,1,"june",162
"32","16.1","Umuahia North","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Umuahia North",0.133333333,0.266473717,0.2,0.175438596,0.451576154,0.501112024,2,"june",1257
"33","17","Umuahia South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2020,"Umuahia South",0.190246395,0.219712762,0.165294373,0.278242778,0.48752647,0.528927156,1,"june",162
"34","17.1","Umuahia South","Ngor-Okpala",NA,NA,NA,1,NA,NA,NA,NA,2023,"Umuahia South",0.190246395,0.219712762,0.165294373,0.278242778,0.48752647,0.528927156,2,"june",1257
"35","18","Demsa","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2020,"Demsa",0.45367231,0.28476821,0.267025783,0.384980239,0.495212973,0.534738199,1,"july",186
"36","18.1","Demsa","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2023,"Demsa",0.45367231,0.28476821,0.267025783,0.384980239,0.495212973,0.534738199,2,"july",1281
"37","19","Gireri","Darazo",NA,NA,NA,NA,NA,1,NA,NA,2020,"Gireri",0.43370955,0.251051565,0.419360098,0.414123463,0.658506137,0.643299625,1,"july",186
"38","19.1","Gireri","Darazo",NA,NA,NA,NA,NA,1,NA,NA,2023,"Gireri",0.43370955,0.251051565,0.419360098,0.414123463,0.658506137,0.643299625,2,"july",1281
"39","20","Gombi","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2020,"Gombi",0.46428318,0.413940794,0.395597499,0.338836572,0.515567645,0.54986676,1,"july",186
"40","20.1","Gombi","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2023,"Gombi",0.46428318,0.413940794,0.395597499,0.338836572,0.515567645,0.54986676,2,"july",1281
"41","21","Guyuk","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2020,"Guyuk",0.649078623,0.538183465,0.609110853,0.520162675,0.571995521,0.58959986,1,"july",186
"42","21.1","Guyuk","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2023,"Guyuk",0.649078623,0.538183465,0.609110853,0.520162675,0.571995521,0.58959986,2,"july",1281
"43","22","Hong","Darazo",NA,NA,NA,NA,NA,1,NA,NA,2020,"Hong",0.608695652,0.444444444,0.24137931,0.384615385,0.634881453,0.629555395,1,"july",186
"44","22.1","Hong","Darazo",NA,NA,NA,NA,NA,1,NA,NA,2023,"Hong",0.608695652,0.444444444,0.24137931,0.384615385,0.634881453,0.629555395,2,"july",1281
"45","23","Lamurde","Alkaleri",1,NA,NA,NA,NA,1,NA,NA,2020,"Lamurde",0.318181818,0.142857143,0.363636364,0.403225806,0.429924862,0.483923569,1,"july",186
"46","23.1","Lamurde","Alkaleri",1,NA,NA,NA,NA,1,NA,NA,2023,"Lamurde",0.318181818,0.142857143,0.363636364,0.403225806,0.429924862,0.483923569,2,"july",1281
"47","24","Mayo-Belwa","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2020,"Mayo-Belwa",0.64,0.1875,0.44,0.438596491,0.615915722,0.618014343,1,"july",186
"48","24.1","Mayo-Belwa","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2023,"Mayo-Belwa",0.64,0.1875,0.44,0.438596491,0.615915722,0.618014343,2,"july",1281
"49","25","Numan","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2020,"Numan",0.833333333,0.4375,0.368421053,0.611111111,0.518273564,0.55184819,1,"july",186
"50","25.1","Numan","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2023,"Numan",0.833333333,0.4375,0.368421053,0.611111111,0.518273564,0.55184819,2,"july",1281
"51","26","Shelleng","Darazo",NA,NA,NA,NA,NA,1,NA,NA,2020,"Shelleng",0.364360702,0.294522122,0.31610634,0.366244989,0.58914423,0.600969346,1,"july",186
"52","26.1","Shelleng","Darazo",NA,NA,NA,NA,NA,1,NA,NA,2023,"Shelleng",0.364360702,0.294522122,0.31610634,0.366244989,0.58914423,0.600969346,2,"july",1281
"53","27","Itu","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2021,"Itu",0.304424538,0.266473717,0.219305704,0.020408163,0.415010863,0.471929182,1,"june",527
"54","27.1","Itu","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2024,"Itu",0.304424538,0.266473717,0.219305704,0.020408163,0.415010863,0.471929182,2,"june",1622
"55","28","Song","Darazo",1,NA,NA,NA,NA,1,NA,NA,2020,"Song",0.481299215,0.567045456,0.489233428,0.494332723,0.551949619,0.575879905,1,"july",186
"56","28.1","Song","Darazo",1,NA,NA,NA,NA,1,NA,NA,2023,"Song",0.481299215,0.567045456,0.489233428,0.494332723,0.551949619,0.575879905,2,"july",1281
"57","29","Yola North","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2020,"Yola North",0.489106732,0.454789001,0.414279228,0.409390884,0.581884889,0.596198663,1,"july",186
"58","29.1","Yola North","Alkaleri",NA,NA,NA,NA,NA,1,NA,NA,2023,"Yola North",0.489106732,0.454789001,0.414279228,0.409390884,0.581884889,0.596198663,2,"july",1281
"59","30","Yola South","Alkaleri",1,NA,NA,NA,NA,1,NA,NA,2020,"Yola South",0.523809524,0.375,0.444444444,0.259259259,0.57254926,0.589972357,1,"july",186
"60","30.1","Yola South","Alkaleri",1,NA,NA,NA,NA,1,NA,NA,2023,"Yola South",0.523809524,0.375,0.444444444,0.259259259,0.57254926,0.589972357,2,"july",1281
"61","31","Abak","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2021,"Abak",0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,1,"june",527
"62","31.1","Abak","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2024,"Abak",0.117647059,0.066666667,0.173913043,0.163934426,0.358412263,0.425644469,2,"june",1622
"63","32","Awka North","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2020,"Awka North",0.238095238,0.142857143,0.086956522,0.210526316,0.388205397,0.450124783,1,"june",162
"64","32.1","Awka North","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA,2023,"Awka North",0.238095238,0.142857143,0.086956522,0.210526316,0.388205397,0.450124783,2,"june",1257
"65","33","Eket","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Eket",0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,1,"june",527
"66","33.1","Eket","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Eket",0.363636364,0.333333333,0.35,0.318181818,0.238612216,0.328021397,2,"june",1622
"67","34","Esit Eket","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Esit Eket",0.642857143,0.4,0.162162162,0.490566038,0.262279676,0.346897657,1,"june",527
"68","34.1","Esit Eket","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Esit Eket",0.642857143,0.4,0.162162162,0.490566038,0.262279676,0.346897657,2,"june",1622
"69","35","Essien Udim","Ngor-Okpala",1,NA,1,NA,NA,NA,1,NA,2021,"Essien Udim",0.40416306,0.41932543,0.101814961,0.248747098,0.369824263,0.435041855,1,"june",527
"70","35.1","Essien Udim","Ngor-Okpala",1,NA,1,NA,NA,NA,1,NA,2024,"Essien Udim",0.40416306,0.41932543,0.101814961,0.248747098,0.369824263,0.435041855,2,"june",1622
"71","36","Etim Ekpo","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2021,"Etim Ekpo",0.304424538,0.266473717,0.219305704,0.266910909,0.326319464,0.399175674,1,"june",527
"72","36.1","Etim Ekpo","Ngor-Okpala",NA,NA,1,NA,NA,NA,1,NA,2024,"Etim Ekpo",0.304424538,0.266473717,0.219305704,0.266910909,0.326319464,0.399175674,2,"june",1622
"73","37","Etinan","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2021,"Etinan",0.230769231,0.166666667,0.202569073,0.142857143,0.271254927,0.35413511,1,"june",527
"74","37.1","Etinan","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA,2024,"Etinan",0.230769231,0.166666667,0.202569073,0.142857143,0.271254927,0.35413511,2,"june",1622
"75","38","Ibesikpo Asutan","Nsit Ubium",1,NA,1,NA,NA,NA,1,NA,2021,"Ibesikpo Asutan",0.316326558,0.365384584,0.264150952,0.295373674,0.364757188,0.430871605,1,"june",527
