,LGA,Rep_DS,State,U5_coverage,adult_coverage,simday,duration,year
113,Birnin-Gwari,Giwa,,0.130508332,0.130508332,0,-1,2018
114,Biu,Darazo,,0.5,0.5,0,-1,2018
115,Bodinga,Gawabawa,,0.106631444,0.106631444,0,-1,2018
116,Bogoro,Alkaleri,,0.234127553,0.234127553,0,-1,2018
117,Boki,Obubra,,0.25,0.25,0,-1,2018
118,Bokkos,Giwa,,0.130508332,0.130508332,0,-1,2018
119,Boluwaduro,Akinyele,,0.154926235,0.154926235,0,-1,2018
120,Bomadi,Isoko South,,0.12159624,0.12159624,0,-1,2018
121,Bonny,Nsit Ubium,,0.596547236,0.596547236,0,-1,2018
122,Borgu,Oke-Ero,,0.285714286,0.285714286,0,-1,2018
123,Boripe,Akinyele,,0.333333333,0.333333333,0,-1,2018
124,Bosso,Keana,,0.216058677,0.216058677,0,-1,2018
125,Brass,Ahoada West,,0.514466613,0.514466613,0,-1,2018
126,Buji,Takali,,0.178754999,0.178754999,0,-1,2018
127,Bukkuyum,Alkaleri,,0.234127553,0.234127553,0,-1,2018
128,Bungudu,Takali,,0.297222393,0.297222393,0,-1,2018
129,Bunkure,Gwarzo,,0.172172547,0.172172547,0,-1,2018
130,Bunza,Birnin Kebbi,,0.42225568,0.42225568,0,-1,2018
131,Bursari,Taura,,0.125,0.125,0,-1,2018
132,Buruku,Keana,,0.200000038,0.200000038,0,-1,2018
133,Burutu,Isoko South,,0.12159624,0.12159624,0,-1,2018
134,Bwari,Giwa,,0.154268943,0.154268943,0,-1,2018
135,Calabar South,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
136,Calabar-Municipal,Nsit Ubium,,0.299739676,0.299739676,0,-1,2018
137,Chanchaga,Keana,,0.388965514,0.388965514,0,-1,2018
138,Charanchi,Rimi,,0.105263158,0.105263158,0,-1,2018
139,Chibok,Darazo,,0.114371076,0.114371076,0,-1,2018
140,Chikun,Soba,,0.02049469,0.02049469,0,-1,2018
141,Dala,Alkaleri,,0.850046207,0.850046207,0,-1,2018
142,Damaturu,Darazo,,0.114371076,0.114371076,0,-1,2018
143,Damban,Darazo,,0.333333333,0.333333333,0,-1,2018
144,Dambatta,Babura,,0.333333333,0.333333333,0,-1,2018
145,Damboa,Darazo,,0.114371076,0.114371076,0,-1,2018
146,Dan Musa,Rimi,,0.209995572,0.209995572,0,-1,2018
147,Dandi,Birnin Kebbi,,0.34910543,0.34910543,0,-1,2018
148,Dandume,Giwa,,0.130508332,0.130508332,0,-1,2018
149,Dange-Shnsi,Gawabawa,,0.125,0.125,0,-1,2018
150,Danja,Giwa,,0.130508332,0.130508332,0,-1,2018
151,Darazo,Darazo,,0.161152612,0.161152612,0,-1,2018
152,Dass,Alkaleri,,0.234127553,0.234127553,0,-1,2018
153,Daura,Babura,,0.202230441,0.202230441,0,-1,2018
154,Dawakin Kudu,Gwarzo,,0.272727273,0.272727273,0,-1,2018
155,Dawakin Tofa,Taura,,0.181818182,0.181818182,0,-1,2018
156,Degema,Ahoada West,,0.25,0.25,0,-1,2018
157,Dekina,Owan East,,0.190297763,0.190297763,0,-1,2018
158,Demsa,Alkaleri,,0.701986849,0.701986849,0,-1,2018
159,Dikwa,Darazo,,0.114371076,0.114371076,0,-1,2018
160,Doguwa,Giwa,,0.130434783,0.130434783,0,-1,2018
161,Doma,Keana,,0.177187213,0.177187213,0,-1,2018
162,Donga,Keana,,0.284919607,0.284919607,0,-1,2018
163,Dukku,Darazo,,0.114371076,0.114371076,0,-1,2018
164,Dunukofia,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
165,Dutse,Takali,,0.148488039,0.148488039,0,-1,2018
166,Dutsi,Rimi,,0.230769231,0.230769231,0,-1,2018
167,Dutsin-Ma,Rimi,,0.209995572,0.209995572,0,-1,2018
168,Eastern Obolo,Nsit Ubium,,0.6,0.6,0,-1,2018
169,Ebonyi,Owan East,,0.278942779,0.278942779,0,-1,2018
170,Edati,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
171,Ede North,Akinyele,,0.154926235,0.154926235,0,-1,2018
172,Ede South,Akinyele,,0.154926235,0.154926235,0,-1,2018
173,Edu,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
174,Efon-Alayee,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
175,Egbado North,Owan East,,0.278942779,0.278942779,0,-1,2018
176,Egbado South,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
177,Egbeda,Akinyele,,0.107316809,0.107316809,0,-1,2018
178,Egbedore,Akinyele,,0.54187193,0.54187193,0,-1,2018
179,Egor,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
180,Ehime-Mbano,Ngor-Okpala,,0.591374486,0.591374486,0,-1,2018
181,Ejigbo,Akinyele,,0.215907256,0.215907256,0,-1,2018
182,Ekeremor,Ahoada West,,0.205928424,0.205928424,0,-1,2018
183,Eket,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
184,Ekiti,Oke-Ero,,0.744393955,0.744393955,0,-1,2018
185,Ekiti East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
186,Ekiti South West,Oke-Ero,,0.462500057,0.462500057,0,-1,2018
187,Ekiti West,Oke-Ero,,0.162213602,0.162213602,0,-1,2018
188,Ekwusigo,Oru West,,0.75,0.75,0,-1,2018
189,Eleme,Ahoada West,,0.151693513,0.151693513,0,-1,2018
190,Emohua,Ahoada West,,0.166666667,0.166666667,0,-1,2018
191,Emure,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
192,Enugu East,Uzo-Uwani,,0.767123269,0.767123269,0,-1,2018
193,Enugu North,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
194,Enugu South,Uzo-Uwani,,0.514893508,0.514893508,0,-1,2018
195,Epe,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
196,Esan Central,Owan East,,0.278942779,0.278942779,0,-1,2018
197,Esan North East,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
198,Esan South East,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
199,Esan West,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
200,Ese-Odo,Owan East,,0.278942779,0.278942779,0,-1,2018
201,Esit Eket,Nsit Ubium,,0.071428571,0.071428571,0,-1,2018
202,Essien Udim,Ngor-Okpala,,0.219281699,0.219281699,0,-1,2018
203,Etche,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
204,Ethiope East,Isoko South,,0.12159624,0.12159624,0,-1,2018
205,Ethiope West,Isoko South,,0.12159624,0.12159624,0,-1,2018
206,Etim Ekpo,Isoko South,,0.12159624,0.12159624,0,-1,2018
207,Etinan,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
208,Eti-Osa,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
209,Etsako Central,Owan East,,0.278942779,0.278942779,0,-1,2018
210,Etsako East,Owan East,,0.077954241,0.077954241,0,-1,2018
211,Etsako West,Owan East,,0.080351586,0.080351586,0,-1,2018
212,Etung,Obubra,,0.2,0.2,0,-1,2018
213,Ewekoro,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
214,Ezeagu,Uzo-Uwani,,0.434581511,0.434581511,0,-1,2018
215,Ezinihitte,Ngor-Okpala,,0.388958352,0.388958352,0,-1,2018
216,Ezza North,Owan East,,0.19047619,0.19047619,0,-1,2018
217,Ezza South,Obubra,,0.478845956,0.478845956,0,-1,2018
218,Fagge,Alkaleri,,0.234127553,0.234127553,0,-1,2018
219,Fakai,Birnin Kebbi,,0.666666667,0.666666667,0,-1,2018
220,Faskari,Giwa,,0.130508332,0.130508332,0,-1,2018
221,Fika,Darazo,,0.095238095,0.095238095,0,-1,2018
222,Fufore,Alkaleri,,0.139280114,0.139280114,0,-1,2018
223,Funakaye,Alkaleri,,0.045454545,0.045454545,0,-1,2018
224,Fune,Darazo,,0.03153893,0.03153893,0,-1,2018
225,Funtua,Gwarzo,,0.172172547,0.172172547,0,-1,2018
226,Gabasawa,Taura,,0.174928041,0.174928041,0,-1,2018
227,Gada,Gawabawa,,0.106631444,0.106631444,0,-1,2018
228,Gagarawa,Taura,,0.174928041,0.174928041,0,-1,2018
229,Gamawa,Gwarzo,,0.172172547,0.172172547,0,-1,2018
230,Ganaye,Alkaleri,,0.234127553,0.234127553,0,-1,2018
231,Ganjuwa,Darazo,,0.101826237,0.101826237,0,-1,2018
232,Garki,Babura,,0.666666667,0.666666667,0,-1,2018
233,Garko,Gwarzo,,0.172172547,0.172172547,0,-1,2018
234,Garum Mallam,Gwarzo,,0.153846154,0.153846154,0,-1,2018
235,Gashaka,Oru West,,0.411077428,0.411077428,0,-1,2018
236,Gassol,Keana,,0.086136445,0.086136445,0,-1,2018
237,Gawabawa,Gawabawa,,0.106631444,0.106631444,0,-1,2018
238,Gaya,Gwarzo,,0.166666667,0.166666667,0,-1,2018
239,Gbako,Oke-Ero,,0.461538462,0.461538462,0,-1,2018
240,Gboko,Keana,,0.140281332,0.140281332,0,-1,2018
241,Gboyin,Obubra,,0.438502596,0.438502596,0,-1,2018
242,Geidam,Babura,,0.349277359,0.349277359,0,-1,2018
243,Gezawa,Gwarzo,,0.25,0.25,0,-1,2018
244,Giade,Darazo,,0.142857143,0.142857143,0,-1,2018
245,Gireri,Darazo,,0.080992121,0.080992121,0,-1,2018
246,Giwa,Giwa,,0.130508332,0.130508332,0,-1,2018
247,Gokana,Nsit Ubium,,0.182111551,0.182111551,0,-1,2018
248,Gombe,Alkaleri,,0.116169555,0.116169555,0,-1,2018
249,Gombi,Alkaleri,,0.208835269,0.208835269,0,-1,2018
250,Goronyo,Gawabawa,,0.106631444,0.106631444,0,-1,2018
251,Gubio,Gawabawa,,0.106631444,0.106631444,0,-1,2018
252,Gudu,Gawabawa,,0.106631444,0.106631444,0,-1,2018
253,Gujba,Darazo,,0.114371076,0.114371076,0,-1,2018
254,Gulani,Alkaleri,,0.234127553,0.234127553,0,-1,2018
255,Guma,Keana,,0.315463952,0.315463952,0,-1,2018
256,Gumel,Babura,,0.25,0.25,0,-1,2018
257,Gummi,Birnin Kebbi,,0.42225568,0.42225568,0,-1,2018
258,Gurara,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
259,Guri,Taura,,0.174928041,0.174928041,0,-1,2018
260,Gusau,Darazo,,0.114371076,0.114371076,0,-1,2018
261,Guyuk,Alkaleri,,0.480706358,0.480706358,0,-1,2018
262,Guzamala,Babura,,0.349277359,0.349277359,0,-1,2018
263,Gwagwalada,Keana,,0.067621303,0.067621303,0,-1,2018
264,Gwale,Alkaleri,,0.45946767,0.45946767,0,-1,2018
265,Gwandu,Birnin Kebbi,,0.529411765,0.529411765,0,-1,2018
266,Gwaram,Takali,,0.223498732,0.223498732,0,-1,2018
267,Gwarzo,Gwarzo,,0.4,0.4,0,-1,2018
268,Gwer East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
269,Gwer West,Keana,,0.333333333,0.333333333,0,-1,2018
270,Gwiwa,Babura,,0.333333333,0.333333333,0,-1,2018
271,Gwoza,Darazo,,0.114371076,0.114371076,0,-1,2018
272,Hadejia,Taura,,0.174928041,0.174928041,0,-1,2018
273,Hawul,Darazo,,0.221538462,0.221538462,0,-1,2018
274,Hong,Darazo,,0.114371076,0.114371076,0,-1,2018
275,Ibadan North,Owan East,,0.249042174,0.249042174,0,-1,2018
276,Ibadan North East,Owan East,,0.278942779,0.278942779,0,-1,2018
277,Ibadan North West,Owan East,,0.117739486,0.117739486,0,-1,2018
278,Ibadan South East,Akinyele,,0.154926235,0.154926235,0,-1,2018
279,Ibadan South West,Owan East,,0.278942779,0.278942779,0,-1,2018
280,Ibaji,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
281,Ibarapa Central,Akinyele,,0.154926235,0.154926235,0,-1,2018
282,Ibarapa East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
283,Ibarapa North,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
284,Ibeju/Lekki,Uzo-Uwani,,0.5,0.5,0,-1,2018
285,Ibeno,Nsit Ubium,,0.297727761,0.297727761,0,-1,2018
286,Ibesikpo Asutan,Nsit Ubium,,0.234042549,0.234042549,0,-1,2018
287,Ibi,Keana,,0.177187213,0.177187213,0,-1,2018
288,Ibiono Ibom,Ngor-Okpala,,0.142335763,0.142335763,0,-1,2018
289,Idah,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
290,Idanre,Akinyele,,0.154926235,0.154926235,0,-1,2018
291,Ideato North,Oru West,,0.761610688,0.761610688,0,-1,2018
292,Ideato South,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
293,Idemili North,Uzo-Uwani,,0.622180482,0.622180482,0,-1,2018
294,Idemili South,Oru West,,0.306003708,0.306003708,0,-1,2018
295,Ido,Akinyele,,0.154926235,0.154926235,0,-1,2018
296,Idosi-Osi,Oke-Ero,,0.088017211,0.088017211,0,-1,2018
297,Ifako-Ijaye,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
298,Ife Central,Akinyele,,0.529411659,0.529411659,0,-1,2018
299,Ife East,Akinyele,,0.154926235,0.154926235,0,-1,2018
300,Ife North,Akinyele,,0.5,0.5,0,-1,2018
301,Ife South,Akinyele,,0.154926235,0.154926235,0,-1,2018
302,Ifedayo,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
303,Ifedore,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
304,Ifelodun1,Oke-Ero,,0.139769018,0.139769018,0,-1,2018
305,Ifelodun2,Akinyele,,0.154926235,0.154926235,0,-1,2018
306,Ifo,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
307,Igabi,Soba,,0.02049469,0.02049469,0,-1,2018
308,Igalamela-Odolu,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
309,Igbo-Etiti,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
310,Igbo-Eze North,Uzo-Uwani,,0.085378639,0.085378639,0,-1,2018
311,Igbo-Eze South,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
312,Igueben,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
313,Ihiala,Oru West,,0.289999974,0.289999974,0,-1,2018
314,Ihitte/Uboma,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
315,Ijebu East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
316,Ijebu North,Owan East,,0.278942779,0.278942779,0,-1,2018
317,Ijebu North East,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
318,Ijebu ode,Owan East,,0.278942779,0.278942779,0,-1,2018
319,Ijero,Oke-Ero,,0.197871528,0.197871528,0,-1,2018
320,Ijumu,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
321,Ika,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
322,Ika North East,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
323,Ika South,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
324,Ikara,Soba,,0.02049469,0.02049469,0,-1,2018
325,Ikeduru,Ngor-Okpala,,0.185892623,0.185892623,0,-1,2018
326,Ikeja,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
327,Ikenne,Owan East,,0.278942779,0.278942779,0,-1,2018
328,Ikere,Owan East,,0.278942779,0.278942779,0,-1,2018
329,Ikole,Oke-Ero,,0.026328373,0.026328373,0,-1,2018
330,Ikom,Obubra,,0.41009749,0.41009749,0,-1,2018
331,Ikono,Ngor-Okpala,,0.5,0.5,0,-1,2018
332,Ikorodu,Uzo-Uwani,,0.159507461,0.159507461,0,-1,2018
333,Ikot Abasi,Nsit Ubium,,0.5,0.5,0,-1,2018
334,Ikot Ekpene,Ngor-Okpala,,0.163310644,0.163310644,0,-1,2018
335,Ikpoba-Okha,Uzo-Uwani,,0.171130973,0.171130973,0,-1,2018
336,Ikwerre,Oru West,,0.319487623,0.319487623,0,-1,2018
337,Ikwo,Obubra,,0.473701419,0.473701419,0,-1,2018
338,Ikwuano,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
339,Ila,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
340,Ilaje,Owan East,,0.278942779,0.278942779,0,-1,2018
341,Ilemeji,Akinyele,,0.154926235,0.154926235,0,-1,2018
342,Ile-Oluji-Okeigbo,Oke-Ero,,0.444444444,0.444444444,0,-1,2018
343,Ilesha East,Owan East,,0.5,0.5,0,-1,2018
344,Ilesha West,Akinyele,,0.154926235,0.154926235,0,-1,2018
345,Illela,Gawabawa,,0.023485083,0.023485083,0,-1,2018
346,Ilorin East,Oke-Ero,,0.388931756,0.388931756,0,-1,2018
347,Ilorin South,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
348,Ilorin West,Owan East,,0.335999959,0.335999959,0,-1,2018
349,Imeko-Afon,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
350,Ingawa,Rimi,,0.055555556,0.055555556,0,-1,2018
351,Ini,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
352,Ipokia,Uzo-Uwani,,0.420192485,0.420192485,0,-1,2018
353,Irele,Akinyele,,0.154926235,0.154926235,0,-1,2018
354,Irepo,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
355,Irepodun/Ifelodun,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
356,Irepodun1,Owan East,,0.278942779,0.278942779,0,-1,2018
357,Irepodun2,Akinyele,,0.154926235,0.154926235,0,-1,2018
358,Irewole,Akinyele,,0.477272783,0.477272783,0,-1,2018
359,Isa,Rimi,,0.209995572,0.209995572,0,-1,2018
360,Ise/Orun,Oke-Ero,,0.5,0.5,0,-1,2018
361,Iseyin,Akinyele,,0.154926235,0.154926235,0,-1,2018
362,Ishielu,Owan East,,0.234735547,0.234735547,0,-1,2018
363,Isiala Mbano,Owan East,,0.278942779,0.278942779,0,-1,2018
364,Isiala-Ngwa North,Ngor-Okpala,,0.339461936,0.339461936,0,-1,2018
365,Isiala-Ngwa South,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
366,Isin,Ngor-Okpala,,0.533062111,0.533062111,0,-1,2018
367,Isi-Uzo,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
368,Isokan,Akinyele,,0.154926235,0.154926235,0,-1,2018
369,Isoko North,Isoko South,,0.12159624,0.12159624,0,-1,2018
370,Isoko South,Isoko South,,0.12159624,0.12159624,0,-1,2018
371,Isu,Ngor-Okpala,,0.5,0.5,0,-1,2018
372,Isuikwato,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
373,Itas/Gadau,Taura,,0.174288617,0.174288617,0,-1,2018
374,Itesiwaju,Akinyele,,0.154926235,0.154926235,0,-1,2018
375,Itu,Ngor-Okpala,,0.666666667,0.666666667,0,-1,2018
376,Ivo,Ngor-Okpala,,0.283373403,0.283373403,0,-1,2018
377,Iwajowa,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
378,Iwo,Akinyele,,0.464031025,0.464031025,0,-1,2018
379,Izzi,Owan East,,0.486885732,0.486885732,0,-1,2018
380,Jaba,Oke-Ero,,0.246839589,0.246839589,0,-1,2018
381,Jada,Alkaleri,,0.095661138,0.095661138,0,-1,2018
382,Jahun,Taura,,0.22134251,0.22134251,0,-1,2018
383,Jakusko,Taura,,0.174928041,0.174928041,0,-1,2018
384,Jalingo,Keana,,0.342657285,0.342657285,0,-1,2018
385,Jama'are,Taura,,0.141960062,0.141960062,0,-1,2018
386,Jega,Birnin Kebbi,,0.566772845,0.566772845,0,-1,2018
387,Jema'a,Soba,,0.13917526,0.13917526,0,-1,2018
388,Jere,Gawabawa,,0.5,0.5,0,-1,2018
