LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases
Aba North,Ngor-Okpala,0,0,71,365,2020,1,0
Aba North,Ngor-Okpala,0,0,436,295,2021,2,0
Aba South,Ngor-Okpala,0,0,71,365,2020,1,0
Aba South,Ngor-Okpala,0,0,436,295,2021,2,0
Abadam,Babura,0,0,71,365,2020,1,0
Abadam,Babura,0,0,436,295,2021,2,0
Abaji,Keana,0,0,71,365,2020,1,0
Abaji,Keana,0,0,436,295,2021,2,0
Abak,Nsit Ubium,0,0,71,365,2020,1,0
Abak,Nsit Ubium,0,0,436,295,2021,2,0
Abakaliki,Owan East,0,0,71,365,2020,1,0
Abakaliki,Owan East,0,0,436,295,2021,2,0
Abeokuta North,Owan East,0,0,71,365,2020,1,0
Abeokuta North,Owan East,0,0,436,295,2021,2,0
Abeokuta South,Uzo-Uwani,0,0,71,365,2020,1,0
Abeokuta South,Uzo-Uwani,0,0,436,295,2021,2,0
Abi,Obubra,0,0,71,365,2020,1,0
Abi,Obubra,0,0,436,295,2021,2,0
Aboh-Mbaise,Ngor-Okpala,0,0,71,365,2020,1,0
Aboh-Mbaise,Ngor-Okpala,0,0,436,295,2021,2,0
Abua-Odual,Ahoada West,0,0,71,365,2020,1,0
Abua-Odual,Ahoada West,0,0,436,295,2021,2,0
Abuja Municipal,Keana,0,0,71,365,2020,1,0
Abuja Municipal,Keana,0,0,436,295,2021,2,0
Adavi,Owan East,0,0,71,365,2020,1,0
Adavi,Owan East,0,0,436,295,2021,2,0
Ado,Akinyele,0,0,71,365,2020,1,0
Ado,Akinyele,0,0,436,295,2021,2,0
Ado Ekiti,Owan East,0,0,71,365,2020,1,0
Ado Ekiti,Owan East,0,0,436,295,2021,2,0
Ado-Odo-Ota,Uzo-Uwani,0,0,71,365,2020,1,0
Ado-Odo-Ota,Uzo-Uwani,0,0,436,295,2021,2,0
Afijio,Akinyele,0,0,71,365,2020,1,0
Afijio,Akinyele,0,0,436,295,2021,2,0
Afikpo North,Oru West,0,0,71,365,2020,1,0
Afikpo North,Oru West,0,0,436,295,2021,2,0
Afikpo South,Ngor-Okpala,0,0,71,365,2020,1,0
Afikpo South,Ngor-Okpala,0,0,436,295,2021,2,0
Agaie,Oke-Ero,0,0,71,365,2020,1,0
Agaie,Oke-Ero,0,0,436,295,2021,2,0
Agatu,Keana,0,0,71,365,2020,1,0
Agatu,Keana,0,0,436,295,2021,2,0
Agege,Uzo-Uwani,0,0,71,365,2020,1,0
Agege,Uzo-Uwani,0,0,436,295,2021,2,0
Aguata,Oru West,0,0,71,365,2020,1,0
Aguata,Oru West,0,0,436,295,2021,2,0
Agwara,Birnin Kebbi,0,0,71,365,2020,1,0
Agwara,Birnin Kebbi,0,0,436,295,2021,2,0
Ahiazu-Mbaise,Ngor-Okpala,0,0,71,365,2020,1,0
Ahiazu-Mbaise,Ngor-Okpala,0,0,436,295,2021,2,0
Ahoada East,Ahoada West,0,0,71,365,2020,1,0
Ahoada East,Ahoada West,0,0,436,295,2021,2,0
Ahoada West,Ahoada West,0,0,71,365,2020,1,0
Ahoada West,Ahoada West,0,0,436,295,2021,2,0
Aiyedade,Akinyele,0,0,71,365,2020,1,0
Aiyedade,Akinyele,0,0,436,295,2021,2,0
Aiyedire,Akinyele,0,0,71,365,2020,1,0
Aiyedire,Akinyele,0,0,436,295,2021,2,0
Ajaokuta,Owan East,0,0,71,365,2020,1,0
Ajaokuta,Owan East,0,0,436,295,2021,2,0
Ajeromi-Ifelodun,Uzo-Uwani,0,0,71,365,2020,1,0
Ajeromi-Ifelodun,Uzo-Uwani,0,0,436,295,2021,2,0
Ajingi,Taura,0,0,71,365,2020,1,0
Ajingi,Taura,0,0,436,295,2021,2,0
Akamkpa,Ngor-Okpala,0,0,71,365,2020,1,0
Akamkpa,Ngor-Okpala,0,0,436,295,2021,2,0
Akinyele,Akinyele,0,0,71,365,2020,1,0
Akinyele,Akinyele,0,0,436,295,2021,2,0
Akko,Alkaleri,0,0,71,365,2020,1,0
Akko,Alkaleri,0,0,436,295,2021,2,0
Akoko North East,Oke-Ero,0,0,71,365,2020,1,0
Akoko North East,Oke-Ero,0,0,436,295,2021,2,0
Akoko North West,Oke-Ero,0,0,71,365,2020,1,0
Akoko North West,Oke-Ero,0,0,436,295,2021,2,0
Akoko South East,Oke-Ero,0,0,71,365,2020,1,0
Akoko South East,Oke-Ero,0,0,436,295,2021,2,0
