,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
83,Guyuk,Alkaleri,july,246,2020,3,-1,1,0.6,15
84,Guyuk,Alkaleri,july,276,2020,4,-1,1,0.6,15
85,Hong,Darazo,july,186,2020,1,-1,1,0.6,15
86,Hong,Darazo,july,216,2020,2,-1,1,0.6,15
87,Hong,Darazo,july,246,2020,3,-1,1,0.6,15
88,Hong,Darazo,july,276,2020,4,-1,1,0.6,15
89,Lamurde,Alkaleri,july,186,2020,1,-1,1,0.6,15
90,Lamurde,Alkaleri,july,216,2020,2,-1,1,0.6,15
91,Lamurde,Alkaleri,july,246,2020,3,-1,1,0.6,15
92,Lamurde,Alkaleri,july,276,2020,4,-1,1,0.6,15
93,Mayo-Belwa,Alkaleri,july,186,2020,1,-1,1,0.6,15
94,Mayo-Belwa,Alkaleri,july,216,2020,2,-1,1,0.6,15
95,Mayo-Belwa,Alkaleri,july,246,2020,3,-1,1,0.6,15
96,Mayo-Belwa,Alkaleri,july,276,2020,4,-1,1,0.6,15
97,Numan,Alkaleri,july,186,2020,1,-1,1,0.6,15
98,Numan,Alkaleri,july,216,2020,2,-1,1,0.6,15
99,Numan,Alkaleri,july,246,2020,3,-1,1,0.6,15
100,Numan,Alkaleri,july,276,2020,4,-1,1,0.6,15
101,Shelleng,Darazo,july,186,2020,1,-1,1,0.6,15
102,Shelleng,Darazo,july,216,2020,2,-1,1,0.6,15
103,Shelleng,Darazo,july,246,2020,3,-1,1,0.6,15
104,Shelleng,Darazo,july,276,2020,4,-1,1,0.6,15
105,Itu,Ngor-Okpala,june,162,2020,1,-1,1,0.6,15
106,Itu,Ngor-Okpala,june,192,2020,2,-1,1,0.6,15
107,Itu,Ngor-Okpala,june,222,2020,3,-1,1,0.6,15
108,Itu,Ngor-Okpala,june,252,2020,4,-1,1,0.6,15
109,Song,Darazo,july,186,2020,1,-1,1,0.6,15
110,Song,Darazo,july,216,2020,2,-1,1,0.6,15
111,Song,Darazo,july,246,2020,3,-1,1,0.6,15
112,Song,Darazo,july,276,2020,4,-1,1,0.6,15
113,Yola North,Alkaleri,july,186,2020,1,-1,1,0.6,15
114,Yola North,Alkaleri,july,216,2020,2,-1,1,0.6,15
115,Yola North,Alkaleri,july,246,2020,3,-1,1,0.6,15
116,Yola North,Alkaleri,july,276,2020,4,-1,1,0.6,15
117,Yola South,Alkaleri,july,186,2020,1,-1,1,0.6,15
