LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases
Akoko South West,Oke-Ero,0.296416882,0.296416882,436,295,2021,2,0.413916882
Akoko-Edo,Owan East,0.357143156,0.357143156,71,365,2020,1,0.399316784
Akoko-Edo,Owan East,0.388959939,0.388959939,436,295,2021,2,0.431133567
Akpabuyo,Nsit Ubium,0.257595628,0.257595628,71,365,2020,1,0.401799807
Akpabuyo,Nsit Ubium,0.291895435,0.291895435,436,295,2021,2,0.436099614
Akuku Toru,Ahoada West,0.313885565,0.313885565,71,365,2020,1,0.381385565
Akuku Toru,Ahoada West,0.327771129,0.327771129,436,295,2021,2,0.395271129
Akure North,Owan East,0.241023868,0.241023868,71,365,2020,1,0.399316784
Akure North,Owan East,0.272840651,0.272840651,436,295,2021,2,0.431133567
Akure South,Owan East,0.406816784,0.406816784,71,365,2020,1,0.399316784
Akure South,Owan East,0.438633567,0.438633567,436,295,2021,2,0.431133567
Akwanga,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Akwanga,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Albasu,Takali,0.528602395,0.528602395,71,365,2020,1,0.396102395
Albasu,Takali,0.557204789,0.557204789,436,295,2021,2,0.424704789
Aleiro,Birnin Kebbi,0.364414869,0.364414869,71,365,2020,1,0.415223109
Aleiro,Birnin Kebbi,0.412137978,0.412137978,436,295,2021,2,0.462946218
Alimosho,Uzo-Uwani,0.258874537,0.258874537,71,365,2020,1,0.420162724
Alimosho,Uzo-Uwani,0.311537261,0.311537261,436,295,2021,2,0.472825448
Alkaleri,Alkaleri,0.196620197,0.196620197,71,365,2020,1,0.397532037
Alkaleri,Alkaleri,0.226652234,0.226652234,436,295,2021,2,0.427564074
Amuwo-Odofin,Isoko South,0.096662304,0.096662304,71,365,2020,1,0.372965124
Amuwo-Odofin,Isoko South,0.102127429,0.102127429,436,295,2021,2,0.378430249
Anambra East,Uzo-Uwani,0.367807088,0.367807088,71,365,2020,1,0.420162724
Anambra East,Uzo-Uwani,0.420469812,0.420469812,436,295,2021,2,0.472825448
Anambra West,Uzo-Uwani,0.552890416,0.552890416,71,365,2020,1,0.420162724
Anambra West,Uzo-Uwani,0.60555314,0.60555314,436,295,2021,2,0.472825448
Anaocha,Oru West,0.465361625,0.465361625,71,365,2020,1,0.419759999
Anaocha,Oru West,0.517621624,0.517621624,436,295,2021,2,0.472019998
Andoni,Nsit Ubium,0.159244937,0.159244937,71,365,2020,1,0.401799807
Andoni,Nsit Ubium,0.193544744,0.193544744,436,295,2021,2,0.436099614
Aninri,Oru West,0.44073126,0.44073126,71,365,2020,1,0.419759999
Aninri,Oru West,0.492991259,0.492991259,436,295,2021,2,0.472019998
Aniocha North,Uzo-Uwani,0.367807088,0.367807088,71,365,2020,1,0.420162724
Aniocha North,Uzo-Uwani,0.420469812,0.420469812,436,295,2021,2,0.472825448
Aniocha South,Uzo-Uwani,0.367807088,0.367807088,71,365,2020,1,0.420162724
Aniocha South,Uzo-Uwani,0.420469812,0.420469812,436,295,2021,2,0.472825448
Anka,Darazo,0.078491889,0.078491889,71,365,2020,1,0.384749278
Anka,Darazo,0.095741168,0.095741168,436,295,2021,2,0.401998556
Ankpa,Owan East,0.241023868,0.241023868,71,365,2020,1,0.399316784
Ankpa,Owan East,0.272840651,0.272840651,436,295,2021,2,0.431133567
Apa,Keana,0.150311957,0.150311957,71,365,2020,1,0.384921548
Apa,Keana,0.167733505,0.167733505,436,295,2021,2,0.402343095
Apapa,Isoko South,0.096662304,0.096662304,71,365,2020,1,0.372965124
Apapa,Isoko South,0.102127429,0.102127429,436,295,2021,2,0.378430249
Ardo-Kola,Keana,0.204921548,0.204921548,71,365,2020,1,0.384921548
Ardo-Kola,Keana,0.222343095,0.222343095,436,295,2021,2,0.402343095
Arewa-Dandi,Birnin Kebbi,0.547723109,0.547723109,71,365,2020,1,0.415223109
Arewa-Dandi,Birnin Kebbi,0.595446218,0.595446218,436,295,2021,2,0.462946218
Argungu,Birnin Kebbi,0.491535629,0.491535629,71,365,2020,1,0.415223109
Argungu,Birnin Kebbi,0.539258738,0.539258738,436,295,2021,2,0.462946218
Arochukwu,Ngor-Okpala,0.252370953,0.252370953,71,365,2020,1,0.407340901
Arochukwu,Ngor-Okpala,0.292211854,0.292211854,436,295,2021,2,0.447181802
Asa,Oke-Ero,0.273208441,0.273208441,71,365,2020,1,0.390708441
Asa,Oke-Ero,0.296416882,0.296416882,436,295,2021,2,0.413916882
Asari-Toru,Ahoada West,0.346058099,0.346058099,71,365,2020,1,0.381385565
Asari-Toru,Ahoada West,0.359943664,0.359943664,436,295,2021,2,0.395271129
Askira-Uba,Darazo,0.103027585,0.103027585,71,365,2020,1,0.384749278
Askira-Uba,Darazo,0.120276863,0.120276863,436,295,2021,2,0.401998556
Atakumosa East,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Atakumosa East,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Atakumosa West,Akinyele,0.13717513,0.13717513,71,365,2020,1,0.388480454
Atakumosa West,Akinyele,0.158155583,0.158155583,436,295,2021,2,0.409460906
Atiba,Akinyele,0.13717513,0.13717513,71,365,2020,1,0.388480454
Atiba,Akinyele,0.158155583,0.158155583,436,295,2021,2,0.409460906
Atigbo,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Atigbo,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Augie,Birnin Kebbi,0.451569263,0.451569263,71,365,2020,1,0.415223109
Augie,Birnin Kebbi,0.499292372,0.499292372,436,295,2021,2,0.462946218
Auyo,Taura,0.585333875,0.585333875,71,365,2020,1,0.390333875
Auyo,Taura,0.608167749,0.608167749,436,295,2021,2,0.413167749
Awe,Keana,0.150311957,0.150311957,71,365,2020,1,0.384921548
Awe,Keana,0.167733505,0.167733505,436,295,2021,2,0.402343095
Awgu,Oru West,0.36056807,0.36056807,71,365,2020,1,0.419759999
Awgu,Oru West,0.412828069,0.412828069,436,295,2021,2,0.472019998
Awka North,Uzo-Uwani,0.552662724,0.552662724,71,365,2020,1,0.420162724
Awka North,Uzo-Uwani,0.605325449,0.605325449,436,295,2021,2,0.472825448
Awka South,Uzo-Uwani,0.367807088,0.367807088,71,365,2020,1,0.420162724
Awka South,Uzo-Uwani,0.420469812,0.420469812,436,295,2021,2,0.472825448
Ayamelum,Uzo-Uwani,0.627662734,0.627662734,71,365,2020,1,0.420162724
Ayamelum,Uzo-Uwani,0.680325458,0.680325458,436,295,2021,2,0.472825448
Babura,Babura,0.421171867,0.421171867,71,365,2020,1,0.416713604
Babura,Babura,0.47038547,0.47038547,436,295,2021,2,0.465927206
Badagry,Uzo-Uwani,0.367807088,0.367807088,71,365,2020,1,0.420162724
Badagry,Uzo-Uwani,0.420469812,0.420469812,436,295,2021,2,0.472825448
Bade,Taura,0.058548161,0.058548161,71,365,2020,1,0.390333875
Bade,Taura,0.081382035,0.081382035,436,295,2021,2,0.413167749
Bagudo,Birnin Kebbi,0.306680764,0.306680764,71,365,2020,1,0.415223109
Bagudo,Birnin Kebbi,0.354403873,0.354403873,436,295,2021,2,0.462946218
Bagwai,Babura,0.199213604,0.199213604,71,365,2020,1,0.416713604
Bagwai,Babura,0.248427206,0.248427206,436,295,2021,2,0.465927206
Bakassi,Obubra,0.352865017,0.352865017,71,365,2020,1,0.412791899
Bakassi,Obubra,0.398156917,0.398156917,436,295,2021,2,0.458083799
Bakori,Gwarzo,0.156176465,0.156176465,71,365,2020,1,0.394547054
Bakori,Gwarzo,0.183223518,0.183223518,436,295,2021,2,0.421594108
Bakura,Darazo,0.103027585,0.103027585,71,365,2020,1,0.384749278
Bakura,Darazo,0.120276863,0.120276863,436,295,2021,2,0.401998556
Balanga,Alkaleri,0.190656047,0.190656047,71,365,2020,1,0.397532037
Balanga,Alkaleri,0.220688084,0.220688084,436,295,2021,2,0.427564074
Bali,Keana,0.264126375,0.264126375,71,365,2020,1,0.384921548
Bali,Keana,0.281547923,0.281547923,436,295,2021,2,0.402343095
Bama,Darazo,0.103027585,0.103027585,71,365,2020,1,0.384749278
Bama,Darazo,0.120276863,0.120276863,436,295,2021,2,0.401998556
Barikin Ladi,Soba,0.016636874,0.016636874,71,365,2020,1,0.368765857
Barikin Ladi,Soba,0.01790273,0.01790273,436,295,2021,2,0.370031713
Baruten,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Baruten,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Bassa1,Keana,0.167421548,0.167421548,71,365,2020,1,0.384921548
Bassa1,Keana,0.184843095,0.184843095,436,295,2021,2,0.402343095
Bassa2,Soba,0.016636874,0.016636874,71,365,2020,1,0.368765857
Bassa2,Soba,0.01790273,0.01790273,436,295,2021,2,0.370031713
Batagarawa,Rimi,0.297262237,0.297262237,71,365,2020,1,0.384954542
Batagarawa,Rimi,0.31471678,0.31471678,436,295,2021,2,0.402409085
Batsari,Rimi,0.267454542,0.267454542,71,365,2020,1,0.384954542
Batsari,Rimi,0.284909085,0.284909085,436,295,2021,2,0.402409085
Bauchi,Alkaleri,0.050340156,0.050340156,71,365,2020,1,0.397532037
Bauchi,Alkaleri,0.080372193,0.080372193,436,295,2021,2,0.427564074
Baure,Babura,0.317070746,0.317070746,71,365,2020,1,0.416713604
Baure,Babura,0.366284349,0.366284349,436,295,2021,2,0.465927206
Bayo,Alkaleri,0.405032037,0.405032037,71,365,2020,1,0.397532037
Bayo,Alkaleri,0.435064074,0.435064074,436,295,2021,2,0.427564074
Bebeji,Gwarzo,0.156176465,0.156176465,71,365,2020,1,0.394547054
Bebeji,Gwarzo,0.183223518,0.183223518,436,295,2021,2,0.421594108
Bekwara,Oke-Ero,0.208338133,0.208338133,71,365,2020,1,0.390708441
Bekwara,Oke-Ero,0.231546574,0.231546574,436,295,2021,2,0.413916882
Bende,Ngor-Okpala,0.171785254,0.171785254,71,365,2020,1,0.407340901
Bende,Ngor-Okpala,0.211626155,0.211626155,436,295,2021,2,0.447181802
Biase,Ngor-Okpala,0.480862134,0.480862134,71,365,2020,1,0.407340901
Biase,Ngor-Okpala,0.520703035,0.520703035,436,295,2021,2,0.447181802
Bichi,Gwarzo,0.156176465,0.156176465,71,365,2020,1,0.394547054
Bichi,Gwarzo,0.183223518,0.183223518,436,295,2021,2,0.421594108
Bida,Oke-Ero,0.398208441,0.398208441,71,365,2020,1,0.390708441
Bida,Oke-Ero,0.421416882,0.421416882,436,295,2021,2,0.413916882
Billiri,Alkaleri,0.280032037,0.280032037,71,365,2020,1,0.397532037
Billiri,Alkaleri,0.310064074,0.310064074,436,295,2021,2,0.427564074
Bindawa,Rimi,0.092454542,0.092454542,71,365,2020,1,0.384954542
Bindawa,Rimi,0.109909085,0.109909085,436,295,2021,2,0.402409085
Binji,Gawabawa,0.19670843,0.19670843,71,365,2020,1,0.37670843
Binji,Gawabawa,0.205916859,0.205916859,436,295,2021,2,0.385916859
Biriniwa,Taura,0.147833875,0.147833875,71,365,2020,1,0.390333875
Biriniwa,Taura,0.170667749,0.170667749,436,295,2021,2,0.413167749
Birni Kudu,Takali,0.196589707,0.196589707,71,365,2020,1,0.396102395
Birni Kudu,Takali,0.225192101,0.225192101,436,295,2021,2,0.424704789
Birnin Kebbi,Birnin Kebbi,0.477427889,0.477427889,71,365,2020,1,0.415223109
Birnin Kebbi,Birnin Kebbi,0.525150998,0.525150998,436,295,2021,2,0.462946218
Birnin Magaji,Rimi,0.174951221,0.174951221,71,365,2020,1,0.384954542
Birnin Magaji,Rimi,0.192405764,0.192405764,436,295,2021,2,0.402409085
Birnin-Gwari,Giwa,0.125598633,0.125598633,71,365,2020,1,0.395217384
Birnin-Gwari,Giwa,0.153316016,0.153316016,436,295,2021,2,0.422934767
Biu,Darazo,0.392249278,0.392249278,71,365,2020,1,0.384749278
Biu,Darazo,0.409498556,0.409498556,436,295,2021,2,0.401998556
Bodinga,Gawabawa,0.089182013,0.089182013,71,365,2020,1,0.37670843
Bodinga,Gawabawa,0.098390442,0.098390442,436,295,2021,2,0.385916859
Bogoro,Alkaleri,0.205627702,0.205627702,71,365,2020,1,0.397532037
Bogoro,Alkaleri,0.235659739,0.235659739,436,295,2021,2,0.427564074
Boki,Obubra,0.232791899,0.232791899,71,365,2020,1,0.412791899
Boki,Obubra,0.278083799,0.278083799,436,295,2021,2,0.458083799
Bokkos,Giwa,0.125598633,0.125598633,71,365,2020,1,0.395217384
Bokkos,Giwa,0.153316016,0.153316016,436,295,2021,2,0.422934767
Boluwaduro,Akinyele,0.13717513,0.13717513,71,365,2020,1,0.388480454
Boluwaduro,Akinyele,0.158155583,0.158155583,436,295,2021,2,0.409460906
Bomadi,Isoko South,0.096662304,0.096662304,71,365,2020,1,0.372965124
Bomadi,Isoko South,0.102127429,0.102127429,436,295,2021,2,0.378430249
Bonny,Nsit Ubium,0.481710234,0.481710234,71,365,2020,1,0.401799807
Bonny,Nsit Ubium,0.516010041,0.516010041,436,295,2021,2,0.436099614
Borgu,Oke-Ero,0.237494156,0.237494156,71,365,2020,1,0.390708441
Borgu,Oke-Ero,0.260702597,0.260702597,436,295,2021,2,0.413916882
Boripe,Akinyele,0.270980453,0.270980453,71,365,2020,1,0.388480454
Boripe,Akinyele,0.291960906,0.291960906,436,295,2021,2,0.409460906
Bosso,Keana,0.179465555,0.179465555,71,365,2020,1,0.384921548
Bosso,Keana,0.196887103,0.196887103,436,295,2021,2,0.402343095
Brass,Ahoada West,0.399735524,0.399735524,71,365,2020,1,0.381385565
Brass,Ahoada West,0.413621089,0.413621089,436,295,2021,2,0.395271129
Buji,Takali,0.162668644,0.162668644,71,365,2020,1,0.396102395
Buji,Takali,0.191271038,0.191271038,436,295,2021,2,0.424704789
Bukkuyum,Alkaleri,0.205627702,0.205627702,71,365,2020,1,0.397532037
Bukkuyum,Alkaleri,0.235659739,0.235659739,436,295,2021,2,0.427564074
Bungudu,Takali,0.251519189,0.251519189,71,365,2020,1,0.396102395
Bungudu,Takali,0.280121584,0.280121584,436,295,2021,2,0.424704789
Bunkure,Gwarzo,0.156176465,0.156176465,71,365,2020,1,0.394547054
Bunkure,Gwarzo,0.183223518,0.183223518,436,295,2021,2,0.421594108
Bunza,Birnin Kebbi,0.364414869,0.364414869,71,365,2020,1,0.415223109
Bunza,Birnin Kebbi,0.412137978,0.412137978,436,295,2021,2,0.462946218
Bursari,Taura,0.116583875,0.116583875,71,365,2020,1,0.390333875
Bursari,Taura,0.139417749,0.139417749,436,295,2021,2,0.413167749
Buruku,Keana,0.167421576,0.167421576,71,365,2020,1,0.384921548
Buruku,Keana,0.184843124,0.184843124,436,295,2021,2,0.402343095
Burutu,Isoko South,0.096662304,0.096662304,71,365,2020,1,0.372965124
Burutu,Isoko South,0.102127429,0.102127429,436,295,2021,2,0.378430249
Bwari,Giwa,0.143419091,0.143419091,71,365,2020,1,0.395217384
Bwari,Giwa,0.171136475,0.171136475,436,295,2021,2,0.422934767
Calabar South,Nsit Ubium,0.257595628,0.257595628,71,365,2020,1,0.401799807
Calabar South,Nsit Ubium,0.291895435,0.291895435,436,295,2021,2,0.436099614
Calabar-Municipal,Nsit Ubium,0.259104564,0.259104564,71,365,2020,1,0.401799807
Calabar-Municipal,Nsit Ubium,0.293404371,0.293404371,436,295,2021,2,0.436099614
Chanchaga,Keana,0.309145683,0.309145683,71,365,2020,1,0.384921548
Chanchaga,Keana,0.326567231,0.326567231,436,295,2021,2,0.402343095
Charanchi,Rimi,0.096401911,0.096401911,71,365,2020,1,0.384954542
Charanchi,Rimi,0.113856454,0.113856454,436,295,2021,2,0.402409085
Chibok,Darazo,0.103027585,0.103027585,71,365,2020,1,0.384749278
Chibok,Darazo,0.120276863,0.120276863,436,295,2021,2,0.401998556
Chikun,Soba,0.016636874,0.016636874,71,365,2020,1,0.368765857
Chikun,Soba,0.01790273,0.01790273,436,295,2021,2,0.370031713
