LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases
Aba North,Ngor-Okpala,0.168247302,0.168247302,71,365,2020,1,0.147490319
Aba North,Ngor-Okpala,0.194807903,0.194807903,436,295,2021,2,0.177752501
Aba South,Ngor-Okpala,0.168247302,0.168247302,71,365,2020,1,0.147490319
Aba South,Ngor-Okpala,0.194807903,0.194807903,436,295,2021,2,0.177752501
Abadam,Babura,0.207447749,0.207447749,71,365,2020,1,0.154355758
Abadam,Babura,0.240256817,0.240256817,436,295,2021,2,0.192967255
Abaji,Keana,0.134679787,0.134679787,71,365,2020,1,0.131701865
Abaji,Keana,0.146294152,0.146294152,436,295,2021,2,0.143893303
Abak,Nsit Ubium,0.171730419,0.171730419,71,365,2020,1,0.143504964
Abak,Nsit Ubium,0.194596957,0.194596957,436,295,2021,2,0.169051443
Abakaliki,Owan East,0.197585628,0.197585628,71,365,2020,1,0.141736794
Abakaliki,Owan East,0.218796817,0.218796817,436,295,2021,2,0.165223247
Abeokuta North,Owan East,0.279448082,0.279448082,71,365,2020,1,0.141736794
Abeokuta North,Owan East,0.300659271,0.300659271,436,295,2021,2,0.165223247
Abeokuta South,Uzo-Uwani,0.431829785,0.431829785,71,365,2020,1,0.156921524
Abeokuta South,Uzo-Uwani,0.466938268,0.466938268,436,295,2021,2,0.198723471
Abi,Obubra,0.102775246,0.102775246,71,365,2020,1,0.151464135
Abi,Obubra,0.132969846,0.132969846,436,295,2021,2,0.186525126
Aboh-Mbaise,Ngor-Okpala,0.214060601,0.214060601,71,365,2020,1,0.147490319
Aboh-Mbaise,Ngor-Okpala,0.240621201,0.240621201,436,295,2021,2,0.177752501
Abua-Odual,Ahoada West,0.061510002,0.061510002,71,365,2020,1,0.129293288
Abua-Odual,Ahoada West,0.070767045,0.070767045,436,295,2021,2,0.138879347
Abuja Municipal,Keana,0.035676243,0.035676243,71,365,2020,1,0.131701865
Abuja Municipal,Keana,0.047290608,0.047290608,436,295,2021,2,0.143893303
Adavi,Owan East,0.160682579,0.160682579,71,365,2020,1,0.141736794
Adavi,Owan East,0.181893768,0.181893768,436,295,2021,2,0.165223247
Ado,Akinyele,0.099635125,0.099635125,71,365,2020,1,0.1341485
Ado,Akinyele,0.113622093,0.113622093,436,295,2021,2,0.149029541
Ado Ekiti,Owan East,0.160682579,0.160682579,71,365,2020,1,0.141736794
Ado Ekiti,Owan East,0.181893768,0.181893768,436,295,2021,2,0.165223247
Ado-Odo-Ota,Uzo-Uwani,0.245204725,0.245204725,71,365,2020,1,0.156921524
Ado-Odo-Ota,Uzo-Uwani,0.280313208,0.280313208,436,295,2021,2,0.198723471
Afijio,Akinyele,0.091450087,0.091450087,71,365,2020,1,0.1341485
Afijio,Akinyele,0.105437055,0.105437055,436,295,2021,2,0.149029541
Afikpo North,Oru West,0.466812792,0.466812792,71,365,2020,1,0.15662085
Afikpo North,Oru West,0.5,0.5,436,295,2021,2,0.198047003
Afikpo South,Ngor-Okpala,0.262036499,0.262036499,71,365,2020,1,0.147490319
Afikpo South,Ngor-Okpala,0.288597099,0.288597099,436,295,2021,2,0.177752501
Agaie,Oke-Ero,0.138892089,0.138892089,71,365,2020,1,0.135691632
Agaie,Oke-Ero,0.154364383,0.154364383,436,295,2021,2,0.152290831
Agatu,Keana,0.100207972,0.100207972,71,365,2020,1,0.131701865
Agatu,Keana,0.111822337,0.111822337,436,295,2021,2,0.143893303
Agege,Uzo-Uwani,0.245204725,0.245204725,71,365,2020,1,0.156921524
Agege,Uzo-Uwani,0.280313208,0.280313208,436,295,2021,2,0.198723471
Aguata,Oru West,0.252393992,0.252393992,71,365,2020,1,0.15662085
