,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
1,Aba North,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
2,Aba North,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
3,Aba North,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
4,Aba North,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
5,Aba South,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
6,Aba South,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
7,Aba South,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
8,Aba South,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
9,Arochukwu,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
10,Arochukwu,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
11,Arochukwu,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
12,Arochukwu,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
13,Bende,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
14,Bende,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
15,Bende,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
16,Bende,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
17,Ikwuano,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
18,Ikwuano,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
19,Ikwuano,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
20,Ikwuano,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
21,Isiala-Ngwa North,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
22,Isiala-Ngwa North,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
23,Isiala-Ngwa North,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
24,Isiala-Ngwa North,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
25,Isiala-Ngwa South,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
26,Isiala-Ngwa South,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
27,Isiala-Ngwa South,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
28,Isiala-Ngwa South,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
29,Isuikwato,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
30,Isuikwato,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
31,Isuikwato,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
32,Isuikwato,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
33,Obi Nwa,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
34,Obi Nwa,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
35,Obi Nwa,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
36,Obi Nwa,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
37,Ohafia,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
38,Ohafia,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
39,Ohafia,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
40,Ohafia,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
41,Osisioma Ngwa,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
42,Osisioma Ngwa,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
43,Osisioma Ngwa,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
44,Osisioma Ngwa,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
45,Ugwunagbo,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
46,Ugwunagbo,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
47,Ugwunagbo,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
48,Ugwunagbo,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
49,Ukwa East,Nsit Ubium,june,162,2020,1,-1,1,0.6,10
50,Ukwa East,Nsit Ubium,june,192,2020,2,-1,1,0.6,10
51,Ukwa East,Nsit Ubium,june,222,2020,3,-1,1,0.6,10
52,Ukwa East,Nsit Ubium,june,252,2020,4,-1,1,0.6,10
53,Ukwa West,Nsit Ubium,june,162,2020,1,-1,1,0.6,10
54,Ukwa West,Nsit Ubium,june,192,2020,2,-1,1,0.6,10
55,Ukwa West,Nsit Ubium,june,222,2020,3,-1,1,0.6,10
56,Ukwa West,Nsit Ubium,june,252,2020,4,-1,1,0.6,10
57,Umu-Neochi,Oru West,june,162,2020,1,-1,1,0.6,10
58,Umu-Neochi,Oru West,june,192,2020,2,-1,1,0.6,10
59,Umu-Neochi,Oru West,june,222,2020,3,-1,1,0.6,10
60,Umu-Neochi,Oru West,june,252,2020,4,-1,1,0.6,10
61,Umuahia North,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
62,Umuahia North,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
63,Umuahia North,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
64,Umuahia North,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
65,Umuahia South,Ngor-Okpala,june,162,2020,1,-1,1,0.6,10
66,Umuahia South,Ngor-Okpala,june,192,2020,2,-1,1,0.6,10
67,Umuahia South,Ngor-Okpala,june,222,2020,3,-1,1,0.6,10
68,Umuahia South,Ngor-Okpala,june,252,2020,4,-1,1,0.6,10
69,Demsa,Alkaleri,july,186,2020,1,-1,1,0.6,10
70,Demsa,Alkaleri,july,216,2020,2,-1,1,0.6,10
71,Demsa,Alkaleri,july,246,2020,3,-1,1,0.6,10
72,Demsa,Alkaleri,july,276,2020,4,-1,1,0.6,10
73,Gireri,Darazo,july,186,2020,1,-1,1,0.6,10
