,LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
1,Aba North,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
2,Aba North,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
3,Aba North,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
4,Aba North,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
5,Aba South,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
6,Aba South,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
7,Aba South,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
8,Aba South,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
9,Arochukwu,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
10,Arochukwu,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
11,Arochukwu,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
12,Arochukwu,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
13,Bende,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
14,Bende,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
15,Bende,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
16,Bende,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
17,Ikwuano,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
18,Ikwuano,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
19,Ikwuano,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
20,Ikwuano,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
21,Isiala-Ngwa North,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
22,Isiala-Ngwa North,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
23,Isiala-Ngwa North,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
24,Isiala-Ngwa North,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
25,Isiala-Ngwa South,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
26,Isiala-Ngwa South,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
27,Isiala-Ngwa South,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
28,Isiala-Ngwa South,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
29,Isuikwato,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
30,Isuikwato,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
31,Isuikwato,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
32,Isuikwato,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
33,Obi Nwa,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
34,Obi Nwa,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
35,Obi Nwa,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
36,Obi Nwa,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
37,Ohafia,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
38,Ohafia,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
39,Ohafia,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
40,Ohafia,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
41,Osisioma Ngwa,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
42,Osisioma Ngwa,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
43,Osisioma Ngwa,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
44,Osisioma Ngwa,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
45,Ugwunagbo,Ngor-Okpala,june,162,2020,1,-1,1,0.6,100
46,Ugwunagbo,Ngor-Okpala,june,192,2020,2,-1,1,0.6,100
47,Ugwunagbo,Ngor-Okpala,june,222,2020,3,-1,1,0.6,100
48,Ugwunagbo,Ngor-Okpala,june,252,2020,4,-1,1,0.6,100
49,Ukwa East,Nsit Ubium,june,162,2020,1,-1,1,0.6,100
50,Ukwa East,Nsit Ubium,june,192,2020,2,-1,1,0.6,100
51,Ukwa East,Nsit Ubium,june,222,2020,3,-1,1,0.6,100
52,Ukwa East,Nsit Ubium,june,252,2020,4,-1,1,0.6,100
53,Ukwa West,Nsit Ubium,june,162,2020,1,-1,1,0.6,100
54,Ukwa West,Nsit Ubium,june,192,2020,2,-1,1,0.6,100
55,Ukwa West,Nsit Ubium,june,222,2020,3,-1,1,0.6,100
56,Ukwa West,Nsit Ubium,june,252,2020,4,-1,1,0.6,100
57,Umu-Neochi,Oru West,june,162,2020,1,-1,1,0.6,100
58,Umu-Neochi,Oru West,june,192,2020,2,-1,1,0.6,100
59,Umu-Neochi,Oru West,june,222,2020,3,-1,1,0.6,100
60,Umu-Neochi,Oru West,june,252,2020,4,-1,1,0.6,100
