,LGA_old,repDS,year,LGA,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,round,peak,simday,llins_plan,mortality,kill_rate,block_initial
73,Okpokwu,Akinyele,2020,Okpokwu,0.8,0.8,0.8,0.8,1,may,131,Standard 2020,0.347201019,0.416399046,0.53
74,Oturkpo,Owan East,2020,Oturkpo,0.8,0.8,0.8,0.8,1,march,131,Standard 2020,0.406479871,0.465020433,0.53
75,Tarka,Keana,2020,Tarka,0.88,0.8,0.8,0.8,1,august,223,Standard 2020,0.339520975,0.410062837,0.53
76,Ushongo,Oke-Ero,2020,Ushongo,0.8,0.8,0.8,0.8,1,july,186,Standard 2020,0.333533837,0.405123965,0.53
77,Vandeikya,Oke-Ero,2020,Vandeikya,0.8,0.8,0.8,0.8,1,july,186,Standard 2020,0.384252901,0.446888644,0.53
78,Askira/Uba,Darazo,2020,Askira-Uba,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.666450057,0.750555793,0.849537809
79,Enugu East,Uzo-Uwani,2020,Enugu East,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.392074002,0.73941366,0.65
80,Bayo,Alkaleri,2020,Bayo,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.570036309,0.74879652,0.75338312
81,Biu,Darazo,2020,Biu,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.636944927,0.750127918,0.825069652
82,Chibok,Darazo,2020,Chibok,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.652598314,0.750364627,0.838523104
83,Damboa,Darazo,2020,Damboa,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.695319136,0.750906341,0.870063415
84,Dikwa,Darazo,2020,Dikwa,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.719398758,0.751156548,0.884947607
85,Gubio,Gawabawa,2020,Gubio,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.814426994,0.751874138,0.92834284
86,Jere,Gawabawa,2020,Jere,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.753750697,0.751459291,0.903166987
87,Guzamala,Babura,2020,Guzamala,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.777569747,0.75163814,0.914006236
88,Hawul,Darazo,2020,Hawul,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.628168105,0.749984628,0.81702795
89,Kwaya Kusar,Alkaleri,2020,Kwaya Kusar,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.597977668,0.749424913,0.786370026
90,Enugu North,Uzo-Uwani,2020,Enugu North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.420714903,0.741984962,0.65
91,Kaga,Darazo,2020,Kaga,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.674887541,0.750664577,0.855863415
92,Mafa,Darazo,2020,Mafa,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.71541858,0.751117543,0.88261584
93,Konduga,Darazo,2020,Konduga,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.74032898,0.751347835,0.896436989
95,Magumeri,Gawabawa,2020,Magumeri,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.783011005,0.7516759,0.916299033
96,Maiduguri,Darazo,2020,Maiduguri,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.77182807,0.751597095,0.911515347
97,Shani,Alkaleri,2020,Shani,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.675999756,0.750678509,0.856676439
98,Marte,Babura,2020,Marte,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.719831894,0.751160739,0.88519842
99,Nganzai,Gawabawa,2020,Nganzai,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.772011267,0.751598424,0.91159598
100,Enugu South,Uzo-Uwani,2020,Enugu South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.479661177,0.745641892,0.65
101,Ogbomosho North,Akinyele,2020,Ogbomosho North,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.277526963,0.717660075,0.65
104,Ibadan South West,Owan East,2020,Ibadan South West,0.8,0.8,0.8,0.8,1,march,131,Dual Al+PBO 2020,0.315354899,0.727822706,0.65
110,Ogbomosho South,Akinyele,2020,Ogbomosho South,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.343621306,0.733145329,0.65
125,Akoko-Edo,Owan East,2020,Akoko-Edo,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.304845225,0.725405618,0.65
126,Egor,Uzo-Uwani,2020,Egor,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.42209808,0.74209333,0.65
127,Esan North East,Uzo-Uwani,2020,Esan North East,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.339061878,0.732387649,0.65
128,Esan Central,Owan East,2020,Esan Central,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.34342137,0.733112828,0.65
129,Esan South East,Uzo-Uwani,2020,Esan South East,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.404971726,0.740653669,0.65
130,Esan West,Uzo-Uwani,2020,Esan West,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.366421113,0.736459279,0.65
131,Etsako Central,Owan East,2020,Etsako Central,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.300181787,0.724242459,0.65
132,Etsako East,Owan East,2020,Etsako East,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.314825995,0.727707424,0.65
133,Etsako West,Owan East,2020,Etsako West,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.290127246,0.721523913,0.65
134,Igueben,Uzo-Uwani,2020,Igueben,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.415233246,0.741542325,0.65
135,Ikpoba-Okha,Uzo-Uwani,2020,Ikpoba-Okha,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.323305427,0.729480418,0.65
136,Aninri,Oru West,2020,Aninri,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.430439768,0.742719962,0.65
137,Oredo,Uzo-Uwani,2020,Oredo,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.382076571,0.738346159,0.65
138,Orhionmwon,Uzo-Uwani,2020,Orhionmwon,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.335936711,0.731847739,0.65
139,Ovia North East,Owan East,2020,Ovia North East,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.337624396,0.732141435,0.65
140,Ovia South West,Akinyele,2020,Ovia South West,0.8,0.8,0.8,0.8,1,may,131,PBO(2021),0.363545715,0.736080953,0.65
141,Owan East,Owan East,2020,Owan East,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.315089802,0.727765005,0.65
142,Owan West,Owan East,2020,Owan West,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.389346565,0.739132174,0.65
143,Uhunmwonde,Owan East,2020,Uhunmwonde,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.3888156,0.739076547,0.65
144,Ado Ekiti,Owan East,2020,Ado Ekiti,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.357399296,0.735235955,0.65
145,Efon-Alayee,Oke-Ero,2020,Efon-Alayee,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.32342441,0.729504192,0.65
146,Ekiti East,Oke-Ero,2020,Ekiti East,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.342294717,0.73292846,0.65
147,Ekiti South West,Oke-Ero,2020,Ekiti South West,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.434979733,0.743042533,0.65
148,Awgu,Oru West,2020,Awgu,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.428474781,0.742576398,0.65
149,Ekiti West,Oke-Ero,2020,Ekiti West,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.332828195,0.731293374,0.65
150,Emure,Oke-Ero,2020,Emure,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.372039671,0.737169001,0.65
151,Gboyin,Obubra,2020,Gboyin,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.286540024,0.7204787,0.65
152,Idosi-Osi,Oke-Ero,2020,Idosi-Osi,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.302701283,0.724878164,0.65
153,Ijero,Oke-Ero,2020,Ijero,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.264220599,0.712935452,0.65
154,Ikere,Owan East,2020,Ikere,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.456857423,0.744434569,0.65
155,Ikole,Oke-Ero,2020,Ikole,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.320812672,0.72897548,0.65
156,Ilemeji,Oke-Ero,2020,Ilemeji,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.308389127,0.726251209,0.65
157,Irepodun/Ifelodun,Oke-Ero,2020,Irepodun-Ifelodun,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.314066122,0.727540664,0.65
158,Ise/Orun,Oke-Ero,2020,Ise-Orun,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.409896538,0.74109031,0.65
159,Moba,Oke-Ero,2020,Moba,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.282164723,0.719146001,0.65
160,Oye,Oke-Ero,2020,Oye,0.8,0.8,0.8,0.8,1,july,186,PBO(2021),0.299868816,0.72416227,0.65
161,Ezeagu,Uzo-Uwani,2020,Ezeagu,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.415961311,0.741602353,0.65
162,Igbo-Etiti,Uzo-Uwani,2020,Igbo-Etiti,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.38332308,0.738484739,0.65
163,Igbo-Eze North,Uzo-Uwani,2020,Igbo-Eze North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.332315805,0.73120029,0.65
164,Igbo-Eze South,Uzo-Uwani,2020,Igbo-Eze South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.361653388,0.735826165,0.65
165,Isi-Uzo,Owan East,2020,Isi-Uzo,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.425114132,0.742325146,0.65
166,Nkanu East,Owan East,2020,Nkanu East,0.8,0.8,0.8,0.8,1,march,131,PBO(2021),0.414364125,0.741470161,0.65
167,Nkanu West,Uzo-Uwani,2020,Nkanu West,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.464287853,0.744852701,0.65
168,Nsukka,Uzo-Uwani,2020,Nsukka,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.391481406,0.739353101,0.65
169,Oji-River,Oru West,2020,Oji-River,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.407484101,0.740878825,0.65
170,Udenu,Uzo-Uwani,2020,Udenu,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.38139738,0.738269967,0.65
171,Udi,Uzo-Uwani,2020,Udi,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.379547492,0.738059966,0.65
172,Uzo-Uwani,Uzo-Uwani,2020,Uzo-Uwani,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.404737188,0.74063239,0.65
173,Ahiazu-Mbaise,Ngor-Okpala,2020,Ahiazu-Mbaise,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.4502266,0.744039224,0.65
174,Abaji,Keana,2020,Abaji,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.476373849,0.74548121,0.65
175,Bwari,Giwa,2020,Bwari,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.558433035,0.748497974,0.73823236
176,Gwagwalada,Keana,2020,Gwagwalada,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.555904987,0.748429645,0.734810981
177,Kuje,Keana,2020,Kuje,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.448338859,0.743922635,0.65
178,Kwali,Keana,2020,Kwali,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.476055073,0.745465403,0.65
180,Abuja Municipal,Keana,2020,Abuja Municipal,0.8,0.8,0.8,0.8,1,august,223,PBO(2021),0.500846708,0.746583537,0.64847786
181,Akko,Alkaleri,2021,Akko,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.430348191,0.742713325,0.65
182,Balanga,Alkaleri,2021,Balanga,0.8,0.8,0.8,0.803248637,1,july,551,PBO(2021),0.625491041,0.749939303,0.81450054
183,Billiri,Alkaleri,2021,Billiri,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.209402585,0.683407139,0.65
184,Dukku,Darazo,2021,Dukku,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.67468816,0.75066207,0.855717164
185,Funakaye,Alkaleri,2021,Funakaye,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.631961788,0.750047545,0.820549364
186,Gombe,Alkaleri,2021,Gombe,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.497689178,0.746452831,0.65
187,Kaltungo,Alkaleri,2021,Kaltungo,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.500615672,0.74657408,0.648064062
188,Kwami,Alkaleri,2021,Kwami,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.528174359,0.747593116,0.6942737
190,Nafada,Alkaleri,2021,Nafada,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.699548844,0.750952854,0.872816603
191,Shomgom,Alkaleri,2021,Shomgom,0.8,0.8,0.8,0.835300207,1,july,551,PBO(2021),0.393550536,0.739563122,0.65
192,Yamaltu/Deba,Alkaleri,2021,Yamaltu-Deba,0.8,0.8,0.8,0.8,1,july,551,PBO(2021),0.541765398,0.748024003,0.714846744
193,Aboh-Mbaise,Ngor-Okpala,2020,Aboh-Mbaise,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.366998982,0.736534052,0.65
195,Ehime-Mbano,Ngor-Okpala,2020,Ehime-Mbano,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.459803075,0.744603378,0.65
196,Ezinihitte,Ngor-Okpala,2020,Ezinihitte,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.456817192,0.744432235,0.65
197,Ideato North,Oru West,2020,Ideato North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.449066913,0.743967818,0.65
198,Ideato South,Ngor-Okpala,2020,Ideato South,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.438565746,0.743288627,0.65
199,Ihitte/Uboma,Ngor-Okpala,2020,Ihitte-Uboma,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.471133329,0.745216177,0.65
200,Ikeduru,Ngor-Okpala,2020,Ikeduru,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.402638622,0.740439976,0.65
201,Isiala Mbano,Ngor-Okpala,2020,Isiala Mbano,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.468083262,0.745056709,0.65
202,Isu,Ngor-Okpala,2020,Isu,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.310898215,0.726830753,0.65
203,Mbaitoli,Ngor-Okpala,2020,Mbaitoli,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.257476859,0.710250224,0.65
204,Obowo,Ngor-Okpala,2020,Obowo,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.461408625,0.744693686,0.65
205,Ngor-Okpala,Ngor-Okpala,2020,Ngor-Okpala,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.247389039,0.70581743,0.65
206,Njaba,Ngor-Okpala,2020,Njaba,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.25554311,0.70944059,0.65
207,Nkwerre,Ngor-Okpala,2020,Nkwerre,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.404085994,0.740573072,0.65
208,Nwangele,Ngor-Okpala,2020,Nwangele,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.427322485,0.742491071,0.65
209,Oyo East,Akinyele,2020,Oyo East,0.8,0.8,0.8,0.8,1,may,131,Dual Al+PBO 2020,0.47806867,0.745564576,0.65
210,Oguta,Oru West,2020,Oguta,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.21360058,0.68641783,0.65
211,Ohaji/Egbema,Oru West,2020,Ohaji-Egbema,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.230681852,0.69720507,0.65
212,Okigwe,Ngor-Okpala,2020,Okigwe,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.46132433,0.744688974,0.65
213,Orlu,Oru West,2020,Orlu,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.36849761,0.736726042,0.65
214,Orsu,Oru West,2020,Orsu,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.258149058,0.710527415,0.65
215,Oru East,Oru West,2020,Oru East,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.187100101,0.664569581,0.65
216,Oru West,Oru West,2020,Oru West,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.176205894,0.653359801,0.65
217,Owerri-Municipal,Oru West,2020,Owerri-Municipal,0.8125,0.8,0.916666667,0.8,1,june,162,PBO(2021),0.197408696,0.67390989,0.65
219,Owerri North,Ngor-Okpala,2020,Owerri North,0.8,0.8,0.8,0.8,1,june,162,PBO(2021),0.244109669,0.704259228,0.65
