LGA,Rep_DS,U5_coverage,adult_coverage,simday,duration,year,round,severe_cases
Aba North,Ngor-Okpala,0.084123651,0.084123651,71,365,2020,1,0.1357803
Aba North,Ngor-Okpala,0.097403951,0.097403951,436,295,2021,2,0.149060601
Aba South,Ngor-Okpala,0.084123651,0.084123651,71,365,2020,1,0.1357803
Aba South,Ngor-Okpala,0.097403951,0.097403951,436,295,2021,2,0.149060601
Abadam,Babura,0.103723874,0.103723874,71,365,2020,1,0.138904535
Abadam,Babura,0.120128409,0.120128409,436,295,2021,2,0.155309069
Abaji,Keana,0.067339893,0.067339893,71,365,2020,1,0.128307183
Abaji,Keana,0.073147076,0.073147076,436,295,2021,2,0.134114365
Abak,Nsit Ubium,0.085865209,0.085865209,71,365,2020,1,0.133933269
Abak,Nsit Ubium,0.097298478,0.097298478,436,295,2021,2,0.145366538
Abakaliki,Owan East,0.098792814,0.098792814,71,365,2020,1,0.133105595
Abakaliki,Owan East,0.109398409,0.109398409,436,295,2021,2,0.143711189
Abeokuta North,Owan East,0.139724041,0.139724041,71,365,2020,1,0.133105595
Abeokuta North,Owan East,0.150329635,0.150329635,436,295,2021,2,0.143711189
Abeokuta South,Uzo-Uwani,0.215914892,0.215914892,71,365,2020,1,0.140054241
Abeokuta South,Uzo-Uwani,0.233469134,0.233469134,436,295,2021,2,0.157608483
Abi,Obubra,0.051387623,0.051387623,71,365,2020,1,0.1375973
Abi,Obubra,0.066484923,0.066484923,436,295,2021,2,0.1526946
Aboh-Mbaise,Ngor-Okpala,0.1070303,0.1070303,71,365,2020,1,0.1357803
Aboh-Mbaise,Ngor-Okpala,0.120310601,0.120310601,436,295,2021,2,0.149060601
Abua-Odual,Ahoada West,0.030755001,0.030755001,71,365,2020,1,0.127128522
Abua-Odual,Ahoada West,0.035383522,0.035383522,436,295,2021,2,0.131757043
Abuja Municipal,Keana,0.017838122,0.017838122,71,365,2020,1,0.128307183
Abuja Municipal,Keana,0.023645304,0.023645304,436,295,2021,2,0.134114365
Adavi,Owan East,0.080341289,0.080341289,71,365,2020,1,0.133105595
Adavi,Owan East,0.090946884,0.090946884,436,295,2021,2,0.143711189
Ado,Akinyele,0.049817562,0.049817562,71,365,2020,1,0.129493485
Ado,Akinyele,0.056811047,0.056811047,436,295,2021,2,0.136486969
Ado Ekiti,Owan East,0.080341289,0.080341289,71,365,2020,1,0.133105595
Ado Ekiti,Owan East,0.090946884,0.090946884,436,295,2021,2,0.143711189
Ado-Odo-Ota,Uzo-Uwani,0.122602363,0.122602363,71,365,2020,1,0.140054241
Ado-Odo-Ota,Uzo-Uwani,0.140156604,0.140156604,436,295,2021,2,0.157608483
Afijio,Akinyele,0.045725043,0.045725043,71,365,2020,1,0.129493485
Afijio,Akinyele,0.052718528,0.052718528,436,295,2021,2,0.136486969
Afikpo North,Oru West,0.233406396,0.233406396,71,365,2020,1,0.13992
Afikpo North,Oru West,0.25,0.25,436,295,2021,2,0.157339999
Afikpo South,Ngor-Okpala,0.131018249,0.131018249,71,365,2020,1,0.1357803
Afikpo South,Ngor-Okpala,0.14429855,0.14429855,436,295,2021,2,0.149060601
Agaie,Oke-Ero,0.069446044,0.069446044,71,365,2020,1,0.130236147
Agaie,Oke-Ero,0.077182191,0.077182191,436,295,2021,2,0.137972294
Agatu,Keana,0.050103986,0.050103986,71,365,2020,1,0.128307183
Agatu,Keana,0.055911168,0.055911168,436,295,2021,2,0.134114365
Agege,Uzo-Uwani,0.122602363,0.122602363,71,365,2020,1,0.140054241
Agege,Uzo-Uwani,0.140156604,0.140156604,436,295,2021,2,0.157608483
Aguata,Oru West,0.126196996,0.126196996,71,365,2020,1,0.13992
Aguata,Oru West,0.143616996,0.143616996,436,295,2021,2,0.157339999
Agwara,Birnin Kebbi,0.121471623,0.121471623,71,365,2020,1,0.138407703
Agwara,Birnin Kebbi,0.137379326,0.137379326,436,295,2021,2,0.154315406
Ahiazu-Mbaise,Ngor-Okpala,0.084123651,0.084123651,71,365,2020,1,0.1357803
Ahiazu-Mbaise,Ngor-Okpala,0.097403951,0.097403951,436,295,2021,2,0.149060601
Ahoada East,Ahoada West,0.079794328,0.079794328,71,365,2020,1,0.127128522
Ahoada East,Ahoada West,0.084422849,0.084422849,436,295,2021,2,0.131757043
Ahoada West,Ahoada West,0.087961855,0.087961855,71,365,2020,1,0.127128522
Ahoada West,Ahoada West,0.092590376,0.092590376,436,295,2021,2,0.131757043
Aiyedade,Akinyele,0.045725043,0.045725043,71,365,2020,1,0.129493485
Aiyedade,Akinyele,0.052718528,0.052718528,436,295,2021,2,0.136486969
Aiyedire,Akinyele,0.045725043,0.045725043,71,365,2020,1,0.129493485
Aiyedire,Akinyele,0.052718528,0.052718528,436,295,2021,2,0.136486969
Ajaokuta,Owan East,0.080341289,0.080341289,71,365,2020,1,0.133105595
Ajaokuta,Owan East,0.090946884,0.090946884,436,295,2021,2,0.143711189
Ajeromi-Ifelodun,Uzo-Uwani,0.191917297,0.191917297,71,365,2020,1,0.140054241
Ajeromi-Ifelodun,Uzo-Uwani,0.209471538,0.209471538,436,295,2021,2,0.157608483
Ajingi,Taura,0.051343302,0.051343302,71,365,2020,1,0.130111292
Ajingi,Taura,0.058954593,0.058954593,436,295,2021,2,0.137722583
Akamkpa,Ngor-Okpala,0.0611272,0.0611272,71,365,2020,1,0.1357803
Akamkpa,Ngor-Okpala,0.0744075,0.0744075,436,295,2021,2,0.149060601
Akinyele,Akinyele,0.045725043,0.045725043,71,365,2020,1,0.129493485
Akinyele,Akinyele,0.052718528,0.052718528,436,295,2021,2,0.136486969
Akko,Alkaleri,0.046486791,0.046486791,71,365,2020,1,0.132510679
Akko,Alkaleri,0.05649747,0.05649747,436,295,2021,2,0.142521358
Akoko North East,Oke-Ero,0.08186964,0.08186964,71,365,2020,1,0.130236147
Akoko North East,Oke-Ero,0.089605787,0.089605787,436,295,2021,2,0.137972294
Akoko North West,Oke-Ero,0.136947977,0.136947977,71,365,2020,1,0.130236147
Akoko North West,Oke-Ero,0.144684124,0.144684124,436,295,2021,2,0.137972294
Akoko South East,Oke-Ero,0.069446044,0.069446044,71,365,2020,1,0.130236147
Akoko South East,Oke-Ero,0.077182191,0.077182191,436,295,2021,2,0.137972294
Akoko South West,Oke-Ero,0.09106948,0.09106948,71,365,2020,1,0.130236147
Akoko South West,Oke-Ero,0.098805627,0.098805627,436,295,2021,2,0.137972294
Akoko-Edo,Owan East,0.119047719,0.119047719,71,365,2020,1,0.133105595
Akoko-Edo,Owan East,0.129653313,0.129653313,436,295,2021,2,0.143711189
Akpabuyo,Nsit Ubium,0.085865209,0.085865209,71,365,2020,1,0.133933269
Akpabuyo,Nsit Ubium,0.097298478,0.097298478,436,295,2021,2,0.145366538
Akuku Toru,Ahoada West,0.104628522,0.104628522,71,365,2020,1,0.127128522
Akuku Toru,Ahoada West,0.109257043,0.109257043,436,295,2021,2,0.131757043
Akure North,Owan East,0.080341289,0.080341289,71,365,2020,1,0.133105595
Akure North,Owan East,0.090946884,0.090946884,436,295,2021,2,0.143711189
Akure South,Owan East,0.135605595,0.135605595,71,365,2020,1,0.133105595
Akure South,Owan East,0.146211189,0.146211189,436,295,2021,2,0.143711189
Akwanga,Oke-Ero,0.069446044,0.069446044,71,365,2020,1,0.130236147
Akwanga,Oke-Ero,0.077182191,0.077182191,436,295,2021,2,0.137972294
Albasu,Takali,0.176200798,0.176200798,71,365,2020,1,0.132034132
Albasu,Takali,0.18573493,0.18573493,436,295,2021,2,0.141568263
Aleiro,Birnin Kebbi,0.121471623,0.121471623,71,365,2020,1,0.138407703
Aleiro,Birnin Kebbi,0.137379326,0.137379326,436,295,2021,2,0.154315406
Alimosho,Uzo-Uwani,0.086291512,0.086291512,71,365,2020,1,0.140054241
Alimosho,Uzo-Uwani,0.103845754,0.103845754,436,295,2021,2,0.157608483
Alkaleri,Alkaleri,0.065540066,0.065540066,71,365,2020,1,0.132510679
Alkaleri,Alkaleri,0.075550745,0.075550745,436,295,2021,2,0.142521358
Amuwo-Odofin,Isoko South,0.032220768,0.032220768,71,365,2020,1,0.124321708
Amuwo-Odofin,Isoko South,0.034042476,0.034042476,436,295,2021,2,0.126143416
Anambra East,Uzo-Uwani,0.122602363,0.122602363,71,365,2020,1,0.140054241
Anambra East,Uzo-Uwani,0.140156604,0.140156604,436,295,2021,2,0.157608483
Anambra West,Uzo-Uwani,0.184296805,0.184296805,71,365,2020,1,0.140054241
Anambra West,Uzo-Uwani,0.201851047,0.201851047,436,295,2021,2,0.157608483
Anaocha,Oru West,0.155120542,0.155120542,71,365,2020,1,0.13992
Anaocha,Oru West,0.172540541,0.172540541,436,295,2021,2,0.157339999
Andoni,Nsit Ubium,0.053081646,0.053081646,71,365,2020,1,0.133933269
Andoni,Nsit Ubium,0.064514915,0.064514915,436,295,2021,2,0.145366538
Aninri,Oru West,0.14691042,0.14691042,71,365,2020,1,0.13992
Aninri,Oru West,0.16433042,0.16433042,436,295,2021,2,0.157339999
Aniocha North,Uzo-Uwani,0.122602363,0.122602363,71,365,2020,1,0.140054241
Aniocha North,Uzo-Uwani,0.140156604,0.140156604,436,295,2021,2,0.157608483
Aniocha South,Uzo-Uwani,0.122602363,0.122602363,71,365,2020,1,0.140054241
Aniocha South,Uzo-Uwani,0.140156604,0.140156604,436,295,2021,2,0.157608483
Anka,Darazo,0.026163963,0.026163963,71,365,2020,1,0.128249759
Anka,Darazo,0.031913723,0.031913723,436,295,2021,2,0.133999519
Ankpa,Owan East,0.080341289,0.080341289,71,365,2020,1,0.133105595
Ankpa,Owan East,0.090946884,0.090946884,436,295,2021,2,0.143711189
Apa,Keana,0.050103986,0.050103986,71,365,2020,1,0.128307183
Apa,Keana,0.055911168,0.055911168,436,295,2021,2,0.134114365
Apapa,Isoko South,0.032220768,0.032220768,71,365,2020,1,0.124321708
Apapa,Isoko South,0.034042476,0.034042476,436,295,2021,2,0.126143416
Ardo-Kola,Keana,0.068307183,0.068307183,71,365,2020,1,0.128307183
Ardo-Kola,Keana,0.074114365,0.074114365,436,295,2021,2,0.134114365
Arewa-Dandi,Birnin Kebbi,0.18257437,0.18257437,71,365,2020,1,0.138407703
Arewa-Dandi,Birnin Kebbi,0.198482073,0.198482073,436,295,2021,2,0.154315406
