,adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
77,Borno,Magumeri,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,5
78,Borno,Magumeri,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,5
79,Borno,Magumeri,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,5
80,Borno,Magumeri,SMC,Gawabawa,august,313,2020,4,-1,1,0.6,5
81,Borno,Maiduguri,SMC,Darazo,july,186,2020,1,-1,1,0.6,5
82,Borno,Maiduguri,SMC,Darazo,july,216,2020,2,-1,1,0.6,5
83,Borno,Maiduguri,SMC,Darazo,july,246,2020,3,-1,1,0.6,5
84,Borno,Maiduguri,SMC,Darazo,july,276,2020,4,-1,1,0.6,5
85,Borno,Marte,SMC,Babura,may,131,2020,1,-1,1,0.6,5
86,Borno,Marte,SMC,Babura,may,161,2020,2,-1,1,0.6,5
87,Borno,Marte,SMC,Babura,may,191,2020,3,-1,1,0.6,5
88,Borno,Marte,SMC,Babura,may,221,2020,4,-1,1,0.6,5
89,Borno,Mobbar,SMC,Babura,may,131,2020,1,-1,1,0.6,5
90,Borno,Mobbar,SMC,Babura,may,161,2020,2,-1,1,0.6,5
91,Borno,Mobbar,SMC,Babura,may,191,2020,3,-1,1,0.6,5
92,Borno,Mobbar,SMC,Babura,may,221,2020,4,-1,1,0.6,5
93,Borno,Monguno,SMC,Babura,may,131,2020,1,-1,1,0.6,5
94,Borno,Monguno,SMC,Babura,may,161,2020,2,-1,1,0.6,5
95,Borno,Monguno,SMC,Babura,may,191,2020,3,-1,1,0.6,5
96,Borno,Monguno,SMC,Babura,may,221,2020,4,-1,1,0.6,5
97,Borno,Ngala,SMC,Taura,july,186,2020,1,-1,1,0.6,5
98,Borno,Ngala,SMC,Taura,july,216,2020,2,-1,1,0.6,5
99,Borno,Ngala,SMC,Taura,july,246,2020,3,-1,1,0.6,5
100,Borno,Ngala,SMC,Taura,july,276,2020,4,-1,1,0.6,5
101,Borno,Nganzai,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,5
102,Borno,Nganzai,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,5
103,Borno,Nganzai,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,5
104,Borno,Nganzai,SMC,Gawabawa,august,313,2020,4,-1,1,0.6,5
105,Borno,Shani,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,5
106,Borno,Shani,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,5
107,Borno,Shani,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,5
108,Borno,Shani,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,5
109,Jigawa,Auyo,SMC,Taura,july,186,2020,1,-1,1,0.6,5
110,Jigawa,Auyo,SMC,Taura,july,216,2020,2,-1,1,0.6,5
111,Jigawa,Auyo,SMC,Taura,july,246,2020,3,-1,1,0.6,5
112,Jigawa,Auyo,SMC,Taura,july,276,2020,4,-1,1,0.6,5
113,Jigawa,Babura,SMC,Babura,may,131,2020,1,-1,1,0.6,5
114,Jigawa,Babura,SMC,Babura,may,161,2020,2,-1,1,0.6,5
115,Jigawa,Babura,SMC,Babura,may,191,2020,3,-1,1,0.6,5
116,Jigawa,Babura,SMC,Babura,may,221,2020,4,-1,1,0.6,5
117,Jigawa,Biriniwa,SMC,Taura,july,186,2020,1,-1,1,0.6,5
118,Jigawa,Biriniwa,SMC,Taura,july,216,2020,2,-1,1,0.6,5
119,Jigawa,Biriniwa,SMC,Taura,july,246,2020,3,-1,1,0.6,5
120,Jigawa,Biriniwa,SMC,Taura,july,276,2020,4,-1,1,0.6,5
121,Jigawa,Birni Kudu,SMC,Takali,september,250,2020,1,-1,1,0.6,5
122,Jigawa,Birni Kudu,SMC,Takali,september,280,2020,2,-1,1,0.6,5
123,Jigawa,Birni Kudu,SMC,Takali,september,310,2020,3,-1,1,0.6,5
124,Jigawa,Birni Kudu,SMC,Takali,september,340,2020,4,-1,1,0.6,5
125,Jigawa,Buji,SMC,Takali,september,250,2020,1,-1,1,0.6,5
126,Jigawa,Buji,SMC,Takali,september,280,2020,2,-1,1,0.6,5
127,Jigawa,Buji,SMC,Takali,september,310,2020,3,-1,1,0.6,5
128,Jigawa,Buji,SMC,Takali,september,340,2020,4,-1,1,0.6,5
129,Jigawa,Dutse,SMC,Takali,september,250,2020,1,-1,1,0.6,5
130,Jigawa,Dutse,SMC,Takali,september,280,2020,2,-1,1,0.6,5
131,Jigawa,Dutse,SMC,Takali,september,310,2020,3,-1,1,0.6,5
132,Jigawa,Dutse,SMC,Takali,september,340,2020,4,-1,1,0.6,5
133,Jigawa,Gagarawa,SMC,Taura,july,186,2020,1,-1,1,0.6,5
134,Jigawa,Gagarawa,SMC,Taura,july,216,2020,2,-1,1,0.6,5
135,Jigawa,Gagarawa,SMC,Taura,july,246,2020,3,-1,1,0.6,5
136,Jigawa,Gagarawa,SMC,Taura,july,276,2020,4,-1,1,0.6,5
137,Jigawa,Garki,SMC,Babura,may,131,2020,1,-1,1,0.6,5
138,Jigawa,Garki,SMC,Babura,may,161,2020,2,-1,1,0.6,5
139,Jigawa,Garki,SMC,Babura,may,191,2020,3,-1,1,0.6,5
140,Jigawa,Garki,SMC,Babura,may,221,2020,4,-1,1,0.6,5
141,Jigawa,Gumel,SMC,Babura,may,131,2020,1,-1,1,0.6,5
142,Jigawa,Gumel,SMC,Babura,may,161,2020,2,-1,1,0.6,5
143,Jigawa,Gumel,SMC,Babura,may,191,2020,3,-1,1,0.6,5
144,Jigawa,Gumel,SMC,Babura,may,221,2020,4,-1,1,0.6,5
145,Jigawa,Guri,SMC,Taura,july,186,2020,1,-1,1,0.6,5
146,Jigawa,Guri,SMC,Taura,july,216,2020,2,-1,1,0.6,5
147,Jigawa,Guri,SMC,Taura,july,246,2020,3,-1,1,0.6,5
148,Jigawa,Guri,SMC,Taura,july,276,2020,4,-1,1,0.6,5
149,Jigawa,Gwaram,SMC,Takali,september,250,2020,1,-1,1,0.6,5
150,Jigawa,Gwaram,SMC,Takali,september,280,2020,2,-1,1,0.6,5
151,Jigawa,Gwaram,SMC,Takali,september,310,2020,3,-1,1,0.6,5
152,Jigawa,Gwaram,SMC,Takali,september,340,2020,4,-1,1,0.6,5
153,Jigawa,Gwiwa,SMC,Babura,may,131,2020,1,-1,1,0.6,5
154,Jigawa,Gwiwa,SMC,Babura,may,161,2020,2,-1,1,0.6,5
155,Jigawa,Gwiwa,SMC,Babura,may,191,2020,3,-1,1,0.6,5
156,Jigawa,Gwiwa,SMC,Babura,may,221,2020,4,-1,1,0.6,5
157,Jigawa,Hadejia,SMC,Taura,july,186,2020,1,-1,1,0.6,5
158,Jigawa,Hadejia,SMC,Taura,july,216,2020,2,-1,1,0.6,5
159,Jigawa,Hadejia,SMC,Taura,july,246,2020,3,-1,1,0.6,5
160,Jigawa,Hadejia,SMC,Taura,july,276,2020,4,-1,1,0.6,5
161,Jigawa,Jahun,SMC,Taura,july,186,2020,1,-1,1,0.6,5
162,Jigawa,Jahun,SMC,Taura,july,216,2020,2,-1,1,0.6,5
163,Jigawa,Jahun,SMC,Taura,july,246,2020,3,-1,1,0.6,5
164,Jigawa,Jahun,SMC,Taura,july,276,2020,4,-1,1,0.6,5
165,Jigawa,Kafin Hausa,SMC,Taura,july,186,2020,1,-1,1,0.6,5
166,Jigawa,Kafin Hausa,SMC,Taura,july,216,2020,2,-1,1,0.6,5
167,Jigawa,Kafin Hausa,SMC,Taura,july,246,2020,3,-1,1,0.6,5
168,Jigawa,Kafin Hausa,SMC,Taura,july,276,2020,4,-1,1,0.6,5
169,Jigawa,Kaugama,SMC,Taura,july,186,2020,1,-1,1,0.6,5
170,Jigawa,Kaugama,SMC,Taura,july,216,2020,2,-1,1,0.6,5
171,Jigawa,Kaugama,SMC,Taura,july,246,2020,3,-1,1,0.6,5
172,Jigawa,Kaugama,SMC,Taura,july,276,2020,4,-1,1,0.6,5
173,Jigawa,Kazaure,SMC,Babura,may,131,2020,1,-1,1,0.6,5
174,Jigawa,Kazaure,SMC,Babura,may,161,2020,2,-1,1,0.6,5
175,Jigawa,Kazaure,SMC,Babura,may,191,2020,3,-1,1,0.6,5
176,Jigawa,Kazaure,SMC,Babura,may,221,2020,4,-1,1,0.6,5
177,Jigawa,Kiri Kasamma,SMC,Taura,july,186,2020,1,-1,1,0.6,5
178,Jigawa,Kiri Kasamma,SMC,Taura,july,216,2020,2,-1,1,0.6,5
179,Jigawa,Kiri Kasamma,SMC,Taura,july,246,2020,3,-1,1,0.6,5
180,Jigawa,Kiri Kasamma,SMC,Taura,july,276,2020,4,-1,1,0.6,5
181,Jigawa,Maigatari,SMC,Babura,may,131,2020,1,-1,1,0.6,5
182,Jigawa,Maigatari,SMC,Babura,may,161,2020,2,-1,1,0.6,5
183,Jigawa,Maigatari,SMC,Babura,may,191,2020,3,-1,1,0.6,5
184,Jigawa,Maigatari,SMC,Babura,may,221,2020,4,-1,1,0.6,5
185,Jigawa,Malam Madori,SMC,Taura,july,186,2020,1,-1,1,0.6,5
186,Jigawa,Malam Madori,SMC,Taura,july,216,2020,2,-1,1,0.6,5
187,Jigawa,Malam Madori,SMC,Taura,july,246,2020,3,-1,1,0.6,5
188,Jigawa,Malam Madori,SMC,Taura,july,276,2020,4,-1,1,0.6,5
189,Jigawa,Miga,SMC,Taura,july,186,2020,1,-1,1,0.6,5
190,Jigawa,Miga,SMC,Taura,july,216,2020,2,-1,1,0.6,5
191,Jigawa,Miga,SMC,Taura,july,246,2020,3,-1,1,0.6,5
192,Jigawa,Miga,SMC,Taura,july,276,2020,4,-1,1,0.6,5
193,Jigawa,Ringim,SMC,Taura,july,186,2020,1,-1,1,0.6,5
194,Jigawa,Ringim,SMC,Taura,july,216,2020,2,-1,1,0.6,5
195,Jigawa,Ringim,SMC,Taura,july,246,2020,3,-1,1,0.6,5
196,Jigawa,Ringim,SMC,Taura,july,276,2020,4,-1,1,0.6,5
197,Jigawa,Roni,SMC,Babura,may,131,2020,1,-1,1,0.6,5
198,Jigawa,Roni,SMC,Babura,may,161,2020,2,-1,1,0.6,5
199,Jigawa,Roni,SMC,Babura,may,191,2020,3,-1,1,0.6,5
200,Jigawa,Roni,SMC,Babura,may,221,2020,4,-1,1,0.6,5
201,Jigawa,Sule-Tankarkar,SMC,Babura,may,131,2020,1,-1,1,0.6,5
202,Jigawa,Sule-Tankarkar,SMC,Babura,may,161,2020,2,-1,1,0.6,5
203,Jigawa,Sule-Tankarkar,SMC,Babura,may,191,2020,3,-1,1,0.6,5
204,Jigawa,Sule-Tankarkar,SMC,Babura,may,221,2020,4,-1,1,0.6,5
205,Jigawa,Taura,SMC,Taura,july,186,2020,1,-1,1,0.6,5
206,Jigawa,Taura,SMC,Taura,july,216,2020,2,-1,1,0.6,5
207,Jigawa,Taura,SMC,Taura,july,246,2020,3,-1,1,0.6,5
208,Jigawa,Taura,SMC,Taura,july,276,2020,4,-1,1,0.6,5
209,Jigawa,Yankwashi,SMC,Babura,may,131,2020,1,-1,1,0.6,5
210,Jigawa,Yankwashi,SMC,Babura,may,161,2020,2,-1,1,0.6,5
211,Jigawa,Yankwashi,SMC,Babura,may,191,2020,3,-1,1,0.6,5
212,Jigawa,Yankwashi,SMC,Babura,may,221,2020,4,-1,1,0.6,5
213,Jigawa,Kiyawa,SMC,Takali,september,250,2020,1,-1,1,0.6,5
214,Jigawa,Kiyawa,SMC,Takali,september,280,2020,2,-1,1,0.6,5
215,Jigawa,Kiyawa,SMC,Takali,september,310,2020,3,-1,1,0.6,5
