,adm1,LGA,smc_plan1,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
1,Borno,Abadam,SMC,Babura,may,131,2020,1,-1,1,0.6,100
2,Borno,Abadam,SMC,Babura,may,161,2020,2,-1,1,0.6,100
3,Borno,Abadam,SMC,Babura,may,191,2020,3,-1,1,0.6,100
4,Borno,Abadam,SMC,Babura,may,221,2020,4,-1,1,0.6,100
5,Borno,Askira-Uba,SMC,Darazo,july,186,2020,1,-1,1,0.6,100
6,Borno,Askira-Uba,SMC,Darazo,july,216,2020,2,-1,1,0.6,100
7,Borno,Askira-Uba,SMC,Darazo,july,246,2020,3,-1,1,0.6,100
8,Borno,Askira-Uba,SMC,Darazo,july,276,2020,4,-1,1,0.6,100
9,Borno,Bama,SMC,Darazo,july,186,2020,1,-1,1,0.6,100
10,Borno,Bama,SMC,Darazo,july,216,2020,2,-1,1,0.6,100
11,Borno,Bama,SMC,Darazo,july,246,2020,3,-1,1,0.6,100
12,Borno,Bama,SMC,Darazo,july,276,2020,4,-1,1,0.6,100
13,Borno,Bayo,SMC,Alkaleri,july,186,2020,1,-1,1,0.6,100
14,Borno,Bayo,SMC,Alkaleri,july,216,2020,2,-1,1,0.6,100
15,Borno,Bayo,SMC,Alkaleri,july,246,2020,3,-1,1,0.6,100
16,Borno,Bayo,SMC,Alkaleri,july,276,2020,4,-1,1,0.6,100
17,Borno,Biu,SMC,Darazo,july,186,2020,1,-1,1,0.6,100
18,Borno,Biu,SMC,Darazo,july,216,2020,2,-1,1,0.6,100
19,Borno,Biu,SMC,Darazo,july,246,2020,3,-1,1,0.6,100
20,Borno,Biu,SMC,Darazo,july,276,2020,4,-1,1,0.6,100
21,Borno,Chibok,SMC,Darazo,july,186,2020,1,-1,1,0.6,100
22,Borno,Chibok,SMC,Darazo,july,216,2020,2,-1,1,0.6,100
23,Borno,Chibok,SMC,Darazo,july,246,2020,3,-1,1,0.6,100
24,Borno,Chibok,SMC,Darazo,july,276,2020,4,-1,1,0.6,100
25,Borno,Damboa,SMC,Darazo,july,186,2020,1,-1,1,0.6,100
26,Borno,Damboa,SMC,Darazo,july,216,2020,2,-1,1,0.6,100
27,Borno,Damboa,SMC,Darazo,july,246,2020,3,-1,1,0.6,100
28,Borno,Damboa,SMC,Darazo,july,276,2020,4,-1,1,0.6,100
29,Borno,Dikwa,SMC,Darazo,july,186,2020,1,-1,1,0.6,100
30,Borno,Dikwa,SMC,Darazo,july,216,2020,2,-1,1,0.6,100
31,Borno,Dikwa,SMC,Darazo,july,246,2020,3,-1,1,0.6,100
32,Borno,Dikwa,SMC,Darazo,july,276,2020,4,-1,1,0.6,100
33,Borno,Gubio,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,100
34,Borno,Gubio,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,100
35,Borno,Gubio,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,100
36,Borno,Gubio,SMC,Gawabawa,august,313,2020,4,-1,1,0.6,100
37,Borno,Guzamala,SMC,Babura,may,131,2020,1,-1,1,0.6,100
38,Borno,Guzamala,SMC,Babura,may,161,2020,2,-1,1,0.6,100
39,Borno,Guzamala,SMC,Babura,may,191,2020,3,-1,1,0.6,100
40,Borno,Guzamala,SMC,Babura,may,221,2020,4,-1,1,0.6,100
41,Borno,Gwoza,SMC,Darazo,july,186,2020,1,-1,1,0.6,100
42,Borno,Gwoza,SMC,Darazo,july,216,2020,2,-1,1,0.6,100
43,Borno,Gwoza,SMC,Darazo,july,246,2020,3,-1,1,0.6,100
44,Borno,Gwoza,SMC,Darazo,july,276,2020,4,-1,1,0.6,100
45,Borno,Hawul,SMC,Darazo,july,186,2020,1,-1,1,0.6,100
46,Borno,Hawul,SMC,Darazo,july,216,2020,2,-1,1,0.6,100
47,Borno,Hawul,SMC,Darazo,july,246,2020,3,-1,1,0.6,100
48,Borno,Hawul,SMC,Darazo,july,276,2020,4,-1,1,0.6,100
49,Borno,Jere,SMC,Gawabawa,august,223,2020,1,-1,1,0.6,100
50,Borno,Jere,SMC,Gawabawa,august,253,2020,2,-1,1,0.6,100
51,Borno,Jere,SMC,Gawabawa,august,283,2020,3,-1,1,0.6,100
