,State,time2,PfPr_microscopy,ci_l_micro,ci_u_micro,num_state,PfPr_RDT,ci_l_RDT,ci_u_RDT,num_state_RDT,month
1,Abia,10-Nov,0.388558811,0.21739439,0.559723232,64,0.495160889,0.341739272,0.648582505,64,11
2,Adamawa,10-Oct,0,0,0,1,0,0,0,1,10
3,Adamawa,10-Nov,0.205557871,0.091223936,0.319891806,31,0.40386839,-0.263468454,1.071205233,31,11
4,Adamawa,10-Dec,0.202482377,0.064460628,0.340504126,68,0.254319053,-0.003442638,0.512080744,68,12
5,Akwa lbom,10-Nov,0.296354692,0.15711625,0.435593134,136,0.660802098,0.529674318,0.791929878,136,11
6,Anambra,10-Oct,0.06718853,0.007663103,0.126713956,50,0.122470825,0.033955143,0.210986507,50,10
7,Anambra,10-Nov,0.309707377,0.228590658,0.390824096,21,0.20261959,0.097167856,0.308071325,21,11
8,Bauchi,10-Oct,0.4192511,0.164886766,0.673615434,135,0.408318425,0.171512867,0.645123983,136,10
9,Bauchi,10-Nov,0.478089649,0.279702468,0.676476829,63,0.480118316,0.311217358,0.649019274,65,11
10,Bayelsa,10-Oct,0.202385825,0.012348913,0.392422738,117,0.21346226,0.026868396,0.400056124,117,10
11,Bayelsa,10-Nov,0.333333333,0.333333333,0.333333333,3,0.833333333,0.833333333,0.833333333,3,11
12,Benue,10-Oct,0.521506295,0.465929058,0.577083531,175,0.427286175,0.341442348,0.513130003,175,10
13,Benue,10-Nov,0.623867574,0.513421983,0.734313166,76,0.523090543,0.424116358,0.622064728,76,11
14,Borno,10-Oct,0.170432465,0.070640009,0.270224922,64,0.740807144,0.580057948,0.90155634,64,10
15,Borno,10-Nov,0.350747935,0.193837463,0.507658407,101,0.613685001,0.278965601,0.9484044,101,11
16,Borno,10-Dec,0,0,0,11,0,0,0,11,12
17,Cross River,10-Oct,0.448405925,0.349811944,0.546999907,128,0.523182491,0.370911798,0.675453184,128,10
18,Delta,10-Oct,0,0,0,0,0,0,0,0,10
19,Delta,10-Nov,0.313518721,0.172096761,0.45494068,136,0.442793431,0.22314582,0.662441043,137,11
20,Ebonyi,10-Nov,0.253860995,-0.006415162,0.514137151,29,0.571428571,0.571428571,0.571428571,29,11
21,Ebonyi,10-Dec,0.350114561,0.245281791,0.45494733,49,0.457822868,0.384986721,0.530659016,50,12
22,Edo,10-Oct,0.54232178,0.344783673,0.739859886,100,0.482839401,0.250523588,0.715155214,100,10
23,Ekiti,10-Oct,0.369428658,0.050817511,0.688039806,77,0.36912303,0.171040141,0.56720592,77,10
24,Enugu,10-Nov,0.27684314,0.146891061,0.406795219,84,0.368788333,0.250809373,0.486767292,84,11
25,Federal Capital Territory,10-Nov,0.47937074,0.382086166,0.576655315,19,0.287622444,0.2292517,0.345993189,19,11
26,Federal Capital Territory,10-Dec,0.104308401,0.070189544,0.138427259,5,0,0,0,5,12
27,Gombe,10-Nov,0.224114131,0.161205388,0.287022875,52,0.213212852,0.10593706,0.320488643,53,11
28,Gombe,10-Dec,0.234652412,0.188952962,0.280351862,58,0.290539909,0.111462001,0.469617817,58,12
29,Imo,10-Oct,0.25137414,0.157082497,0.345665782,86,0.284878255,0.1325739,0.43718261,86,10
30,Imo,10-Nov,0.300825061,0.187169507,0.414480615,27,0.382126244,0.332493357,0.431759131,27,11
31,Jigawa,10-Oct,0.411625971,0.137108426,0.686143516,152,0.454563105,0.289763291,0.619362919,152,10
