adm1,LGA,year,llins_yn,llins_num,llin_month
Kaduna,Birnin-Gwari,2015,1,,3
Kaduna,Birnin-Gwari,2018,1,216451,
Kaduna,Birnin-Gwari,2019,1,216451,8
Sokoto,Bodinga,2013,1,,12
Sokoto,Bodinga,2017,1,145520,
Bauchi,Bogoro,2014,1,,10
Bauchi,Bogoro,2018,1,69073,
Cross River,Boki,2015,1,,9
Cross River,Boki,2018,1,150685,
Plateau,Bokkos,2015,1,,3
Osun,Boluwaduro,2017,1,48827,9
Delta,Bomadi,2018,1,74119,
Delta,Bomadi,2019,1,74119,6
Rivers,Bonny,2014,1,,10
Niger,Borgu,2010,,,
Niger,Borgu,2014,1,,12
Niger,Borgu,2019,1,,12
Osun,Boripe,2017,1,98470,9
Niger,Bosso,2014,1,,12
Niger,Bosso,2019,1,,12
Jigawa,Buji,2014,1,,10
Jigawa,Buji,2018,1,84138,8
Zamfara,Bukkuyum,2015,1,,9
Zamfara,Bungudu,2015,1,,9
Kano,Bunkure,2015,1,,3
Kano,Bunkure,2019,1,,10
Kebbi,Bunza,2015,1,,1
Kebbi,Bunza,2018,1,94318,
Yobe,Bursari,2018,1,116392,
Yobe,Bursari,2019,1,116392,6
Benue,Buruku,2016,1,141627,4
Delta,Burutu,2018,1,161612,
Delta,Burutu,2019,1,161612,6
Cross River,Calabar South,2015,1,,9
Cross River,Calabar South,2018,1,151108,
Cross River,Calabar-Municipal,2015,1,,9
Cross River,Calabar-Municipal,2018,1,144784,
Niger,Chanchaga,2010,,,
Niger,Chanchaga,2014,1,,12
Niger,Chanchaga,2019,1,,12
Katsina,Charanchi,2015,1,,1
Katsina,Charanchi,2018,1,118352,10
Kaduna,Chikun,2010,,,
Kaduna,Chikun,2015,1,,3
Kaduna,Chikun,2018,1,312337,
Kaduna,Chikun,2019,1,312337,8
Kano,Dala,2010,,,
Kano,Dala,2015,1,,3
Kano,Dala,2019,1,,10
Yobe,Damaturu,2018,1,183073,
Yobe,Damaturu,2019,1,183073,6
Bauchi,Damban,2010,,,
Bauchi,Damban,2014,1,,10
Bauchi,Damban,2018,1,124450,
Kano,Dambatta,2015,1,,3
Kano,Dambatta,2019,1,,10
Katsina,Dan Musa,2015,1,,1
Katsina,Dan Musa,2018,1,109166,10
Kebbi,Dandi,2015,1,,1
Kebbi,Dandi,2018,1,112139,
Katsina,Dandume,2015,1,,1
Katsina,Dandume,2018,1,123362,10
Sokoto,Dange-Shnsi,2010,,,
Sokoto,Dange-Shnsi,2013,1,,12
Sokoto,Dange-Shnsi,2017,1,148263,
Katsina,Danja,2015,1,,1
Katsina,Danja,2018,1,115358,10
Bauchi,Darazo,2014,1,,10
Bauchi,Darazo,2018,1,205417,
Bauchi,Dass,2014,1,,10
Bauchi,Dass,2018,1,74100,
Katsina,Daura,2015,1,,1
Katsina,Daura,2018,1,180192,10
Kano,Dawakin Kudu,2015,1,,3
Kano,Dawakin Kudu,2019,1,,10
Kano,Dawakin Tofa,2015,1,,3
Kano,Dawakin Tofa,2019,1,,10
Rivers,Degema,2014,1,,10
Kogi,Dekina,2017,1,129858,
Adamawa,Demsa,2017,1,134011,9
Kano,Doguwa,2015,1,,3
Kano,Doguwa,2019,1,,10
Nasarawa,Doma,2014,1,,10
Nasarawa,Doma,2018,1,110212,
Taraba,Donga,2018,1,110079,
Taraba,Donga,2019,1,110079,8
Gombe,Dukku,2010,,,
Gombe,Dukku,2014,1,,10
Gombe,Dukku,2018,1,163749,12
Anambra,Dunukofia,2014,1,,10
Jigawa,Dutse,2014,1,,10
Jigawa,Dutse,2018,1,251169,8
Katsina,Dutsi,2015,1,,1
Katsina,Dutsi,2018,1,102183,10
Katsina,Dutsin-Ma,2015,1,,1
Katsina,Dutsin-Ma,2018,1,154395,10
Akwa Ibom,Eastern Obolo,2014,1,,12
Akwa Ibom,Eastern Obolo,2018,1,42933,
Ebonyi,Ebonyi,2015,1,,9
Niger,Edati,2014,1,,12
Niger,Edati,2019,1,,12
Osun,Ede North,2017,1,59258,9
Osun,Ede South,2017,1,53365,9
Kwara,Edu,2017,1,146889,10
Ekiti,Efon-Alayee,2014,1,,12
Ogun,Egbado North,2010,,,
Ogun,Egbado North,2014,1,,3
Ogun,Egbado North,2018,1,168321,5
Ogun,Egbado South,2014,1,,3
Ogun,Egbado South,2018,1,129716,5
Oyo,Egbeda,2016,1,221725,11
Osun,Egbedore,2017,1,55181,9
Edo ,Egor,2017,1,260964,8
Imo,Ehime-Mbano,2017,1,84925,11
Osun,Ejigbo,2017,1,88596,9
Akwa Ibom,Eket,2014,1,,12
Akwa Ibom,Eket,2018,1,136516,
Kwara,Ekiti,2017,1,40353,10
Ekiti,Ekiti East,2014,1,,12
Ekiti,Ekiti South West,2014,1,,12
Ekiti,Ekiti West,2010,,,
Ekiti,Ekiti West,2014,1,,12
Anambra,Ekwusigo,2014,1,,10
Rivers,Eleme,2014,1,,10
Rivers,Emohua,2010,,,
Rivers,Emohua,2014,1,,10
Ekiti,Emure,2014,1,,12
Edo ,Esan Central,2017,1,67178,8
Edo ,Esan North East,2017,1,82186,8
Edo ,Esan South East,2017,1,112760,8
Edo ,Esan West,2017,1,73327,8
