adm1,LGA,year,llins_yn,llins_num,llin_month
Gombe,Kwami,2018,1,169807,12
Benue,Kwande,2016,1,174673,4
Sokoto,Kware,2013,1,,12
Sokoto,Kware,2017,1,99700,
Nasarawa,Lafia,2014,1,,10
Nasarawa,Lafia,2018,1,207998,
Oyo,Lagelu,2016,1,97486,11
Adamawa,Lamurde,2010,,,
Adamawa,Lamurde,2017,1,94499,9
Plateau,Langtang North,2015,1,,3
Plateau,Langtang South,2015,1,,3
Niger,Lapai,2014,1,,12
Niger,Lapai,2019,1,,12
Taraba,Lau,2018,1,81841,
Taraba,Lau,2019,1,81841,8
Niger,Lavun,2010,,,
Niger,Lavun,2014,1,,12
Niger,Lavun,2019,1,,12
Kaduna,Lere,2010,,,
Kaduna,Lere,2015,1,,3
Kaduna,Lere,2018,1,290743,
Kaduna,Lere,2019,1,290743,8
Benue,Logo,2016,1,118079,4
Kogi,Lokoja,2017,1,161117,
Yobe,Machina,2018,1,57274,
Yobe,Machina,2019,1,57274,6
Adamawa,Madagali,2010,,,
Adamawa,Madagali,2017,1,107857,9
Kano,Madobi,2015,1,,3
Kano,Madobi,2019,1,,10
Niger,Magama,2010,,,
Niger,Magama,2014,1,,12
Niger,Magama,2019,1,,12
Katsina,Mai'Adua,2015,1,,1
Katsina,Mai'Adua,2018,1,166819,10
Jigawa,Maigatari,2014,1,,10
Jigawa,Maigatari,2018,1,149266,8
Adamawa,Maiha,2017,1,88129,9
Kebbi,Maiyama,2015,1,,1
Kebbi,Maiyama,2018,1,136827,
Kano,Makoda,2015,1,,3
Kano,Makoda,2019,1,,10
Benue,Makurdi,2016,1,208477,4
Jigawa,Malam Madori,2010,,,
Jigawa,Malam Madori,2014,1,,10
Jigawa,Malam Madori,2018,1,124187,8
Katsina,Malumfashi,2015,1,,1
Katsina,Malumfashi,2018,1,160745,10
Plateau,Mangu,2015,1,,3
Katsina,Mani,2015,1,,1
Katsina,Mani,2018,1,145379,10
Zamfara,Maradun,2015,1,,9
Niger,Mariga,2014,1,,12
Niger,Mariga,2019,1,,12
Kaduna,Markafi,2010,,,
Kaduna,Markafi,2015,1,,3
Kaduna,Markafi,2018,1,122102,
Kaduna,Markafi,2019,1,122102,8
Zamfara,Maru,2015,1,,9
Niger,Mashegu,2014,1,,12
Niger,Mashegu,2019,1,,12
Katsina,Mashi,2015,1,,1
Katsina,Mashi,2018,1,141609,10
Katsina,Matazuu,2015,1,,1
Katsina,Matazuu,2018,1,103803,10
Adamawa,Mayo-Belwa,2017,1,119598,9
Imo,Mbaitoli,2017,1,168233,11
Akwa Ibom,Mbo,2014,1,,12
Akwa Ibom,Mbo,2018,1,82132,
Adamawa,Michika,2010,,,
Adamawa,Michika,2017,1,115899,9
Jigawa,Miga,2014,1,,10
Jigawa,Miga,2018,1,112481,8
Plateau,Mikang,2015,1,,3
Kano,Minjibir,2015,1,,3
Kano,Minjibir,2019,1,,10
Bauchi,Misau,2010,,,
Bauchi,Misau,2014,1,,10
Bauchi,Misau,2018,1,216954,
Akwa Ibom,Mkpat Enin,2014,1,,12
Akwa Ibom,Mkpat Enin,2018,1,142776,
Ekiti,Moba,2014,1,,12
Niger,Mokwa,2014,1,,12
Niger,Mokwa,2019,1,,12
Kogi,Mopa-Muro,2017,1,31348,
Kwara,Moro,2017,1,78462,10
Adamawa,Mubi North,2010,,,
Adamawa,Mubi North,2017,1,110774,9
Adamawa,Mubi South,2017,1,105154,9
Katsina,Musawa,2015,1,,1
Katsina,Musawa,2018,1,137788,10
Niger,Muya,2014,1,,12
Niger,Muya,2019,1,,12
Gombe,Nafada,2014,1,,10
Gombe,Nafada,2018,1,111391,12
Yobe,Nangere,2018,1,118010,
Yobe,Nangere,2019,1,118010,6
Kano,Nasarawa1,2015,1,,3
Kano,Nasarawa1,2019,1,,10
Nasarawa,Nasarawa2,2014,1,,10
Nasarawa,Nasarawa2,2018,1,141918,
Nasarawa,Nasarawa-Eggon,2014,1,,10
Nasarawa,Nasarawa-Eggon,2018,1,106042,
Delta,Ndokwa East,2018,1,98809,
Delta,Ndokwa East,2019,1,98809,6
Delta,Ndokwa West,2018,1,120078,
Delta,Ndokwa West,2019,1,120078,6
Kebbi,Ngaski,2015,1,,1
Kebbi,Ngaski,2018,1,96050,
Imo,Ngor-Okpala,2017,1,109565,11
Yobe,Nguru,2018,1,104936,
Yobe,Nguru,2019,1,104936,6
Bauchi,Ningi,2010,,,
Bauchi,Ningi,2014,1,,10
Bauchi,Ningi,2018,1,318900,
Imo,Njaba,2017,1,71652,11
Anambra,Njikoka,2014,1,,10
Imo,Nkwerre,2017,1,57038,11
Anambra,Nnewi North,2010,,,
Anambra,Nnewi North,2014,1,,10
Anambra,Nnewi South,2014,1,,10
Akwa Ibom,Nsit Atai,2014,1,,12
Akwa Ibom,Nsit Atai,2018,1,59127,
Akwa Ibom,Nsit Ibom,2014,1,,12
Akwa Ibom,Nsit Ibom,2018,1,84104,
Akwa Ibom,Nsit Ubium,2014,1,,12
Akwa Ibom,Nsit Ubium,2018,1,85594,
Adamawa,Numan,2017,1,72120,9
Imo,Nwangele,2017,1,78798,11
Ogun,Obafemi-Owode,2014,1,,3
Ogun,Obafemi-Owode,2018,1,176026,5
Cross River,Obanliku,2015,1,,9
Cross River,Obanliku,2018,1,92068,
Abia,Obi Nwa,2015,1,,2
Benue,Obi1,2016,1,68479,4
Nasarawa,Obi2,2014,1,,10
Nasarawa,Obi2,2018,1,108771,
Rivers,Obia/Akpor,2010,,,
Rivers,Obia/Akpor,2014,1,,10
Osun,Obokun,2017,1,75247,9
Akwa lbom,Obot Akara,2010,,,
Akwa Ibom,Obot Akara,2014,1,,12
Akwa Ibom,Obot Akara,2018,1,120576,
Imo,Obowo,2017,1,84709,11
Cross River,Obubra,2015,1,,9
Cross River,Obubra,2018,1,136320,
Cross River,Obudu,2015,1,,9
Cross River,Obudu,2018,1,128611,
Ogun,Odeda,2014,1,,3
Ogun,Odeda,2018,1,89699,5
Ondo,Odigbo,2017,1,157002,11
Ogun,Odogbolu,2014,1,,3
Ogun,Odogbolu,2018,1,94352,5
Osun,Odo-Otin,2017,1,99875,9
Cross River,Odukpani,2015,1,,9
Cross River,Odukpani,2018,1,155050,
Kwara,Offa,2017,1,65549,10
Kogi,Ofu,2017,1,118041,
Rivers,Ogba/Egbema/Ndoni,2014,1,,10
Benue,Ogbadibo,2016,1,75002,4
Anambra,Ogbaru,2014,1,,10
Oyo,Ogbomosho North,2016,1,152207,11
Oyo,Ogbomosho South,2016,1,69979,11
Oyo,Ogo Oluwa,2016,1,44395,11
Cross River,Ogoja,2015,1,,9
Cross River,Ogoja,2018,1,143932,
Kogi,Ogori/Mangongo,2017,1,24283,
Rivers,Ogu/Bolo,2010,,,
Rivers,Ogu/Bolo,2014,1,,10
Ogun,Ogun waterside,2014,1,,3
Ogun,Ogun waterside,2018,1,59380,5
Imo,Oguta,2017,1,93217,11
Abia,Ohafia,2015,1,,2
Imo,Ohaji/Egbema,2017,1,150457,11
Ebonyi,Ohaozara,2015,1,,9
Ebonyi,Ohaukwu,2015,1,,9
Benue,Ohimini,2016,1,47233,4
Benue,Oju,2016,1,131246,4
Kwara,Oke-Ero,2017,1,42639,10
Kogi,Okehi,2017,1,132079,
Kogi,Okene,2017,1,210500,
Imo,Okigwe,2017,1,80213,11
Ondo,Okitipupa,2017,1,162691,11
Akwa Ibom,Okobo,2014,1,,12
Akwa Ibom,Okobo,2018,1,81353,
Delta,Okpe,2018,1,100247,
Delta,Okpe,2019,1,100247,6
Benue,Okpokwu,2016,1,125405,4
Rivers,Okrika,2014,1,,10
Kogi,Olamabolo,2017,1,99592,
Osun,Ola-oluwa,2017,1,57148,9
Osun,Olorunda,2017,1,97823,9
Oyo,Olorunsogo,2016,1,60063,11
Oyo,Oluyole,2016,1,156552,11
Kogi,Omala,2017,1,70500,
Rivers,Omumma,2014,1,,10
Oyo,Ona-Ara,2016,1,195319,11
Ondo,Ondo East,2017,1,54660,11
Ondo,Ondo West,2017,1,201470,11
Ebonyi,Onicha,2015,1,,9
Anambra,Onitsha North,2014,1,,10
Anambra,Onitsha South,2010,,,
Anambra,Onitsha South,2014,1,,10
Akwa Ibom,Onna,2014,1,,12
Akwa Ibom,Onna,2018,1,102362,
Rivers,Opobo/Nkoro,2014,1,,10
Edo ,Oredo,2017,1,220695,8
Oyo,Orelope,2016,1,76004,11
Edo ,Orhionmwon,2017,1,91902,8
Oyo,Ori Ire,2016,1,90666,11
Osun,Oriade,2017,1,111817,9
Imo,Orlu,2017,1,104241,11
Osun,Orolu,2017,1,73556,9
Akwa Ibom,Oron,2014,1,,12
Akwa Ibom,Oron,2018,1,63863,
Imo,Orsu,2017,1,84154,11
Imo,Oru East,2017,1,80698,11
Imo,Oru West,2017,1,81832,11
Akwa lbom,Oruk Anam,2010,,,
Akwa Ibom,Oruk Anam,2014,1,,12
Akwa Ibom,Oruk Anam,2018,1,138393,
Anambra,Orumba North,2014,1,,10
Anambra,Orumba South,2014,1,,10
Ondo,Ose,2017,1,102190,11
Delta,Oshimili North,2018,1,84101,
Delta,Oshimili North,2019,1,84101,6
Delta,Oshimili South,2018,1,176598,
Delta,Oshimili South,2019,1,176598,6
Abia,Osisioma Ngwa,2015,1,,2
Osun,Osogbo,2017,1,108145,9
Benue,Oturkpo,2016,1,175520,4
Edo ,Ovia North East,2017,1,87829,8
Edo ,Ovia South West,2017,1,90346,8
Edo ,Owan East,2017,1,115258,8
Edo ,Owan West,2017,1,69516,8
Imo,Owerri North,2017,1,138490,11
Imo,Owerri West,2017,1,75938,11
Imo,Owerri-Municipal,2017,1,113320,11
Ondo,Owo,2017,1,147227,11
Ekiti,Oye,2014,1,,12
Anambra,Oyi,2010,,,
Anambra,Oyi,2014,1,,10
Rivers,Oyigbo,2014,1,,10
Oyo,Oyo East,2016,1,95841,11
Oyo,Oyo West,2016,1,101934,11
Kwara,Oyun,2017,1,55363,10
Niger,Pailoro,2010,,,
Niger,Pailoro,2014,1,,12
Niger,Pailoro,2019,1,,12
Plateau,Pankshin,2015,1,,3
Delta,Patani,2018,1,58281,
Delta,Patani,2019,1,58281,6
Kwara,Pategi,2017,1,87574,10
Rivers,Port-Harcourt,2010,,,
Rivers,Port-Harcourt,2014,1,,10
Yobe,Potiskum,2018,1,276852,
Yobe,Potiskum,2019,1,276852,6
Plateau,Qua'an Pan,2015,1,,3
Sokoto,Rabah,2013,1,,12
Sokoto,Rabah,2017,1,122209,
Niger,Rafi,2014,1,,12
Niger,Rafi,2019,1,,12
Kano,Rano,2015,1,,3
Kano,Rano,2019,1,,10
Ogun,Remo North,2010,,,
Ogun,Remo North,2014,1,,3
Ogun,Remo North,2018,1,45343,5
Niger,Rijau,2014,1,,12
Niger,Rijau,2019,1,,12
Katsina,Rimi,2015,1,,1
Katsina,Rimi,2018,1,133564,10
Kano,Rimin Gado,2015,1,,3
Kano,Rimin Gado,2019,1,,10
Jigawa,Ringim,2014,1,,10
Jigawa,Ringim,2018,1,152720,8
Plateau,Riyom,2015,1,,3
Kano,Rogo,2015,1,,3
Kano,Rogo,2019,1,,10
Jigawa,Roni,2014,1,,10
Jigawa,Roni,2018,1,68260,8
Sokoto,Sabon Birni,2013,1,,12
Sokoto,Sabon Birni,2017,1,153237,
Kaduna,Sabon-Gari,2015,1,,3
Kaduna,Sabon-Gari,2018,1,244548,
Kaduna,Sabon-Gari,2019,1,244548,8
Katsina,Sabuwa,2015,1,,1
Katsina,Sabuwa,2018,1,112508,10
Katsina,Safana,2015,1,,1
Katsina,Safana,2018,1,158519,10
Kebbi,Sakaba,2015,1,,1
Kebbi,Sakaba,2018,1,69650,
Oyo,Saki East,2016,1,80171,11
Oyo,Saki West,2016,1,214625,11
Katsina,Sandamu,2015,1,,1
Katsina,Sandamu,2018,1,109939,10
Kaduna,Sanga,2015,1,,3
Kaduna,Sanga,2018,1,122853,
Kaduna,Sanga,2019,1,122853,8
Delta,Sapele,2018,1,140607,
Delta,Sapele,2019,1,140607,6
Taraba,Sardauna,2018,1,176930,
Taraba,Sardauna,2019,1,176930,8
Ogun,Shagamu,2014,1,,3
Ogun,Shagamu,2018,1,187703,5
Sokoto,Shagari,2010,,,
Sokoto,Shagari,2013,1,,12
Sokoto,Shagari,2017,1,115212,
Kebbi,Shanga,2015,1,,1
Kebbi,Shanga,2018,1,107132,
Kano,Shanono,2015,1,,3
Kano,Shanono,2019,1,,10
Adamawa,Shelleng,2017,1,115506,9
Plateau,Shendam,2015,1,,3
Zamfara,Shinkafi,2015,1,,9
Bauchi,Shira,2010,,,
Bauchi,Shira,2014,1,,10
Bauchi,Shira,2018,1,192806,
Niger,Shiroro,2010,,,
Niger,Shiroro,2014,1,,12
Niger,Shiroro,2019,1,,12
Gombe,Shomgom,2010,,,
Gombe,Shomgom,2014,1,,10
Gombe,Shomgom,2018,1,121289,12
Sokoto,Silame,2013,1,,12
Sokoto,Silame,2017,1,79409,
Kaduna,Soba,2010,,,
Kaduna,Soba,2015,1,,3
Kaduna,Soba,2018,1,250365,
Kaduna,Soba,2019,1,250365,8
Sokoto,Sokoto North,2013,1,,12
Sokoto,Sokoto North,2017,1,192856,
Sokoto,Sokoto South,2010,,,
Sokoto,Sokoto South,2013,1,,12
Sokoto,Sokoto South,2017,1,143126,
Adamawa,Song,2010,,,
Adamawa,Song,2017,1,149721,9
Niger,Suleja,2014,1,,12
Niger,Suleja,2019,1,,12
Jigawa,Sule-Tankarkar,2014,1,,10
Jigawa,Sule-Tankarkar,2018,1,109871,8
Kano,Sumaila,2015,1,,3
Kano,Sumaila,2019,1,,10
Kebbi,Suru,2015,1,,1
Kebbi,Suru,2018,1,121978,
Oyo,Surulere2,2016,1,106963,11
Niger,Tafa,2014,1,,12
Niger,Tafa,2019,1,,12
Bauchi,Tafawa-Balewa,2014,1,,10
Bauchi,Tafawa-Balewa,2018,1,184789,
Rivers,Tai,2014,1,,10
Kano,Takali,2015,1,,3
Kano,Takali,2019,1,,10
Taraba,Takum,2018,1,107041,
Taraba,Takum,2019,1,107041,8
Zamfara,Talata Mafara,2015,1,,9
Sokoto,Tambuwal,2013,1,,12
Sokoto,Tambuwal,2017,1,167992,
Sokoto,Tangaza,2013,1,,12
Sokoto,Tangaza,2017,1,87019,
Kano,Tarauni,2015,1,,3
Kano,Tarauni,2019,1,,10
Benue,Tarka,2016,1,54074,4
Yobe,Tarmua,2018,1,61698,
Yobe,Tarmua,2019,1,61698,6
Jigawa,Taura,2014,1,,10
Jigawa,Taura,2018,1,110908,8
Kano,Tofa,2010,,,
Kano,Tofa,2015,1,,3
Kano,Tofa,2019,1,,10
Bauchi,Toro,2014,1,,10
Bauchi,Toro,2018,1,289150,
Nasarawa,Toto,2014,1,,10
Nasarawa,Toto,2018,1,86129,
Adamawa,Toungo,2017,1,47558,9
Zamfara,Tsafe,2015,1,,9
Kano,Tsanyawa,2015,1,,3
Kano,Tsanyawa,2019,1,,10
Kano,Tudun Wada,2015,1,,3
Kano,Tudun Wada,2019,1,,10
Sokoto,Tureta,2013,1,,12
Sokoto,Tureta,2017,1,51198,
Delta,Udu,2018,1,126150,
Delta,Udu,2019,1,126150,6
Akwa Ibom,Udung Uko,2014,1,,12
Akwa Ibom,Udung Uko,2018,1,40217,
Delta,Ughelli North,2018,1,239409,
Delta,Ughelli North,2019,1,239409,6
Delta,Ughelli South,2018,1,154275,
Delta,Ughelli South,2019,1,154275,6
Abia,Ugwunagbo,2015,1,,2
Edo ,Uhunmwonde,2017,1,104799,8
Akwa Ibom,Ukanafun,2014,1,,12
Akwa Ibom,Ukanafun,2018,1,102384,
Benue,Ukum,2016,1,147595,4
Abia,Ukwa East,2015,1,,2
Abia,Ukwa West,2015,1,,2
Delta,Ukwuani,2018,1,90240,
Delta,Ukwuani,2019,1,90240,6
Abia,Umuahia North,2015,1,,2
Abia,Umuahia South,2015,1,,2
Abia,Umu-Neochi,2015,1,,2
Kano,Ungogo,2010,,,
Kano,Ungogo,2015,1,,3
Kano,Ungogo,2019,1,,10
Imo,Unuimo,2017,1,74764,11
Akwa Ibom,Uruan,2014,1,,12
Akwa Ibom,Uruan,2018,1,93131,
Akwa Ibom,Urue-Offong/Oruko,2014,1,,12
Akwa Ibom,Urue-Offong/Oruko,2018,1,59475,
Benue,Ushongo,2016,1,129887,4
Taraba,Ussa,2018,1,73483,
Taraba,Ussa,2019,1,73483,8
Delta,Uvwie,2018,1,172201,
Delta,Uvwie,2019,1,172201,6
Akwa lbom,Uyo,2010,,,
Akwa Ibom,Uyo,2014,1,,12
Akwa Ibom,Uyo,2018,1,228420,
Benue,Vandeikya,2016,1,161758,4
Sokoto,Wamako,2013,1,,12
Sokoto,Wamako,2017,1,132275,
Nasarawa,Wamba,2014,1,,10
Nasarawa,Wamba,2018,1,64918,
Kano,Warawa,2010,,,
Kano,Warawa,2015,1,,3
Kano,Warawa,2019,1,,10
Bauchi,Warji,2014,1,,10
Bauchi,Warji,2018,1,94500,
Delta,Warri North,2018,1,96516,
Delta,Warri North,2019,1,96516,6
Delta,Warri South,2018,1,239870,
Delta,Warri South,2019,1,239870,6
Delta,Warri South West,2018,1,90559,
Delta,Warri South West,2019,1,90559,6
Kebbi,Wasagu/Danko,2015,1,,1
Kebbi,Wasagu/Danko,2018,1,206150,
Plateau,Wase,2015,1,,3
Kano,Wudil,2010,,,
Kano,Wudil,2015,1,,3
Kano,Wudil,2019,1,,10
Taraba,Wukari,2018,1,180101,
Taraba,Wukari,2019,1,180101,8
Sokoto,Wurno,2013,1,,12
Sokoto,Wurno,2017,1,120648,
Niger,Wushishi,2014,1,,12
Niger,Wushishi,2019,1,,12
Sokoto,Yabo,2010,,,
Sokoto,Yabo,2013,1,,12
Sokoto,Yabo,2017,1,84708,
Kogi,Yagba East,2017,1,78756,
Kogi,Yagba West,2017,1,88998,
Cross River,Yakurr,2015,1,,9
Cross River,Yakurr,2018,1,178095,
Cross River,Yala,2015,1,,9
Cross River,Yala,2018,1,169830,
Gombe,Yamaltu/Deba,2014,1,,10
Gombe,Yamaltu/Deba,2018,1,236118,12
Jigawa,Yankwashi,2014,1,,10
Jigawa,Yankwashi,2018,1,78502,8
Kebbi,Yauri,2015,1,,1
Kebbi,Yauri,2018,1,77550,
Adamawa,Yola North,2017,1,162121,9
Adamawa,Yola South,2010,,,
Adamawa,Yola South,2017,1,172506,9
Taraba,Yorro,2018,1,73887,
Taraba,Yorro,2019,1,73887,8
Yobe,Yunusari,2018,1,96840,
Yobe,Yunusari,2019,1,96840,6
Yobe,Yusufari,2018,1,90651,
Yobe,Yusufari,2019,1,90651,6
Bauchi,Zaki,2014,1,,10
Bauchi,Zaki,2018,1,157278,
Katsina,Zango,2015,1,,1
Katsina,Zango,2018,1,124109,10
Kaduna,Zango-Kataf,2015,1,,3
Kaduna,Zango-Kataf,2018,1,251359,
Kaduna,Zango-Kataf,2019,1,251359,8
Kaduna,Zaria,2010,,,
Kaduna,Zaria,2015,1,,3
Kaduna,Zaria,2018,1,354322,
Kaduna,Zaria,2019,1,354322,8
Taraba,Zing,2018,1,105850,
Taraba,Zing,2019,1,105850,8
Zamfara,Zurmi,2015,1,,9
Kebbi,Zuru,2015,1,,1
Kebbi,Zuru,2018,1,127951,
