"","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19"
"68","Njikoka","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA
"69","Nnewi North","Oru West",1,NA,1,NA,NA,NA,NA,NA
"70","Nnewi South","Oru West",NA,NA,1,NA,NA,NA,NA,NA
"71","Ogbaru","Ahoada West",NA,NA,1,NA,NA,NA,NA,NA
"72","Onitsha North","Uzo-Uwani",NA,NA,1,NA,NA,NA,NA,NA
"73","Onitsha South","Uzo-Uwani",1,NA,1,NA,NA,NA,NA,NA
"74","Orumba North","Oru West",NA,NA,1,NA,NA,NA,NA,NA
"75","Orumba South","Oru West",NA,NA,1,NA,NA,NA,NA,NA
"76","Oyi","Uzo-Uwani",1,NA,1,NA,NA,NA,NA,NA
"77","Alkaleri","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"78","Bauchi","Alkaleri",1,NA,1,NA,NA,NA,1,NA
"79","Bogoro","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"80","Damban","Darazo",1,NA,1,NA,NA,NA,1,NA
"81","Darazo","Darazo",NA,NA,1,NA,NA,NA,1,NA
"82","Dass","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"83","Gamawa","Gwarzo",1,NA,1,NA,NA,NA,1,NA
"84","Jama'are","Taura",NA,NA,1,NA,NA,NA,1,NA
"85","Ganjuwa","Darazo",NA,NA,1,NA,NA,NA,1,NA
"86","Giade","Darazo",1,NA,1,NA,NA,NA,1,NA
"87","Itas/Gadau","Taura",NA,NA,1,NA,NA,NA,1,NA
"88","Katagum","Gwarzo",1,NA,1,NA,NA,NA,1,NA
"89","Kirfi","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"90","Misau","Darazo",1,NA,1,NA,NA,NA,1,NA
"91","Ningi","Takali",1,NA,1,NA,NA,NA,1,NA
"92","Ukum","Keana",NA,NA,NA,NA,1,NA,NA,NA
"93","Shira","Takali",1,NA,1,NA,NA,NA,1,NA
"94","Tafawa-Balewa","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"95","Toro","Giwa",NA,NA,1,NA,NA,NA,1,NA
"96","Warji","Takali",NA,NA,1,NA,NA,NA,1,NA
"97","Zaki","Taura",NA,NA,1,NA,NA,NA,1,NA
"98","Kolokuma/Opokuma","Ahoada West",NA,NA,NA,NA,NA,NA,NA,NA
"99","Nembe","Ahoada West",NA,NA,NA,NA,NA,NA,NA,NA
"100","Ogbia","Ahoada West",NA,NA,NA,NA,NA,NA,NA,NA
"101","Sagbama","Ahoada West",NA,NA,NA,NA,NA,NA,NA,NA
"102","Yenegoa","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
"103","Ado","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"104","Agatu","Keana",NA,NA,NA,NA,1,NA,NA,NA
"105","Apa","Keana",NA,NA,NA,NA,1,NA,NA,NA
"106","Buruku","Keana",NA,NA,NA,NA,1,NA,NA,NA
"107","Gboko","Keana",NA,NA,NA,NA,1,NA,NA,NA
"108","Guma","Keana",NA,NA,NA,NA,1,NA,NA,NA
"109","Gwer East","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"110","Gwer West","Keana",NA,NA,NA,NA,1,NA,NA,NA
"111","Katsina-Ala","Keana",NA,NA,NA,NA,1,NA,NA,NA
"112","Konshisha","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"113","Logo","Keana",NA,NA,NA,NA,1,NA,NA,NA
"114","Makurdi","Keana",NA,NA,NA,NA,1,NA,NA,NA
"115","Obi1","Keana",NA,NA,NA,NA,1,NA,NA,NA
