"","LGA","repDS","year_10","year_13","year_14","year_15","year_16","year_17","year_18","year_19"
"356","Gaya","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"357","Gezawa","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"358","Gwale","Alkaleri",NA,NA,NA,1,NA,NA,NA,1
"359","Gwarzo","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"360","Kabo","Gwarzo",1,NA,NA,1,NA,NA,NA,1
"361","Kano Municipal","Alkaleri",NA,NA,NA,1,NA,NA,NA,1
"362","Karaye","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"363","Kibiya","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"364","Kiru","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"365","Kumbotso","Taura",NA,NA,NA,1,NA,NA,NA,1
"366","Yagba West","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"367","Kunchi","Babura",NA,NA,NA,1,NA,NA,NA,1
"368","Kura","Gwarzo",1,NA,NA,1,NA,NA,NA,1
"369","Madobi","Taura",NA,NA,NA,1,NA,NA,NA,1
"370","Makoda","Babura",NA,NA,NA,1,NA,NA,NA,1
"371","Ekiti","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"372","Minjibir","Taura",NA,NA,NA,1,NA,NA,NA,1
"373","Nasarawa1","Alkaleri",NA,NA,NA,1,NA,NA,NA,1
"374","Rano","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"375","Rimin Gado","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"376","Bindawa","Rimi",NA,NA,NA,1,NA,NA,1,NA
"377","Rogo","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"378","Shanono","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"379","Sumaila","Takali",NA,NA,NA,1,NA,NA,NA,1
"380","Takali","Takali",NA,NA,NA,1,NA,NA,NA,1
"381","Tarauni","Alkaleri",NA,NA,NA,1,NA,NA,NA,1
"382","Tudun Wada","Gwarzo",NA,NA,NA,1,NA,NA,NA,1
"383","Ungogo","Taura",1,NA,NA,1,NA,NA,NA,1
"384","Warawa","Gwarzo",1,NA,NA,1,NA,NA,NA,1
"385","Wudil","Gwarzo",1,NA,NA,1,NA,NA,NA,1
"386","Daura","Babura",NA,NA,NA,1,NA,NA,1,NA
"387","Bakori","Gwarzo",NA,NA,NA,1,NA,NA,1,NA
"388","Batagarawa","Rimi",NA,NA,NA,1,NA,NA,1,NA
"389","Batsari","Rimi",NA,NA,NA,1,NA,NA,1,NA
"390","Charanchi","Rimi",NA,NA,NA,1,NA,NA,1,NA
"391","Dan Musa","Rimi",NA,NA,NA,1,NA,NA,1,NA
"392","Dandume","Giwa",NA,NA,NA,1,NA,NA,1,NA
"393","Danja","Giwa",NA,NA,NA,1,NA,NA,1,NA
"394","Dutsin-Ma","Rimi",NA,NA,NA,1,NA,NA,1,NA
"395","Faskari","Giwa",NA,NA,NA,1,NA,NA,1,NA
"396","Funtua","Gwarzo",NA,NA,NA,1,NA,NA,1,NA
"397","Asa","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"398","Ingawa","Rimi",NA,NA,NA,1,NA,NA,1,NA
"399","Kafur","Gwarzo",NA,NA,NA,1,NA,NA,1,NA
"400","Kankara","Rimi",NA,NA,NA,1,NA,NA,1,NA
"401","Kankia","Rimi",NA,NA,NA,1,NA,NA,1,NA
"402","Katsina","Rimi",NA,NA,NA,1,NA,NA,1,NA
"403","Kurfi","Rimi",NA,NA,NA,1,NA,NA,1,NA
"404","Kusada","Rimi",NA,NA,NA,1,NA,NA,1,NA
"405","Malumfashi","Gwarzo",NA,NA,NA,1,NA,NA,1,NA
"406","Mani","Rimi",NA,NA,NA,1,NA,NA,1,NA
"407","Matazuu","Rimi",NA,NA,NA,1,NA,NA,1,NA
"408","Birnin Kebbi","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"409","Musawa","Gwarzo",NA,NA,NA,1,NA,NA,1,NA
"410","Rimi","Rimi",NA,NA,NA,1,NA,NA,1,NA
"411","Sabuwa","Giwa",NA,NA,NA,1,NA,NA,1,NA
"412","Safana","Babura",NA,NA,NA,1,NA,NA,1,NA
"413","Sandamu","Rimi",NA,NA,NA,1,NA,NA,1,NA
"414","Aleiro","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"415","Argungu","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"416","Augie","Birnin Kebbi",1,NA,NA,1,NA,NA,1,NA
"417","Bunza","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"418","Fakai","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"419","Gwandu","Birnin Kebbi",1,NA,NA,1,NA,NA,1,NA
"420","Jega","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"421","Kalgo","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"422","Iseyin","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"423","Maiyama","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"424","Ngaski","Owan East",NA,NA,NA,1,NA,NA,1,NA
"425","Sakaba","Alkaleri",NA,NA,NA,1,NA,NA,1,NA
"426","Shanga","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"427","Suru","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"428","Wasagu/Danko","Alkaleri",NA,NA,NA,1,NA,NA,1,NA
"429","Yauri","Birnin Kebbi",NA,NA,NA,1,NA,NA,1,NA
"430","Zuru","Alkaleri",NA,NA,NA,1,NA,NA,1,NA
"431","Adavi","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"432","Ajaokuta","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"433","Ankpa","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"434","Bassa1","Keana",NA,NA,NA,NA,NA,1,NA,NA
"435","Dekina","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"436","Edu","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"437","Ibaji","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"438","Idah","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"439","Igalamela-Odolu","Uzo-Uwani",NA,NA,NA,NA,NA,1,NA,NA
"440","Ijumu","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"441","Kabba/Bunu","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"442","Kogi","Keana",NA,NA,NA,NA,NA,1,NA,NA
"443","Lokoja","Keana",NA,NA,NA,NA,NA,1,NA,NA
"444","Mopa-Muro","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"445","Ofu","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"446","Okehi","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"447","Okene","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"448","Olamabolo","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"449","Omala","Keana",NA,NA,NA,NA,NA,1,NA,NA
"450","Yagba East","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"451","Ifelodun1","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"452","Ilorin East","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"453","Ilorin South","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"454","Ilorin West","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"455","Irepodun1","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"456","Itesiwaju","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"457","Isin","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"458","Kaiama","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"459","Moro","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"460","Offa","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"461","Oke-Ero","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"462","Kajola","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"463","Oyun","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"464","Pategi","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"465","Agege","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"466","Ajeromi-Ifelodun","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"467","Alimosho","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"468","Apapa","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
"469","Epe","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"470","Ifako-Ijaye","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"471","Ikeja","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"472","Mushin","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
"473","Kokona","Oke-Ero",NA,NA,1,NA,NA,NA,1,NA
"474","Ojo","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
"475","Oshodi-Isolo","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"476","Surulere1","Oke-Ero",NA,NA,NA,NA,NA,NA,NA,NA
"477","Akwanga","Oke-Ero",NA,NA,1,NA,NA,NA,1,NA
"478","Obi2","Keana",NA,NA,1,NA,NA,NA,1,NA
"479","Awe","Keana",NA,NA,1,NA,NA,NA,1,NA
"480","Doma","Keana",NA,NA,1,NA,NA,NA,1,NA
"481","Karu","Oke-Ero",NA,NA,1,NA,NA,NA,1,NA
"482","Keana","Keana",NA,NA,1,NA,NA,NA,1,NA
"483","Keffi","Oke-Ero",NA,NA,1,NA,NA,NA,1,NA
"484","Lafia","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"485","Nasarawa2","Keana",NA,NA,1,NA,NA,NA,1,NA
"486","Nasarawa-Eggon","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"487","Chanchaga","Keana",1,NA,1,NA,NA,NA,NA,1
"488","Toto","Keana",NA,NA,1,NA,NA,NA,1,NA
"489","Wamba","Alkaleri",NA,NA,1,NA,NA,NA,1,NA
"490","Agaie","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"491","Agwara","Birnin Kebbi",NA,NA,1,NA,NA,NA,NA,1
"492","Bida","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"493","Bosso","Keana",NA,NA,1,NA,NA,NA,NA,1
"494","Edati","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"495","Gbako","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"496","Gurara","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"497","Katcha","Oke-Ero",1,NA,1,NA,NA,NA,NA,1
"498","Kontagora","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"499","Lapai","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"500","Lavun","Oke-Ero",1,NA,1,NA,NA,NA,NA,1
"501","Magama","Oke-Ero",1,NA,1,NA,NA,NA,NA,1
"502","Mariga","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"503","Mashegu","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"504","Pailoro","Oke-Ero",1,NA,1,NA,NA,NA,NA,1
"505","Lagelu","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"506","Mokwa","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"507","Muya","Giwa",NA,NA,1,NA,NA,NA,NA,1
"508","Abeokuta South","Uzo-Uwani",NA,NA,1,NA,NA,NA,1,NA
"509","Ijebu North","Owan East",1,NA,1,NA,NA,NA,1,NA
"510","Rafi","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"511","Rijau","Alkaleri",NA,NA,1,NA,NA,NA,NA,1
"512","Ado-Odo/Ota","Uzo-Uwani",1,NA,1,NA,NA,NA,1,NA
"513","Ijebu North East","Oke-Ero",NA,NA,1,NA,NA,NA,1,NA
"514","Shiroro","Oke-Ero",1,NA,1,NA,NA,NA,NA,1
"515","Suleja","Giwa",NA,NA,1,NA,NA,NA,NA,1
"516","Tafa","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"517","Wushishi","Oke-Ero",NA,NA,1,NA,NA,NA,NA,1
"518","Abeokuta North","Owan East",NA,NA,1,NA,NA,NA,1,NA
"519","Egbado South","Uzo-Uwani",NA,NA,1,NA,NA,NA,1,NA
"520","Ewekoro","Uzo-Uwani",NA,NA,1,NA,NA,NA,1,NA
"521","Ifo","Uzo-Uwani",NA,NA,1,NA,NA,NA,1,NA
"522","Ijebu East","Oke-Ero",NA,NA,1,NA,NA,NA,1,NA
"523","Ijebu ode","Owan East",NA,NA,1,NA,NA,NA,1,NA
"524","Ikenne","Owan East",NA,NA,1,NA,NA,NA,1,NA
"525","Obafemi-Owode","Owan East",NA,NA,1,NA,NA,NA,1,NA
"526","Odeda","Oke-Ero",NA,NA,1,NA,NA,NA,1,NA
"527","Odogbolu","Owan East",NA,NA,1,NA,NA,NA,1,NA
"528","Ogun waterside","Owan East",NA,NA,1,NA,NA,NA,1,NA
"529","Remo North","Owan East",1,NA,1,NA,NA,NA,1,NA
"530","Shagamu","Uzo-Uwani",NA,NA,1,NA,NA,NA,1,NA
"531","Akoko North East","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"532","Akoko North West","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"533","Akoko South East","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"534","Akoko South West","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"535","Akure North","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"536","Ifedayo","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"537","Akure South","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"538","Ese-Odo","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"539","Idanre","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"540","Ifedore","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"541","Ile-Oluji-Okeigbo","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"542","Irele","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"543","Odigbo","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"544","Ifelodun2","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"545","Okitipupa","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"546","Ondo East","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"547","Ondo West","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"548","Ose","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"549","Owo","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"550","Aiyedade","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"551","Aiyedire","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"552","Atakumosa East","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"553","Orolu","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"554","Atakumosa West","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"555","Boluwaduro","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"556","Boripe","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"557","Ede North","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"558","Ede South","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"559","Egbedore","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"560","Ejigbo","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"561","Ife Central","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"562","Ife East","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"563","Ife North","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"564","Ife South","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"565","Ila","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"566","Ilesha East","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"567","Ilesha West","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"568","Irepodun2","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"569","Irewole","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"570","Isokan","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"571","Iwo","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"572","Osogbo","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"573","Obokun","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"574","Odo-Otin","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"575","Ola-oluwa","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"576","Olorunda","Akinyele",NA,NA,NA,NA,NA,1,NA,NA
"577","Oriade","Oke-Ero",NA,NA,NA,NA,NA,1,NA,NA
"578","Ibadan South East","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"579","Afijio","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"580","Akinyele","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"581","Atiba","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"582","Egbeda","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"583","Ibadan North","Owan East",NA,NA,NA,NA,1,NA,NA,NA
"584","Ibadan North East","Owan East",NA,NA,NA,NA,1,NA,NA,NA
"585","Ibadan North West","Owan East",NA,NA,NA,NA,1,NA,NA,NA
"586","Ibarapa Central","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"587","Ibarapa East","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"588","Ibarapa North","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"589","Ido","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"590","Irepo","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"591","Ogo Oluwa","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"592","Olorunsogo","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"593","Oluyole","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"594","Ona-Ara","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"595","Orelope","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"596","Ori Ire","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"597","Oyo West","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"598","Saki East","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"599","Saki West","Akinyele",NA,NA,NA,NA,1,NA,NA,NA
"600","Surulere2","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"601","Barikin Ladi","Soba",NA,NA,NA,1,NA,NA,NA,NA
"602","Bassa2","Soba",NA,NA,NA,1,NA,NA,NA,NA
"603","Bokkos","Giwa",NA,NA,NA,1,NA,NA,NA,NA
"604","Jos East","Soba",NA,NA,NA,1,NA,NA,NA,NA
"605","Jos North","Soba",NA,NA,NA,1,NA,NA,NA,NA
"606","Jos South","Soba",NA,NA,NA,1,NA,NA,NA,NA
"607","Kanam","Alkaleri",NA,NA,NA,1,NA,NA,NA,NA
"608","Kanke","Alkaleri",NA,NA,NA,1,NA,NA,NA,NA
"609","Langtang North","Alkaleri",NA,NA,NA,1,NA,NA,NA,NA
"610","Langtang South","Keana",NA,NA,NA,1,NA,NA,NA,NA
"611","Mangu","Darazo",NA,NA,NA,1,NA,NA,NA,NA
"612","Mikang","Alkaleri",NA,NA,NA,1,NA,NA,NA,NA
"613","Abua/Odual","Ahoada West",NA,NA,1,NA,NA,NA,NA,NA
"614","Pankshin","Alkaleri",NA,NA,NA,1,NA,NA,NA,NA
"615","Qua'an Pan","Keana",NA,NA,NA,1,NA,NA,NA,NA
"616","Riyom","Soba",NA,NA,NA,1,NA,NA,NA,NA
"617","Shendam","Keana",NA,NA,NA,1,NA,NA,NA,NA
"618","Wase","Alkaleri",NA,NA,NA,1,NA,NA,NA,NA
"619","Ahoada East","Ahoada West",NA,NA,1,NA,NA,NA,NA,NA
"620","Ahoada West","Ahoada West",1,NA,1,NA,NA,NA,NA,NA
"621","Andoni","Nsit Ubium",1,NA,1,NA,NA,NA,NA,NA
"622","Asari-Toru","Ahoada West",1,NA,1,NA,NA,NA,NA,NA
"623","Bonny","Nsit Ubium",NA,NA,1,NA,NA,NA,NA,NA
"624","Eleme","Ahoada West",NA,NA,1,NA,NA,NA,NA,NA
"625","Emohua","Ahoada West",1,NA,1,NA,NA,NA,NA,NA
"626","Etche","Ngor-Okpala",NA,NA,1,NA,NA,NA,NA,NA
"627","Gokana","Nsit Ubium",1,NA,1,NA,NA,NA,NA,NA
"628","Ikwerre","Oru West",1,NA,1,NA,NA,NA,NA,NA
"629","Khana","Nsit Ubium",NA,NA,1,NA,NA,NA,NA,NA
"630","Obia/Akpor","Ahoada West",1,NA,1,NA,NA,NA,NA,NA
"631","Ogba/Egbema/Ndoni","Ahoada West",NA,NA,1,NA,NA,NA,NA,NA
"632","Ogu/Bolo","Nsit Ubium",1,NA,1,NA,NA,NA,NA,NA
"633","Okrika","Nsit Ubium",NA,NA,1,NA,NA,NA,NA,NA
"634","Omumma","Ngor-Okpala",NA,NA,1,NA,NA,NA,NA,NA
"635","Opobo/Nkoro","Nsit Ubium",NA,NA,1,NA,NA,NA,NA,NA
"636","Oyigbo","Nsit Ubium",NA,NA,1,NA,NA,NA,NA,NA
"637","Port-Harcourt","Ahoada West",1,NA,1,NA,NA,NA,NA,NA
"638","Tai","Nsit Ubium",NA,NA,1,NA,NA,NA,NA,NA
"639","Binji","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"640","Bodinga","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"641","Dange-Shnsi","Gawabawa",1,1,NA,NA,NA,1,NA,NA
"642","Akuku Toru","Ahoada West",NA,NA,1,NA,NA,NA,NA,NA
"643","Goronyo","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"644","Gawabawa","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"645","Illela","Gawabawa",1,1,NA,NA,NA,1,NA,NA
"646","Isa","Rimi",NA,1,NA,NA,NA,1,NA,NA
"647","Kebbe","Birnin Kebbi",NA,1,NA,NA,NA,1,NA,NA
"648","Kware","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"649","Rabah","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"650","Shagari","Birnin Kebbi",1,1,NA,NA,NA,1,NA,NA
"651","Mubi South","Darazo",NA,NA,NA,NA,NA,1,NA,NA
"652","Silame","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"653","Sokoto North","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"654","Sokoto South","Birnin Kebbi",1,1,NA,NA,NA,1,NA,NA
"655","Tambuwal","Birnin Kebbi",NA,1,NA,NA,NA,1,NA,NA
"656","Tureta","Birnin Kebbi",NA,1,NA,NA,NA,1,NA,NA
"657","Wamako","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"658","Wurno","Gawabawa",NA,1,NA,NA,NA,1,NA,NA
"659","Yabo","Gawabawa",1,1,NA,NA,NA,1,NA,NA
"660","Ardo-Kola","Keana",NA,NA,NA,NA,NA,NA,1,1
"661","Gassol","Keana",NA,NA,NA,NA,NA,NA,1,1
"662","Bali","Keana",NA,NA,NA,NA,NA,NA,1,1
"663","Donga","Keana",NA,NA,NA,NA,NA,NA,1,1
"664","Ibi","Keana",NA,NA,NA,NA,NA,NA,1,1
"665","Jalingo","Keana",NA,NA,NA,NA,NA,NA,1,1
"666","Yorro","Alkaleri",NA,NA,NA,NA,NA,NA,1,1
"667","Potiskum","Darazo",NA,NA,NA,NA,NA,NA,1,1
"668","Karin-Lamido","Alkaleri",NA,NA,NA,NA,NA,NA,1,1
"669","Lau","Alkaleri",NA,NA,NA,NA,NA,NA,1,1
"670","Wukari","Keana",NA,NA,NA,NA,NA,NA,1,1
"671","Zing","Alkaleri",NA,NA,NA,NA,NA,NA,1,1
"672","Bade","Taura",NA,NA,NA,NA,NA,NA,1,1
"673","Nguru","Taura",NA,NA,NA,NA,NA,NA,1,1
"674","Bursari","Taura",NA,NA,NA,NA,NA,NA,1,1
"675","Damaturu","Darazo",NA,NA,NA,NA,NA,NA,1,1
"676","Fika","Darazo",NA,NA,NA,NA,NA,NA,1,1
"677","Gujba","Darazo",NA,NA,NA,NA,NA,NA,1,1
"678","Fune","Darazo",NA,NA,NA,NA,NA,NA,1,1
"679","Gulani","Alkaleri",NA,NA,NA,NA,NA,NA,1,1
"680","Geidam","Babura",NA,NA,NA,NA,NA,NA,1,1
"681","Nangere","Darazo",NA,NA,NA,NA,NA,NA,1,1
"682","Jakusko","Taura",NA,NA,NA,NA,NA,NA,1,1
"683","Karasuwa","Taura",NA,NA,NA,NA,NA,NA,1,1
"684","Tarmua","Rimi",NA,NA,NA,NA,NA,NA,1,1
"685","Anka","Darazo",NA,NA,NA,1,NA,NA,NA,NA
"686","Bakura","Darazo",NA,NA,NA,1,NA,NA,NA,NA
"687","Birnin Magaji","Rimi",NA,NA,NA,1,NA,NA,NA,NA
"688","Bukkuyum","Alkaleri",NA,NA,NA,1,NA,NA,NA,NA
"689","Bungudu","Takali",NA,NA,NA,1,NA,NA,NA,NA
"690","Gummi","Birnin Kebbi",NA,NA,NA,1,NA,NA,NA,NA
"691","Ipokia","Uzo-Uwani",NA,NA,1,NA,NA,NA,1,NA
"692","Gusau","Darazo",NA,NA,NA,1,NA,NA,NA,NA
"693","Kaura-Namoda","Rimi",NA,NA,NA,NA,NA,NA,NA,NA
"694","Maradun","Darazo",NA,NA,NA,1,NA,NA,NA,NA
"695","Tsafe","Takali",NA,NA,NA,1,NA,NA,NA,NA
"696","Maru","Giwa",NA,NA,NA,1,NA,NA,NA,NA
"697","Shinkafi","Rimi",NA,NA,NA,1,NA,NA,NA,NA
"698","Talata Mafara","Darazo",NA,NA,NA,1,NA,NA,NA,NA
"699","Zurmi","Rimi",NA,NA,NA,1,NA,NA,NA,NA
"700","Mbo","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA
"701","Oron","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA
"702","Udung Uko","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA
"703","Calabar South","Nsit Ubium",NA,NA,NA,1,NA,NA,1,NA
"704","Ibeno","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA
"705","Eastern Obolo","Nsit Ubium",NA,NA,1,NA,NA,NA,1,NA
"706","Degema","Ahoada West",NA,NA,1,NA,NA,NA,NA,NA
"707","Brass","Ahoada West",NA,NA,NA,NA,NA,NA,NA,NA
"708","Southern Ijaw","Ahoada West",NA,NA,NA,NA,NA,NA,NA,NA
"709","Ekeremor","Ahoada West",NA,NA,NA,NA,NA,NA,NA,NA
"710","Burutu","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"711","Warri South West","Isoko South",NA,NA,NA,NA,NA,NA,1,1
"712","Warri North","Owan East",NA,NA,NA,NA,NA,NA,1,1
"713","Ilaje","Owan East",NA,NA,NA,NA,NA,1,NA,NA
"714","Ibeju/Lekki","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"715","Amuwo-Odofin","Isoko South",NA,NA,NA,NA,NA,NA,NA,NA
"716","Badagry","Uzo-Uwani",NA,NA,NA,NA,NA,NA,NA,NA
"717","Egbado North","Owan East",1,NA,1,NA,NA,NA,1,NA
"718","Imeko-Afon","Oke-Ero",NA,NA,1,NA,NA,NA,1,NA
"719","Iwajowa","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
"720","Atigbo","Oke-Ero",NA,NA,NA,NA,1,NA,NA,NA
