LGA_nu,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate
Aniocha North,Aniocha North,Uzo-Uwani,0.454545455,0.642857143,0.575757576,0.490196078,0.369401293,0.434693912
Aniocha South,Aniocha South,Uzo-Uwani,0.309074723,0.216639461,0.149918383,0.114574196,0.311595529,0.387055583
Anka,Anka,Darazo,0.489908647,0.294612795,0.259568682,0.677019938,0.695814162,0.663563431
Ankpa,Ankpa,Owan East,0.409335716,0.263829772,0.384044517,0.327565622,0.382494781,0.445447774
Apa,Apa,Keana,0.842105263,0.352941176,0.416666667,0.467741935,0.437711079,0.490137805
Apapa,Apapa,Isoko South,0.307692308,0.2,0.210526316,0.206896552,0.464571223,0.511279973
Ardo-Kola,Ardo-Kola,Keana,0.5,0.4,0.441176471,0.548387097,0.406347907,0.464913317
Arewa-Dandi,Arewa-Dandi,Birnin Kebbi,0.944444444,0.826086957,0.76,0.939393939,0.736871845,0.683834101
Argungu,Argungu,Birnin Kebbi,0.880353787,0.739925815,0.650569606,0.878877198,0.749755556,0.689763899
Arochukwu,Arochukwu,Ngor-Okpala,0.409807769,0.327133985,0.239735094,0.325629622,0.431823298,0.485441926
Asa,Asa,Oke-Ero,0.393939394,0.260869565,0.266666667,0.440677966,0.293917451,0.372563685
Asari-Toru,Asari-Toru,Ahoada West,0.454056649,0.494097309,0.369375132,0.260014416,0.231108823,0.322109151
Askira-Uba,Askira/Uba,Darazo,0.349526848,0.286287543,0.113684119,0.346127211,0.666450057,0.647762427
Atakumosa East,Atakumosa East,Oke-Ero,0.210526316,0.285714286,0.5,0.241935484,0.438640296,0.490877048
Atakumosa West,Atakumosa West,Akinyele,0.285714286,0.25,0.384615385,0.245901639,0.441512439,0.493158675
Atiba,Atiba,Akinyele,0.75,0.5,0.310573478,0.566666667,0.383570526,0.446329501
Atigbo,Atigbo,Oke-Ero,0.214285714,0.299429972,0.260379648,0.173913043,0.430762739,0.484593946
Augie,Augie,Birnin Kebbi,0.977777778,0.708333333,0.85,0.909090909,0.747566745,0.688770794
Auyo,Auyo,Taura,0.727272727,0.692307692,0.771428571,0.747663551,0.676553245,0.65332251
Awe,Awe,Keana,0.605432934,0.429533507,0.468947384,0.732287966,0.564364244,0.584430432
Awgu,Awgu,Oru West,0.083333333,0.095238095,0.107142857,0.085365854,0.428474781,0.482762456
Awka North,Awka North,Uzo-Uwani,0.238095238,0.142857143,0.086956522,0.210526316,0.388205397,0.450124783
Awka South,Awka South,Uzo-Uwani,0.115384615,0.224106265,0.160050482,0.055555556,0.431794981,0.485419293
Ayamelum,Ayamelum,Uzo-Uwani,0.226000001,0.090196079,0.056149735,0.148743718,0.436497382,0.489171465
Babura,Babura,Babura,0.874582296,0.842755015,0.74694856,0.861709269,0.754462934,0.691880002
Badagry,Badagry,Uzo-Uwani,0.375,0.333333333,0.344827586,0.264150943,0.426397668,0.48109727
