LGA_nu,LGA,repDS,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate
Gudu,Gudu,Gawabawa,0.541896854,0.352734644,0.28107122,0.599523849,0.818072663,0.71791011
Gujba,Gujba,Darazo,0.452267101,0.327499677,0.260204646,0.492014848,0.684790286,0.657759675
Gulani,Gulani,Alkaleri,0.484534717,0.381738609,0.338571783,0.497522113,0.657079381,0.642489607
Guma,Guma,Keana,0.754372326,0.751840155,0.739637308,0.670350686,0.365014826,0.431083741
Gumel,Gumel,Babura,0.813953488,0.814814815,0.9,0.983050847,0.765232277,0.696620535
Gummi,Gummi,Birnin Kebbi,0.305614292,0.04398587,0.109842428,0.469238903,0.733770917,0.682376452
Gurara,Gurara,Oke-Ero,0.391788901,0.299429972,0.260379648,0.355121446,0.530491978,0.560704096
Guri,Guri,Taura,0.749295991,0.646893034,0.603650819,0.767208089,0.666612333,0.647852757
Gusau,Gusau,Darazo,0.698235949,0.457345984,0.206150472,0.769114111,0.74575499,0.68794435
Guyuk,Guyuk,Alkaleri,0.649078623,0.538183465,0.609110853,0.520162675,0.571995521,0.58959986
Guzamala,Guzamala,Babura,0.717584416,0.651199027,0.639332017,0.715626442,0.777569747,0.701881155
Gwagwalada,Gwagwalada,Keana,0.335692259,0.228815615,0.178987204,0.224981429,0.555904987,0.578622846
Gwale,Gwale,Alkaleri,0.761861053,0.732151497,0.715963606,0.644022018,0.600920439,0.608574402
Gwandu,Gwandu,Birnin Kebbi,0.789226475,0.78125,0.791666667,0.865671642,0.783737788,0.704443878
Gwaram,Gwaram,Takali,0.836572687,0.813620788,0.702300859,0.915806931,0.770852463,0.699039331
Gwarzo,Gwarzo,Gwarzo,0.673076923,0.5,0.403508772,0.538461538,0.823387017,0.719876187
Gwer East,Gwer East,Oke-Ero,0.888888889,0.916666667,0.739130435,0.660714286,0.369333536,0.43463817
Gwer West,Gwer West,Keana,0.535714286,0.294117647,0.866666667,0.484375,0.423749809,0.478971197
Gwiwa,Gwiwa,Babura,0.942307692,0.903225806,0.838709677,0.951612903,0.668371704,0.648829951
Gwoza,Gwoza,Darazo,0.452267101,0.327499677,0.260204646,0.492014848,0.679653584,0.655002722
Hadejia,Hadejia,Taura,0.749295991,0.646893034,0.603650819,0.767208089,0.636447966,0.630488544
Hawul,Hawul,Darazo,0.337806295,0.384955748,0.285515959,0.308921158,0.628168105,0.625521494
Hong,Hong,Darazo,0.608695652,0.444444444,0.24137931,0.384615385,0.634881453,0.629555395
Ibadan North,Ibadan North,Owan East,0.380628229,0.41082061,0.224059475,0.251946235,0.309361845,0.385220242
Ibadan North East,Ibadan North East,Owan East,0.523809524,0.571428571,0.625,0.565217391,0.294659555,0.373170294
Ibadan North West,Ibadan North West,Owan East,0.323425346,0.472449841,0.311850234,0.299684294,0.316280901,0.390908593
Ibadan South East,Ibadan South East,Akinyele,0.43481825,0.392030997,0.310573478,0.377487976,0.271498263,0.354331864
Ibadan South West,Ibadan South West,Owan East,0.269024205,0.426143685,0.247986825,0.278602363,0.315354899,0.390146775
Ibaji,Ibaji,Uzo-Uwani,0.526264619,0.509690941,0.423182439,0.608589306,0.335530068,0.406770517
Ibarapa Central,Ibarapa Central,Akinyele,0.357807052,0.375169148,0.44857222,0.515042539,0.381160727,0.444353906
Ibarapa East,Ibarapa East,Oke-Ero,0.391788901,0.299429972,0.260379648,0.355121446,0.343403438,0.413265999
Ibarapa North,Ibarapa North,Oke-Ero,0.391788901,0.299429972,0.260379648,0.355121446,0.369500036,0.434775142
Ibeju-Lekki,Ibeju/Lekki,Uzo-Uwani,0.243243243,0.2,0.115384615,0.257575758,0.430387467,0.484293743
Ibeno,Ibeno,Nsit Ubium,0.33446468,0.294193051,0.202569073,0.227821791,0.270147342,0.353239894
Ibesikpo Asutan,Ibesikpo Asutan,Nsit Ubium,0.316326558,0.365384584,0.264150952,0.295373674,0.364757188,0.430871605
Ibi,Ibi,Keana,0.508873086,0.36051872,0.345747474,0.443661769,0.422424747,0.477905881
Ibiono Ibom,Ibiono Ibom,Ngor-Okpala,0.680806712,0.564126427,0.347777775,0.518035164,0.383194312,0.446021174
Idah,Idah,Uzo-Uwani,0.276486564,0.224106265,0.160050482,0.188842186,0.382023573,0.445061456
Idanre,Idanre,Akinyele,0.43481825,0.392030997,0.310573478,0.377487976,0.311424686,0.38691517
Ideato North,Ideato North,Oru West,0.096977064,0.134732491,0.062479402,0.126360864,0.449066913,0.499135162
Ideato South,Ideato South,Ngor-Okpala,0.454545455,0.266473717,0.095238095,0.117647059,0.438565746,0.490817759
Idemili North,Idemili North,Uzo-Uwani,0.293142139,0.219004233,0.1091815,0.194200106,0.422797782,0.478205882
Idemili South,Idemili South,Oru West,0.184337998,0.117186102,0.091506586,0.163297291,0.377378695,0.441250403
Ido,Ido,Akinyele,0.506710314,0.491129615,0.356596265,0.326871641,0.349706785,0.418466109
Idosi-Osi,Idosi-Osi,Oke-Ero,0.200434256,0.201353458,0.15356295,0.157016209,0.302701283,0.379754213
Ifako-Ijaye,Ifako-Ijaye,Uzo-Uwani,0.276486564,0.224106265,0.160050482,0.031920249,0.390672088,0.45214207
Ife Central,Ife Central,Akinyele,0.370860927,0.363636364,0.112676056,0.154362416,0.443838578,0.495002812
Ife East,Ife East,Akinyele,0.363636364,0.666666667,0.310573478,0.104477612,0.454795344,0.503641962
Ife North,Ife North,Akinyele,0.082463807,0.06802154,0.054673458,0.072593452,0.417284269,0.473764721
Ife South,Ife South,Akinyele,0.43481825,0.392030997,0.310573478,0.377487976,0.40603638,0.46466042
Ifedayo,Ifedayo,Oke-Ero,0.615384615,0.444444444,0.466666667,0.48,0.271238016,0.354121438
Ifedore,Ifedore,Oke-Ero,0.534859216,0.686508582,0.382894942,0.519012134,0.373640917,0.438179998
Ifelodun1,Ifelodun1,Oke-Ero,0.367932207,0.306901545,0.247713367,0.460711266,0.357982328,0.425290104
Ifelodun2,Ifelodun2,Akinyele,0.333333333,0.333333333,0.066666667,0.408163265,0.400279219,0.4599798
Ifo,Ifo,Uzo-Uwani,0.386315631,0.304872618,0.237381855,0.199603975,0.430900956,0.484704494
Igabi,Igabi,Soba,0.566011302,0.528315258,0.436655293,0.481778827,0.531995981,0.561783675
Igalamela-Odolu,Igalamela-Odolu,Uzo-Uwani,0.845747123,0.769543044,0.693778231,0.720103359,0.344682632,0.414321376
Igbo-Etiti,Igbo-Etiti,Uzo-Uwani,0.169787781,0.114435291,0.170949379,0.215102855,0.38332308,0.44612671
Igbo-Eze North,Igbo-Eze North,Uzo-Uwani,0.221092798,0.217855838,0.209511436,0.118120562,0.332315805,0.404119407
Igbo-Eze South,Igbo-Eze South,Uzo-Uwani,0.233254471,0.136519718,0.166793844,0.240351624,0.361653388,0.428315236
Igueben,Igueben,Uzo-Uwani,0.246225282,0.155754508,0.318977515,0.312708352,0.415233246,0.472108841
Ihiala,Ihiala,Oru West,0.200934575,0.230563004,0.187705817,0.306561085,0.199598953,0.297729955
Ihitte-Uboma,Ihitte/Uboma,Ngor-Okpala,0.304424538,0.266473717,0.219305704,0.266910909,0.471133329,0.516367403
Ijebu East,Ijebu East,Oke-Ero,0.5,0.166666667,0.260379648,0.186046512,0.42630383,0.481021987
Ijebu North,Ijebu North,Owan East,0.558238653,0.374806236,0.352085926,0.209476907,0.308615406,0.384607157
Ijebu North East,Ijebu North East,Oke-Ero,0.111111111,0.299429972,0.260379648,0.066666667,0.396632199,0.457008243
Ijebu ode,Ijebu ode,Owan East,0.747058801,0.377990428,0.116487458,0.262370517,0.370794776,0.435840096
Ijero,Ijero,Oke-Ero,0.351895834,0.399107494,0.215514406,0.210181374,0.264220599,0.348459432
Ijumu,Ijumu,Oke-Ero,0.55,0.666666667,0.583333333,0.54,0.312708323,0.387970309
Ika,Ika,Ngor-Okpala,0.304424538,0.266473717,0.219305704,0.266910909,0.281330517,0.36230356
Ika North East,Ika North East,Uzo-Uwani,0.1,0.166666667,0.160050482,0.038461538,0.388201078,0.450121249
Ika South,Ika South,Uzo-Uwani,0.276486564,0.224106265,0.076923077,0.0625,0.37137411,0.436316512
Ikara,Ikara,Soba,0.633002088,0.472517731,0.580761674,0.604234676,0.757882326,0.693400299
Ikeduru,Ikeduru,Ngor-Okpala,0.169572346,0.12167345,0.171591701,0.240899779,0.402638622,0.461899584
Ikeja,Ikeja,Uzo-Uwani,0.4,0.224106265,0.160050482,0.109090909,0.481253048,0.524146789
Ikenne,Ikenne,Owan East,0.153846154,0.418946669,0.25,0.08,0.382682373,0.445601554
Ikere,Ikere,Owan East,0.5,0.166666667,0.3,0.288888889,0.456857423,0.50525877
Ikole,Ikole,Oke-Ero,0.213149407,0.229371439,0.189242759,0.224233591,0.320812672,0.394638898
Ikom,Ikom,Obubra,0.5828662,0.461164995,0.73705717,0.47923167,0.470923114,0.51620494
Ikono,Ikono,Ngor-Okpala,0.166666667,0.117647059,0.291666667,0.186440678,0.3504186,0.419053252
Ikorodu,Ikorodu,Uzo-Uwani,0.151892926,0.010384456,0.016491386,0.040550217,0.461778972,0.509105403
Ikot Abasi,Ikot Abasi,Nsit Ubium,0.347826087,0.461538462,0.3,0.123076923,0.194063012,0.293529351
Ikot Ekpene,Ikot Ekpene,Ngor-Okpala,0.05605449,0.266473717,0.200480127,0.116877293,0.356519334,0.424084125
Ikpoba-Okha,Ikpoba-Okha,Uzo-Uwani,0.320654373,0.317064796,0.486610421,0.409053457,0.323305427,0.396692086
Ikwerre,Ikwerre,Oru West,0.29194173,0.15267912,0.083696353,0.141089116,0.244599108,0.332764989
Ikwo,Ikwo,Obubra,0.762011018,0.676328931,0.602892256,0.710917223,0.39899006,0.45892996
Ikwuano,Ikwuano,Ngor-Okpala,0.393004114,0.324127916,0.425072045,0.42030651,0.469780688,0.51532143
Ila,Ila,Oke-Ero,0.337088515,0.460069442,0.361482952,0.282519604,0.32967771,0.401944026
Ilaje,Ilaje,Owan East,0.761904762,0.75,0.722222222,0.716981132,0.29492871,0.373390349
Ilemeji,Ilemeji,Oke-Ero,0.666666667,0.571428571,0.4,0.24,0.308389127,0.384421328
Ile-Oluji-Okeigbo,Ile-Oluji-Okeigbo,Akinyele,0.774403333,0.507434778,0.416297806,0.535604026,0.384384096,0.446996131
Ilesha East,Ilesha East,Owan East,0.083333333,0.142857143,0.058823529,0.2,0.40077994,0.460387401
Ilesha West,Ilesha West,Akinyele,0.255319146,0.324624433,0.230378757,0.243742778,0.387460247,0.44951503
Illela,Illela,Gawabawa,0.605179244,0.331705584,0.25569101,0.713138101,0.78404554,0.704570579
Ilorin East,Ilorin East,Oke-Ero,0.289941315,0.295344661,0.263293536,0.302916209,0.350824888,0.419388367
Ilorin South,Ilorin South,Oke-Ero,0.391788901,0.299429972,0.260379648,0.355121446,0.316790933,0.391328258
Ilorin West,Ilorin West,Owan East,0.217238965,0.200527697,0.205987169,0.141257146,0.300629985,0.378056657
Imeko-Afon,Imeko-Afon,Oke-Ero,0.25,0.3,0.3125,0.314814815,0.370192293,0.435344578
Ingawa,Ingawa,Rimi,0.931034483,0.833333333,0.512820513,0.818181818,0.687125681,0.65900205
Ini,Ini,Ngor-Okpala,0.692307692,0.357142857,0.533333333,0.510204082,0.395911217,0.45642023
Ipokia,Ipokia,Uzo-Uwani,0.454545455,0.25,0.3,0.355932203,0.383971272,0.44665789
Irele,Irele,Akinyele,0.666666667,0.533333333,0.607142857,0.509433962,0.393822894,0.454716042
Irepo,Irepo,Oke-Ero,0.391788901,0.299429972,0.260379648,0.355121446,0.40196685,0.461353198
Irepodun1,Irepodun1,Owan East,0.191973375,0.155091047,0.287478323,0.3102155,0.354587436,0.422491317
Irepodun2,Irepodun2,Akinyele,0.44,0.538461538,0.473684211,0.218181818,0.48248331,0.525086856
Irepodun-Ifelodun,Irepodun/Ifelodun,Oke-Ero,0.181818182,0.299429972,0.260379648,0.157894737,0.314066122,0.38908676
Irewole,Irewole,Akinyele,0.252061262,0.104738156,0.079664594,0.154339257,0.390385171,0.451907523
Isa,Isa,Rimi,0.8,0.565217391,0.266666667,0.551724138,0.799422792,0.710761859
Ise-Orun,Ise/Orun,Oke-Ero,0.171060699,0.158432706,0.218823528,0.266373142,0.409896538,0.467791215
Iseyin,Iseyin,Akinyele,0.621354362,0.440761858,0.204179158,0.559328204,0.381804807,0.444882082
Ishielu,Ishielu,Owan East,0.620780141,0.706437387,0.497992048,0.589326015,0.402215764,0.461555673
Isiala Mbano,Isiala Mbano,Ngor-Okpala,0.289884807,0.243586368,0.227390223,0.210542634,0.468083262,0.514006846
Isiala-Ngwa North,Isiala-Ngwa North,Ngor-Okpala,0.042898792,0.129356358,0.071963678,0.059840232,0.347639146,0.416760484
Isiala-Ngwa South,Isiala-Ngwa South,Ngor-Okpala,0.104366275,0.076877973,0.219305704,0.117883509,0.381316588,0.444481729
Isin,Isin,Oke-Ero,0.299054347,0.166666667,0.178191485,0.340654862,0.349688854,0.418451319
Isi-Uzo,Isi-Uzo,Owan East,0.464431748,0.418946669,0.343821936,0.380122437,0.425114132,0.480067127
Isokan,Isokan,Akinyele,0.43481825,0.392030997,0.310573478,0.377487976,0.367314771,0.432977043
Isoko North,Isoko North,Isoko South,0.166666667,0.285714286,0.25,0.142857143,0.19337815,0.293011529
Isoko South,Isoko South,Isoko South,0.463214914,0.49319292,0.535686944,0.394115143,0.162398226,0.270038761
Isu,Isu,Ngor-Okpala,0.214285714,0.266473717,0.25,0.288135593,0.310898215,0.386482512
Isuikwato,Isuikwato,Ngor-Okpala,0.45242915,0.153256705,0.105045492,0.230249359,0.414408176,0.471442169
Itas-Gadau,Itas/Gadau,Taura,0.704426374,0.610191562,0.629827895,0.915155207,0.742973977,0.686667971
Itesiwaju,Itesiwaju,Akinyele,0.43481825,0.392030997,0.310573478,0.377487976,0.428195908,0.482539024
Itu,Itu,Ngor-Okpala,0.304424538,0.266473717,0.219305704,0.020408163,0.415010863,0.471929182
Ivo,Ivo,Ngor-Okpala,0.304424538,0.266473717,0.219305704,0.266910909,0.433913174,0.487111038
Iwajowa,Iwajowa,Oke-Ero,0.75,0.526315789,0.230769231,0.735849057,0.430464219,0.484355148
Iwo,Iwo,Akinyele,0.281946314,0.300462655,0.227941543,0.278599867,0.456747451,0.50517262
Izzi,Izzi,Owan East,0.551277798,0.537229424,0.444185918,0.516621408,0.409695434,0.467628265
Jaba,Jaba,Oke-Ero,0.555555556,0.5,0.272727273,0.523809524,0.493173179,0.533201155
Jada,Jada,Alkaleri,0.459651437,0.481068068,0.366520339,0.388792505,0.556558753,0.579074542
Jahun,Jahun,Taura,0.906724843,0.88129703,0.796475482,0.931820208,0.743526887,0.68692249
Jakusko,Jakusko,Taura,0.512573098,0.416346743,0.456107024,0.656579762,0.726795273,0.679053969
Jalingo,Jalingo,Keana,0.171428569,0.296629209,0.210350591,0.248966088,0.356978455,0.424462611
Jama'are,Jama'are,Taura,0.53934621,0.444648002,0.516734467,0.797350525,0.749263424,0.689541118
Jega,Jega,Birnin Kebbi,0.934417004,0.799158486,0.537410615,0.915591009,0.700200915,0.665830158
Jema'a,Jema'a,Soba,0.471794867,0.268834255,0.250138653,0.423622566,0.50980792,0.545625437
Jere,Jere,Gawabawa,0.511039422,0.394532061,0.208201451,0.382382438,0.753750697,0.691561556
Jibia,Jibia,Rimi,0.854166667,0.826086957,0.641025641,0.796875,0.628110182,0.625486443
Jos East,Jos East,Soba,0.590909091,0.277777778,0.222222222,0.428571429,0.522538958,0.554956846
Jos North,Jos North,Soba,0.522537509,0.321151837,0.228652788,0.402190017,0.493441356,0.533403445
Jos South,Jos South,Soba,0.523737199,0.257313895,0.243586588,0.323798926,0.463767002,0.510654246
Kabba-Bunu,Kabba/Bunu,Oke-Ero,0.535581734,0.361650218,0.434111405,0.5,0.319779497,0.393788165
Kabo,Kabo,Gwarzo,0.76035782,0.693155138,0.544107839,0.750374097,0.81249578,0.71581337
Kachia,Kachia,Ngor-Okpala,0.492198246,0.473976046,0.37721268,0.382450653,0.53616272,0.564762281
Kaduna North,Kaduna North,Soba,0.218632612,0.254940711,0.159292034,0.089167459,0.657446265,0.642698146
Kaduna South,Kaduna South,Soba,0.476059913,0.531677658,0.435082141,0.380913205,0.679569503,0.654957316
Kafin Hausa,Kafin Hausa,Taura,0.950194866,0.840231475,0.908210855,0.972138948,0.673182764,0.651482047
Kafur,Kafur,Gwarzo,0.708988548,0.703184718,0.730656019,0.680214942,0.742026184,0.686230808
Kaga,Kaga,Darazo,0.388888889,0.318181818,0.233333333,0.385964912,0.674887541,0.65241475
Kagarko,Kagarko,Oke-Ero,0.869565217,0.333333333,0.352941176,0.5,0.616828924,0.618580297
Kaiama,Kaiama,Oke-Ero,0.619047619,0.59375,0.347826087,0.638888889,0.409404988,0.467392893
kaita,kaita,Rimi,0.882352941,0.518518519,0.529411765,0.655172414,0.68725966,0.659073113
Kajola,Kajola,Akinyele,0.396945104,0.1752945,0.256845889,0.399760373,0.406200649,0.464793778
Kajuru,Kajuru,Soba,0.928571429,0.761904762,0.48,0.652173913,0.492999945,0.533070449
Kala-Balge,Kala/Balge,Darazo,0.452267101,0.327499677,0.260204646,0.492014848,0.645505958,0.63582369
Kalgo,Kalgo,Birnin Kebbi,0.927737471,0.789110521,0.720989636,0.876524196,0.681068976,0.655765729
Kaltungo,Kaltungo,Alkaleri,0.484534717,0.381738609,0.338571783,0.497522113,0.500615672,0.538791259
Kanam,Kanam,Alkaleri,0.529240601,0.399926936,0.335198028,0.393608529,0.551419778,0.575511162
Kankara,Kankara,Rimi,0.918032787,0.857142857,0.844444444,0.911392405,0.803891608,0.712510337
Kanke,Kanke,Alkaleri,0.422954199,0.308113923,0.31664203,0.414514415,0.64202109,0.633783346
Kankia,Kankia,Rimi,0.85,0.821428571,0.833333333,0.835820896,0.757287742,0.693136955
Kano Municipal,Kano Municipal,Alkaleri,0.484534717,0.381738609,0.338571783,0.497522113,0.636999309,0.630816237
Karasuwa,Karasuwa,Taura,0.755536233,0.710374922,0.576678826,0.787037526,0.736988539,0.683888724
Karaye,Karaye,Gwarzo,0.826923077,0.695652174,0.675675676,0.833333333,0.844998327,0.727556296
Karin-Lamido,Karin-Lamido,Alkaleri,0.066633005,0.057988154,0.015827705,0.067323472,0.39417534,0.455003762
Karu,Karu,Oke-Ero,0.380360634,0.380141437,0.448174308,0.397831492,0.470750314,0.516071368
Katagum,Katagum,Gwarzo,0.515383228,0.391156259,0.432060917,0.764630621,0.74547039,0.687814164
Katcha,Katcha,Oke-Ero,0.380502224,0.123584445,0.1324138,0.310474544,0.42622003,0.480954753
Katsina,Katsina,Rimi,0.567142174,0.556590769,0.471469757,0.497753543,0.71205914,0.671836104
Katsina-Ala,Katsina-Ala,Keana,0.770171343,0.610136606,0.461619835,0.540749047,0.338062239,0.408859386
Kaugama,Kaugama,Taura,0.87755102,0.888888889,0.921052632,0.767208089,0.649987707,0.638425145
Kaura,Kaura,Soba,0.904761905,0.571428571,0.586206897,0.529411765,0.544538981,0.570694568
Kaura-Namoda,Kaura-Namoda,Rimi,0.432231885,0.180422409,0.208870294,0.553058088,0.83259153,0.72320853
Kauru,Kauru,Soba,0.954545455,0.515566576,0.666666667,0.838235294,0.435728811,0.488559081
Kazaure,Kazaure,Babura,0.867924528,0.789473684,0.796875,0.949367089,0.72677407,0.679043778
Keana,Keana,Keana,0.511047108,0.441048146,0.346819024,0.589015934,0.38719336,0.449296597
Kebbe,Kebbe,Birnin Kebbi,0.789226475,0.614967322,0.534978419,0.78771905,0.694602402,0.662933002
Keffi,Keffi,Oke-Ero,0.722389048,0.429725569,0.434474849,0.570575557,0.452112722,0.5015342
Khana,Khana,Nsit Ubium,0.047619048,0.083333333,0.384615385,0.081967213,0.213023685,0.308022703
Kibiya,Kibiya,Gwarzo,0.705952781,0.606857993,0.508646207,0.693592607,0.813323711,0.716126831
Kirfi,Kirfi,Alkaleri,0.611111111,0.157894737,0.193548387,0.483870968,0.704749265,0.668154735
Kiri Kasamma,Kiri Kasamma,Taura,0.95426831,0.931417983,0.902249808,0.953359679,0.673959786,0.651907622
Kiru,Kiru,Gwarzo,0.779024324,0.623254161,0.515756018,0.733256354,0.826693612,0.721083872
kiyawa,kiyawa,Takali,0.836363636,0.697674419,0.513513514,0.823529412,0.77870611,0.702356647
Kogi,Kogi,Keana,0.363636364,0.1,0.166666667,0.301886792,0.368216183,0.433718849
Koko-Besse,Koko/Besse,Birnin Kebbi,0.950888927,0.844308444,0.675011074,0.85687547,0.576157564,0.592390938
Kokona,Kokona,Oke-Ero,0.729032252,0.640765073,0.538461538,0.659225087,0.460705224,0.508267659
Kolokuma-Opokuma,Kolokuma/Opokuma,Ahoada West,0.236773625,0.146298451,0.199398894,0.25380437,0.224180225,0.31668418
Konduga,Konduga,Darazo,0.512820513,0.421052632,0.689655172,0.698113208,0.74032898,0.685445232
Konshisha,Konshisha,Oke-Ero,0.37037037,0.181818182,0.307692308,0.353846154,0.393916167,0.45479219
Kontagora,Kontagora,Oke-Ero,0.314253047,0.161544985,0.137070127,0.274759284,0.60860437,0.613446079
Kosofe,Kosofe,Isoko South,0.231067122,0.178238948,0.094993847,0.112109923,0.4609272,0.508440915
Kubau,Kubau,Soba,0.811072268,0.714979278,0.554951194,0.65087995,0.686299075,0.658563106
Kudan,Kudan,Giwa,0.78026403,0.584976317,0.686797898,0.682705958,0.715360241,0.673476599
Kuje,Kuje,Keana,0.508873086,0.36051872,0.345747474,0.443661769,0.448338859,0.498560793
Kukawa,Kukawa,Babura,0.538461538,0.75,0.5,0.705882353,0.639968548,0.632574443
Kumbotso,Kumbotso,Taura,0.749295991,0.646893034,0.603650819,0.767208089,0.728034042,0.679648396
Kunchi,Kunchi,Babura,0.509004749,0.352733678,0.243679168,0.48046215,0.729388444,0.680296131
Kura,Kura,Gwarzo,0.825,0.695652174,0.541666667,0.84375,0.796070741,0.70943541
Kurfi,Kurfi,Rimi,0.732019322,0.592426281,0.525823573,0.685107348,0.682045441,0.656290638
Kurmi,Kurmi,Oru West,0.076923077,0.086956522,0.085106383,0.077922078,0.452232517,0.501628429
Kusada,Kusada,Rimi,0.75,0.571428571,0.446428571,0.718309859,0.768769267,0.698147157
Kwali,Kwali,Keana,0.249141339,0.091169507,0.095544523,0.240719521,0.476055073,0.520161192
Kwami,Kwami,Alkaleri,0.304503189,0.193656634,0.159344999,0.530232685,0.528174359,0.559035931
Kwande,Kwande,Oke-Ero,0.392421049,0.266331628,0.241225244,0.381666977,0.389530493,0.451208693
Kware,Kware,Gawabawa,0.558139535,0.391304348,0.148148148,0.692307692,0.839844337,0.725770018
Kwaya Kusar,Kwaya Kusar,Alkaleri,0.484534717,0.381738609,0.338571783,0.497522113,0.597977668,0.606689636
Lafia,Lafia,Alkaleri,0.501905966,0.364569988,0.269162619,0.465595333,0.503966925,0.541291955
Lagelu,Lagelu,Akinyele,0.43481825,0.392030997,0.310573478,0.377487976,0.345490307,0.414987723
Lagos Island,Lagos Island,Isoko South,0.287978429,0.255845189,0.17817353,0.174180404,0.470665291,0.516005638
Lagos Mainland,Lagos Mainland,Isoko South,0.02523659,0.255845189,0.17817353,0.087849209,0.470933929,0.516213299
Lamurde,Lamurde,Alkaleri,0.318181818,0.142857143,0.363636364,0.403225806,0.429924862,0.483923569
Langtang North,Langtang North,Alkaleri,0.333333333,0.3,0.451612903,0.451612903,0.48717115,0.528657291
Langtang South,Langtang South,Keana,0.508873086,0.36051872,0.345747474,0.443661769,0.543573071,0.570014312
Lapai,Lapai,Oke-Ero,0.391788901,0.299429972,0.260379648,0.355121446,0.420239724,0.476147229
Lau,Lau,Alkaleri,0.170212766,0.03125,0.070175439,0.133858268,0.456276312,0.504803441
Lavun,Lavun,Oke-Ero,0.340848191,0.286407935,0.176210845,0.31019557,0.535336764,0.564173288
Lere,Lere,Soba,0.864,0.712250712,0.571332887,0.718087019,0.49638178,0.535617259
Logo,Logo,Keana,0.508873086,0.36051872,0.345747474,0.443661769,0.41751013,0.473946946
Lokoja,Lokoja,Keana,0.605339166,0.541794922,0.421650388,0.591267231,0.314676325,0.389588612
Machina,Machina,Taura,0.691060004,0.551337845,0.529656676,0.665854335,0.733696395,0.682341276
Madagali,Madagali,Darazo,0.452267101,0.327499677,0.260204646,0.492014848,0.722065325,0.67676674
Madobi,Madobi,Taura,0.749295991,0.646893034,0.603650819,0.767208089,0.853563186,0.730463144
Mafa,Mafa,Darazo,0.452267101,0.327499677,0.260204646,0.492014848,0.71541858,0.673505468
Magama,Magama,Oke-Ero,0.352184692,0.230655127,0.184593034,0.348613248,0.472155733,0.517157065
Magumeri,Magumeri,Gawabawa,0.541896854,0.352734644,0.28107122,0.599523849,0.783011005,0.704144224
Mai'Adua,Mai'Adua,Rimi,0.87804878,0.918918919,0.90625,0.961538462,0.639919513,0.632545498
Maiduguri,Maiduguri,Darazo,0.459238917,0.46306288,0.282129313,0.444007024,0.77182807,0.699455384
Maigatari,Maigatari,Babura,0.717584416,0.964814107,0.954923663,0.939594887,0.68089069,0.655669759
Maiha,Maiha,Alkaleri,0.382978723,0.275862069,0.378378378,0.455882353,0.647421068,0.636938432
Maiyama,Maiyama,Birnin Kebbi,0.875,0.714285714,0.457142857,0.782608696,0.635960953,0.630198767
Makoda,Makoda,Babura,0.636363636,0.518518519,0.538461538,0.742857143,0.698126715,0.664761406
Makurdi,Makurdi,Keana,0.805491132,0.613397361,0.655426287,0.646262764,0.369068798,0.434420372
Malam Madori,Malam Madori,Taura,0.857142857,0.818181818,0.875,0.931034483,0.663624026,0.646183975
Malumfashi,Malumfashi,Gwarzo,0.571428571,0.5,0.359375,0.543478261,0.793678153,0.708480769
Mangu,Mangu,Darazo,0.613195813,0.501233271,0.357275284,0.465360486,0.474874026,0.519252565
Mani,Mani,Rimi,0.636810762,0.577843274,0.520196789,0.552895802,0.663582347,0.64616062
Maradun,Maradun,Darazo,0.715923048,0.21048229,0.257550785,0.758017814,0.782439008,0.703907955
Mariga,Mariga,Oke-Ero,0.436363636,0.103448276,0.08,0.430555556,0.651231893,0.639142834
Markafi,Markafi,Gwarzo,0.705952781,0.606857993,0.508646207,0.693592607,0.721594857,0.676537716
Marte,Marte,Babura,0.717584416,0.651199027,0.639332017,0.715626442,0.719831894,0.675677048
Maru,Maru,Giwa,0.582706192,0.469378753,0.328007795,0.532330697,0.663477353,0.646101776
Mashegu,Mashegu,Oke-Ero,0.391788901,0.299429972,0.260379648,0.355121446,0.469502121,0.515105843
Mashi,Mashi,Rimi,0.87804878,0.677419355,0.666666667,0.8,0.651664195,0.639391742
Matazuu,Matazuu,Rimi,0.961538462,0.923076923,0.941176471,0.984615385,0.801649222,0.711635809
Mayo-Belwa,Mayo-Belwa,Alkaleri,0.64,0.1875,0.44,0.438596491,0.615915722,0.618014343
Mbaitoli,Mbaitoli,Ngor-Okpala,0.388128732,0.305279057,0.151276234,0.283367964,0.257476859,0.343041421
Mbo,Mbo,Nsit Ubium,0.352941176,0.666666667,0.321428571,0.3,0.299002486,0.376723643
Michika,Michika,Darazo,0.5,0.428571429,0.166666667,0.396551724,0.688720491,0.659846477
Miga,Miga,Taura,0.749295991,0.916666667,0.962962963,0.97826087,0.71898178,0.675260641
Mikang,Mikang,Alkaleri,0.484534717,0.381738609,0.338571783,0.497522113,0.413678475,0.470852295
Minjibir,Minjibir,Taura,0.761938783,0.610201596,0.531197879,0.796941845,0.765361635,0.696676631
Misau,Misau,Darazo,0.388163903,0.340650807,0.23447449,0.609141639,0.803277912,0.712271562
Mkpat Enin,Mkpat Enin,Nsit Ubium,0.602843612,0.379341874,0.33631654,0.380262242,0.225930858,0.318051677
Moba,Moba,Oke-Ero,0.383931717,0.196426059,0.159547617,0.17050588,0.282164723,0.362981752
