LGA,pop,anc_total,preg_llin,coverage,kill_rate,block_initial,simday,duration,year
Aniocha South,205188.99,6121,553,0.108414,0.387055583,0.53,0,-1,2018
Anka,207634.84,14126,4418,0.3753084,0.663563431,0.53,0,-1,2018
Ankpa,381181.45,32229,456,0.0169788,0.445447774,0.53,0,-1,2018
Apa,137963.75,2805,1089,0.465882,0.490137805,0.53,0,-1,2018
Apapa,317204.97,11999,792,0.0792072,0.511279973,0.53,0,-1,2018
Ardo-Kola,122492.42,22293,2154,0.1159464,0.464913317,0.53,0,-1,2018
Arewa-Dandi,265456.04,9694,979,0.121188,0.683834101,0.53,0,-1,2018
Argungu,281977.98,40640,2567,0.0757968,0.689763899,0.53,0,-1,2018
Arochukwu,234325.84,3642,208,0.0685332,0.485441926,0.53,0,-1,2018
Asa,180266.08,4026,1136,0.3385992,0.372563685,0.53,0,-1,2018
Asari-Toru,328750.56,1374,103,0.0899568,0.322109151,0.53,0,-1,2018
Askira-Uba,206258.49,25953,3705,0.1713096,0.647762427,0.53,0,-1,2018
Atakumosa East,111197.3,3027,827,0.3278496,0.490877048,0.53,0,-1,2018
Atakumosa West,100173.45,3953,1155,0.3506196,0.493158675,0.53,0,-1,2018
Atiba,253474,13257,1379,0.1248252,0.446329501,0.53,0,-1,2018
Atigbo,165483.56,15720,1806,0.137862,0.484593946,0.53,0,-1,2018
Augie,169181.89,11581,1194,0.12372,0.688770794,0.53,0,-1,2018
Auyo,186020.89,16686,5260,0.3782808,0.65332251,0.53,0,-1,2018
Awe,160503.61,18378,518,0.0338232,0.584430432,0.53,0,-1,2018
Awgu,282491.71,431,23,0.0640368,0.482762456,0.53,0,-1,2018
Awka North,156850.76,7478,1607,0.2578764,0.450124783,0.53,0,-1,2018
Awka South,263324.8,21772,2652,0.1461696,0.485419293,0.53,0,-1,2018
Ayamelum,220647.99,4775,1161,0.2917692,0.489171465,0.53,0,-1,2018
Babura,293263.94,56690,9802,0.207486,0.691880002,0.53,0,-1,2018
Badagry,351836.56,39132,1250,0.0383316,0.48109727,0.53,0,-1,2018
Bade,211220.2,25582,1967,0.092268,0.673687029,0.53,0,-1,2018
Bagudo,343041.67,15801,2513,0.1908492,0.570435833,0.53,0,-1,2018
Bagwai,240427.21,30286,5136,0.2034996,0.712788613,0.53,0,-1,2018
Bakassi,45638.189,6042,2651,0.5265144,0.352578982,0.53,0,-1,2018
Bakori,212967.33,38181,6231,0.1958352,0.649992258,0.53,0,-1,2018
Bakura,272757.87,22252,4134,0.2229372,0.681339741,0.53,0,-1,2018
