LGA,pop,anc_total,preg_llin,coverage,kill_rate,block_initial,simday,duration,year
Ila,90550.563,4580,1385,0.3628824,0.401944026,0.53,0,-1,2018
Ilaje,414347.5,25728,6255,0.291744,0.373390349,0.53,0,-1,2018
Ilemeji,62848.012,1990,351,0.2116584,0.384421328,0.53,0,-1,2018
Ile-Oluji-Okeigbo,246471.28,14441,3012,0.2502876,0.446996131,0.53,0,-1,2018
Ilesha East,155545.17,4881,648,0.159312,0.460387401,0.53,0,-1,2018
Ilesha West,151121.91,8401,2179,0.3112488,0.44951503,0.53,0,-1,2018
Illela,214561.33,23026,350,0.01824,0.704570579,0.53,0,-1,2018
Ilorin East,291297.21,7782,968,0.149268,0.419388367,0.53,0,-1,2018
Ilorin South,297543.47,7467,412,0.0662112,0.391328258,0.53,0,-1,2018
Ilorin West,520354.25,32685,1822,0.0668928,0.378056657,0.53,0,-1,2018
Imeko-Afon,227412.75,8349,882,0.1267692,0.435344578,0.53,0,-1,2018
Ingawa,242027.19,19689,3051,0.185952,0.65900205,0.53,0,-1,2018
Ini,148163.29,3058,1681,0.6596472,0.45642023,0.53,0,-1,2018
Ipokia,175300.28,21679,2306,0.127644,0.44665789,0.53,0,-1,2018
Irele,206972,17009,3440,0.2426952,0.454716042,0.53,0,-1,2018
Irepo,183050.29,9524,1713,0.2158332,0.461353198,0.53,0,-1,2018
Irepodun1,211882.33,3709,462,0.1494744,0.525086856,0.53,0,-1,2018
Irepodun2,174386.7,6880,1508,0.2630232,0.38908676,0.53,0,-1,2018
Irepodun-Ifelodun,186292.35,2420,482,0.2390088,0.422491317,0.53,0,-1,2018
Irewole,209559.71,5861,1655,0.33885,0.451907523,0.53,0,-1,2018
Isa,208307.94,12116,332,0.0328824,0.710761859,0.53,0,-1,2018
Ise-Orun,164085.67,2505,472,0.2261076,0.467791215,0.53,0,-1,2018
Iseyin,383755.42,23744,2781,0.1405488,0.444882082,0.53,0,-1,2018
Ishielu,210393.52,5555,2280,0.4925292,0.461555673,0.53,0,-1,2018
Isiala Mbano,290023.31,3323,786,0.2838396,0.514006846,0.53,0,-1,2018
Isiala-Ngwa North,211648.53,3783,298,0.0945276,0.416760484,0.53,0,-1,2018
Isiala-Ngwa South,185529.41,4037,319,0.0948228,0.444481729,0.53,0,-1,2018
Isin,85172.104,3228,987,0.3669144,0.418451319,0.53,0,-1,2018
Isi-Uzo,211604.3,2581,125,0.0581172,0.480067127,0.53,0,-1,2018
Isokan,150570.28,7824,1153,0.1768404,0.432977043,0.53,0,-1,2018
Isoko North,210371.1,11569,1847,0.1915812,0.293011529,0.53,0,-1,2018
Isoko South,332309.14,2179,494,0.272052,0.270038761,0.53,0,-1,2018
Isu,240014.67,6341,1283,0.2428008,0.386482512,0.53,0,-1,2018
Isuikwato,157554.48,5471,272,0.0596604,0.471442169,0.53,0,-1,2018
Itas-Gadau,343531.64,15792,1762,0.13389,0.686667971,0.53,0,-1,2018
Itesiwaju,192160.01,7458,1608,0.2587284,0.482539024,0.53,0,-1,2018
Itu,189741.8,8677,891,0.123222,0.471929182,0.53,0,-1,2018
Ivo,168427.08,10466,3129,0.3587616,0.487111038,0.53,0,-1,2018
Iwajowa,153815.23,6296,1680,0.3202032,0.484355148,0.53,0,-1,2018
Iwo,279284.03,14168,2677,0.2267364,0.50517262,0.53,0,-1,2018
Izzi,326036.97,34945,3159,0.1084788,0.467628265,0.53,0,-1,2018
Jaba,221530.45,13848,4963,0.4300692,0.533201155,0.53,0,-1,2018
Jada,237418.64,21558,897,0.0499308,0.579074542,0.53,0,-1,2018
Jahun,322848.08,68796,14659,0.2556948,0.68692249,0.53,0,-1,2018
Jakusko,346160.14,24724,5605,0.2720436,0.679053969,0.53,0,-1,2018
Jalingo,197074.96,25598,1957,0.0917412,0.424462611,0.53,0,-1,2018
Jama'are,176074.98,22761,3164,0.166812,0.689541118,0.53,0,-1,2018
Jega,123190.47,20002,833,0.0499752,0.665830158,0.53,0,-1,2018
Jema'a,397409.46,28955,6722,0.2785836,0.545625437,0.53,0,-1,2018
Jere,315463.13,55409,6664,0.1443228,0.691561556,0.53,0,-1,2018
Jibia,242020.06,43557,2349,0.0647148,0.625486443,0.53,0,-1,2018
Jos East,117849.9,3649,487,0.1601532,0.554956846,0.53,0,-1,2018
Jos North,591025.49,31100,1380,0.0532476,0.533403445,0.53,0,-1,2018
Jos South,422261.76,26685,2442,0.1098144,0.510654246,0.53,0,-1,2018
Kabba-Bunu,207371.22,11163,2586,0.2779896,0.393788165,0.53,0,-1,2018
Kabo,227111.57,30357,3777,0.1493028,0.71581337,0.53,0,-1,2018
Kachia,348276.31,24307,5869,0.2897436,0.564762281,0.53,0,-1,2018
Kaduna North,509986.11,78067,7298,0.1121808,0.642698146,0.53,0,-1,2018
Kaduna South,573711.92,79407,6326,0.0955992,0.654957316,0.53,0,-1,2018
Kafin Hausa,381985.37,42468,9750,0.275502,0.651482047,0.53,0,-1,2018
Kafur,289264.07,35120,2003,0.0684396,0.686230808,0.53,0,-1,2018
Kaga,134450.17,1650,451,0.3279996,0.65241475,0.53,0,-1,2018
Kagarko,343527.11,24933,5595,0.2692812,0.618580297,0.53,0,-1,2018
Kaiama,177028.17,10910,2413,0.2654076,0.467392893,0.53,0,-1,2018
Kaita,262911.73,30744,1891,0.0738096,0.659073113,0.53,0,-1,2018
Kajola,300217.53,9685,1877,0.232566,0.464793778,0.53,0,-1,2018
Kajuru,317344.43,17809,4554,0.3068556,0.533070449,0.53,0,-1,2018
Kala-Balge,90808.942,7568,426,0.067548,0.63582369,0.53,0,-1,2018
Kalgo,223011.63,12013,521,0.052044,0.655765729,0.53,0,-1,2018
Kaltungo,218616.37,18731,2586,0.165672,0.538791259,0.53,0,-1,2018
Kanam,228394.94,2906,446,0.1841712,0.575511162,0.53,0,-1,2018
Kankara,350365.05,38991,4412,0.1357848,0.712510337,0.53,0,-1,2018
Kanke,167166.73,5776,1102,0.2289468,0.633783346,0.53,0,-1,2018
Kankia,215908.67,26544,5113,0.2311488,0.693136955,0.53,0,-1,2018
Kano Municipal,539660.89,52057,10440,0.2406588,0.630816237,0.53,0,-1,2018
Karasuwa,161672.26,8340,2326,0.3346764,0.683888724,0.53,0,-1,2018
Karaye,208773.21,29176,4224,0.1737324,0.727556296,0.53,0,-1,2018
Karin-Lamido,275990.9,13868,2719,0.2352756,0.455003762,0.53,0,-1,2018
Karu,292961.07,90630,1976,0.0261636,0.516071368,0.53,0,-1,2018
Katagum,442073.17,65267,4412,0.0811188,0.687814164,0.53,0,-1,2018
Katcha,182487.18,21295,8579,0.483438,0.480954753,0.53,0,-1,2018
Katsina,454046.39,67185,2644,0.0472248,0.671836104,0.53,0,-1,2018
Katsina-Ala,320394.13,9955,2020,0.2434956,0.408859386,0.53,0,-1,2018
Kaugama,180320.52,24714,6914,0.335712,0.638425145,0.53,0,-1,2018
Kaura,158071.26,10858,4064,0.4491432,0.570694568,0.53,0,-1,2018
Kaura-Namoda,410610.01,25142,8516,0.4064592,0.72320853,0.53,0,-1,2018
Kauru,242390.76,39094,9357,0.2872152,0.488559081,0.53,0,-1,2018
Kazaure,227583.56,27353,8058,0.3535116,0.679043778,0.53,0,-1,2018
Keana,112995.83,5208,482,0.11106,0.449296597,0.53,0,-1,2018
Kebbe,177732.5,4842,548,0.1358112,0.662933002,0.53,0,-1,2018
Keffi,132116.71,25529,2215,0.1041168,0.5015342,0.53,0,-1,2018
Khana,439454.82,3077,133,0.0518688,0.308022703,0.53,0,-1,2018
Kibiya,201876.95,24427,5267,0.2587464,0.716126831,0.53,0,-1,2018
Kirfi,220488.42,38451,3865,0.1206216,0.668154735,0.53,0,-1,2018
Kiri Kasamma,269901.58,40280,5249,0.1563756,0.651907622,0.53,0,-1,2018
Kiru,390922.51,37112,4617,0.1492884,0.721083872,0.53,0,-1,2018
Kiyawa,243675.66,59787,6965,0.1397964,0.702356647,0.53,0,-1,2018
Kogi,165245.69,10526,1265,0.1442148,0.433718849,0.53,0,-1,2018
Koko-Besse,253420.15,13455,3791,0.3381048,0.592390938,0.53,0,-1,2018
Kokona,156475.83,19282,1155,0.07188,0.508267659,0.53,0,-1,2018
Kolokuma-Opokuma,108922.86,4185,134,0.0384228,0.31668418,0.53,0,-1,2018
Konduga,233850.54,5685,1112,0.2347224,0.685445232,0.53,0,-1,2018
Konshisha,321754.31,2839,837,0.3537864,0.45479219,0.53,0,-1,2018
Kontagora,226949.91,38295,10660,0.334038,0.613446079,0.53,0,-1,2018
Kosofe,971034.35,63378,3428,0.0649056,0.508440915,0.53,0,-1,2018
Kubau,402128.73,78176,11956,0.1835244,0.658563106,0.53,0,-1,2018
Kudan,198169.36,37807,7907,0.2509692,0.673476599,0.53,0,-1,2018
Kuje,249526.38,32849,2989,0.1091904,0.498560793,0.53,0,-1,2018
Kukawa,304499.8,5749,2,0.0004176,0.632574443,0.53,0,-1,2018
Kumbotso,436983.22,53582,8854,0.1982904,0.679648396,0.53,0,-1,2018
Kunchi,163906.91,19270,3872,0.2411208,0.680296131,0.53,0,-1,2018
Kura,213488.83,43689,15427,0.4237308,0.70943541,0.53,0,-1,2018
Kurfi,167642.39,10416,1743,0.2008068,0.656290638,0.53,0,-1,2018
Kurmi,128989.01,4099,1348,0.3946332,0.501628429,0.53,0,-1,2018
Kusada,141531.01,14488,1349,0.1117344,0.698147157,0.53,0,-1,2018
Kwali,2263278.2,19750,37,0.0022476,0.520161192,0.53,0,-1,2018
Kwami,285006.11,21860,2865,0.1572732,0.559035931,0.53,0,-1,2018
Kwande,354582.46,4571,580,0.1522644,0.451208693,0.53,0,-1,2018
Kware,190907.96,23834,1153,0.0580512,0.725770018,0.53,0,-1,2018
Kwaya Kusar,84390.763,6938,889,0.153762,0.606689636,0.53,0,-1,2018
Lafia,471516.23,74682,2412,0.0387564,0.541291955,0.53,0,-1,2018
Lagelu,220994.76,20478,2249,0.13179,0.414987723,0.53,0,-1,2018
Lagos Island,305639.71,48109,4784,0.1193292,0.516005638,0.53,0,-1,2018
Lagos Mainland,463661.38,13545,1057,0.0936432,0.516213299,0.53,0,-1,2018
Lamurde,158966.33,15781,2500,0.1901016,0.483923569,0.53,0,-1,2018
Langtang North,193625.9,5413,660,0.1463148,0.528657291,0.53,0,-1,2018
Langtang South,146352.12,4105,563,0.16458,0.570014312,0.53,0,-1,2018
Lapai,164490.29,25130,8654,0.4132428,0.476147229,0.53,0,-1,2018
Lau,136118.35,6325,854,0.162024,0.504803441,0.53,0,-1,2018
Lavun,313540.81,17683,6816,0.462546,0.564173288,0.53,0,-1,2018
Lere,472156.4,75091,7872,0.1257996,0.535617259,0.53,0,-1,2018
Logo,241043.41,4814,1498,0.3734112,0.473946946,0.53,0,-1,2018
Lokoja,278395.5,21801,1447,0.0796476,0.389588612,0.53,0,-1,2018
Machina,93090.896,8369,1018,0.1459668,0.682341276,0.53,0,-1,2018
Madagali,190003.4,18931,2687,0.1703244,0.67676674,0.53,0,-1,2018
Madobi,201710.11,31669,5137,0.1946508,0.730463144,0.53,0,-1,2018
Mafa,154618.81,4127,594,0.172716,0.673505468,0.53,0,-1,2018
Magama,271324.52,11291,4446,0.472518,0.517157065,0.53,0,-1,2018
Magumeri,209454.89,9379,196,0.0250776,0.704144224,0.53,0,-1,2018
Mai'Adua,286831.72,16894,1925,0.1367352,0.632545498,0.53,0,-1,2018
Maiduguri,778922.26,109604,42196,0.4619832,0.699455384,0.53,0,-1,2018
Maigatari,253261.3,26230,7081,0.3239496,0.655669759,0.53,0,-1,2018
Maiha,156728.46,35642,3510,0.1181748,0.636938432,0.53,0,-1,2018
Maiyama,179970.05,19492,1589,0.0978252,0.630198767,0.53,0,-1,2018
Makoda,328349.75,29233,6918,0.28398,0.664761406,0.53,0,-1,2018
Makurdi,424018.44,8040,1439,0.214776,0.434420372,0.53,0,-1,2018
Malam Madori,227469.41,31628,7289,0.276552,0.646183975,0.53,0,-1,2018
Malumfashi,260800.18,57966,1622,0.0335784,0.708480769,0.53,0,-1,2018
Mangu,406037.13,20428,1752,0.102918,0.519252565,0.53,0,-1,2018
Mani,252311.2,28925,4183,0.173538,0.64616062,0.53,0,-1,2018
Maradun,307704.67,24815,7972,0.3855084,0.703907955,0.53,0,-1,2018
Mariga,297876.99,31052,10050,0.3883812,0.639142834,0.53,0,-1,2018
Markafi,208530.36,63515,8107,0.1531668,0.676537716,0.53,0,-1,2018
Marte,193232.44,0,0,0,0.675677048,0.53,0,-1,2018
Maru,425981.23,23831,6425,0.3235284,0.646101776,0.53,0,-1,2018
Mashegu,321165.85,20655,5596,0.3251124,0.515105843,0.53,0,-1,2018
Mashi,246847.69,19904,1690,0.1018896,0.639391742,0.53,0,-1,2018
Matazuu,164425.87,20231,3208,0.1902828,0.711635809,0.53,0,-1,2018
Mayo-Belwa,215795.28,41002,5407,0.1582464,0.618014343,0.53,0,-1,2018
Mbaitoli,346673.42,7876,789,0.1202136,0.343041421,0.53,0,-1,2018
Mbo,155356.67,3951,725,0.2201976,0.376723643,0.53,0,-1,2018
Michika,218857.56,26621,3539,0.159528,0.659846477,0.53,0,-1,2018
Miga,180985.68,39363,11193,0.3412236,0.675260641,0.53,0,-1,2018
Mikang,134107.58,5872,179,0.0365808,0.470852295,0.53,0,-1,2018
Minjibir,315645.33,47141,10547,0.2684796,0.696676631,0.53,0,-1,2018
Misau,393555.2,34060,2550,0.0898416,0.712271562,0.53,0,-1,2018
Mkpat Enin,265922.02,3975,1555,0.469434,0.318051677,0.53,0,-1,2018
Moba,211314.72,5456,599,0.1317444,0.362981752,0.53,0,-1,2018
Mobbar,174239.29,6705,2826,0.5057724,0.716736078,0.53,0,-1,2018
Mokwa,365848.15,19225,6926,0.432312,0.477717867,0.53,0,-1,2018
Monguno,164078.05,409,111,0.3256728,0.682872976,0.53,0,-1,2018
Mopa-Muro,62786.232,6343,2761,0.5223396,0.370880339,0.53,0,-1,2018
Moro,155111.38,3007,817,0.3260388,0.407959544,0.53,0,-1,2018
Mubi North,212896.48,21242,4641,0.2621784,0.665027176,0.53,0,-1,2018
Mubi South,181702.98,46831,2504,0.0641628,0.661769417,0.53,0,-1,2018
Musawa,244823.1,27632,1049,0.0455556,0.722835449,0.53,0,-1,2018
Mushin,923775.1,40128,3530,0.1055628,0.520071762,0.53,0,-1,2018
Muya,154817.47,11402,4218,0.443922,0.60929501,0.53,0,-1,2018
Nafada,201658.84,15779,3148,0.2394072,0.665494757,0.53,0,-1,2018
Nangere,132706.58,46561,2083,0.0536844,0.711658449,0.53,0,-1,2018
Nasarawa1,880921.75,102030,18473,0.217266,0.605439633,0.53,0,-1,2018
Nasarawa2,212622.3,30194,869,0.0345372,0.442674871,0.53,0,-1,2018
Nasarawa-Eggon,270659.32,26275,544,0.0248448,0.536568319,0.53,0,-1,2018
Ndokwa East,150561.53,1609,574,0.4280916,0.343545804,0.53,0,-1,2018
Ndokwa West,217915.89,10409,1017,0.1172448,0.351427873,0.53,0,-1,2018
Nembe,184513.01,3426,585,0.2049036,0.35581817,0.53,0,-1,2018
Ngala,354099.16,7913,1960,0.2972328,0.625059413,0.53,0,-1,2018
Nganzai,149063.96,1236,120,0.1165044,0.699533384,0.53,0,-1,2018
Ngaski,129730.59,15885,720,0.0543912,0.540983781,0.53,0,-1,2018
Ngor-Okpala,233395.1,4921,1473,0.3591948,0.334983127,0.53,0,-1,2018
Nguru,227615.29,12349,1644,0.1597536,0.63148795,0.53,0,-1,2018
Ningi,578326.16,40716,2269,0.0668724,0.651854983,0.53,0,-1,2018
Njaba,211764.77,1102,372,0.4050816,0.341492273,0.53,0,-1,2018
Njikoka,206795.68,10343,2463,0.2857584,0.489504274,0.53,0,-1,2018
Nkanu East,212116.15,3039,23,0.0090816,0.471406566,0.53,0,-1,2018
Nkanu West,209151.99,8835,89,0.0120888,0.511059551,0.53,0,-1,2018
Nkwerre,116968.99,2983,533,0.2144148,0.463076205,0.53,0,-1,2018
Nnewi North,219476.57,11997,1283,0.1283316,0.38462961,0.53,0,-1,2018
Nnewi South,220398.66,4795,1223,0.3060684,0.380306319,0.53,0,-1,2018
Nsit Atai,111418.21,1889,474,0.3011112,0.331769618,0.53,0,-1,2018
Nsit Ibom,162225.93,2600,979,0.4518456,0.425264532,0.53,0,-1,2018
Nsit Ubium,191531.18,2420,703,0.3485952,0.334843575,0.53,0,-1,2018
Nsukka,441462.62,3420,28,0.0098244,0.452803528,0.53,0,-1,2018
Numan,127850.34,7875,1224,0.1865148,0.55184819,0.53,0,-1,2018
Nwangele,187484.28,3272,777,0.2849628,0.481838967,0.53,0,-1,2018
Obafemi-Owode,121385.13,14113,2422,0.205938,0.456702555,0.53,0,-1,2018
Obanliku,155472.83,6525,3231,0.5942064,0.496554243,0.53,0,-1,2018
Obi Nwa,249790.53,3103,174,0.06729,0.409752288,0.53,0,-1,2018
Obi1,140943.59,7316,2683,0.440076,0.451978665,0.53,0,-1,2018
Obi2,212258.73,16700,979,0.0703476,0.522169724,0.53,0,-1,2018
Obia-Akpor,694228.29,92519,2312,0.0299868,0.308907738,0.53,0,-1,2018
Obokun,170029.12,7190,1405,0.234492,0.396441237,0.53,0,-1,2018
Obot Akara,221478.7,4114,1098,0.3202728,0.440171735,0.53,0,-1,2018
Obowo,172368.44,5596,784,0.16812,0.508816551,0.53,0,-1,2018
Obubra,243014.72,15596,4881,0.375558,0.495552804,0.53,0,-1,2018
Obudu,225627.54,9950,4038,0.4869948,0.490500973,0.53,0,-1,2018
Odeda,222088.86,13318,1556,0.1402008,0.44351983,0.53,0,-1,2018
Odigbo,328425.45,26351,3680,0.1675836,0.478615868,0.53,0,-1,2018
Odogbolu,337875.48,7020,997,0.1704276,0.462106458,0.53,0,-1,2018
Odo-Otin,195712.03,7045,1769,0.30132,0.479214434,0.53,0,-1,2018
Odukpani,271199.49,7558,2722,0.4321776,0.498229176,0.53,0,-1,2018
Offa,127853.68,4769,580,0.1459428,0.419305771,0.53,0,-1,2018
Ofu,273987.04,7655,468,0.0733644,0.406296962,0.53,0,-1,2018
Ogbadibo,183505.41,2962,1300,0.5266716,0.316440728,0.53,0,-1,2018
Ogba-Egbema-Ndoni,424209.21,5907,456,0.0926364,0.407482111,0.53,0,-1,2018
Ogbaru,309053.44,13659,2729,0.239754,0.322021221,0.53,0,-1,2018
Ogbia,253558.64,3054,280,0.1100196,0.44449378,0.53,0,-1,2018
Ogbomosho North,296816.5,20865,891,0.0512436,0.359214893,0.53,0,-1,2018
Ogbomosho South,150581.5,12845,1720,0.1606848,0.413445748,0.53,0,-1,2018
Ogo Oluwa,97361.548,5603,492,0.105372,0.491498674,0.53,0,-1,2018
Ogoja,242249.51,14187,3549,0.3001908,0.491849375,0.53,0,-1,2018
Ogori-Mangongo,56491.498,2288,515,0.2701044,0.386347145,0.53,0,-1,2018
Ogu-Bolo,111549.65,999,195,0.234234,0.374208023,0.53,0,-1,2018
Ogun waterside,161590.44,4413,892,0.242556,0.492471268,0.53,0,-1,2018
Oguta,208697.24,1548,230,0.1782948,0.308468253,0.53,0,-1,2018
Ohafia,337494.42,7063,272,0.0462132,0.486514324,0.53,0,-1,2018
Ohaji-Egbema,266384.93,5135,476,0.1112364,0.321773866,0.53,0,-1,2018
Ohaozara,207019.93,11420,2902,0.3049392,0.478301408,0.53,0,-1,2018
Ohaukwu,273476.19,25999,4365,0.2014692,0.460090005,0.53,0,-1,2018
Ohimini,101916.24,2203,1083,0.5899224,0.418374369,0.53,0,-1,2018
Oji-River,180482.79,3759,380,0.1213092,0.465835335,0.53,0,-1,2018
Ojo,872788.69,84828,839,0.0118692,0.488266396,0.53,0,-1,2018
Oju,242715.83,12879,3915,0.3647796,0.467648858,0.53,0,-1,2018
Oke-Ero,82150.917,2010,575,0.343284,0.400631968,0.53,0,-1,2018
Okehi,285150.75,12088,1794,0.1780944,0.371839834,0.53,0,-1,2018
Okene,456614.18,29271,2106,0.0863376,0.357715363,0.53,0,-1,2018
Okigwe,192978.69,4034,338,0.1005456,0.508750791,0.53,0,-1,2018
Okitipupa,333007.84,26704,5185,0.2329992,0.459942251,0.53,0,-1,2018
Okobo,155423.89,3468,1368,0.4733568,0.352520839,0.53,0,-1,2018
Okpe,191062.58,8662,1549,0.2145924,0.280610706,0.53,0,-1,2018
Okpokwu,251856.38,3085,457,0.1777632,0.416399046,0.53,0,-1,2018
Okrika,331627.32,5275,1266,0.288,0.34467839,0.53,0,-1,2018
Olamabolo,228338.46,3808,838,0.2640756,0.391533051,0.53,0,-1,2018
Ola-oluwa,111775.2,2846,825,0.3478572,0.488454858,0.53,0,-1,2018
Olorunda,192284.05,10504,1903,0.2174028,0.485001715,0.53,0,-1,2018
Olorunsogo,122118.66,8102,725,0.1073808,0.471433482,0.53,0,-1,2018
Oluyole,302798.54,26969,2751,0.1224072,0.36806908,0.53,0,-1,2018
Omala,154555.33,7372,1324,0.2155176,0.504091735,0.53,0,-1,2018
Omumma,149910.86,730,80,0.1315068,0.383538256,0.53,0,-1,2018
Ona-Ara,395903.21,25762,1714,0.0798384,0.36709896,0.53,0,-1,2018
Ondo East,106587.03,6246,1401,0.2691648,0.426186667,0.53,0,-1,2018
Ondo West,404448.44,25691,2234,0.1043484,0.453136055,0.53,0,-1,2018
Onicha,329875.77,7581,1966,0.3111996,0.465831417,0.53,0,-1,2018
Onitsha North,174030.68,20263,1867,0.1105656,0.445478249,0.53,0,-1,2018
Onitsha South,190355.38,7302,933,0.1533276,0.434081069,0.53,0,-1,2018
Onna,184275.07,4308,1201,0.3345408,0.291878138,0.53,0,-1,2018
Opobo-Nkoro,226303.17,476,151,0.3806724,0.289388868,0.53,0,-1,2018
Oredo,515816.7,5436,221,0.048786,0.445104909,0.53,0,-1,2018
Orelope,155997.45,6683,1317,0.2364804,0.45352717,0.53,0,-1,2018
Orhionmwon,251549.98,2828,273,0.115842,0.407105953,0.53,0,-1,2018
Ori Ire,224984.28,5608,1045,0.2236092,0.41347974,0.53,0,-1,2018
Oriade,216882.67,6509,1269,0.2339532,0.466673765,0.53,0,-1,2018
Orlu,175125.13,8380,671,0.0960864,0.433950418,0.53,0,-1,2018
Orolu,150424.35,5002,1444,0.346422,0.537649782,0.53,0,-1,2018
Oron,130635.41,781,85,0.130602,0.384179387,0.53,0,-1,2018
Orsu,163186.27,5632,1165,0.2482248,0.343580402,0.53,0,-1,2018
Oru East,171460.73,5915,1009,0.2046996,0.288284046,0.53,0,-1,2018
Oru West,185646.97,7675,908,0.1419672,0.28016566,0.53,0,-1,2018
Oruk Anam,257883.23,1671,519,0.3727104,0.387796568,0.53,0,-1,2018
Orumba North,240141.51,5259,1668,0.3806052,0.462606614,0.53,0,-1,2018
Orumba South,260746.56,5097,1904,0.4482636,0.490669288,0.53,0,-1,2018
Ose,206594.18,13463,2844,0.2534952,0.412008749,0.53,0,-1,2018
Oshimili North,168285.21,6795,1237,0.2184552,0.41124887,0.53,0,-1,2018
Oshimili South,218321.58,23897,526,0.0264132,0.384062211,0.53,0,-1,2018
Oshodi-Isolo,906992.7,85349,3486,0.0490128,0.512122932,0.53,0,-1,2018
Osisioma Ngwa,302371.56,5579,163,0.0350604,0.395923243,0.53,0,-1,2018
Osogbo,228669.76,22600,4905,0.260442,0.461848924,0.53,0,-1,2018
Oturkpo,373073.15,13352,2451,0.2202816,0.465020433,0.53,0,-1,2018
Ovia North East,211806.85,3676,501,0.1635468,0.408498179,0.53,0,-1,2018
Ovia South West,186347.18,8685,1639,0.2264592,0.429873962,0.53,0,-1,2018
Owan East,212544.77,8644,2069,0.2872284,0.389928709,0.53,0,-1,2018
Owan West,134075.92,5067,916,0.2169336,0.451058274,0.53,0,-1,2018
Owerri North,144861.35,8790,1353,0.18471,0.332376349,0.53,0,-1,2018
Owerri West,144835.08,9013,1262,0.168024,0.301251273,0.53,0,-1,2018
Owerri-Municipal,255960.87,29015,870,0.0359808,0.296064867,0.53,0,-1,2018
Owo,312079.1,24735,3319,0.1610184,0.368753461,0.53,0,-1,2018
Oye,193592.65,5138,680,0.1588164,0.377433124,0.53,0,-1,2018
Oyi,234046.21,10493,2192,0.2506812,0.449447388,0.53,0,-1,2018
Oyigbo,183250.43,4022,730,0.2178024,0.359702918,0.53,0,-1,2018
Oyo East,184981.56,19201,960,0.0599964,0.521707747,0.53,0,-1,2018
Oyo West,203487.79,12779,716,0.0672348,0.478720265,0.53,0,-1,2018
Oyun,134382.24,5563,749,0.161568,0.442781654,0.53,0,-1,2018
Pailoro,236123.86,31113,6327,0.2440272,0.546967894,0.53,0,-1,2018
Pankshin,263896.39,5150,746,0.1738248,0.558053877,0.53,0,-1,2018
Patani,98807.506,2715,558,0.24663,0.266110793,0.53,0,-1,2018
Pategi,159852.03,3765,770,0.245418,0.392551518,0.53,0,-1,2018
Port-Harcourt,808231.99,42299,1754,0.0497604,0.311971015,0.53,0,-1,2018
Potiskum,311092.77,106759,6159,0.0692292,0.692995272,0.53,0,-1,2018
Qua'an Pan,271115.91,21763,1520,0.0838116,0.587826633,0.53,0,-1,2018
Rabah,212673.62,18780,637,0.0407028,0.708381434,0.53,0,-1,2018
Rafi,271736.76,36433,7246,0.2386632,0.574772763,0.53,0,-1,2018
Rano,214726.05,31999,5257,0.1971432,0.721528803,0.53,0,-1,2018
Remo North,187684.32,5824,805,0.1658652,0.39588712,0.53,0,-1,2018
Rijau,262960.12,13025,4529,0.4172592,0.601450652,0.53,0,-1,2018
Rimi,219202.18,23767,3007,0.151824,0.655926771,0.53,0,-1,2018
Rimin Gado,154711.89,18013,5584,0.3719976,0.719050977,0.53,0,-1,2018
Ringim,270607.61,52017,5602,0.1292352,0.682463107,0.53,0,-1,2018
Riyom,181117.03,6377,723,0.1360512,0.596169578,0.53,0,-1,2018
Rogo,336238.15,40017,9496,0.2847588,0.697858927,0.53,0,-1,2018
Roni,109665.53,25197,4330,0.2062152,0.657745318,0.53,0,-1,2018
Sabon Birni,295986.53,22484,553,0.029514,0.691562668,0.53,0,-1,2018
Sabon-Gari,409009.45,54852,7826,0.17121,0.641366645,0.53,0,-1,2018
Sabuwa,193974.77,14882,1817,0.1465128,0.605307927,0.53,0,-1,2018
Safana,262024.91,14399,2415,0.201264,0.60659165,0.53,0,-1,2018
Sagbama,263733.35,5985,627,0.1257144,0.312771086,0.53,0,-1,2018
Sakaba,183403.11,16124,2075,0.154428,0.650673231,0.53,0,-1,2018
Saki East,164633.68,12438,2682,0.258756,0.500006612,0.53,0,-1,2018
Saki West,415235.41,39751,4223,0.1274832,0.494698068,0.53,0,-1,2018
Sandamu,195738.43,13609,1981,0.174678,0.692853778,0.53,0,-1,2018
Sanga,212913.15,25740,5868,0.2735664,0.49769857,0.53,0,-1,2018
Sapele,250842.97,3823,1006,0.3157728,0.37261735,0.53,0,-1,2018
Sardauna,315862.49,19644,4936,0.3015276,0.362160557,0.53,0,-1,2018
Shagamu,107681.19,33795,2487,0.0883092,0.491958645,0.53,0,-1,2018
Shagari,223007.54,6541,504,0.0924624,0.696705129,0.53,0,-1,2018
Shanga,216700.87,12953,1105,0.1023696,0.609664023,0.53,0,-1,2018
Shani,152824.95,4849,343,0.0848832,0.653021266,0.53,0,-1,2018
Shanono,207592.09,27419,5070,0.2218896,0.710883327,0.53,0,-1,2018
Shelleng,210073.77,31973,3595,0.1349268,0.600969346,0.53,0,-1,2018
Shendam,286380.97,12537,1243,0.1189764,0.546233826,0.53,0,-1,2018
Shinkafi,197957.96,27861,6578,0.2833212,0.714247715,0.53,0,-1,2018
Shira,349533.1,17911,1526,0.1022388,0.686675947,0.53,0,-1,2018
Shiroro,351609.26,15320,5563,0.435744,0.584587609,0.53,0,-1,2018
Shomgom,221119.14,16744,3065,0.2196612,0.454493674,0.53,0,-1,2018
