LGA,MapA_mix,llin_type,smc_LGA,repDS,peak,simday,year,round,duration,coverage_high_access,coverage_low_access,max_age
Mubi North,CM+IPTp+LLINs+SMC,itn,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Mubi North,CM+IPTp+LLINs+SMC,itn,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Mubi North,CM+IPTp+LLINs+SMC,itn,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Mubi South,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,186,2020,1,-1,0.8,0.2,5
Mubi South,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Mubi South,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Mubi South,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Numan,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Numan,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Numan,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Numan,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Shelleng,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,186,2020,1,-1,0.8,0.2,5
Shelleng,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Shelleng,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Shelleng,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Song,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,186,2020,1,-1,0.8,0.2,5
Song,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,216,2020,2,-1,0.8,0.2,5
Song,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,246,2020,3,-1,0.8,0.2,5
Song,CM+IPTp+IRS+SMC,itn_pbo,smc,Darazo,july,276,2020,4,-1,0.8,0.2,5
Toungo,CM+IPTp+IRS+SMC,itn_pbo,smc,Keana,august,223,2020,1,-1,0.8,0.2,5
Toungo,CM+IPTp+IRS+SMC,itn_pbo,smc,Keana,august,253,2020,2,-1,0.8,0.2,5
Toungo,CM+IPTp+IRS+SMC,itn_pbo,smc,Keana,august,283,2020,3,-1,0.8,0.2,5
Toungo,CM+IPTp+IRS+SMC,itn_pbo,smc,Keana,august,313,2020,4,-1,0.8,0.2,5
Yola North,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Yola North,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Yola North,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Yola North,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Yola South,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Yola South,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
Yola South,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,246,2020,3,-1,0.8,0.2,5
Yola South,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,276,2020,4,-1,0.8,0.2,5
Anambra West,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,162,2020,1,-1,0.8,0.2,5
Anambra West,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,192,2020,2,-1,0.8,0.2,5
Anambra West,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,222,2020,3,-1,0.8,0.2,5
Anambra West,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,252,2020,4,-1,0.8,0.2,5
Onitsha North,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,162,2020,1,-1,0.8,0.2,5
Onitsha North,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,192,2020,2,-1,0.8,0.2,5
Onitsha North,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,222,2020,3,-1,0.8,0.2,5
Onitsha North,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,252,2020,4,-1,0.8,0.2,5
Onitsha South,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,162,2020,1,-1,0.8,0.2,5
Onitsha South,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,192,2020,2,-1,0.8,0.2,5
Onitsha South,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,222,2020,3,-1,0.8,0.2,5
Onitsha South,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,252,2020,4,-1,0.8,0.2,5
Oyi,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,162,2020,1,-1,0.8,0.2,5
Oyi,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,192,2020,2,-1,0.8,0.2,5
Oyi,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,222,2020,3,-1,0.8,0.2,5
Oyi,CM+IPTp+LLINs+SMC,itn,smc,Uzo-Uwani,june,252,2020,4,-1,0.8,0.2,5
Alkaleri,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,186,2020,1,-1,0.8,0.2,5
Alkaleri,CM+IPTp+IRS+SMC,itn_pbo,smc,Alkaleri,july,216,2020,2,-1,0.8,0.2,5
