,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
117,Aguata,Oru West,2020,Aguata,0.8,0.8,0.8,0.8,0.503044714,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
118,Aguata,Oru West,2023,Aguata,0.8,0.8,0.8,0.8,0.503044714,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
119,Anambra East,Uzo-Uwani,2020,Anambra East,0.8,0.8,0.8,0.8,0.439848897,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
120,Anambra East,Uzo-Uwani,2023,Anambra East,0.8,0.8,0.8,0.8,0.439848897,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
121,Anambra West,Uzo-Uwani,2020,Anambra West,0.8,0.8,0.8,0.8,0.453035277,0.53,1,june,162,CM+IPTp+LLINs+SMC,itn
122,Anambra West,Uzo-Uwani,2023,Anambra West,0.8,0.8,0.8,0.8,0.453035277,0.53,2,june,1257,CM+IPTp+LLINs+SMC,itn
123,Anaocha,Oru West,2020,Anaocha,0.8,0.8,0.8,0.8,0.476153753,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
124,Anaocha,Oru West,2023,Anaocha,0.8,0.8,0.8,0.8,0.476153753,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
125,Dunukofia,Uzo-Uwani,2020,Dunukofia,0.8,0.8,0.8,0.8,0.477122595,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
126,Dunukofia,Uzo-Uwani,2023,Dunukofia,0.8,0.8,0.8,0.8,0.477122595,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
127,Ekwusigo,Oru West,2020,Ekwusigo,0.8,0.8,0.8,0.8,0.341515837,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
128,Ekwusigo,Oru West,2023,Ekwusigo,0.8,0.8,0.8,0.8,0.341515837,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
129,Idemili North,Uzo-Uwani,2020,Idemili North,0.8,0.8,0.8,0.8,0.478205882,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
130,Idemili North,Uzo-Uwani,2023,Idemili North,0.8,0.8,0.8,0.8,0.478205882,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
131,Idemili South,Oru West,2020,Idemili South,0.8,0.8,0.8,0.8,0.441250403,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
132,Idemili South,Oru West,2023,Idemili South,0.8,0.8,0.8,0.8,0.441250403,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
133,Ihiala,Oru West,2020,Ihiala,0.8,0.8,0.8,0.8,0.297729955,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
134,Ihiala,Oru West,2023,Ihiala,0.8,0.8,0.8,0.8,0.297729955,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
135,Njikoka,Uzo-Uwani,2020,Njikoka,0.8,0.8,0.8,0.8,0.489504274,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
136,Njikoka,Uzo-Uwani,2023,Njikoka,0.8,0.8,0.8,0.8,0.489504274,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
137,Nnewi North,Oru West,2020,Nnewi North,0.8,0.8,0.8,0.8,0.7188,0.863,1,june,162,CM+IPTp+IRS+IPTi,itn_pbo
138,Nnewi North,Oru West,2023,Nnewi North,0.8,0.8,0.8,0.8,0.7188,0.863,2,june,1257,CM+IPTp+IRS+IPTi,itn_pbo
139,Nnewi South,Oru West,2020,Nnewi South,0.8,0.8,0.8,0.8,0.380306319,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
140,Nnewi South,Oru West,2023,Nnewi South,0.8,0.8,0.8,0.8,0.380306319,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
141,Ogbaru,Ahoada West,2020,Ogbaru,0.8,0.8,0.8,0.8,0.322021221,0.53,1,may,131,CM+IPTp+LLINs+IPTi,itn
142,Ogbaru,Ahoada West,2023,Ogbaru,0.8,0.8,0.8,0.8,0.322021221,0.53,2,may,1226,CM+IPTp+LLINs+IPTi,itn
143,Onitsha North,Uzo-Uwani,2020,Onitsha North,0.8,0.8,0.8,0.8,0.445478249,0.53,1,june,162,CM+IPTp+LLINs+SMC,itn
144,Onitsha North,Uzo-Uwani,2023,Onitsha North,0.8,0.8,0.8,0.8,0.445478249,0.53,2,june,1257,CM+IPTp+LLINs+SMC,itn
145,Onitsha South,Uzo-Uwani,2020,Onitsha South,0.8,0.8,0.8,0.8,0.434081069,0.53,1,june,162,CM+IPTp+LLINs+SMC,itn
146,Onitsha South,Uzo-Uwani,2023,Onitsha South,0.8,0.8,0.8,0.8,0.434081069,0.53,2,june,1257,CM+IPTp+LLINs+SMC,itn
147,Orumba North,Oru West,2020,Orumba North,0.8,0.8,0.8,0.8,0.462606614,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
148,Orumba North,Oru West,2023,Orumba North,0.8,0.8,0.8,0.8,0.462606614,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
149,Orumba South,Oru West,2020,Orumba South,0.8,0.8,0.8,0.8,0.490669288,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
150,Orumba South,Oru West,2023,Orumba South,0.8,0.8,0.8,0.8,0.490669288,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
151,Oyi,Uzo-Uwani,2020,Oyi,0.8,0.8,0.8,0.8,0.449447388,0.53,1,june,162,CM+IPTp+LLINs+SMC,itn
152,Oyi,Uzo-Uwani,2023,Oyi,0.8,0.8,0.8,0.8,0.449447388,0.53,2,june,1257,CM+IPTp+LLINs+SMC,itn
153,Alkaleri,Alkaleri,2021,Alkaleri,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
154,Alkaleri,Alkaleri,2024,Alkaleri,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
155,Bauchi,Alkaleri,2021,Bauchi,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
156,Bauchi,Alkaleri,2024,Bauchi,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
157,Bogoro,Alkaleri,2021,Bogoro,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
158,Bogoro,Alkaleri,2024,Bogoro,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
159,Damban,Darazo,2021,Damban,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
160,Damban,Darazo,2024,Damban,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
161,Darazo,Darazo,2021,Darazo,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
162,Darazo,Darazo,2024,Darazo,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
163,Dass,Alkaleri,2021,Dass,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
164,Dass,Alkaleri,2024,Dass,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
165,Gamawa,Gwarzo,2021,Gamawa,0.8,0.8,0.8,0.8,0.7188,0.863,1,august,588,CM+IPTp+IRS+SMC,itn_pbo
166,Gamawa,Gwarzo,2024,Gamawa,0.8,0.8,0.8,0.8,0.7188,0.863,2,august,1683,CM+IPTp+IRS+SMC,itn_pbo
167,Jama'are,Taura,2021,Jama'are,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
168,Jama'are,Taura,2024,Jama'are,0.8,0.8,0.8,0.8,0.7188,0.863,2,july,1646,CM+IPTp+IRS+SMC,itn_pbo
169,Ganjuwa,Darazo,2021,Ganjuwa,0.8,0.8,0.8,0.8,0.7188,0.863,1,july,551,CM+IPTp+IRS+SMC,itn_pbo
