,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,kill_rate,block_initial,round,peak,simday,MapA_mix,llin_type
30,Umu-Neochi,Oru West,2023,Umu-Neochi,0.497801629,0.606901561,0.403219414,0.443178282,0.489251418,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
31,Umuahia North,Ngor-Okpala,2020,Umuahia North,0.16,0.31976846,0.24,0.210526315,0.501112024,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
32,Umuahia North,Ngor-Okpala,2023,Umuahia North,0.16,0.31976846,0.24,0.210526315,0.501112024,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
33,Umuahia South,Ngor-Okpala,2020,Umuahia South,0.228295674,0.263655314,0.198353248,0.333891334,0.528927156,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
34,Umuahia South,Ngor-Okpala,2023,Umuahia South,0.228295674,0.263655314,0.198353248,0.333891334,0.528927156,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
35,Demsa,Alkaleri,2020,Demsa,0.544406772,0.341721852,0.32043094,0.461976287,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
36,Demsa,Alkaleri,2023,Demsa,0.544406772,0.341721852,0.32043094,0.461976287,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
37,Gireri,Darazo,2020,Gireri,0.52045146,0.301261878,0.503232118,0.496948156,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
38,Gireri,Darazo,2023,Gireri,0.52045146,0.301261878,0.503232118,0.496948156,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
39,Gombi,Alkaleri,2020,Gombi,0.557139816,0.496728953,0.474716999,0.406603886,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
40,Gombi,Alkaleri,2023,Gombi,0.557139816,0.496728953,0.474716999,0.406603886,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
41,Guyuk,Alkaleri,2020,Guyuk,0.778894348,0.645820158,0.730933024,0.62419521,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
42,Guyuk,Alkaleri,2023,Guyuk,0.778894348,0.645820158,0.730933024,0.62419521,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
43,Hong,Darazo,2020,Hong,0.730434782,0.533333333,0.289655172,0.461538462,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
44,Hong,Darazo,2023,Hong,0.730434782,0.533333333,0.289655172,0.461538462,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
45,Lamurde,Alkaleri,2020,Lamurde,0.381818182,0.171428572,0.436363637,0.483870967,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
46,Lamurde,Alkaleri,2023,Lamurde,0.381818182,0.171428572,0.436363637,0.483870967,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
47,Mayo-Belwa,Alkaleri,2020,Mayo-Belwa,0.768,0.225,0.528,0.526315789,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
48,Mayo-Belwa,Alkaleri,2023,Mayo-Belwa,0.768,0.225,0.528,0.526315789,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
49,Numan,Alkaleri,2020,Numan,1,0.525,0.442105264,0.733333333,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
50,Numan,Alkaleri,2023,Numan,1,0.525,0.442105264,0.733333333,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
51,Shelleng,Darazo,2020,Shelleng,0.437232842,0.353426546,0.379327608,0.439493987,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
52,Shelleng,Darazo,2023,Shelleng,0.437232842,0.353426546,0.379327608,0.439493987,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
53,Itu,Ngor-Okpala,2021,Itu,0.365309446,0.31976846,0.263166845,0.024489796,0.471929182,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
54,Itu,Ngor-Okpala,2024,Itu,0.365309446,0.31976846,0.263166845,0.024489796,0.471929182,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
55,Song,Darazo,2020,Song,0.577559058,0.680454547,0.587080114,0.593199268,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
56,Song,Darazo,2023,Song,0.577559058,0.680454547,0.587080114,0.593199268,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
57,Yola North,Alkaleri,2020,Yola North,0.586928078,0.545746801,0.497135074,0.491269061,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
58,Yola North,Alkaleri,2023,Yola North,0.586928078,0.545746801,0.497135074,0.491269061,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
59,Yola South,Alkaleri,2020,Yola South,0.628571429,0.45,0.533333333,0.311111111,0.7188,0.863,1,july,186,CM+IPTp+IRS+SMC,itn_pbo
60,Yola South,Alkaleri,2023,Yola South,0.628571429,0.45,0.533333333,0.311111111,0.7188,0.863,2,july,1281,CM+IPTp+IRS+SMC,itn_pbo
61,Abak,Nsit Ubium,2021,Abak,0.141176471,0.08,0.208695652,0.196721311,0.425644469,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
62,Abak,Nsit Ubium,2024,Abak,0.141176471,0.08,0.208695652,0.196721311,0.425644469,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
63,Awka North,Uzo-Uwani,2020,Awka North,0.285714286,0.171428572,0.104347826,0.252631579,0.450124783,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn
64,Awka North,Uzo-Uwani,2023,Awka North,0.285714286,0.171428572,0.104347826,0.252631579,0.450124783,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn
65,Eket,Nsit Ubium,2021,Eket,0.436363637,0.4,0.42,0.381818182,0.328021397,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
66,Eket,Nsit Ubium,2024,Eket,0.436363637,0.4,0.42,0.381818182,0.328021397,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
67,Esit Eket,Nsit Ubium,2021,Esit Eket,0.771428572,0.48,0.194594594,0.588679246,0.346897657,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
68,Esit Eket,Nsit Ubium,2024,Esit Eket,0.771428572,0.48,0.194594594,0.588679246,0.346897657,0.53,2,june,1622,CM+IPTp+LLINs+IPTi,itn
69,Essien Udim,Ngor-Okpala,2021,Essien Udim,0.484995672,0.503190516,0.122177953,0.298496518,0.435041855,0.53,1,june,527,CM+IPTp+LLINs+IPTi,itn
