,LGA,repDS,year,LGA_old,U5_ITN_use,six_nine_ITN_use,ten_eighteen_ITN_use,over_eighteen_ITN_use,mortality_rate,kill_rate,block_initial,round,peak,simday,MapB_mix,llin_MapB
1,Aba North,Ngor-Okpala,2020,Aba North,0.8,0.8,0.8,0.8,0.8,0.393201897,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
2,Aba North,Ngor-Okpala,2023,Aba North,0.8,0.8,0.8,0.8,0.8,0.393201897,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
3,Aba South,Ngor-Okpala,2020,Aba South,0.8,0.8,0.8,0.8,0.8,0.38693958,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
4,Aba South,Ngor-Okpala,2023,Aba South,0.8,0.8,0.8,0.8,0.8,0.38693958,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
5,Arochukwu,Ngor-Okpala,2020,Arochukwu,0.8,0.8,0.8,0.8,0.8,0.485441926,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
6,Arochukwu,Ngor-Okpala,2023,Arochukwu,0.8,0.8,0.8,0.8,0.8,0.485441926,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
7,Bende,Ngor-Okpala,2020,Bende,0.8,0.8,0.8,0.8,0.8,0.501154968,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
8,Bende,Ngor-Okpala,2023,Bende,0.8,0.8,0.8,0.8,0.8,0.501154968,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
9,Ikwuano,Ngor-Okpala,2020,Ikwuano,0.8,0.8,0.8,0.8,0.8,0.51532143,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
10,Ikwuano,Ngor-Okpala,2023,Ikwuano,0.8,0.8,0.8,0.8,0.8,0.51532143,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
11,Isiala-Ngwa North,Ngor-Okpala,2020,Isiala-Ngwa North,0.8,0.8,0.8,0.8,0.8,0.416760484,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
12,Isiala-Ngwa North,Ngor-Okpala,2023,Isiala-Ngwa North,0.8,0.8,0.8,0.8,0.8,0.416760484,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
13,Isiala-Ngwa South,Ngor-Okpala,2020,Isiala-Ngwa South,0.8,0.8,0.8,0.8,0.8,0.444481729,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
14,Isiala-Ngwa South,Ngor-Okpala,2023,Isiala-Ngwa South,0.8,0.8,0.8,0.8,0.8,0.444481729,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
15,Isuikwato,Ngor-Okpala,2020,Isuikwato,0.8,0.8,0.8,0.8,0.8,0.471442169,0.53,1,june,162,CM+IPTp+LLINs+IPTi,itn 
16,Isuikwato,Ngor-Okpala,2023,Isuikwato,0.8,0.8,0.8,0.8,0.8,0.471442169,0.53,2,june,1257,CM+IPTp+LLINs+IPTi,itn 
17,Obi Nwa,Ngor-Okpala,2020,Obi Nwa,0.8,0.8,0.8,0.8,0.8,0.409752288,0.53,1,june,162,CM+IPTp+Urban-LLINs+IPTi,itn 
18,Obi Nwa,Ngor-Okpala,2023,Obi Nwa,0.8,0.8,0.8,0.8,0.8,0.409752288,0.53,2,june,1257,CM+IPTp+Urban-LLINs+IPTi,itn 
